,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,563,9143,3467,12307,8662,4687,2371,12450,2199,7279,9744,10815,1357,2604,2017
1,10555,9263,654,2201,5431,2347,11272,3454,5970,9642,9055,2312,4355,5859,152
2,8669,11517,396,894,12795,8447,4150,8674,13143,5455,9251,5210,10329,9729,10832
3,8191,2693,3353,11573,5925,12470,8063,5228,8853,11698,5637,676,12096,9365,6593
4,6372,11024,10381,7773,13139,5463,9687,11281,2854,2874,9844,3066,2546,1733,6651
5,9003,7985,8962,670,6451,1221,4653,4253,12701,11703,2906,8766,2905,5608,8845
6,242,6395,2174,2104,4628,12126,367,6229,4576,370,7960,9026,10743,1099,7479
7,6481,6474,865,11090,3770,7753,11718,1363,9904,12688,1465,12766,12837,11266,12425
8,6478,2563,7220,1239,4718,6633,2246,825,6060,3389,5881,3290,13247,11802,746
9,8408,9812,13179,3648,11768,1924,7629,10969,8655,507,857,11145,4309,3410,817
10,12522,10795,10377,3105,791,2643,6713,7081,9378,890,2307,892,10800,1111,7050
11,2963,2584,11934,11828,8981,12563,9493,2856,3177,10779,6623,8029,170,10560,3009
12,11303,1864,8510,9477,12513,8358,7194,6409,5665,12872,6171,2647,12546,5017,9621
13,8362,3639,7281,513,12561,4180,9185,8422,10683,1988,6455,11232,4780,4101,4653
14,2646,425,7329,2657,896,3000,6765,7679,2878,717,8499,9113,5712,13246,9543
15,5462,1056,6823,532,3494,9710,10759,10430,12661,5789,10137,5817,7136,9890,11072
16,8703,3336,10446,12251,13214,2401,6714,11445,10224,8341,2872,8732,7246,12327,8723
17,9840,9793,10771,1145,7321,7154,9987,1491,9664,11094,9053,8327,9955,7407,552
18,9905,4237,5791,3628,10272,412,1025,11468,5410,10901,3507,12963,3719,4005,10843
19,10353,26,1242,7429,5000,556,11354,10093,1524,10959,6976,1276,5775,4715,9965
20,7999,10631,10632,10628,10629,3176,5764,9787,9868,9729,9251,9704,11218,8000,7952
21,6049,7648,4264,9064,11539,7452,8824,10531,2118,2195,242,2,192,37,7842
22,7334,3492,219,8160,10016,3147,6208,6109,2904,5804,10184,7583,233,9056,2218
23,8160,4432,6890,2802,936,5650,4367,9350,9348,7497,4697,459,9593,4185,12555
24,4274,7613,4182,10315,11753,12000,1578,4841,2024,11008,10283,1452,37,393,10619
25,9061,10825,12687,6287,8624,5998,503,6119,7242,10133,1730,4315,2864,8929,12661
26,29,19,10739,4121,10352,11169,28,6481,7429,10093,11087,6604,4891,10492,134
27,11475,798,2648,12003,6523,1673,6311,11576,1319,9368,9703,2206,548,5015,6007
28,10637,5376,10529,1304,4510,1338,239,3994,5397,11374,1139,3454,1418,11112,212
29,26,10352,19,6080,7556,4121,9608,4123,5397,1338,7569,28,4221,4559,4973
30,4340,4339,5376,5401,4337,5397,9642,1,8478,4335,4338,11155,2201,654,2748
31,5069,10996,9774,11865,5841,104,7491,318,8925,996,4764,3650,3882,12180,5995
32,4687,10445,2312,11595,9048,6428,9240,1825,3112,1781,8478,10933,4539,12989,1962
33,7613,369,11230,4182,1111,10315,370,2024,1452,7292,1178,4498,11861,5311,37
34,9302,2087,7996,9696,12194,5623,3646,8335,10385,6404,1851,10891,7302,4295,11658
35,49,10288,2641,1912,3834,10444,7896,7456,7032,12072,8711,9252,790,6083,10235
36,12332,6651,1221,7551,3372,1288,11381,7351,3445,10707,9844,2972,2905,477,10560
37,10315,4182,13140,12000,7613,11317,6390,6179,11715,12121,393,11753,7426,3938,4830
38,4668,11303,2309,2648,5648,8358,12546,2647,6393,11067,12,1414,13146,5876,6733
39,8864,10561,141,4563,1137,697,8226,715,431,8893,2727,2896,1533,1242,11506
40,10135,3354,1843,6057,10518,6395,12244,1734,11072,3733,7166,9849,4810,7022,9081
41,4576,3376,6395,370,9026,12909,1734,4273,5858,2931,5441,12244,6449,3195,8135
42,5406,3073,1491,9053,2243,9322,1506,12190,256,11705,4942,8162,11311,1486,5370
43,7864,572,10351,1139,2841,12676,8597,5139,11622,6232,5507,5496,1187,4502,3264
44,3783,5090,5173,6396,10410,3777,9176,8898,3642,333,11131,4143,7553,127,8171
45,3504,8268,8992,10328,131,113,7221,5667,11542,381,13186,10208,4050,8103,1078
46,12308,1219,2418,6568,116,7145,7670,7611,6612,2791,9785,7393,8624,6796,609
47,6954,7626,12221,10375,10362,12882,6455,10081,11438,10931,3397,12404,6978,10565,12412
48,2957,7149,4654,11773,4446,6092,6378,6734,4486,11956,2770,10460,8465,10983,7493
49,11911,12072,2641,12639,4612,5031,4267,8356,7456,2849,12568,7550,7496,12404,9098
50,3224,413,3376,3403,585,6085,8368,9847,12420,13078,6486,158,11068,9845,6908
51,8207,1368,18,10518,5522,715,6618,10739,721,8193,11268,11485,3134,6337,6470
52,5006,2042,699,2204,10189,3300,4356,2706,7643,10340,8209,7930,1717,10134,1344
53,12911,5572,10209,5370,10100,3480,3109,11497,5842,2177,2049,1506,4070,4270,3207
54,4863,10495,7831,5312,6061,764,11483,937,6085,4648,2781,2013,854,12424,6700
55,2192,11306,2191,8643,3418,5950,2047,8885,4816,567,10240,3505,8238,3551,9062
56,12165,4292,10208,4816,9267,1078,12166,9976,12356,10193,141,11527,10328,3955,11718
57,11344,5915,6830,12246,2644,3866,3078,4540,9096,6480,9391,2987,11969,5305,1153
58,6784,4919,13012,12425,12111,10709,7229,12440,10179,2077,101,4669,4333,13112,7242
59,11177,7210,4783,7660,105,7229,8586,465,3980,7741,9457,12425,613,7133,8864
60,11664,4351,8024,2294,9605,7486,1118,8226,12356,7144,11553,10245,7417,11015,7847
61,1415,3359,11761,2957,1033,3225,11773,4446,1257,7187,8465,10798,10065,4486,4024
62,12723,10202,7815,12111,674,9717,7553,681,4302,1982,8426,11677,170,6811,12769
63,11475,1467,10049,4871,6096,10793,7115,6406,1852,2564,7082,6240,605,9190,12104
64,1433,11305,5681,8050,6343,8542,5971,7899,10380,5854,9862,13073,4407,12561,5655
65,6665,5657,8883,11582,9031,11544,3536,5655,9772,9832,12471,10494,951,2840,4150
66,5331,12240,9862,8805,12665,3148,2988,948,1239,13057,7025,6433,5927,825,717
67,9307,6467,12904,12199,9408,10387,1720,12269,7332,2007,9341,6516,12194,3588,10392
68,380,3703,3720,3528,4720,9093,2784,8772,4626,4204,11260,1884,4766,11883,12000
69,543,12669,11097,4820,8935,131,9895,5927,6195,7764,4462,7863,9042,11530,9622
70,747,8850,9485,8871,5541,7892,5297,7863,12203,8582,172,3718,7141,12437,650
71,1022,8122,1683,4486,6310,10478,5665,9288,8576,10258,10798,5313,12100,5782,9641
72,12553,8894,12374,5630,2642,6962,13153,9007,106,7045,12780,104,9084,6835,9764
73,9426,439,11863,12198,12122,12406,1141,4910,8364,10885,2409,5308,3087,1379,5726
74,11565,10593,4337,4338,5857,330,6101,3122,9689,9824,2745,12376,6760,4445,5834
75,5431,10555,10946,3966,1690,2347,6905,1,5970,11622,11389,12676,1877,6893,10408
76,9020,9905,1214,5528,8654,4518,4237,3905,10597,9367,3561,4664,4139,11040,9374
77,12855,9039,10256,4437,2424,2219,11722,3243,5611,816,1991,5473,9952,7407,9696
78,10973,2612,10820,6657,5858,2895,5655,11670,10354,6665,6884,9026,1524,10009,5976
79,6212,10854,520,8774,11566,2039,3723,7634,4011,9000,5491,5652,2712,7925,7455
80,9984,10273,6940,7778,5945,7721,5271,395,6931,10738,7617,11872,6210,10835,567
81,493,13254,10397,6915,12603,12436,3137,5581,10425,5278,9432,6610,11053,2520,8138
82,4882,2957,1033,871,8465,11762,12794,11773,12734,1415,4654,48,4414,11761,7149
83,8457,12414,11691,9857,7603,3311,2623,8021,8382,71,3683,798,12577,10776,10174
84,3883,3703,1525,11129,6138,7893,10789,12114,8991,11468,11776,1001,699,11927,817
85,11718,12165,4816,8420,4477,3855,12357,4448,4879,1078,381,141,11097,8893,2687
86,8304,8869,11951,4185,6586,2829,2713,606,8253,8294,261,5944,3718,9644,4364
87,120,1899,12451,2872,5470,4494,10947,7417,12061,7572,10507,10910,8732,6398,10979
88,1592,4559,10617,10777,11254,1936,5273,2110,2993,5407,1477,126,9123,3845,11888
89,4774,966,3878,6957,6292,6343,1996,8975,5134,12661,478,7829,3909,5886,5417
90,7340,11903,1730,10165,8624,10842,9849,6222,3031,5133,609,10699,4466,7557,8301
91,7189,12329,11265,4823,6763,11302,12803,9372,12074,12425,10243,12320,7030,233,6961
92,6357,11646,9483,6700,4868,5312,2781,8113,10495,3311,5361,12147,9798,3065,4863
93,2258,5462,12442,6612,651,8131,265,4043,3210,2515,4505,1546,3249,12792,3635
94,10223,12216,5358,7964,10780,13255,399,13252,11368,7764,4180,9070,12102,651,2782
95,12356,10240,141,105,1078,4761,10890,4876,11495,6594,3855,3505,11361,4213,13083
96,4505,5178,866,9706,6263,12116,9945,5854,11399,12092,8456,1750,7432,10518,5979
97,9950,8085,7160,2068,9692,13112,6400,1504,9269,3476,9216,11941,2323,3137,7664
98,2361,9407,2362,6347,179,4349,1887,8273,7212,3245,5367,7780,1798,1835,4030
99,11038,12376,710,9262,9689,9040,1812,8809,6919,1803,1786,7040,8804,4745,10073
100,12780,7572,2821,7691,12105,10217,905,8019,8482,4167,10495,9764,6486,9580,6061
101,1731,1347,5583,8841,12440,5636,3258,6287,10709,3222,13112,360,1897,5879,3770
102,8304,2039,6654,2846,2424,6814,1029,7749,9952,2219,10337,796,10098,9799,8553
103,7511,3934,1865,5964,11936,3899,832,3819,1850,1895,1265,5613,13248,4344,8537
104,9774,12402,3882,6836,9803,5069,11865,1226,12706,8925,6962,8105,11483,996,12780
105,7660,4816,11941,1653,7605,9269,11313,13083,4472,141,8007,12381,7133,715,9216
106,5630,12374,5827,12553,72,8268,6925,12888,12665,12751,12451,4180,763,10758,9862
107,6729,1469,2971,11690,2769,11850,1976,11653,8555,12108,11301,11650,1867,1753,10851
108,4863,2005,11537,9070,5681,1906,4407,12374,4243,9307,1214,9851,3878,10828,12273
109,11941,8059,6222,11903,2547,3476,11904,3277,9953,3924,3457,1731,7347,9112,6287
110,3291,7512,12343,3253,9913,11227,3477,2966,11451,2850,1982,12259,3658,934,2336
111,3475,9724,4337,179,3245,9959,4339,8273,1835,4338,5226,9407,11337,4864,8327
112,10845,7648,10329,20,2222,9868,9344,8674,1167,4277,9869,6340,8213,9729,9018
113,11718,8103,5667,11542,7221,12165,951,1750,12944,9337,12357,1073,131,1519,7432
114,7708,3369,10497,9571,7388,2474,8073,3664,3378,9158,167,4718,3646,5810,8511
115,6854,2204,10483,8131,10105,2553,251,8678,3219,6004,7052,8579,10117,9174,10152
116,8624,6466,8307,11266,7666,2848,9785,10705,7611,10808,2926,11108,2072,4902,3031
117,2759,2580,10273,1236,10111,7726,12302,12484,8869,1511,11401,5747,2499,9270,7721
118,2024,9030,7613,5311,11697,12121,5839,4380,11883,7701,174,5986,6018,5345,6436
119,2280,9599,1095,11325,1550,11757,2629,11460,5893,1050,3954,630,12026,4845,2146
120,8732,10399,4494,5287,1649,5726,10910,11015,10697,10991,3414,1205,649,87,11771
121,10419,11647,2497,10177,11321,2783,12064,1854,12030,9383,7106,7938,2785,7192,10501
122,11990,5788,12523,10667,11627,10731,12636,6532,9674,10967,3501,7672,8342,5032,7089
123,126,127,1491,9126,5458,2050,720,11589,7171,5804,11104,5063,8047,9769,3587
124,10661,3536,11354,697,1527,4325,10274,1002,2288,5667,1859,8174,2721,9860,11436
125,11138,4414,6754,9486,7973,1416,2328,1033,6734,82,8653,6693,6377,7091,6716
126,123,7145,127,5664,88,5458,2050,1385,11260,1491,9769,11104,720,5405,6612
127,126,123,10164,4682,2828,12484,3236,9593,4047,7158,10001,8898,11499,12750,7725
128,1871,6814,1849,8707,2169,1150,5721,3478,8828,6416,9235,11801,6439,6172,8722
129,10228,2856,8093,6811,7824,2611,3107,13241,8999,12723,11934,13240,10950,9484,11
130,8479,562,8192,6794,2381,5113,1663,8905,3467,7578,11129,1517,11148,153,2123
131,8420,113,11718,8238,9752,12165,13186,1750,8103,11542,45,4278,9267,9837,4816
132,4023,8153,6782,11622,8597,1192,11682,563,11210,7864,8677,3870,2758,6232,9055
133,11816,12165,131,10208,9750,5667,2282,7221,12448,45,12163,4292,1078,11542,9752
134,10600,11657,11542,10492,9752,11718,12163,8432,2687,12165,8256,3855,1138,8994,12357
135,9316,2475,7289,4514,1979,12547,1967,8452,8556,10287,11432,3155,6767,1754,2444
136,8712,877,9261,10255,9673,4036,583,9059,6802,3664,2632,5227,10075,5103,10410
137,5923,5103,4726,1383,3912,1795,5164,10321,8182,4840,12007,5386,10075,6037,7608
138,8420,5073,4816,2687,2047,12357,3778,11643,10492,8893,4069,4248,5667,13225,9075
139,12550,6346,2188,7759,9052,13077,12722,516,8544,3040,11906,5489,9153,7650,11266
140,2733,11090,1073,10492,1242,5667,3050,113,9337,8174,10022,7676,2947,10274,2889
141,4472,3855,4816,12165,8420,9267,10193,12357,1078,8893,1527,12166,10443,4248,2047
142,6581,506,6344,10590,5666,6818,12631,10989,11113,12673,4990,3452,3291,1896,3885
