,0
0,72
1,76
2,77
3,118
4,144
5,174
6,175
7,177
8,278
9,279
10,340
11,375
12,377
13,378
14,382
15,449
16,486
17,610
18,628
19,661
20,662
21,696
22,704
23,708
24,714
25,715
26,717
27,738
28,739
29,745
30,785
31,851
32,856
33,867
34,873
35,892
36,912
37,959
38,963
39,968
40,988
41,989
42,994
43,1044
44,1045
45,1052
46,1053
47,1085
48,1086
49,1087
50,1088
51,1092
52,1093
53,1098
54,1099
55,1101
56,1104
57,1105
58,1106
59,1108
60,1109
61,1110
62,1149
63,1151
64,1157
65,1176
66,1181
67,1206
68,1209
69,1210
70,1214
71,1215
72,1216
73,1222
74,1252
75,1253
76,1255
77,1265
78,1454
79,1456
80,1489
81,1503
82,1507
83,1533
84,1553
85,1558
86,1559
87,1572
88,1573
89,1574
90,1575
91,1576
92,1584
93,1655
94,1711
95,1714
96,1715
97,1716
98,1717
99,1719
100,1742
101,1745
102,1780
103,1787
104,1789
105,1821
106,1823
107,1824
108,1825
109,1867
110,1876
111,1877
112,1899
113,1911
114,1917
115,1926
116,1931
117,1945
118,1955
119,2064
120,2067
121,2068
122,2069
123,2072
124,2076
125,2123
126,2142
127,2146
128,2223
129,2253
130,2254
131,2279
132,2300
133,2322
134,2352
135,2367
136,2457
137,2498
138,2499
139,2526
140,2532
141,2534
142,2549
143,2552
144,2556
145,2595
146,2612
147,2643
148,2651
149,2675
150,2705
151,2717
152,2755
153,2770
154,2771
155,2814
156,2831
157,2835
158,2841
159,2846
160,2861
161,2869
162,2878
163,2890
164,2926
165,2971
166,2976
167,3025
168,3051
169,3099
170,3102
171,3103
172,3264
173,3302
174,3303
175,3309
176,3342
177,3348
178,3384
179,3394
180,3419
181,3422
182,3423
183,3464
184,3503
185,3519
186,3520
187,3522
188,3539
189,3552
190,3556
191,3557
192,3558
193,3565
194,3595
195,3610
196,3614
197,3617
198,3618
199,3619
200,3634
201,3663
202,3664
203,3671
204,3672
205,3812
206,3814
207,3815
208,3816
209,3817
210,3818
211,3831
212,3841
213,3842
214,3850
215,3873
216,3918
217,3942
218,3947
219,3969
220,3970
221,3972
222,3978
223,3980
224,3996
225,4014
226,4018
227,4019
228,4021
229,4030
230,4084
231,4089
232,4090
233,4091
234,4092
235,4129
236,4138
237,4145
238,4245
239,4247
240,4248
241,4379
242,4420
243,4430
244,4431
245,4463
246,4475
247,4500
248,4508
249,4569
250,4599
251,4656
252,4793
253,4803
254,4807
255,4817
256,4827
257,4842
258,4843
259,4862
260,4872
261,4873
262,4895
263,4920
264,4925
265,4926
266,4933
267,4944
268,4945
269,4952
270,4953
271,5016
272,5017
273,5057
274,5084
275,5086
276,5087
277,5143
278,5171
279,5174
280,5213
281,5231
282,5233
283,5279
284,5333
285,5338
286,5340
287,5381
288,5398
289,5426
290,5427
291,5428
292,5452
293,5468
294,5469
295,5470
296,5506
297,5557
298,5559
299,5564
300,5565
301,5566
302,5567
303,5610
304,5630
305,5642
306,5656
307,5658
308,5712
309,5713
310,5718
311,5781
312,5827
313,5832
314,5835
315,5836
316,5848
317,5872
318,5876
319,5912
320,5963
321,5966
322,6000
323,6017
324,6137
325,6160
326,6166
327,6167
328,6175
329,6177
330,6206
331,6210
332,6239
333,6240
334,6242
335,6246
336,6250
337,6253
338,6272
339,6323
340,6386
341,6395
342,6401
