,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6953,12989,2112,426,9709,67,1633,13236,6134,4061,10735,5348,1029,8964,7981
1,4045,3616,8645,9277,6915,5961,4727,6438,696,9071,1598,11249,1810,3570,1868
2,4385,5771,12339,8500,2122,11986,9263,6146,9696,5888,8708,808,6791,463,8437
3,11243,3460,7932,8793,8948,1504,4412,5122,2368,4855,6463,2388,12476,8282,6156
4,11054,7714,2557,6381,13182,1214,604,12482,6340,6260,10831,13016,11819,239,6950
5,1219,11404,6875,6571,4017,8804,12371,10727,2962,608,11388,2955,662,2497,8753
6,8708,6827,599,10548,1755,10244,3249,7904,4568,88,7052,536,7593,5875,2586
7,8904,2978,6488,2573,5330,5863,10035,1064,13100,2048,12467,12283,5894,8023,6315
8,857,6262,11843,2509,7376,12819,8044,8145,103,12637,2868,9021,3727,12565,9181
9,7120,2259,5303,419,5555,12263,647,9565,7699,7008,4209,9515,10599,12297,2343
10,7203,12216,11873,11978,6633,173,8121,10531,9494,7085,8054,6237,3573,7614,2618
11,8984,12292,3472,9714,808,6429,3664,9420,3387,9419,735,11375,550,8437,9993
12,11344,2649,9615,2650,4709,12457,5687,2947,5889,8539,4695,10227,3357,1723,10066
13,3640,8386,9198,10383,2260,5605,1995,12596,3050,6466,7147,7939,2320,2025,2014
14,2648,2989,12123,7689,7333,2659,2868,13291,427,11103,714,658,1146,8528,12256
15,11957,4594,11942,5857,8295,1057,2517,4081,9846,6019,12295,2200,7343,5895,9970
16,6693,6923,4347,11010,2862,11017,8992,5927,7257,12014,8123,6727,1316,2934,2771
17,4150,1232,6295,9177,10668,9381,108,9214,4075,10183,823,12015,5669,9747,10283
18,1422,1669,1455,11973,3600,3777,12789,11294,8965,5249,6582,9656,11095,11970,4096
19,11367,12713,5918,12565,6262,7956,103,3171,6344,9905,3111,8307,7179,11146,4114
20,29,28,4132,197,1830,11661,26,4183,9713,1267,2129,1440,11437,6181,989
21,11566,39,4343,5738,10629,2193,1384,4206,5435,2506,10671,11126,10218,10684,3069
22,7337,9975,6260,1399,7668,8908,470,8338,8976,12714,8511,2435,5986,12652,1676
23,8908,4434,7668,5456,11294,2356,7935,4743,5148,5571,407,12827,1422,5517,6307
24,694,7893,10982,8533,8817,6864,5728,557,10940,4601,5730,11148,11254,12403,4091
25,8608,3670,7857,12698,5605,5925,2919,3650,5098,1935,3026,10813,11657,2517,9288
26,10937,5161,29,5816,28,11249,4271,2329,10355,1705,5445,79,10580,9602,2364
27,11615,9695,1538,10816,600,7125,67,6525,4784,6221,6022,1713,104,12250,9647
28,2129,29,1440,5161,26,11661,6453,246,4132,10937,5279,5412,2364,5242,8590
29,28,26,20,4132,5161,10937,5816,197,8590,2129,11249,9602,11903,482,2364
30,5415,9820,5242,9634,4366,3455,4367,5161,4365,5445,1440,4361,1696,10580,2241
31,9773,11026,7493,3651,107,8947,11908,12227,4802,1229,5093,475,3901,321,10653
32,4066,2329,7569,8307,3495,3281,4379,4261,4473,12713,12712,4045,5211,3628,5122
33,8163,272,4902,8725,4603,6743,9174,2003,8425,10141,12114,8729,4653,9255,10529
34,964,9313,11013,10778,2108,2892,642,2852,7777,1235,12449,11651,11963,639,12798
35,3851,9191,10292,12895,13183,1944,4024,8515,840,13200,8628,4229,12997,2923,13211
36,8936,12376,10727,1468,12371,1757,3247,8032,9210,8012,8367,2962,11319,6690,7557
37,2223,2813,12131,7075,12555,682,10404,1128,12259,191,9087,12282,12502,11991,10681
38,4709,8539,5687,11344,6708,12554,9555,11099,8382,12,8682,1275,1626,4695,4121
39,40,9856,652,11555,2506,11566,5992,8154,10601,3698,728,10414,4096,6582,2513
40,39,11566,11704,9856,21,1596,10148,2193,3945,12175,5738,909,3555,5992,4012
41,4206,371,6662,2825,1012,3491,5798,5435,2193,10629,12175,910,6642,11566,5115
42,5386,3216,143,5246,4240,10460,11541,7138,6032,5405,6130,4012,5406,992,6593
43,10820,5944,147,4113,4065,2143,10350,802,3108,8889,8623,2761,4874,6031,6157
44,3515,3061,12389,8932,9012,3374,9842,2022,3841,5648,2048,4814,12120,2090,256
45,3698,6677,2687,5007,9818,10914,7979,2257,10985,11292,5292,1040,10903,8926,2881
46,5517,4096,6582,11970,12536,8671,3235,11555,10330,11232,3084,1422,4274,3600,11973
47,4816,1868,12712,5381,11146,3261,5818,1502,7407,7956,11658,1920,12713,11249,8829
48,5340,1070,272,6960,3795,5114,789,3801,6874,10079,10105,4206,2110,12055,5368
49,323,4126,2575,2812,6413,6018,10223,3887,10882,12162,3063,1268,9058,569,12597
50,10724,6920,7157,12752,8086,9038,7394,237,9127,2200,2786,13237,4791,7241,9241
51,6961,7630,10382,6964,12453,2845,9289,8381,8447,5948,10702,12266,8386,7494,12074
52,2947,11014,6387,4695,12554,12004,6115,10704,11817,11807,11806,2882,6367,8539,1035
53,2643,9264,12121,12958,11653,7454,7303,9113,13183,303,8860,1580,2080,3606,7498
54,3374,3223,3402,8746,3728,8392,581,2196,7740,6204,416,12461,4544,6108,9096
55,4096,11095,4567,12536,1976,3873,6623,6582,11052,10601,9124,6914,8671,3600,804
56,8829,3455,8590,10580,6897,7891,5872,7911,2364,11188,11957,6613,5445,2222,8031
57,1676,13237,3104,1399,108,12789,1370,5517,4256,6919,7668,11973,7751,9258,7863
58,10225,936,2039,8588,12619,7425,3246,7859,9563,6082,10165,4806,12819,4126,6467
59,2211,2212,797,7427,3075,10206,11109,3710,8032,2214,9281,5963,11450,11323,8428
60,3500,9797,619,7134,2835,925,8879,8120,10979,2115,4743,7458,10977,7735,133
61,5928,11382,2977,734,9111,11241,11727,3885,6843,12170,7078,1878,2646,12553,3116
62,7241,604,12466,4359,7174,462,12248,7223,8304,13189,9127,1046,2949,9747,5312
63,11212,4822,7223,8062,7361,2690,11423,12025,1698,108,2686,5877,11161,12303,7668
64,7156,8119,11701,9774,10920,8049,11045,7982,1501,9598,10641,7416,1117,7033,7488
65,10066,1437,13189,1035,3357,10821,9615,2947,5889,7779,4520,2851,9301,3224,2650
66,9709,12761,673,12159,11130,8450,7559,67,666,10206,13117,5819,1290,3795,1708
67,7125,3117,6337,9709,1708,13117,6416,10050,9499,13236,6120,6525,12153,6544,6953
68,1453,10397,12720,5365,8769,11208,12135,6966,4704,10623,318,7043,10526,4459,9391
69,5112,12467,3047,6831,3897,1243,8066,2978,2459,7,9705,9157,12721,2063,11713
70,12336,6413,10035,5162,4085,11803,283,2575,1935,3962,8956,13100,5593,3879,8987
71,6524,3499,1645,3594,3492,11687,9049,12244,1844,6946,6672,6834,358,9337,3651
72,11695,6033,2754,7640,11339,1298,4447,3258,4957,2786,8931,11431,11778,4088,5450
73,5606,540,8610,7890,8547,11127,7648,9895,7777,4493,12935,10386,10361,9643,7152
74,8872,9643,7916,8750,9489,10361,9795,4424,7890,8892,7152,4188,10150,5477,175
75,6872,1625,10897,4038,12534,2544,9219,12153,4710,6525,8905,12478,10735,10050,5707
76,12415,12589,10780,2644,6849,686,5652,6579,10857,12207,1770,760,4315,10541,109
77,438,2509,868,12447,9435,3853,7589,12265,8657,12563,7501,9289,6339,3717,11357
78,6125,4779,4441,12417,333,11606,11619,10619,7050,9682,4363,3968,9055,2742,4475
79,5161,26,4045,6491,11249,5415,482,28,2241,11425,2364,1705,5211,9634,4271
80,8683,1211,3356,4164,4552,11811,3924,9905,4704,7497,12714,1525,6222,4491,11889
81,2023,9054,1526,11688,835,5701,9289,8684,3424,8947,7155,6851,12819,6262,4802
82,11427,1784,2868,12573,6143,3354,5739,1602,6529,8817,12637,7320,8038,8245,7333
83,9982,11605,9241,8226,1622,12758,798,10348,1991,4737,9966,9987,3684,13249,10766
84,11294,11095,7318,6582,18,1455,282,12536,10330,3600,11973,2472,4096,10132,12639
85,13300,6549,10441,12639,10406,487,6925,6621,5293,4415,5599,3136,2604,12386,9004
86,10477,12457,7161,4040,4695,1035,11014,52,3357,11807,6115,11099,2947,5889,3186
87,1622,6920,12593,8046,2539,11638,6235,4359,5118,4784,604,108,10662,11985,4791
88,7052,6827,6530,8708,1617,8629,940,4749,11971,9419,7904,8500,1907,9420,9117
89,11716,6487,10369,3226,5649,9350,10371,1320,8096,1322,12605,8133,11324,6400,9033
90,123,2862,10976,5927,9279,2469,7416,7176,4347,5592,4511,5840,10528,5971,8123
91,5956,4519,5513,4538,249,8275,246,7894,2164,650,1267,5390,1622,28,11658
92,12120,7714,5156,12258,4814,9680,968,9105,2022,3928,1294,3576,10895,3507,11655
93,7343,7252,9846,7563,3023,1765,8655,2840,11985,12072,9127,11655,2251,9201,4079
94,12368,11301,7202,10502,7038,11343,9537,12359,4863,11113,12644,697,9380,12842,1382
95,4905,12192,9607,13296,6338,6366,11731,9487,11333,3309,9794,11684,2295,6715,5325
96,5473,179,8020,4430,6891,12175,145,373,4036,4735,10870,6031,3491,12622,2215
97,12261,13301,6543,8188,4126,12061,3314,4868,503,8339,705,11290,13298,9562,11267
98,108,1692,9756,1622,12343,9038,8706,10662,9280,87,3464,3255,1308,10187,7328
99,11095,3600,11294,10266,8965,9598,12536,1669,282,5249,804,2048,1268,13050,5199
100,7174,9951,3136,2997,2341,3222,8058,4604,6409,4182,6549,6235,12517,8238,12020
