,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2242,7472,6138,9014,12514,8349,5067,12605,9060,5114,6087,772,12130,1774,2942
1,2177,1788,5811,6365,10407,5385,7473,2282,6448,9481,2627,3449,1346,12514,3402
2,5375,10486,10480,7887,10481,6095,4571,11395,12967,9108,10458,11370,3126,2845,5721
3,11685,2398,65,7487,1947,1061,6006,5334,8723,5752,5790,11473,6154,8637,2649
4,6313,7605,5839,7674,10879,6497,2728,12662,1274,2384,5235,7856,7654,10220,7283
5,3528,1204,364,3493,8862,4893,12451,3257,8932,8323,11981,11524,6248,12479,6795
6,9385,5950,8899,37,11969,5123,9044,10571,8591,9887,12134,2680,26,3133,3480
7,6229,12170,803,6417,441,2403,9540,5543,5154,3620,13017,3498,5634,11604,3907
8,181,11650,2530,8752,1225,1170,4621,12049,13067,3237,3097,737,6182,538,6569
9,5479,9025,847,10570,2146,2929,10687,185,3248,8344,12614,292,7907,11029,1044
10,7029,5245,6927,398,7592,7566,12090,6330,12876,7584,122,1090,1358,10428,1354
11,12358,10216,3051,2605,2279,2380,5196,10651,11786,2563,8184,10656,1098,6651,9237
12,11778,2550,166,11675,2806,13060,8509,3127,9343,6979,3526,8959,7916,8854,3375
13,11158,8233,2609,1850,8389,11933,1213,9328,7113,2246,10859,6349,12702,12070,9465
14,8246,4748,11091,1969,496,10215,3595,12223,12396,6391,8996,1952,4154,9050,2377
15,2608,2620,3304,2944,7242,406,2796,6346,2079,888,6695,13066,651,2827,12636
16,10200,7941,10175,10969,680,6236,4833,3236,8881,7556,2494,8344,6467,4537,41
17,12087,7164,3281,3504,8225,6619,8591,7839,9302,7177,4327,6652,11300,12083,8596
18,9670,11730,4863,2584,9925,11600,12027,7759,6779,39,7810,5554,11255,2630,4133
19,2178,3891,8651,10332,2095,8160,6868,2289,1671,3301,9528,8560,955,9179,12396
20,4383,3884,5875,681,4585,1375,8802,3923,1752,9514,5387,4076,2699,8905,6968
21,27,11956,10680,10372,8921,11334,1665,5357,28,1133,451,9531,1510,6785,518
22,11370,4569,5699,1517,10480,2548,2149,1173,10481,897,8843,437,4376,9567,11395
23,10376,235,2972,2680,41,10377,12455,7359,2420,7093,12304,8695,2673,6006,10761
24,10222,6152,6253,9127,7246,4231,228,12447,5805,9035,8272,11629,1437,7945,106
25,10500,4373,9499,5521,925,12391,10907,3830,8856,4861,4675,8958,1639,7727,1246
26,4252,1440,3485,4156,5817,8282,11458,7515,8540,4603,7877,6836,2062,2248,2421
27,8504,6565,8328,2293,11625,5414,2975,10917,5547,3857,4299,9045,1531,9984,6758
28,5385,5751,5336,191,10958,11241,7470,6616,2793,4613,6448,1,2588,6418,5926
29,5884,9432,872,2106,4721,2984,8668,3841,9010,581,911,447,1083,12276,6840
30,7235,5357,10734,9544,3247,7604,6015,2788,5811,4419,6250,12142,4536,4613,2429
31,348,557,8783,4316,5297,11435,4315,10464,5151,5801,9659,5359,5336,8680,5358
32,10854,8788,465,9610,105,5037,11711,734,9003,8215,3606,5895,12442,10837,1737
33,3003,10740,353,882,3320,8021,7515,5861,3485,9237,10560,11502,9251,2605,11
34,7217,5783,9160,952,4723,10841,10318,6340,11107,5581,6145,7449,12385,5103,1217
35,3803,10128,11466,49,11407,6401,12964,1896,12640,2603,8956,12686,10287,4244,7213
36,2450,10328,10868,6064,809,4799,8507,12050,1294,12922,1452,7951,11761,4720,8411
37,6128,11846,7359,353,4252,11405,5421,3570,11970,4147,4251,4156,4354,4293,6370
38,11158,12382,10922,12702,6349,5598,10859,8389,4643,11933,13,2609,5616,2246,6633
39,379,8766,3524,1514,1419,6779,12203,8762,3501,1439,5209,4523,9073,4559,42
40,5981,3937,7625,9921,10478,1918,2783,12644,10132,632,794,3464,7094,13041,11975
41,101,9216,897,7738,12363,3320,7556,574,235,6042,7983,12375,2946,12304,11948
42,1419,720,6779,4788,4016,9073,1643,9419,4776,3471,3501,10430,5618,4449,4385
