,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,11855,4810,9224,4526,12158,6047,3696,8426,12595,9108,6912,11639,12554,10837,2371
1,10480,12593,1933,3586,3585,6575,13506,10151,7875,2892,681,9616,4801,2775,995
2,9409,5981,5566,10799,1370,9841,11363,12967,2371,1372,2262,4902,5565,4810,6738
3,2427,2426,481,4437,3420,11544,12564,12595,3530,1002,2075,12158,2410,5285,7026
4,7834,11530,6501,9026,11272,10690,3669,1964,5367,12134,1959,7945,9282,8522,7460
5,1236,8554,7016,6697,10946,3659,2214,9589,11615,5750,930,10218,2220,9902,3047
6,1467,7792,7001,4514,557,6994,10543,5179,1281,11591,554,11588,407,11587,5163
7,6491,2130,4528,4036,6832,2357,6086,12683,12450,11551,5007,13360,6487,8438,3724
8,13535,8882,3915,6957,259,12718,2621,5219,5753,3973,6368,4841,12726,12976,7377
9,7800,866,8424,9370,6380,7470,10957,11193,5846,6252,7531,2230,976,5400,277
10,12007,12845,9897,13480,7597,9746,12731,2149,2889,3868,9745,11483,12849,3306,6058
11,2198,3165,5388,7438,6893,10683,8633,2354,8903,3052,521,8674,896,1565,12633
12,9191,12107,2669,6422,11021,6759,3642,8270,9695,8508,2524,12217,3028,7302,2915
13,12428,3022,12804,3474,8003,2017,8726,2336,9681,1227,5849,13163,2221,5382,12830
14,8541,2028,3712,13543,7665,11481,10598,4117,11999,9388,13037,3635,12314,5426,12189
15,2705,13534,2061,6537,7656,429,2717,12813,12704,2908,4771,12698,7482,7850,10428
16,8773,4966,12181,6533,5543,10298,9888,8293,5400,13175,13373,2283,10544,4912,6381
17,1675,3144,3404,91,2931,6528,11226,10678,7402,4242,11234,8910,8520,1952,3035
18,7001,11872,5506,6584,2083,4625,12581,9463,8378,6684,12449,550,9218,11572,9434
19,8508,13528,965,4099,3859,4439,8369,5026,11021,6759,8671,12,8000,7118,11596
20,12968,7076,4551,8461,10544,5516,3175,5507,11363,9252,5361,9057,11573,4902,5543
21,24,2800,4464,8234,11310,3856,4389,10124,465,11377,12274,13110,8389,3176,12480
22,6338,7486,471,4001,10670,2586,12717,11979,2969,9150,9540,8990,6652,51,3288
23,7403,6404,7103,7323,8482,6403,6568,236,7938,12566,6384,11186,3222,1992,11456
24,8234,12612,7093,2907,7398,13110,363,8051,12773,5719,6980,4366,10124,2962,9308
25,3699,1201,2768,13002,2206,9314,12968,3558,484,3186,4128,1154,10556,2437,2286
26,11742,11872,8751,12641,7067,3846,12293,10265,11789,8493,8986,6127,6415,4087,730
27,2861,10130,1520,11625,240,2684,28,5273,6032,480,1154,7356,25,484,1463
28,2861,27,25,1988,12981,13386,10130,3765,6032,9564,150,2206,1463,8430,5273
29,3590,2694,12570,2015,6429,10030,442,5703,3637,565,5494,4439,1495,7616,5512
30,7653,2983,12472,5962,1375,9977,11244,9117,11552,9266,4887,12143,11225,2035,477
31,8778,4677,4678,6395,9855,1722,5926,4504,9487,8330,8592,7550,7198,1246,2310
32,11979,1401,537,6542,6181,13047,11041,5388,7711,8920,7447,12711,3426,4529,6762
33,8206,10999,12888,646,792,9506,4877,11804,4565,8513,12571,10393,9301,6330,1225
34,10508,11823,6213,2839,3929,4549,12841,8178,1763,5414,799,12173,10404,1568,8266
35,7211,3126,1548,9109,9887,3578,13408,9042,3047,930,10603,11898,5849,7719,2913
36,4741,13375,2565,11888,3031,5567,10901,500,12528,8981,11264,10683,12388,12923,12373
37,10278,5999,4790,11554,2707,3426,7497,3177,5409,1047,12636,874,362,8384,11237
38,10522,3745,7473,3077,3756,5881,564,8718,8336,8310,8350,11563,10480,11938,6795
39,1574,702,3617,7774,6933,7047,11601,2787,5524,440,8381,3619,11872,9218,7081
40,7205,5498,8200,9187,681,10512,2642,467,8981,9695,865,4565,11308,3859,3500
41,7205,1785,7725,9299,10725,12056,1591,4595,4019,9187,7398,3090,9308,9227,13335
42,10480,131,8718,11878,9060,10151,4646,9041,2775,3483,13528,2238,546,12160,7528
43,10326,8949,5821,5745,9097,2171,5833,3833,1491,9207,11926,910,6162,3823,4910
44,4095,1507,6362,9314,5566,10799,11891,4040,12967,480,1201,6785,2902,484,5642
45,11440,6526,4288,5308,7211,10291,936,1117,4399,11302,4221,9380,3780,6645,7798
46,10436,11618,10368,4203,1581,299,2074,9956,6670,11098,8340,6326,6197,4541,1097
47,119,9587,13482,6431,11410,10160,9990,2851,1907,5778,7650,8650,1233,8572,7299
48,7106,4751,8601,3469,12704,7439,7665,1441,10597,3556,8445,7131,7656,5828,11429
49,533,12047,3022,1227,2830,9852,12804,1459,12035,5045,5999,3317,2336,6507,1047
50,2700,6077,9029,7452,7930,6598,169,7658,12363,11886,13431,12192,9294,8476,467
51,3446,3474,3290,96,3031,9853,3357,471,3323,12830,11264,12877,8454,13539,11237
52,20,10754,8286,647,133,6137,2689,274,6340,12846,11131,8789,2811,5712,1198
53,1307,11591,10543,7001,10227,11587,5130,11588,12049,4388,2235,554,4391,9004,5640
54,1396,476,12663,13201,13518,13458,426,13137,3164,6701,2539,13061,3685,9247,12292
55,4794,7417,2532,2841,3352,11620,1557,2971,11821,9777,7063,6412,10280,2881,4285
56,8667,2253,849,2452,13508,2942,7584,808,3139,576,4884,11331,3619,3256,3929
57,621,3572,7142,4812,151,4457,2636,7688,13178,9191,12816,3642,8508,2669,8270
58,9047,7630,3766,11106,3337,2846,7371,3732,6679,3238,7621,6265,1214,2502,4770
59,11594,6035,5857,2294,3961,6982,2703,12317,3487,4659,4156,3050,11454,12411,1893
60,6530,1313,12693,4163,11614,3514,4762,3014,3015,5348,2891,10795,1317,475,2817
61,6915,5142,7873,8295,546,5972,8458,13460,1949,224,3204,1786,5257,9309,12695
62,11425,11647,6884,5769,10354,11378,9742,4908,3166,3265,2748,4287,10819,12465,10437
63,11138,5671,1600,11934,983,8195,12748,12063,4597,10502,4465,9800,1675,7329,7396
64,3022,2336,5999,12036,9818,2919,12035,1459,10278,11039,2830,6951,1461,13436,1047
65,13016,4524,598,684,2243,10444,4415,12402,6221,677,10804,1222,5414,1170,8817
66,11946,7270,8299,6536,2456,3181,1346,3953,5579,602,12006,12395,11671,4113,6458
67,8935,8032,10611,11100,3440,417,11084,3635,2363,12282,4544,12377,12905,12200,4223
68,12154,9913,10034,10848,2200,9075,2161,6372,12745,2682,5816,6368,6792,1536,6115
69,11265,724,3047,10778,354,9752,13210,10298,6252,828,3213,8078,12380,8397,10155
70,9497,1342,9099,10324,10741,6044,5790,7151,280,9482,1608,12559,6505,3236,12908
