,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,7447,2808,7712,9034,4715,3281,1460,1528,1770,2775,8763,4869,7283,602,6711
1,4342,8990,7755,4635,7773,9193,7439,7710,4943,5668,2002,984,4620,4633,7892
2,8271,7527,1791,4255,3624,9965,4848,2760,9249,4094,9533,6360,8334,8355,1717
3,8834,6239,9480,5145,8377,3933,7596,9040,5612,6414,9552,6417,2513,6899,2876
4,402,8516,7205,80,1737,5519,1228,9692,6735,766,488,7175,4235,1546,9704
5,2478,9536,10550,9736,3089,9908,9330,829,6450,10364,7337,10181,2524,5765,10031
6,5812,8734,9749,9442,2991,2520,4885,7827,1027,3742,467,218,154,3940,6352
7,9296,1231,71,9666,3839,6488,770,886,8583,4495,3879,8372,6879,6463,1668
8,5723,4233,7460,7657,8320,362,7193,8014,7578,3158,9122,664,3221,9988,7588
9,2480,8649,9002,1723,5703,8371,2261,738,1939,9458,4449,743,1800,3550,5796
10,7603,9458,10585,9536,2633,8635,2282,5786,142,8470,9715,7610,6520,9085,6716
11,5357,4491,985,8889,7936,455,1197,2241,7045,3194,4473,7512,6911,930,10300
12,2114,7598,5789,1509,9996,8172,8814,10022,9054,6738,2115,6732,9654,5176,3300
13,6740,3217,8556,10029,7810,431,9004,1608,5858,1954,1595,5205,8306,7743,10103
14,2113,10591,5897,6174,9748,5174,951,3060,557,4366,746,2257,9932,3944,8681
15,6565,5357,4565,9522,904,6233,341,8903,6811,1595,9863,6911,9928,4829,8313
16,3661,9729,5943,2499,5504,9401,5587,1147,9503,6826,3542,1533,8339,5885,1423
17,3808,8871,471,7139,1103,8757,1105,9080,3307,3839,1481,3154,2923,5447,2919
18,28,394,25,29,6974,5885,3325,767,27,6614,3490,593,203,8818,8477
19,7709,6437,6585,6438,3065,4177,7708,5064,9219,4585,6938,4621,1748,4620,7755
20,5992,38,2423,3280,161,7141,6311,4137,4139,34,1690,205,7793,8441,946
21,5652,7503,7331,8178,9925,5818,7717,2234,5650,9602,4665,5009,7919,9058,4239
22,21,6338,1308,1046,1982,10564,5007,1795,4950,4143,9542,3055,2954,81,6229
23,3443,1636,9961,336,4352,2842,2178,6433,1765,205,6883,38,1690,6076,34
24,148,568,10029,2275,10184,5344,8547,1413,9837,3829,10462,5360,1539,7930,5634
25,28,3192,69,9201,6711,8763,3676,6327,943,4121,485,10123,10101,4323,7687
26,9542,7842,5068,6333,195,21,9517,5818,519,7332,7523,5831,6133,96,1210
27,1974,4306,28,5739,9301,203,25,1102,409,943,3102,0,69,7791,1165
28,25,27,1165,3676,5739,7791,7687,1197,69,8763,943,9301,6711,409,5243
29,0,2808,3281,7089,7712,3325,6891,3490,7283,8522,2639,4325,2397,7361,10027
30,1855,3676,8763,29,10393,128,7177,2956,7223,9506,1862,4002,10176,3739,28
31,9588,1550,7129,10146,8625,9117,3443,8576,7312,7046,6114,5402,3442,4905,9678
32,8228,3094,6353,10266,44,6230,5997,8366,9641,10513,10529,7384,8187,141,7321
33,7743,5361,2478,8733,7939,2816,2371,4376,2926,10252,7397,1869,10470,9069,10038
34,38,3443,3442,7514,3245,6522,9402,4465,1121,6310,9117,158,2842,3524,10146
35,9054,2115,10022,10278,8814,9996,2114,7598,1509,8172,9654,6738,12,5176,4027
36,186,9093,9503,5504,8217,9497,2188,3892,6548,7095,4735,6218,8185,2499,5587
37,5129,2478,3089,3656,4244,8997,4664,67,8517,2524,7459,6093,9679,5099,211
38,34,7514,3443,3442,89,6310,6522,2583,5774,3355,1767,5190,5992,2254,8234
39,3930,1134,5943,7416,8501,3602,1533,8235,537,2262,3542,1650,6379,6870,5504
40,485,7282,6657,9201,4418,10101,2203,4801,2270,6327,1790,1213,943,8896,10123
41,284,5616,56,9205,5244,1441,4086,9208,8393,3340,7070,478,772,7499,9304
42,6017,101,8944,357,9829,8772,6996,6511,1756,7315,5212,622,10318,10046,5207
43,6126,5599,8305,3944,3736,7838,8306,8567,7783,5861,3826,3949,5679,2753,9154
44,2108,10266,6230,9641,10529,6024,141,10513,3094,6353,1847,9165,9293,2936,5665
45,2704,2583,6210,7021,499,8868,7873,4905,354,6743,7875,9361,9863,2726,134
46,3294,2747,17,6617,10028,563,3741,2154,3021,3853,8686,3247,7192,3754,7841
47,737,8171,4250,5109,6299,4886,10596,1329,3598,1932,6719,9191,6535,8852,2450
48,2827,9208,9497,7943,5240,8877,571,7078,4639,9209,5745,701,7053,2852,2938
49,2812,2020,2271,4521,9841,8849,10005,4085,510,7088,3772,8410,7232,5417,126
50,7273,342,1209,8817,7994,9872,1181,8154,4524,7099,4412,3475,2507,7478,2384
