,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1532,9644,10631,8159,11441,5968,8733,9178,3119,5841,11342,4353,7892,1550,8303
1,171,12078,1667,2052,1754,5594,5165,8847,3735,1701,9185,3081,3274,2154,11692
2,10139,4366,2412,8084,9272,10377,2413,3424,4364,8292,4181,5492,2535,10144,4946
3,10038,4400,1987,2540,5494,4059,971,3306,11299,7121,231,9857,7297,370,367
4,10519,6088,6670,12523,10758,7436,5620,1775,8709,8193,7365,7986,12010,2864,9232
5,1160,10134,11509,5318,10423,8520,6558,8536,3659,3898,3108,2007,7757,7316,11789
6,4402,370,6379,689,10860,11563,234,10002,4059,41,11564,377,11561,8226,1700
7,1979,4108,3627,5403,11286,8029,6186,689,8259,5722,11565,510,10406,12514,951
8,2394,3088,4486,5958,11264,3400,6189,12086,11637,6907,2240,11004,12619,3719,3185
9,816,9908,5970,3302,2682,6116,8755,7158,2335,5439,5393,7296,4271,5327,7047
10,2901,845,851,6746,11935,8950,10710,9891,1058,2245,10296,2429,7945,11395,2788
11,11387,2440,6876,9047,9041,7973,11290,3366,3091,2295,7744,6334,8590,9747,162
12,1731,1168,7991,8142,3154,10495,1150,6880,11759,12141,9164,11527,12270,3875,8276
13,8003,3431,7176,9314,8061,1832,10712,10189,6168,6967,11968,9890,3957,3775,5420
14,2471,7348,6464,2797,12618,8131,408,629,3155,8704,11512,2482,8744,7010,2926
15,3295,8711,8086,3166,7687,1143,4189,7689,11086,6748,3659,11087,9616,9113,5722
16,3132,4132,6935,8443,6571,2793,11101,10228,2677,8336,1558,11671,5454,2765,424
17,7093,9644,9526,8495,2885,5650,10573,6995,3780,5355,6151,9615,4309,1799,11643
18,7058,4868,869,6255,7921,11323,3766,10094,7710,9425,9271,6475,12159,6969,7142
19,8612,74,1122,8720,4017,4544,10939,7841,9791,11705,5970,5159,12591,4293,3832
20,7210,6113,3474,11884,1429,12088,9161,3373,9987,2606,9365,7733,8614,3622,11711
21,9330,10986,6377,10141,4389,7714,1140,415,10377,9173,2547,5583,7824,5152,5187
22,10041,7121,11214,689,4059,10042,6379,11871,41,10401,234,3847,370,9206,7784
23,1494,7328,24,8404,7805,8853,9555,2943,7657,4097,895,5098,10258,9621,7170
24,6214,746,8926,7392,6068,8532,1494,1200,3534,10885,5295,183,1963,1038,4097
25,4057,1886,1358,10212,5304,11448,530,11338,3959,3328,7281,39,8683,355,3911
26,7827,480,11214,5722,5059,6059,6102,11394,1774,1603,819,6715,689,3074,8774
27,9955,7969,12078,12077,7235,6222,2565,5165,12327,10862,3634,602,3062,2154,5323
28,447,2473,8941,5669,10946,8192,11394,6647,2375,7412,5749,11451,9457,3074,5931
29,465,7655,11091,4998,1966,618,1967,299,3744,9363,4881,3497,8383,3523,9185
30,29,27,9151,465,673,8383,7525,4093,43,1966,2037,7655,7539,8185,11091
31,7317,4120,4913,8112,7323,4927,5135,1680,4121,8184,8651,8210,1613,9363,1572
32,6156,27,10429,465,3320,9955,5165,537,5323,4842,7655,2000,4457,8721,2489
33,11563,1779,10860,4349,7645,3328,7372,8463,4408,4829,9634,377,7281,7784,6194
34,10477,6986,7685,921,5356,8886,8709,5925,6038,8677,5558,10257,3824,6115,1171
35,49,12255,3619,5458,9805,274,11024,1962,12625,4405,1776,4986,11510,11852,7397
36,2772,6360,10519,11588,10618,6662,2007,3053,1027,9232,10919,10956,12240,1403,11680
37,11448,3959,2548,4056,7121,10860,8368,4161,8226,355,2545,377,10212,10271,9295
38,11957,5372,10780,3900,5609,12270,10495,10559,2472,9164,1195,11221,11656,8142,9241
39,7281,7040,2545,1886,10212,11448,3959,355,9830,5767,2548,356,10503,7372,4057
40,5034,11713,6849,9733,11426,863,4237,449,12113,3261,4991,7752,816,5766,3957
41,3172,6066,3022,5820,11763,50,97,689,10041,8930,150,6379,10560,9123,11871
42,4213,37,4059,8368,8500,8090,1779,6920,7845,10860,1358,3340,3328,11214,1621
43,3523,12077,6140,12078,12327,12052,10429,5190,465,3062,2565,1701,8847,9476,2607
44,7395,9629,7225,10877,4848,130,708,12591,213,2122,5625,8763,10274,10516,4833
45,7806,11641,6504,487,2591,10232,12471,12627,285,11620,11227,5922,5938,3967,9235
