,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,8025,6732,8018,3022,5560,3025,551,539,295,7865,549,5148,550,4412,1595
1,4028,542,3025,8026,3028,9128,729,5387,8017,8320,268,413,4411,40,4622
2,10410,2194,9258,2319,9222,3409,5762,8016,5680,132,3690,3356,8501,6708,5304
3,5679,7361,627,8916,2751,198,1597,6721,6769,9152,3312,6575,7447,3539,6764
4,7451,8645,10708,8471,2043,6755,455,10225,5211,5702,4836,3586,4041,9091,2883
5,3872,2021,8025,5154,413,6281,8026,6732,8311,7438,568,4413,542,6643,3028
6,5444,266,7923,3852,9521,9747,2259,12,85,2235,230,2236,938,5313,351
7,6896,1836,3003,5417,9459,2168,5786,6550,165,5605,33,250,151,6714,5172
8,8467,8814,5783,4275,7644,3152,5918,8535,1985,2172,777,1986,5306,8506,464
9,9265,10243,10835,9734,5426,5791,220,9646,5790,2442,5860,6838,1640,4970,7612
10,1543,9229,6940,1864,9595,10515,6815,10075,5243,2436,6132,46,7822,1194,10291
11,6826,7494,3436,8719,1836,9810,438,10241,1617,8466,3931,2662,3820,5282,2931
12,351,2140,3515,938,5444,4637,9007,2293,2329,5583,6460,3761,85,3852,4781
13,2740,9998,3957,7107,5245,8530,2448,7695,8973,1351,2538,8474,9082,7125,6087
14,881,2915,189,2491,10173,9270,2959,7277,3691,6288,8670,8671,5777,8097,7368
15,135,6392,351,136,347,2490,2434,3852,3627,2755,3872,6643,960,8025,2252
16,3481,2931,8572,5261,8052,2454,2941,9403,4773,9999,7314,7445,7235,6065,6621
17,6088,25,10052,2910,21,2530,774,6536,6917,5748,6438,378,2384,8062,9727
18,3219,6844,301,164,6759,6655,8298,4451,5069,3323,3926,1808,9957,8845,2545
19,5666,7324,3966,10275,308,76,4436,9680,9501,1860,5355,621,6689,7205,3003
20,3520,9793,9577,3216,8414,5206,2853,2555,8704,3816,8739,741,1450,7435,9235
21,4926,8406,8248,83,2254,3895,5387,7965,9125,3394,307,5261,1899,3953,9474
22,8025,2490,3872,6392,2211,135,8299,3024,121,8193,3332,3627,568,136,2277
23,7748,9811,1395,9114,4567,437,8420,5337,7881,4647,772,8950,5894,6910,7484
24,12,351,2140,5583,3443,9007,2490,2694,3626,5444,8299,9893,4069,6855,4798
25,22,8008,5444,3852,5665,3165,7616,2287,2025,8311,230,8193,1186,6088,3627
26,7809,9904,3626,8225,7162,325,140,9890,2091,342,9901,717,2258,9893,2850
27,4530,7941,7279,408,9677,8720,285,4148,3005,97,730,786,3101,8486,6907
28,2259,8299,6518,8193,7955,3852,3626,138,6042,570,2490,568,4089,22,5665
29,3627,135,136,8299,568,8025,4072,3872,8193,2259,1199,7438,6392,3852,2329
30,9793,9577,896,8739,9235,7126,8704,3520,327,326,325,7119,8359,348,4128
31,1719,8780,8987,843,559,7422,9931,8969,4754,2174,7591,9497,6534,3908,4039
32,3155,3295,7114,3808,8827,2476,501,8391,1416,7488,9847,5323,4965,4563,7944
33,4397,6522,4346,6714,9320,7926,5773,5115,4836,354,1742,76,5885,713,2808
34,4793,9073,4273,2006,5211,3834,107,7063,1664,6349,9022,5239,1885,6975,2757
35,4876,2235,2234,3716,3278,15,3747,9007,4503,8248,6518,3509,3628,3253,3860
36,6281,9903,413,210,328,9894,268,4028,8418,5,542,5154,1,554,9746
37,4803,6710,9193,5399,2721,1791,5323,7425,2607,485,5175,1462,1096,1502,2916
38,4219,6640,3618,8293,2607,8851,7250,5996,4656,4609,6304,800,4426,7332,7448
39,10225,8349,6755,5702,691,10079,455,4836,10667,5772,2043,4301,1889,6560,8810
40,5387,4673,136,6281,4028,135,8026,2254,551,3025,3628,7028,8025,3022,960
41,7072,8756,9311,6166,1608,1715,3692,995,8488,1840,747,974,5209,2462,6275
42,4505,2259,2027,88,4089,5444,796,2694,8875,8768,230,1679,5886,3852,570
43,810,9853,928,5694,7890,3094,4352,8484,1145,7230,3894,8061,8194,2838,516
44,8554,10044,2302,1038,5858,7092,9093,5571,2771,407,10798,577,8045,6903,10557
45,5696,2791,5718,9459,8465,2806,9266,6826,9129,8719,6869,586,9482,9810,9622
46,2436,1583,2757,9595,6940,7059,5980,5861,9759,765,5216,5896,3821,8544,3663
47,2774,506,2649,7124,2794,3420,8003,4966,3210,10697,680,5772,87,144,8506
48,5655,7197,9517,8416,4346,2386,2875,7328,7624,3967,8411,6560,9102,4757,9501
49,9892,4002,2606,3962,1526,568,2694,9893,346,2246,6107,3519,3625,3200,7809
50,51,6643,8025,4673,284,6732,121,551,3872,2593,960,3025,6392,4093,3628
51,50,6643,3872,8025,4673,284,4093,2593,6392,135,6732,15,551,960,7438
52,4002,746,381,3962,5999,5273,7540,9892,3713,6107,568,2329,5935,3200,8880
53,8333,818,8574,7839,2147,4949,3682,10435,852,9023,1976,9489,3187,7270,2035
54,2721,579,8747,7281,7250,7502,4050,8206,3655,779,8857,4271,1054,800,4902
55,2877,6114,6613,2659,1528,5635,1623,8578,2823,1969,8675,9623,4971,7316,7336
56,4824,9519,1692,9769,2173,9415,9263,9888,643,6389,431,9926,4335,9813,8005
57,9698,98,4095,739,2755,568,2329,4781,7955,3626,3331,3780,8299,3332,2252
58,2436,46,9595,3821,9036,6940,7822,900,765,10232,6551,1864,10075,7581,6899
59,10613,8638,9187,7893,8957,8660,1094,8976,4978,4008,5183,4475,2856,1829,10302
60,9859,7314,3056,3650,7142,9489,10286,2931,7297,2389,7593,3481,4371,2294,1210
61,4426,5885,1105,687,9499,2978,7624,1258,5093,2664,5463,3415,3263,1502,9320
