,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4330,7286,3719,1128,11485,431,12016,6277,9376,6915,4323,7665,5146,5604,1005
1,589,5536,11388,6665,10817,9989,10603,1449,5418,11366,244,11365,4099,4158,1603
2,6551,10712,2938,5393,10963,2932,9319,10707,2298,10713,8867,10635,11299,10669,485
3,13376,6469,1234,1539,3461,3043,9928,12437,485,3050,484,9413,6847,4982,7159
4,2256,4370,6065,12580,573,2808,5324,7143,3288,7325,12629,11974,5153,8338,7940
5,8250,10745,13351,4449,13329,2184,1179,9924,3832,3747,9028,1239,10637,14,8514
6,13531,818,6459,4051,6827,3477,2642,4865,10695,5488,849,2680,2900,187,3928
7,2956,991,6428,11289,8707,7696,10777,4459,11538,280,11103,11220,12385,9647,286
8,2324,11992,7490,271,3653,50,2718,12957,4762,3491,7911,2670,7254,2951,9948
9,9230,8568,7261,9226,5799,255,8261,12377,10101,2688,10766,7397,3041,12897,3665
10,2289,6953,12571,11891,269,3860,6383,13194,11229,1769,10268,5605,6816,488,2842
11,11588,2343,2722,3035,550,12058,6047,12795,8750,1735,13155,13059,2057,13169,1261
12,3735,8599,10630,2032,12664,3658,6295,10457,12507,9420,3507,7840,11113,13029,8150
13,2721,13530,3076,6586,2063,2733,7537,11676,49,8306,11202,12986,9778,9073,1174
14,5757,5022,12596,9257,11907,12838,11455,4351,8708,4935,7377,10706,3832,4001,543
15,8951,5065,3168,5056,3048,8983,3504,11167,600,5052,4612,10152,7629,10964,6577
16,7218,9497,463,6975,8549,7532,1496,8807,10620,9295,926,4495,10351,5688,10230
17,5278,12911,2613,2106,9122,8146,10747,2581,11907,238,8514,11296,13520,1282,10704
18,1198,12953,11081,6151,6428,9102,1888,4355,3603,10145,2981,7814,11289,4167,7821
19,29,28,868,1132,2299,1560,214,3117,4904,11910,3079,9512,26,1636,1296
20,2531,5541,5254,6178,4228,854,12779,1845,5331,2617,9402,11808,2502,2084,1011
21,7728,12696,2195,7475,3404,3409,7341,3120,11089,9808,1571,2877,3873,3374,6427
22,8384,482,12482,9227,6421,3438,2205,5430,6050,11887,8709,103,4150,7276,1558
23,10170,10169,10171,1496,3700,10172,7203,6258,7450,3077,1335,2216,5982,10062,10748
24,5226,710,4500,12974,93,2821,9154,2109,2734,4981,9657,11065,11754,11072,5245
25,7921,7762,10156,2489,9423,10396,7546,3767,12186,12066,7976,9189,13100,3117,12191
26,4365,7778,5970,1603,754,4158,12953,5536,5346,10817,2885,8512,77,2382,9989
27,11764,12291,6706,11397,3557,6050,12260,103,4894,5852,6464,907,5076,9894,3863
28,244,5418,11388,214,1449,4099,9989,1,6383,5536,10817,77,10603,9988,4102
29,26,11182,10602,4365,8309,28,12953,12952,9845,4466,3950,754,77,5536,4158
30,8717,4729,5330,5346,4465,6313,5557,4460,9380,4466,5539,9984,4464,11994,714
31,7702,5220,11271,10903,3993,8715,2406,4587,6011,1022,2383,1544,2997,6173,11934
32,12153,3148,1229,7910,11467,2350,7893,11359,11699,7747,5684,7617,2532,9103,11788
33,11282,7828,339,374,8228,375,8370,373,7572,1622,5196,12288,6570,1486,1631
34,9352,664,1906,10733,5060,10964,3702,3034,7705,4584,9330,4300,12875,13087,8150
35,3943,10533,11837,290,2167,615,9413,7321,10009,8210,11397,4568,13426,5440,1005
36,12609,8482,11999,10836,4297,13139,2246,734,3726,11096,6488,12353,6106,8515,7030
37,12362,3493,2292,7380,11998,10653,11631,13330,10613,13059,8081,4807,3437,2581,917
38,11588,2723,10309,6047,3035,10712,12618,365,4815,934,9529,2722,12703,5434,12291
39,2809,12288,2539,5746,8742,7902,2807,12038,12400,371,6570,375,4302,4396,11415
40,3614,11811,3728,1375,6988,5531,6122,446,6694,10351,2436,716,5045,4103,7134
41,12427,2383,6153,6190,6669,7790,11711,13364,13096,12911,5537,9225,5798,7906,10619
42,12817,3317,12622,3081,10404,5859,5468,5277,94,102,9593,9861,8081,5190,11779
43,11677,1335,10062,10169,7450,3700,7203,4642,11826,11754,7337,4450,12279,6143,9994
44,5664,855,7033,1516,3091,9421,2023,2911,4933,450,2690,10622,5877,9987,3575
45,5671,3833,1519,3662,1893,6029,2825,10706,4926,6797,12648,7998,1947,7999,11434
46,6575,4884,7884,3013,12537,10496,5329,7447,12307,5755,13335,271,1172,10212,1963
47,2860,11653,303,2907,9802,6248,3725,326,6372,10456,4983,11195,2626,4405,2076
48,10970,11209,2869,12994,12998,907,8280,10156,5647,4033,5338,11264,12228,2245,700
49,11632,4358,10630,12906,479,10012,7715,12711,343,7840,6631,3576,9667,478,7039
50,2848,12897,4884,3446,4581,1240,5593,1062,12046,8887,4256,7261,8893,2934,9710
51,12354,2716,7707,6131,2118,11902,10978,302,10487,7039,10952,49,9491,12915,1620
52,3491,6269,2241,10086,3317,10088,4884,3013,2849,3730,2476,11105,2135,10050,10166
53,139,6851,4661,9253,8442,5358,965,11689,6690,6352,2611,6107,6672,7115,10036
54,9177,6029,9880,5125,11434,278,12576,488,11040,10817,4570,8110,2825,2829,1603
55,9488,12248,2107,6852,5530,3464,5741,13195,9563,9388,3046,4420,6487,1508,11721
56,11326,4819,7468,10751,10040,8085,2859,6896,4286,163,12310,9861,13363,11576,949
57,2259,7633,8641,9481,11837,3943,4424,3163,5186,6835,1452,10333,3885,4568,689
58,3592,637,2156,3329,8970,951,5240,10470,12598,7990,10752,11748,12113,2922,10715
59,3976,6090,11629,2303,11489,7273,6514,11134,5461,12402,4310,12523,414,7032,12314
60,11460,1335,4030,6579,8529,3164,11677,2838,2586,4125,10062,11012,62,1885,7875
61,6987,5165,1457,7921,6968,5810,6384,8913,11647,3981,13398,5623,7597,6021,3575
62,11460,1885,7067,9953,7048,12659,10463,7958,60,6934,627,9635,4657,12602,574
63,8482,7229,11167,11680,7115,7380,7120,11845,8256,1143,9953,11969,8735,12362,9434
64,1062,1447,7983,3446,1240,12046,8893,13431,4581,11275,12370,12824,11,5823,9628
65,13004,4543,691,5973,7768,11440,6185,9899,797,13268,12623,10198,6706,10445,482
66,10863,11113,7161,8095,12891,9127,12052,10919,7239,11457,8982,1273,5508,9068,3658
67,5833,5774,3907,10750,3783,7996,6738,9953,1561,6403,10873,11249,2577,766,5239
68,10279,11590,13041,11505,2242,11630,10102,3236,10330,12001,5488,13342,5745,13330,5774
69,3684,6705,12383,108,10717,668,7538,299,2017,12476,6561,9566,445,8468,6459
70,11282,8228,7848,2834,7990,8788,8942,10511,2862,10763,5196,7828,9007,10926,12146
71,7821,3324,790,1017,3250,5758,3351,4204,3485,6724,9249,2235,8758,7836,10456
72,9085,10591,6673,11611,746,965,10706,9177,8487,9368,708,4464,4466,5125,4070
73,1658,9298,12772,10981,7064,13184,8357,8394,6413,10294,10196,6585,12384,2475,10149
74,2717,12649,5803,6808,171,2575,7821,4204,5523,8461,2927,7007,11602,4411,10924
75,5016,11751,6799,6969,12666,2575,8866,10641,308,6541,12497,12848,3742,2222,5066
76,12651,10859,9930,1861,11849,5993,4462,3207,336,7250,5967,2822,6179,6027,1870
77,4136,4466,5346,10817,5498,4460,4465,8998,9380,1449,4099,1857,6665,5330,4365
78,3445,4258,9253,7706,4656,2220,10913,10038,9605,6385,8894,12697,1979,12954,12829
79,8895,11935,2234,11289,4930,9161,3514,7040,763,2021,9210,6428,5067,2956,3868
80,13330,11590,13505,10610,3846,68,3894,13538,9253,4379,5237,12523,12514,5774,1297
81,6530,11473,10372,12149,5502,9421,10227,10771,5142,5664,12750,7033,10568,855,11804
82,278,11040,330,3709,4070,5534,2829,8045,11061,9267,5571,11517,11497,1612,4466
83,10652,8482,9239,11917,7119,11159,6352,2819,10913,6345,501,591,4559,594,8735
