,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,9172,3723,6091,3561,7230,9764,12589,4041,12233,11479,3411,11961,10815,9372,2249
1,1929,2251,583,11385,9858,11553,11038,6065,1871,3687,184,9494,7114,11202,3066
2,10895,10902,10898,10899,10896,5590,5944,8233,10094,1290,5965,5386,11820,13437,4745
3,2784,4870,12759,6262,5847,4201,9211,8417,4547,2994,5958,7402,12223,12070,9050
4,13433,11560,12891,10632,3693,10631,9905,11465,7937,3143,6588,5399,10149,2918,12873
5,1235,3462,13385,7091,12430,11138,1527,40,8219,9614,10890,3995,4806,12423,9919
6,4783,5320,7678,10750,396,925,4648,9291,255,7882,5955,6445,2830,46,10328
7,691,5940,1201,5964,3893,11773,4213,4743,7077,3835,6342,1128,8547,3820,6
8,7116,9087,8685,13385,1620,8223,13028,6557,7423,11595,13265,8877,7364,12891,3277
9,2626,9111,810,13536,12520,2455,4063,10856,6273,3379,3707,1256,6496,7037,2296
10,871,3601,5787,11676,11450,888,2003,10645,7599,171,8594,9233,11101,9311,9397
11,5452,9786,1392,4175,3850,7226,7336,10795,12843,7897,2308,8237,13479,6513,427
12,3182,10628,905,1124,13070,2354,2662,9610,907,3133,11990,11062,8946,11508,11068
13,12216,12106,2673,9713,3075,8063,9226,3519,264,13529,8262,9222,175,10463,6849
14,3970,12843,2392,3415,5821,2545,12170,549,9516,3861,3878,2331,617,3764,4355
15,11581,2707,8884,4894,12377,9870,13179,5913,3602,8869,9309,10937,3449,10149,12802
16,8599,3739,10949,7513,8658,2032,11510,2289,9415,7730,4308,12510,7921,4124,4765
17,2706,2718,2045,3065,13535,6994,7556,6624,9385,7916,7055,8732,12354,12491,436
18,925,1112,987,706,13338,336,9419,1475,4098,11242,7804,9420,2696,10749,6291
19,11258,3035,6906,6615,3427,4495,6122,127,3159,1941,8953,94,5925,11163,13484
20,1483,1486,8910,719,307,4470,11906,13203,10218,3638,10414,118,3072,10226,243
21,12924,4553,9906,4605,12369,5285,5765,2986,10036,3873,4251,4624,12066,13418,11080
22,4372,4934,6112,6466,9245,10476,4667,12966,8429,4129,10083,11903,10,5362,4024
23,33,30,12677,10028,479,32,6330,29,1549,7470,1765,12924,2257,7863,1658
24,8186,9987,5627,3637,6496,10574,11798,1980,1555,1201,11826,9251,3732,2221,11006
25,2784,7676,9050,46,10793,4201,255,10794,4402,7402,4098,6262,9291,10574,11006
26,4722,5438,7559,485,4026,8717,12485,10016,11988,6629,9223,10691,8628,9185,9245
27,8172,10158,11171,667,10153,1414,6291,9980,7224,1483,2586,478,10154,914,8227
28,4413,10783,3779,3050,3629,7211,5764,858,1615,8997,2068,8228,12755,7845,1473
29,660,12184,12628,1952,2056,6332,11094,9182,13338,5234,2934,10063,11141,12601,5702
30,5350,8562,11667,1270,6646,12966,3728,6065,2807,583,7793,4093,3590,4144,11202
31,11758,9871,9340,6081,6217,12254,9802,6501,7238,7456,895,8702,9339,12224,1939
32,5548,1,11385,3810,253,5426,9858,9965,11906,221,6065,1929,1438,1723,2251
33,30,7890,5350,32,11202,4719,5658,5257,7876,1776,12966,712,10703,6065,8562
34,9959,4479,4144,4484,9376,12654,1819,5350,9907,4719,4481,5334,4688,4483,3196
35,491,5229,9994,11268,7718,2984,1361,9748,12894,1783,5727,2382,4639,111,3750
36,2544,4033,1843,4048,9274,934,4050,7991,12933,8239,11855,7890,7713,275,11028
37,7845,11280,2794,12033,7944,4310,2791,1958,8997,5603,9531,1473,6607,381,2068
38,9533,7531,981,11253,1248,8269,4911,11022,656,9346,6617,11274,13039,13040,6534
39,11832,10527,3948,300,13150,13101,2153,13451,13459,55,5447,12876,875,3309,9976
40,7781,4992,9905,3030,12423,1527,6799,1219,9614,2939,5737,3602,12616,11668,2938
41,12755,3047,4412,2794,6597,9318,6449,2791,7676,8228,9967,255,198,11280,4524
42,11581,2708,9871,11758,15,2707,5080,6078,6501,123,13166,9421,6004,31,4822
43,7592,5764,8782,4974,7590,4310,7845,2515,347,2068,8997,4413,6607,12283,11410
44,7845,4310,7590,2791,2068,12283,8997,10559,347,2794,11585,7944,5764,11280,6597
45,11831,3606,11330,6223,5921,6237,10794,369,2170,1169,3055,3940,3032,6664,12955
46,3466,10793,56,3311,7676,255,12628,919,7402,7964,12828,424,2886,2784,107
47,7471,10153,6176,10152,1414,1319,914,667,4188,7224,10452,10158,10042,7297,4102
48,5681,11217,1499,3080,8075,5819,10619,9516,2595,1956,5821,10078,12470,11532,5799
49,5688,12935,1871,6001,11491,3388,583,9494,3066,4153,5538,1929,4093,6065,8016
50,4894,729,5489,2230,940,13141,6734,7783,9603,13391,230,4756,2961,485,5333
51,3243,11647,2846,4799,5142,10447,6263,6757,2315,11124,8395,6413,1893,9560,9238
52,2856,756,9322,13007,4640,588,490,7379,897,6789,679,7715,7372,6678,10969
53,7177,7856,10626,12501,7202,11720,11625,4786,1419,482,10024,13175,3488,3507,688
54,3022,8884,12053,1049,6594,7719,3449,12041,12239,548,1435,1225,2834,4594,11534
55,12352,13210,2701,11898,311,6163,4405,13150,1954,13453,7997,7256,7723,13101,173
56,3311,3466,3493,424,8952,12628,596,2225,46,4284,6409,3831,919,7964,12828
57,22,11108,10344,8344,10779,10013,12732,12738,7357,9359,11397,11335,8361,9400,6437
58,2068,12283,6652,8997,7592,2563,4512,11280,2794,6607,10522,74,7845,378,11097
59,2092,10443,306,5759,1377,8787,1398,12243,11178,6882,192,977,9279,7664,3836
60,4826,10457,898,12086,10753,2057,7185,778,5475,8014,2325,866,4800,6929,12704
61,2242,3154,6600,8719,8637,488,11785,2531,8607,1371,9424,11349,3146,8634,8978
62,636,4844,3595,11319,10021,9031,7632,12364,2582,6536,2341,12814,611,7940,7214
63,7122,3063,1183,7463,7549,5822,2029,3586,4500,6783,1673,9791,357,10817,4091
64,6123,3983,11622,9243,1881,7058,8062,12308,2285,3153,12397,12403,11483,2386,4691
65,7111,6155,4428,6998,8695,7899,13278,5637,8841,4387,7937,3578,9898,4596,3548
66,3009,6968,5411,112,4291,4653,11135,6760,4471,10386,8361,11403,6906,2751,8817
67,4495,9820,11944,11286,1169,8328,1130,3035,7249,4628,11163,9201,9574,11258,519
