,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3743,3010,1217,8215,3153,1597,1596,7226,2242,3612,5315,6478,2882,3951,6095
1,2125,920,2363,2616,2937,2990,4136,7360,6653,1547,1574,5331,7364,1133,6216
2,697,6571,3936,896,4597,3945,7624,7406,932,3582,6037,6050,6084,6248,8231
3,3153,1787,2247,6478,7739,1712,8281,5504,2468,6162,2242,2581,3634,7508,8889
4,7934,4394,8265,7995,1161,2532,1606,6273,5068,6167,4037,6515,7762,5820,3869
5,2835,6086,4237,443,7362,1388,3815,6436,1672,7166,1299,2372,6732,8210,8754
6,8228,7717,6013,2300,2202,8061,3225,5646,5883,424,7929,5027,3828,3519,3191
7,4610,7929,8256,2022,1145,5741,8880,7680,4377,3882,8768,8038,4756,4920,7646
8,3872,8080,3420,4433,8171,5446,514,8549,8091,1777,4260,5995,3537,1394,8772
9,1776,2013,498,8436,1920,2833,768,5972,1258,4934,671,2052,7238,5351,8083
10,864,8477,8092,3779,4133,6728,2877,3055,8175,617,735,8526,6993,4473,1385
11,7490,5379,7209,4870,4751,8390,4916,2935,3519,5190,1660,6990,6497,2202,5716
12,3818,3827,455,3709,1870,500,1693,61,4997,4061,3412,5548,7066,2019,2624
13,1977,283,6859,1559,4736,6620,4689,4594,2544,58,2269,5226,3772,867,2712
14,518,3007,7094,7493,4315,595,1679,6223,3249,609,6783,5483,5122,7107,1744
15,315,8006,422,1033,1101,3974,6155,6316,8030,6677,4239,4198,4134,1778,2558
16,7023,705,5736,2913,4806,6066,992,4943,7944,6007,2169,8111,6523,674,4997
17,6197,4581,5348,7859,7434,2622,217,7160,4248,8091,3284,6535,458,6007,4769
18,4473,1323,6204,8689,8674,1342,6132,6631,7918,7764,864,8866,3657,4674,4867
19,1574,8488,1874,3925,2990,63,2125,2377,2210,512,5330,4136,1366,2363,2389
20,1079,2666,3591,4834,6725,8516,479,4665,4703,494,6179,6029,4007,6150,1330
21,976,7559,8276,3976,8487,7353,7802,3022,2728,1892,6551,955,2222,2761,5857
22,4340,19,3471,7805,3669,21,685,7077,3925,8487,2617,2377,6115,1270,2883
23,7353,920,688,4482,1268,4561,2990,5857,6653,7616,8487,5331,7360,6798,3669
24,5036,7954,79,444,5482,6025,8436,3587,1021,519,1911,8123,5216,5972,6097
25,4145,1148,6216,1222,4854,1218,7097,3510,4123,1763,7773,4549,5919,4393,2597
26,6489,5993,7180,4883,7693,8537,5523,7923,772,636,3452,8400,6465,8031,3321
27,317,6672,1346,8201,178,8308,2013,7238,2000,1036,7392,1911,5658,7534,671
28,1502,653,7664,3191,6029,8400,2053,1436,1893,580,4021,826,4125,8481,870
29,1987,4256,479,1965,1252,8183,7355,8699,7735,4422,4295,4413,3162,7442,5505
30,6716,3284,8754,4005,7939,5348,7479,2372,2270,4407,8549,8405,4433,6515,7169
31,7621,7993,5604,4665,7396,301,8255,5728,7628,972,453,1864,3928,2666,1522
32,4037,6823,2548,8643,2878,6760,7643,6175,1376,5697,5492,2035,1816,3459,6958
33,3634,7886,7937,2843,3931,2023,2729,7804,2031,7437,6277,3095,3620,301,4719
34,3030,5344,275,4152,1977,5434,7762,2991,7715,283,5524,3772,7645,7025,71
35,7288,8830,2032,8267,8433,8398,8584,8100,1522,1729,3332,4867,8494,6210,6629
36,2254,5783,3690,2538,1653,3742,2124,965,7356,5693,3646,2636,377,1256,4858
37,3718,7366,2431,836,5074,3738,3266,2315,745,695,4296,3933,6911,3101,3298
38,1892,7802,6942,8487,5725,3688,3615,2222,135,5319,6588,5857,372,3253,7207
39,398,5501,1850,1151,230,5726,2264,2119,1578,4422,7543,2411,5767,3187,4665
40,7294,3283,7698,2237,2127,2480,4180,7954,4191,228,601,8888,463,8094,3613
41,4682,8551,7534,2834,5655,4685,8308,3569,5351,8186,2013,5032,8422,7812,5695
42,4575,6839,7322,3882,7909,6134,7826,4407,1900,5308,7883,4920,954,3044,159
43,8159,5017,7797,5534,8084,2281,5308,2585,2879,2462,2834,8812,42,5654,8647
44,2300,2171,2279,5892,404,6528,616,7414,1981,5942,4322,3043,1463,3828,570
45,5227,3234,6885,6867,1410,3292,6732,2859,874,5298,4283,92,4103,6847,6605
46,1836,3962,7246,4455,2329,3626,7513,2681,3763,4628,7559,6107,2363,6722,6260
47,52,7530,8774,4343,6289,8562,7374,721,1884,3310,7994,809,2445,2338,5126
48,283,3030,3672,4209,1308,7715,1977,4152,655,6868,5665,7184,6556,83,1738
49,5717,4344,5645,2921,6245,5786,4966,3371,5663,7971,7587,28,8537,4409,6903
50,7439,6885,5381,222,7497,5929,5762,3076,7034,1685,7964,7102,771,3376,6257
51,4410,1906,5800,3994,2052,4592,8186,6866,7067,3856,489,3285,5561,443,6123
52,7530,47,1545,863,8154,3108,7374,1884,1732,2719,2445,4521,5374,8774,7570
53,8852,772,8830,3694,8816,364,3218,702,144,4562,6764,1295,7923,8794,6431
54,5123,5174,5108,2484,7900,7271,6075,3068,7049,607,3660,6282,7893,8082,3043
55,2099,7837,6763,6150,4207,4522,4396,4265,7258,2193,1247,1426,1248,6696,5133
56,8402,7166,8305,8123,1616,8406,2559,7163,5173,6590,1021,8094,3804,3044,8199
57,5529,4689,3144,8372,5226,7155,6533,275,4709,461,2068,1410,182,7004,8041
58,6859,2269,5434,1647,199,4736,5524,1977,5713,3080,7338,92,4594,1559,13
59,7543,4974,2319,6286,1941,6008,4659,4324,1469,4308,7709,5362,5190,1309,4925
60,5674,2163,2376,625,6295,4827,3647,1025,1316,2973,5981,3773,7680,6570,6157
61,82,8025,4128,1079,8579,4749,5983,8516,3023,7054,3612,1864,2664,3663,6150
62,8406,1672,3613,4235,7094,2795,5216,6201,8085,1920,7755,1744,2237,8479,2052
63,512,8488,920,2883,2210,1574,2694,2125,1483,8487,2377,3022,7364,2363,2990
64,5852,7169,1677,515,2373,2270,6085,6749,2372,3073,514,2877,4769,873,734
65,4190,234,372,6329,7803,297,6904,8196,2770,2412,6338,6092,7483,7506,6226
66,8236,4206,664,5463,4654,6404,4955,5916,6686,3647,506,4793,3801,2097,7780
67,4413,8890,8331,4218,4244,6060,6998,5557,501,1841,999,3186,3961,336,7443
68,4843,7453,6138,8601,4978,8318,8078,845,850,904,3747,6492,6661,6058,6470
69,8579,4128,453,142,3951,3224,5726,2263,1576,2882,2475,3822,510,5512,1599
70,7530,5645,809,4709,4614,1975,4442,4381,5529,2445,1856,3496,2180,5299,5221
71,1014,3993,3284,505,92,8446,2758,8246,6515,8136,7160,1630,3302,2748,8598
72,3097,7802,3909,5725,7334,3688,2370,647,4335,5059,500,976,4719,2792,5233
73,6140,2108,2244,5169,1837,4818,5531,6695,3342,4552,6154,7396,6183,8604,4360
74,3523,3646,5544,2333,6277,1850,2247,7669,6809,5983,2031,323,7356,5858,1229
75,283,3489,3941,2835,7715,3815,7751,3957,6665,2410,601,7645,3435,443,2275
76,3104,4818,2170,6694,1079,1403,397,4198,1282,4611,1330,6279,4699,1837,3591
77,7329,2700,4327,3640,4775,5083,2961,5919,4982,2779,6241,4372,4089,2962,2447
78,3946,7430,5952,487,491,8418,7654,6101,4226,5205,3106,8137,8287,1203,1226
79,2017,8109,671,5216,5482,444,1744,8552,7413,5972,3613,2795,2833,1021,5161
80,1895,5616,1497,191,3583,4300,619,4525,6416,6464,4579,7625,2696,2274,6906
