,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6112,9284,6329,10440,3716,11745,9043,6383,268,8681,10264,7639,1887,3516,2196
1,6637,4843,6829,2912,10579,3782,1302,8186,1945,578,12691,2010,10421,7602,557
2,5614,3978,9418,10889,2424,8119,3658,3585,2389,8594,6806,13068,2828,11861,1228
3,11266,8163,2449,12660,12348,3549,6631,9213,1534,10019,3716,3420,3406,7086,7945
4,3328,4722,2860,10651,5680,2257,1239,3861,12742,2747,1489,944,10167,2821,4280
5,11368,10702,8021,899,6564,5645,9490,5077,11627,2623,8843,13535,1969,4386,8897
6,3043,4999,9423,10717,1007,9366,10991,13489,11517,7285,9983,3330,952,5820,4556
7,2796,781,576,2797,202,2799,12742,379,1489,4793,8010,10651,2703,12517,5638
8,3179,5760,10881,3971,6676,3562,12796,3271,11474,12352,11418,5930,5307,10055,7562
9,13643,5812,5510,2643,7440,6472,3925,8811,13199,271,2552,6062,1279,3421,7277
10,7917,12979,6441,9121,2193,11496,6458,8016,627,987,11287,11229,4489,10814,77
11,1337,9861,5732,12947,1530,12943,12945,9574,13296,5099,4311,11272,161,12254,5640
12,3181,893,10463,7509,455,3935,7364,8726,13072,6245,2953,9028,5037,6549,7247
13,12316,9283,8599,7269,4556,8171,12209,10544,3087,9783,8074,6827,11698,7410,11114
14,1613,3946,8189,501,9146,2180,7139,170,3295,946,8845,9413,5674,5670,3973
15,12901,5187,2727,1929,11653,8785,41,1312,9851,9768,11346,6602,5861,4556,10540
16,8631,2039,10697,2059,3732,11577,12949,8172,489,12410,9597,4650,2310,9289,10101
17,13642,3076,6599,2726,7926,12598,4818,1309,439,8774,2169,7554,12910,7243,2905
18,6540,2582,8415,9444,2983,6852,10831,13053,8123,2805,8539,6619,8413,5411,11154
19,6886,8982,3641,8610,8726,9854,7468,2953,12003,10480,6963,12926,7511,1263,9613
20,6984,3201,10134,7124,6177,11975,9308,4657,7602,11673,1955,12692,8466,4550,6723
21,8479,3164,12696,12464,10475,13637,2408,8186,7388,8271,3503,10641,3081,4092,2815
22,4583,9154,13068,4945,9444,5411,6441,7637,8551,7131,9508,3585,728,8517,6852
23,31,29,9402,32,5858,6063,5337,4719,13067,12383,13175,2582,8510,480,242
24,4237,2254,3703,5963,9325,7061,10880,10742,7252,8549,3060,8433,8094,11120,5986
25,8479,7338,9581,675,11569,2952,7260,13167,4641,7362,5768,13149,3555,5644,2969
26,7541,856,5454,1554,3442,8932,10760,7654,1250,8662,4611,12404,7730,9244,4267
27,12862,7398,246,3777,8201,3822,9318,7470,1646,3061,6402,7275,11082,8014,391
28,7795,2083,9396,7150,13078,1794,7461,12285,12710,6098,10112,1278,10468,11613,916
29,9402,31,32,8119,5980,2424,11253,9444,81,10670,6463,4149,2778,11275,2922
30,567,11843,13244,5872,6477,12357,9999,7998,7153,9878,9483,10218,610,11311,11706
31,29,251,81,5614,9402,503,7794,1466,2177,3804,225,32,10042,6463,4719
32,29,2177,225,10670,31,7807,4469,1999,9900,4719,9402,7794,9646,7205,1466
33,2,11456,3585,8029,4975,763,2537,3770,11500,9497,81,5560,13068,1387,2030
34,5241,331,7726,12568,10073,8172,1809,7727,11342,5081,4930,3990,639,1664,6252
35,2273,6030,6124,4036,8002,2756,1065,11675,1841,8681,4022,6152,4038,4037,12708
36,6827,2936,10894,6996,8101,8356,10717,12656,7366,7091,6884,1011,7341,9267,3180
37,9598,6511,8293,639,8631,11327,12900,2552,9033,7795,12627,11273,3942,11369,9120
38,3940,13251,9470,2173,13536,54,11919,299,13202,4401,13555,10607,4384,8152,5464
39,8905,13117,4308,11731,10717,12528,4976,7574,7789,3156,13281,6057,6194,1007,7273
40,2272,10716,2581,12625,11560,10196,10992,1344,7389,12469,5229,3650,3492,7979,12727
41,11653,4833,12901,2728,15,2727,13267,9851,5187,4219,11346,12477,8785,5861,1929
42,5319,9157,7144,8186,8457,8599,10623,647,8810,8437,8184,10446,10622,10421,4839
43,10071,8026,9100,10251,11705,3779,6995,11656,5572,8536,10416,3636,1038,12692,7058
44,12330,264,6546,7267,10447,7388,9783,11147,11991,12971,12635,9279,1353,12028,3179
45,12737,10146,3081,939,10144,6834,5311,6682,5879,5210,3042,7226,6276,3462,4625
46,10579,8810,1390,10623,9514,8186,2210,12691,5794,6356,10642,646,5844,9157,557
47,2146,2031,10027,10208,9897,5462,11067,1511,9504,1977,2145,9576,5804,609,9478
48,11154,2922,10889,592,7116,11990,13067,6992,4057,5700,1228,1223,12748,3978,6852
49,11623,12465,3884,1034,12030,1339,5482,5790,3890,10388,13022,1965,9148,6588,5505
50,6258,10528,8426,4174,11193,11721,4573,9875,6386,2477,11697,6260,429,7618,7277
51,123,12940,10922,3005,7723,4644,8269,7379,2249,11034,7918,11335,10345,11311,12976
