,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1456,1606,1607,3571,653,1610,830,1315,1608,4067,665,1605,262,2790,4045
1,3339,3854,691,714,3965,1243,4457,4750,4428,2068,3759,177,4309,1041,1153
2,3678,874,3111,2895,2437,2296,4411,4470,1313,2909,4652,3019,1716,1066,437
3,268,3284,2266,3096,1992,3136,954,25,2306,3754,4114,1017,3682,1067,3741
4,3408,1932,132,1440,4525,1015,1416,254,3726,3552,4515,2348,4382,1375,1373
5,3792,3069,1433,955,2300,3820,827,3904,944,3490,3876,282,3042,267,116
6,4337,1530,1176,2178,307,2897,4012,141,2027,1517,4381,3537,4101,3467,840
7,340,4057,237,2665,2440,2948,114,3288,714,3107,2997,636,2005,807,2042
8,2178,3194,2993,448,4449,1143,261,2675,4236,4792,3146,4575,3445,978,4508
9,1298,3567,2762,308,3832,3869,2706,1509,2344,3422,1995,3311,3715,3334,3057
10,3417,4534,3551,197,4177,4218,527,1120,3631,1726,4564,3067,1029,2038,595
11,646,986,124,276,1688,104,3511,3529,3089,1883,2045,2858,2896,323,1877
12,4292,3465,4693,2399,2044,4618,3233,4236,4581,4714,1019,2971,4522,3194,4632
13,2837,497,3923,1422,1275,2735,514,859,4406,4054,2243,2817,2113,3849,768
14,2477,79,1517,1315,4029,2004,3880,4688,4749,3100,3709,448,181,1608,1456
15,93,3306,3923,768,13,1359,4039,1490,2732,3434,1881,4258,2049,1422,3082
16,1256,918,1247,1722,3192,3522,2002,1246,452,2638,4128,2033,4368,3210,4440
17,50,3854,4789,1934,229,3759,4570,3945,2535,553,4304,880,2777,692,3859
18,1201,1945,2838,1315,1381,830,665,2115,2831,2735,1456,539,1207,2499,2339
19,938,3625,177,2898,1726,4474,1917,752,4570,197,1426,3779,533,3945,453
20,1634,2300,286,3179,1433,247,3069,1496,4427,1220,2743,4506,4048,3876,123
21,1920,4309,3287,2143,4463,3859,1426,3945,50,177,4658,25,3003,2302,3754
22,822,1117,1000,3523,1650,3067,1028,2646,3919,1644,443,1340,1843,233,4506
23,1243,2068,268,1302,4428,383,3284,3741,4309,1067,3,3889,3136,1034,2294
24,2403,4236,4767,2068,4297,4463,1153,3003,2595,1402,1888,4711,2398,4457,1421
25,4309,2752,3273,2143,21,3,1067,3754,3284,4098,934,3854,383,3101,4129
26,3190,2177,2057,4523,3238,1993,3875,2028,4251,637,1312,2884,4427,3282,97
27,4409,1621,3560,2942,810,2023,1501,1628,1917,1185,3519,360,2752,4129,1030
28,2895,2437,3111,38,4411,4358,3676,1596,4350,117,1066,2,37,3044,2873
29,3118,3820,457,3605,3213,1578,904,3178,1843,4505,1796,1604,1004,915,2300
30,2917,3521,393,4024,3616,4018,3171,2029,3744,3745,3382,2282,4313,2028,124
31,202,3720,3946,1429,1335,2512,2675,4351,1499,266,1256,1247,16,550,3221
