,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6500,2317,10349,4209,5591,12804,9930,228,3468,13494,5684,10706,4179,521,1458
1,2398,3734,4711,2385,186,2380,689,9964,7452,7639,4709,5534,4713,6957,4707
2,11456,11452,11455,11458,11428,11457,5867,11454,11453,6228,9950,12445,6237,6238,11427
3,1163,8763,9339,8151,2887,10607,10605,13587,1161,4502,12503,13312,13170,8929,4802
4,6898,11869,5681,11165,10671,921,12173,6221,1995,13038,9316,8391,2994,12692,4406
5,8258,12808,4332,13281,9599,2112,3785,5251,102,9535,2416,6348,1290,4839,13691
6,2948,5603,4385,12601,1122,10626,6491,7988,1851,4526,3528,11445,6648,9078,12658
7,3521,9753,13520,9825,3405,7712,13215,3720,1997,3716,13473,11957,7012,13580,3961
8,7368,2771,7175,4274,1314,7009,847,10309,2428,11138,7802,13183,9565,1348,5778
9,9181,11176,8892,7901,5258,13499,489,11021,6772,12637,529,11181,9471,316,13752
10,7683,436,8304,7468,3326,2418,4911,2863,5611,12429,8939,5736,13149,9459,13875
11,3679,948,11226,11161,842,3388,8961,1911,7795,11722,9395,9111,10089,9389,13177
12,12863,3192,9664,10208,2794,14223,5570,7165,265,6598,11614,4704,7625,3393,13521
13,3263,4748,9526,11078,3610,13652,8957,6182,6184,4887,2124,521,2432,10349,12411
14,12173,8090,2460,13471,10193,9012,4431,2994,1347,5697,4667,5447,6937,4619,9009
15,3935,9016,9879,2132,10978,4274,9428,535,9756,14240,685,529,6623,3002,12848
16,9847,2165,445,3010,2860,7914,3230,3102,14230,6934,7389,2813,11160,14133,174
17,961,13708,13827,7516,13627,7590,8319,6264,7592,13586,8653,6054,10055,4863,1119
18,14197,8737,7479,4693,9375,11823,3096,13194,2870,9396,94,7267,6309,8771,7226
19,3468,10117,12893,7202,12267,620,4029,3530,3604,8533,10885,2837,12879,8881,8312
20,8712,6376,4146,11513,560,1130,1148,7592,13328,17,12735,5226,4950,12682,11385
21,9879,6772,13159,9820,1219,2709,529,13836,13230,6623,5193,913,9978,6068,11181
22,28,3776,4067,4080,3456,7709,8885,4893,10423,8150,12875,545,12409,1780,6763
23,12211,13551,9710,4404,4680,13030,7768,11687,13155,193,922,10056,5819,6076,9921
24,5963,1150,11391,2360,4738,3831,10818,8176,4460,1671,6575,5555,4292,11860,2988
25,495,3400,850,4242,12604,10079,321,7918,10727,13644,6735,3781,3611,6727,11548
26,4215,4029,5958,7203,1582,9722,9880,11693,4192,12267,11743,10885,3483,6802,5375
27,741,2295,12068,8041,4554,3810,4392,4823,9527,4058,10360,13414,4105,9991,3808
28,22,4080,6763,1551,6940,2247,364,1997,2396,5742,6043,8150,11385,12379,338
29,32,47,2660,9483,31,3548,4949,11773,12750,8260,6337,72,369,6957,3223
30,104,7059,12176,10803,12616,13295,4908,7024,11969,9858,5893,12905,12495,5295,12377
31,2660,11952,1428,12784,6337,10330,6275,5113,2413,32,4949,6585,2504,6362,3030
32,29,47,10330,31,12750,1428,2660,8260,4701,4949,2852,8162,3548,4711,253
33,3734,4711,11371,9964,2398,12008,7452,10562,2380,689,7143,56,7144,9483,4712
34,5499,501,11841,13566,11459,789,6007,3146,7400,1057,9608,4835,1438,10512,14080
35,6639,2615,329,8686,3555,3225,6481,7779,3228,12479,6638,6517,4300,11473,6234
36,5689,8325,8221,2702,13066,462,11853,7235,3351,7240,466,8201,5773,9220,12817
37,10006,12520,1021,8178,1305,9808,682,11826,1639,13559,4534,5141,11747,13545,2813
38,4163,12458,9146,633,7674,300,14195,1276,14139,712,9872,2071,2140,9617,13829
39,11534,7710,179,5251,992,6724,5,11758,7297,3649,8678,5070,9402,7197,8798
40,13015,14054,13182,12127,6202,6728,8357,2803,2768,2825,7635,11145,14060,6336,4535
41,533,2069,13960,308,2862,3612,303,12377,14091,12425,5074,10383,6445,9457,9323
42,4648,5653,5645,8442,8561,6140,590,6269,10352,4802,471,3836,10674,462,1436
43,13559,10074,7622,871,9979,5068,7384,9755,13523,542,7383,6930,8057,12694,13680
44,5470,6157,13294,9719,13497,14115,8163,9168,12553,3044,3268,10584,10586,11317,9424
45,10850,9252,1718,6553,8266,6201,7210,11197,11570,1853,10320,11742,12835,6143,7853
46,3475,2243,8557,2283,1627,3422,12287,1626,11851,3247,1185,2662,465,9495,3055
47,5083,8260,1989,11773,9126,6957,11786,4949,4711,6337,7144,6492,6580,11815,12527
48,1135,5618,10832,5773,6412,12584,8159,7519,5194,748,68,714,13693,10716,9870
49,10985,4396,532,12243,10977,4450,12685,6734,10541,313,4275,2659,8744,3002,6772
50,8283,13784,6988,9048,438,14174,500,13683,5797,3392,8276,6117,3011,6847,123
51,7520,13164,11383,13470,6420,8236,13358,12324,2813,642,13545,11159,13189,11771,12520
