,0
A1BG,0
A2M,1
AAAS,2
AACS,3
AADAC,4
AADAT,5
AAGAB,6
AAK1,7
AAMP,8
AAR2,9
AARD,10
AARS2,11
AASDH,12
AASDHPPT,13
AASS,14
AATF,15
AATK,16
ABAT,17
ABCA1,18
ABCA10,19
ABCA12,20
ABCA13,21
ABCA2,22
ABCA3,23
ABCA4,24
ABCA5,25
ABCA6,26
ABCA7,27
ABCA8,28
ABCA9,29
ABCB1,30
ABCB10,31
ABCB4,32
ABCB6,33
ABCB7,34
ABCB8,35
ABCB9,36
ABCC1,37
ABCC10,38
ABCC2,39
ABCC3,40
ABCC4,41
ABCC5,42
ABCC6,43
ABCC8,44
ABCC9,45
ABCD1,46
ABCD3,47
ABCD4,48
ABCE1,49
ABCF1,50
ABCF2,51
ABCF3,52
ABCG1,53
ABCG2,54
ABHD1,55
ABHD10,56
ABHD11,57
ABHD12,58
ABHD13,59
ABHD14A,60
ABHD14A-ACY1,61
ABHD14B,62
ABHD15,63
ABHD16A,64
ABHD16B,65
ABHD17B,66
ABHD17C,67
ABHD2,68
ABHD3,69
ABHD4,70
ABHD5,71
ABHD6,72
ABHD8,73
ABI1,74
ABI2,75
ABI3,76
ABI3BP,77
ABL1,78
ABL2,79
ABLIM1,80
ABLIM2,81
ABLIM3,82
ABR,83
ABRACL,84
ABT1,85
ABTB1,86
ABTB2,87
ACAA2,88
ACACA,89
ACACB,90
ACAD10,91
ACAD11,92
ACAD8,93
ACAD9,94
ACADL,95
ACADM,96
ACADS,97
ACADSB,98
ACADVL,99
ACAN,100
ACAP1,101
ACAP2,102
ACAP3,103
ACAT1,104
ACAT2,105
ACBD3,106
ACBD4,107
ACBD5,108
ACBD6,109
ACBD7,110
ACCS,111
ACD,112
ACE,113
ACE2,114
ACER2,115
ACER3,116
ACHE,117
ACIN1,118
ACKR2,119
ACKR3,120
ACKR4,121
ACLY,122
ACMSD,123
ACO1,124
ACO2,125
ACOT1,126
ACOT11,127
ACOT13,128
ACOT2,129
ACOT4,130
ACOT7,131
ACOT8,132
ACOT9,133
ACOX1,134
ACOX2,135
ACOX3,136
ACOXL,137
ACP1,138
ACP2,139
ACP5,140
ACP6,141
ACR,142
ACRBP,143
ACSBG1,144
ACSF2,145
ACSF3,146
ACSL1,147
ACSL3,148
ACSL4,149
ACSL5,150
ACSL6,151
ACSM1,152
ACSM3,153
ACSM5,154
ACSS1,155
ACSS2,156
ACSS3,157
ACTA2,158
ACTB,159
ACTG1,160
ACTG2,161
ACTL10,162
ACTL6A,163
ACTN1,164
ACTN2,165
ACTN4,166
ACTR10,167
ACTR1A,168
ACTR1B,169
ACTR2,170
ACTR3,171
ACTR3B,172
ACTR3C,173
ACTR5,174
ACTR6,175
ACTR8,176
ACTRT3,177
ACVR1,178
ACVR1B,179
ACVR2A,180
ACVR2B,181
ACVRL1,182
ACY3,183
ACYP2,184
ADA,185
ADAL,186
ADAM10,187
ADAM12,188
ADAM15,189
ADAM17,190
ADAM19,191
ADAM22,192
ADAM23,193
ADAM28,194
ADAM32,195
ADAM33,196
ADAM8,197
ADAM9,198
ADAMDEC1,199
ADAMTS1,200
ADAMTS10,201
ADAMTS12,202
ADAMTS13,203
ADAMTS14,204
ADAMTS15,205
ADAMTS16,206
ADAMTS17,207
ADAMTS2,208
ADAMTS3,209
ADAMTS4,210
ADAMTS5,211
ADAMTS6,212
ADAMTS7,213
ADAMTS8,214
ADAMTS9,215
ADAMTSL1,216
ADAMTSL2,217
ADAMTSL3,218
ADAMTSL4,219
ADAMTSL5,220
ADAP1,221
ADAP2,222
ADAR,223
ADARB1,224
ADARB2,225
ADAT1,226
ADAT2,227
ADAT3,228
ADCK1,229
ADCK2,230
ADCY1,231
ADCY2,232
ADCY3,233
ADCY4,234
ADCY5,235
ADCY6,236
ADCY7,237
ADCY9,238
ADCYAP1,239
ADD1,240
ADD2,241
ADD3,242
ADGB,243
ADH1B,244
ADH5,245
ADH6,246
ADH7,247
ADHFE1,248
ADI1,249
ADIPOR1,250
ADIPOR2,251
ADK,252
ADM,253
ADM5,254
ADNP,255
ADNP2,256
ADO,257
ADORA1,258
ADORA2A,259
ADORA2B,260
ADORA3,261
ADPGK,262
ADPRH,263
ADPRHL1,264
ADPRM,265
ADRA1B,266
ADRA2A,267
ADRA2C,268
ADRB1,269
ADRB2,270
ADRM1,271
ADSL,272
ADTRP,273
AEBP1,274
AEBP2,275
AEN,276
AFAP1,277
AFAP1L1,278
AFAP1L2,279
AFF1,280
AFF2,281
AFF3,282
AFF4,283
AFG3L2,284
AFMID,285
AFTPH,286
AGA,287
AGAP1,288
AGAP2,289
AGAP3,290
AGAP4,291
AGAP5,292
AGAP6,293
AGAP9,294
AGBL2,295
AGBL3,296
AGBL5,297
AGER,298
AGFG1,299
AGFG2,300
AGGF1,301
AGK,302
AGL,303
AGMAT,304
AGMO,305
AGO1,306
AGO2,307
AGO3,308
AGO4,309
AGPAT1,310
AGPAT2,311
AGPAT3,312
AGPAT4,313
AGPAT5,314
AGPS,315
AGR2,316
AGR3,317
AGRN,318
AGRP,319
AGT,320
AGTPBP1,321
AGTR1,322
AGTR2,323
AHCTF1,324
AHCY,325
AHCYL1,326
AHCYL2,327
AHDC1,328
AHI1,329
AHNAK,330
AHNAK2,331
AHR,332
AHRR,333
AHSA1,334
AIDA,335
AIF1,336
AIF1L,337
AIFM1,338
AIFM2,339
AIFM3,340
AIG1,341
AIM2,342
AIMP1,343
AIMP2,344
AJUBA,345
AK1,346
AK2,347
AK4,348
AK5,349
AK7,350
AK8,351
AK9,352
AKAP1,353
AKAP10,354
AKAP11,355
AKAP12,356
AKAP13,357
AKAP14,358
AKAP17A,359
AKAP3,360
AKAP5,361
AKAP6,362
AKAP7,363
AKAP8,364
AKAP8L,365
AKAP9,366
AKIRIN2,367
AKNA,368
AKR1A1,369
AKR1B1,370
AKR1B10,371
AKR1B15,372
AKR1C1,373
AKR1C2,374
AKR1C3,375
AKR1C4,376
AKR1E2,377
AKR7A2,378
AKR7A3,379
AKT1,380
AKT1S1,381
AKT2,382
AKT3,383
AKTIP,384
ALAD,385
ALAS1,386
ALB,387
ALCAM,388
ALDH16A1,389
ALDH18A1,390
ALDH1A1,391
ALDH1A2,392
ALDH1A3,393
ALDH1B1,394
ALDH1L1,395
ALDH1L2,396
ALDH2,397
ALDH3A1,398
ALDH3A2,399
ALDH3B1,400
ALDH3B2,401
ALDH4A1,402
ALDH5A1,403
ALDH6A1,404
ALDH7A1,405
ALDH8A1,406
ALDH9A1,407
ALDOA,408
ALDOB,409
ALDOC,410
ALG1,411
ALG10,412
ALG10B,413
ALG11,414
ALG12,415
ALG13,416
ALG14,417
ALG1L,418
ALG2,419
ALG3,420
ALG5,421
ALG6,422
ALG8,423
ALG9,424
ALKBH1,425
ALKBH2,426
ALKBH3,427
ALKBH4,428
ALKBH5,429
ALKBH6,430
ALKBH7,431
ALKBH8,432
ALMS1,433
ALOX12B,434
ALOX15,435
ALOX15B,436
ALOX5,437
ALOX5AP,438
ALOXE3,439
ALPK1,440
ALPK2,441
ALPK3,442
ALPL,443
ALPP,444
ALS2,445
ALS2CL,446
ALX3,447
ALYREF,448
AMACR,449
AMBP,450
AMBRA1,451
AMD1,452
AMDHD1,453
AMDHD2,454
AMER1,455
AMFR,456
AMH,457
AMIGO1,458
AMIGO2,459
AMIGO3,460
AMMECR1,461
AMMECR1L,462
AMN,463
AMN1,464
AMOT,465
AMOTL1,466
AMOTL2,467
AMPD1,468
AMPD2,469
AMPD3,470
AMPH,471
AMT,472
AMY1A,473
AMY1B,474
AMY1C,475
AMY2B,476
AMZ2,477
ANAPC1,478
ANAPC10,479
ANAPC13,480
ANAPC16,481
ANAPC2,482
ANAPC4,483
ANAPC5,484
ANAPC7,485
ANGEL1,486
ANGEL2,487
ANGPT1,488
ANGPT2,489
ANGPTL1,490
ANGPTL2,491
ANGPTL4,492
ANGPTL6,493
ANK1,494
ANK2,495
ANK3,496
ANKAR,497
ANKDD1A,498
ANKEF1,499
ANKFN1,500
ANKFY1,501
ANKH,502
ANKHD1,503
ANKHD1-EIF4EBP3,504
ANKIB1,505
ANKK1,506
ANKLE1,507
ANKLE2,508
ANKMY1,509
ANKMY2,510
ANKRA2,511
ANKRD1,512
ANKRD10,513
ANKRD11,514
ANKRD12,515
ANKRD13A,516
ANKRD13B,517
ANKRD13C,518
ANKRD13D,519
ANKRD16,520
ANKRD17,521
ANKRD18A,522
ANKRD22,523
ANKRD23,524
ANKRD24,525
ANKRD26,526
ANKRD27,527
ANKRD28,528
ANKRD29,529
ANKRD34A,530
ANKRD34B,531
ANKRD35,532
ANKRD36,533
ANKRD36C,534
ANKRD37,535
ANKRD39,536
ANKRD40,537
ANKRD42,538
ANKRD44,539
ANKRD45,540
ANKRD46,541
ANKRD49,542
ANKRD50,543
ANKRD52,544
ANKRD53,545
ANKRD54,546
ANKRD6,547
ANKRD7,548
ANKRD9,549
ANKS1A,550
ANKS1B,551
ANKS3,552
ANKS4B,553
ANKS6,554
ANKZF1,555
ANLN,556
ANO1,557
ANO10,558
ANO2,559
ANO3,560
ANO5,561
ANO6,562
ANO7,563
ANO8,564
ANO9,565
ANP32A,566
ANP32B,567
ANP32E,568
ANPEP,569
ANTXR1,570
ANTXR2,571
ANXA1,572
ANXA10,573
ANXA11,574
ANXA13,575
ANXA2,576
ANXA2R,577
ANXA3,578
ANXA4,579
ANXA5,580
ANXA6,581
ANXA7,582
ANXA8,583
ANXA8L1,584
ANXA9,585
AOAH,586
AOC1,587
AOC2,588
AOC3,589
AOX1,590
AP1B1,591
AP1G1,592
AP1G2,593
AP1M1,594
AP1M2,595
AP1S1,596
AP1S3,597
AP2A1,598
AP2A2,599
AP2B1,600
AP2M1,601
AP3B1,602
AP3B2,603
AP3D1,604
AP3M1,605
AP3M2,606
AP3S1,607
AP3S2,608
AP4B1,609
AP4E1,610
AP4M1,611
AP5B1,612
AP5M1,613
AP5S1,614
AP5Z1,615
APAF1,616
APBA1,617
APBA2,618
APBA3,619
APBB1,620
APBB1IP,621
APBB2,622
APBB3,623
APC,624
APCDD1,625
APCDD1L,626
APEH,627
APEX1,628
APEX2,629
APH1A,630
API5,631
APIP,632
APLF,633
APLNR,634
APLP1,635
APLP2,636
APMAP,637
APOA2,638
APOBEC1,639
APOBEC2,640
APOBEC3A,641
APOBEC3B,642
APOBEC3C,643
APOBEC3D,644
APOBEC3F,645
APOBEC3G,646
APOBEC3H,647
APOBEC4,648
APOBR,649
APOC1,650
APOC2,651
APOC4-APOC2,652
APOD,653
APOE,654
APOH,655
APOL1,656
APOL2,657
APOL3,658
APOL4,659
APOL6,660
APOLD1,661
APOM,662
APOO,663
APOOL,664
APP,665
APPBP2,666
APPL1,667
APPL2,668
APRT,669
APTX,670
AQP1,671
AQP11,672
AQP3,673
AQP4,674
AQP7,675
AQP9,676
AQR,677
AR,678
ARAF,679
ARAP1,680
ARAP2,681
ARAP3,682
ARC,683
ARCN1,684
AREG,685
AREL1,686
ARF1,687
ARF3,688
ARF5,689
ARF6,690
ARFGAP1,691
ARFGAP2,692
ARFGAP3,693
ARFGEF1,694
ARFGEF2,695
ARFIP1,696
ARFIP2,697
ARFRP1,698
ARG2,699
ARGLU1,700
ARHGAP1,701
ARHGAP10,702
ARHGAP11A,703
ARHGAP11B,704
ARHGAP12,705
ARHGAP15,706
ARHGAP17,707
ARHGAP18,708
ARHGAP19,709
ARHGAP20,710
ARHGAP21,711
ARHGAP22,712
ARHGAP24,713
ARHGAP25,714
ARHGAP26,715
ARHGAP27,716
ARHGAP28,717
ARHGAP29,718
ARHGAP30,719
ARHGAP31,720
ARHGAP32,721
ARHGAP33,722
ARHGAP35,723
ARHGAP39,724
ARHGAP4,725
ARHGAP44,726
ARHGAP5,727
ARHGAP6,728
ARHGAP9,729
ARHGDIA,730
ARHGDIB,731
ARHGEF1,732
ARHGEF10,733
ARHGEF10L,734
ARHGEF11,735
ARHGEF12,736
ARHGEF15,737
ARHGEF16,738
ARHGEF17,739
ARHGEF18,740
ARHGEF19,741
ARHGEF2,742
ARHGEF25,743
ARHGEF26,744
ARHGEF28,745
ARHGEF3,746
ARHGEF35,747
ARHGEF37,748
ARHGEF38,749
ARHGEF39,750
ARHGEF4,751
ARHGEF40,752
ARHGEF5,753
ARHGEF6,754
ARHGEF7,755
ARHGEF9,756
ARID1A,757
ARID1B,758
ARID2,759
ARID3A,760
ARID3B,761
ARID4A,762
ARID4B,763
ARID5A,764
ARID5B,765
ARIH1,766
ARIH2,767
ARIH2OS,768
ARL1,769
ARL10,770
ARL11,771
ARL13B,772
ARL14,773
ARL14EP,774
ARL15,775
ARL16,776
ARL2,777
ARL2BP,778
ARL3,779
ARL4A,780
ARL4C,781
ARL4D,782
ARL5A,783
ARL5B,784
ARL6,785
ARL6IP1,786
ARL6IP5,787
ARL6IP6,788
ARL8A,789
ARL8B,790
ARL9,791
ARMC1,792
ARMC10,793
ARMC12,794
ARMC2,795
ARMC3,796
ARMC5,797
ARMC6,798
ARMC7,799
ARMC8,800
ARMC9,801
ARMCX1,802
ARMCX2,803
ARMCX3,804
ARMCX4,805
ARMCX5,806
ARMCX6,807
ARNT,808
ARNT2,809
ARNTL,810
ARNTL2,811
ARPC1A,812
ARPC1B,813
ARPC2,814
ARPC3,815
ARPC4,816
ARPC5,817
ARPP19,818
ARRB1,819
ARRB2,820
ARRDC1,821
ARRDC2,822
ARRDC3,823
ARRDC4,824
ARSA,825
ARSB,826
ARSD,827
ARSG,828
ARSI,829
ARSJ,830
ARSK,831
ART4,832
ART5,833
ARV1,834
ARVCF,835
ARX,836
AS3MT,837
ASAH1,838
ASAH2,839
ASAP1,840
ASAP2,841
ASAP3,842
ASB1,843
ASB13,844
ASB16,845
ASB2,846
ASB4,847
ASB6,848
ASB7,849
ASB8,850
ASB9,851
ASCC1,852
ASCC2,853
ASCC3,854
ASCL1,855
ASF1A,856
ASF1B,857
ASGR1,858
ASGR2,859
ASH1L,860
ASH2L,861
ASIC1,862
ASIC3,863
ASL,864
ASMTL,865
ASNS,866
ASNSD1,867
ASPA,868
ASPDH,869
ASPG,870
ASPH,871
ASPHD1,872
ASPHD2,873
ASPM,874
ASPN,875
ASPRV1,876
ASPSCR1,877
ASRGL1,878
ASS1,879
ASTE1,880
ASTN2,881
ASXL1,882
ASXL2,883
ATAD1,884
ATAD2,885
ATAD2B,886
ATAD3A,887
ATAD3B,888
ATAD3C,889
ATAD5,890
ATAT1,891
ATE1,892
ATF1,893
ATF2,894
ATF3,895
ATF4,896
ATF5,897
ATF6,898
ATF6B,899
ATF7,900
ATF7IP,901
ATF7IP2,902
ATG10,903
ATG13,904
ATG14,905
ATG16L1,906
ATG16L2,907
ATG2A,908
ATG2B,909
ATG3,910
ATG4A,911
ATG4B,912
ATG4C,913
ATG4D,914
ATG5,915
ATG7,916
ATG9A,917
ATG9B,918
ATIC,919
ATL1,920
ATL2,921
ATL3,922
ATM,923
ATMIN,924
ATN1,925
ATOH8,926
ATP10A,927
ATP10B,928
ATP10D,929
ATP11A,930
ATP11B,931
ATP11C,932
ATP12A,933
ATP13A1,934
ATP13A2,935
ATP13A3,936
ATP13A4,937
ATP1A1,938
ATP1A2,939
ATP1A3,940
ATP1B1,941
ATP1B2,942
ATP1B3,943
ATP2A1,944
ATP2A2,945
ATP2A3,946
ATP2B1,947
ATP2B4,948
ATP2C1,949
ATP2C2,950
ATP6AP1,951
ATP6AP1L,952
ATP6AP2,953
ATP6V0A1,954
ATP6V0A2,955
ATP6V0A4,956
ATP6V0B,957
ATP6V0C,958
ATP6V0D1,959
ATP6V0D2,960
ATP6V0E1,961
ATP6V0E2,962
ATP6V1A,963
ATP6V1B1,964
ATP6V1B2,965
ATP6V1C1,966
ATP6V1C2,967
ATP6V1D,968
ATP6V1E1,969
ATP6V1E2,970
ATP6V1F,971
ATP6V1G1,972
ATP6V1G2,973
ATP6V1H,974
ATP7A,975
ATP7B,976
ATP8A1,977
ATP8A2,978
ATP8B1,979
ATP8B2,980
ATP8B3,981
ATP8B4,982
ATP9A,983
ATP9B,984
ATPAF1,985
ATPAF2,986
ATR,987
ATRAID,988
ATRIP,989
ATRN,990
ATRX,991
ATXN1,992
ATXN10,993
ATXN2,994
ATXN2L,995
ATXN3,996
ATXN7,997
ATXN7L1,998
ATXN7L2,999
ATXN7L3,1000
AUH,1001
