,0
0,0.0
1,1.0
2,2.0
3,3.0
4,4.0
5,5.0
6,6.0
7,7.0
8,8.0
9,9.0
10,11.0
11,13.0
12,14.0
13,15.0
14,16.0
15,17.0
16,18.0
17,20.0
18,22.0
19,23.0
20,24.0
21,25.0
22,27.0
23,30.0
24,31.0
25,32.0
26,33.0
27,34.0
28,35.0
29,36.0
30,37.0
31,38.0
32,39.0
33,40.0
34,41.0
35,42.0
36,43.0
37,44.0
38,45.0
39,46.0
40,47.0
41,48.0
42,49.0
43,50.0
44,51.0
45,52.0
46,53.0
47,54.0
48,56.0
49,57.0
50,58.0
51,60.0
52,62.0
53,64.0
54,71.0
55,72.0
56,74.0
57,75.0
58,76.0
59,78.0
60,79.0
61,80.0
62,81.0
63,83.0
64,85.0
65,86.0
66,88.0
67,89.0
68,90.0
69,91.0
70,92.0
71,93.0
72,94.0
73,95.0
74,96.0
75,97.0
76,98.0
77,99.0
78,100.0
79,101.0
80,102.0
81,104.0
82,105.0
83,106.0
84,108.0
85,109.0
86,112.0
87,113.0
88,114.0
89,117.0
90,118.0
91,119.0
92,120.0
93,121.0
94,122.0
95,123.0
96,124.0
97,125.0
98,126.0
99,127.0
100,128.0
101,129.0
102,130.0
103,131.0
104,132.0
105,133.0
106,134.0
107,135.0
108,136.0
109,138.0
110,139.0
111,140.0
112,141.0
113,142.0
114,145.0
115,146.0
116,147.0
117,148.0
118,149.0
119,150.0
120,151.0
121,154.0
122,155.0
123,156.0
124,157.0
125,158.0
126,159.0
127,160.0
128,161.0
129,163.0
130,164.0
131,165.0
132,166.0
133,167.0
134,168.0
135,169.0
136,170.0
137,171.0
138,172.0
139,173.0
140,174.0
141,175.0
142,176.0
143,178.0
144,179.0
145,180.0
146,181.0
147,182.0
148,183.0
149,184.0
150,185.0
151,187.0
152,188.0
153,189.0
154,190.0
155,191.0
156,194.0
157,195.0
158,196.0
159,197.0
160,198.0
161,200.0
162,202.0
163,203.0
164,208.0
165,210.0
166,211.0
167,213.0
168,216.0
169,217.0
170,219.0
171,220.0
172,221.0
173,222.0
174,223.0
175,224.0
176,225.0
177,229.0
178,230.0
179,231.0
180,232.0
181,233.0
182,234.0
183,235.0
184,236.0
185,237.0
186,238.0
187,239.0
188,240.0
189,241.0
190,242.0
191,244.0
192,245.0
193,247.0
194,249.0
195,250.0
196,251.0
197,252.0
198,253.0
199,255.0
200,257.0
201,258.0
202,259.0
203,260.0
204,261.0
205,262.0
206,266.0
207,267.0
208,268.0
209,269.0
210,270.0
211,271.0
212,272.0
213,273.0
214,275.0
215,276.0
216,277.0
217,279.0
218,280.0
219,281.0
220,282.0
221,283.0
222,284.0
223,285.0
224,286.0
225,287.0
226,288.0
227,289.0
228,290.0
229,295.0
230,297.0
231,298.0
232,299.0
233,301.0
234,302.0
235,303.0
236,304.0
237,305.0
238,306.0
239,307.0
240,308.0
241,309.0
242,310.0
243,311.0
244,312.0
245,313.0
246,314.0
247,315.0
248,316.0
249,317.0
250,318.0
251,319.0
252,320.0
253,321.0
254,322.0
255,323.0
256,324.0
257,325.0
258,326.0
259,328.0
260,329.0
261,330.0
262,331.0
263,332.0
264,333.0
265,334.0
266,336.0
267,337.0
268,338.0
269,339.0
270,340.0
271,341.0
272,342.0
273,343.0
274,344.0
275,345.0
276,346.0
277,347.0
278,348.0
279,349.0
280,350.0
281,351.0
282,353.0
283,354.0
284,355.0
285,356.0
286,357.0
287,358.0
288,359.0
289,360.0
290,361.0
291,362.0
292,363.0
293,364.0
294,365.0
295,366.0
296,367.0
297,368.0
298,369.0
299,370.0
300,373.0
301,374.0
302,375.0
303,376.0
304,378.0
305,379.0
306,380.0
307,381.0
308,382.0
309,383.0
310,384.0
311,385.0
312,386.0
313,387.0
314,388.0
315,389.0
316,390.0
317,391.0
318,392.0
319,393.0
320,394.0
321,395.0
322,396.0
323,397.0
324,398.0
325,399.0
326,400.0
327,402.0
328,403.0
329,404.0
330,405.0
331,407.0
332,408.0
333,409.0
334,410.0
335,411.0
336,412.0
337,413.0
338,414.0
339,415.0
340,416.0
341,417.0
342,419.0
343,420.0
344,421.0
345,423.0
346,424.0
347,425.0
348,426.0
349,427.0
350,428.0
351,429.0
352,431.0
353,432.0
354,433.0
355,435.0
356,436.0
357,437.0
358,438.0
359,442.0
360,443.0
361,444.0
362,445.0
363,447.0
364,448.0
365,449.0
366,450.0
367,451.0
368,452.0
369,453.0
370,455.0
371,456.0
372,457.0
373,458.0
374,459.0
375,460.0
376,465.0
377,466.0
378,467.0
379,468.0
380,470.0
381,471.0
382,472.0
383,478.0
384,479.0
385,480.0
386,481.0
387,482.0
388,483.0
389,484.0
390,485.0
391,487.0
392,488.0
393,489.0
394,490.0
395,492.0
396,494.0
397,495.0
398,496.0
399,501.0
400,503.0
401,508.0
402,510.0
403,511.0
404,512.0
405,513.0
406,514.0
407,515.0
408,516.0
409,518.0
410,521.0
411,524.0
412,526.0
413,527.0
414,528.0
415,530.0
416,535.0
417,541.0
418,542.0
419,546.0
420,550.0
421,551.0
422,553.0
423,554.0
424,555.0
425,556.0
426,557.0
427,558.0
428,559.0
429,560.0
430,561.0
431,562.0
432,563.0
433,566.0
434,567.0
435,568.0
436,569.0
437,570.0
438,571.0
439,572.0
440,573.0
441,574.0
442,575.0
443,576.0
444,578.0
445,579.0
446,580.0
447,581.0
448,582.0
449,585.0
450,587.0
451,588.0
452,589.0
453,590.0
454,591.0
455,592.0
456,593.0
457,594.0
458,595.0
459,596.0
460,597.0
461,598.0
462,599.0
463,600.0
464,601.0
465,602.0
466,603.0
467,604.0
468,605.0
469,606.0
470,607.0
471,608.0
472,609.0
473,610.0
474,611.0
475,613.0
476,615.0
477,616.0
478,617.0
479,618.0
480,619.0
481,620.0
482,621.0
483,622.0
484,624.0
485,626.0
486,627.0
487,628.0
488,629.0
489,630.0
490,631.0
491,632.0
492,633.0
493,634.0
494,635.0
495,636.0
496,637.0
497,638.0
498,639.0
499,641.0
500,645.0
501,646.0
502,650.0
503,651.0
504,653.0
505,654.0
506,655.0
507,657.0
508,661.0
509,662.0
510,663.0
511,664.0
512,665.0
513,666.0
514,667.0
515,668.0
516,669.0
517,670.0
518,671.0
519,673.0
520,674.0
521,675.0
522,676.0
523,677.0
524,678.0
525,679.0
526,680.0
527,681.0
528,682.0
529,683.0
530,684.0
531,685.0
532,686.0
533,687.0
534,688.0
535,689.0
536,690.0
537,691.0
538,692.0
539,693.0
540,694.0
541,695.0
542,696.0
543,697.0
544,698.0
545,699.0
546,700.0
547,701.0
548,702.0
549,703.0
550,704.0
551,705.0
552,706.0
553,707.0
554,708.0
555,709.0
556,710.0
557,711.0
558,712.0
559,713.0
560,714.0
561,717.0
562,718.0
563,720.0
564,721.0
565,723.0
566,724.0
567,725.0
568,726.0
569,727.0
570,729.0
571,730.0
572,731.0
573,732.0
574,733.0
575,734.0
576,735.0
577,736.0
578,737.0
579,738.0
580,739.0
581,740.0
582,741.0
583,742.0
584,743.0
585,744.0
586,745.0
587,746.0
588,750.0
589,751.0
590,752.0
591,753.0
592,754.0
593,755.0
594,756.0
595,757.0
596,758.0
597,759.0
598,760.0
599,761.0
600,762.0
601,763.0
602,764.0
603,765.0
604,766.0
605,767.0
606,769.0
607,770.0
608,772.0
609,775.0
610,776.0
611,777.0
612,778.0
613,779.0
614,780.0
615,781.0
616,782.0
617,784.0
618,785.0
619,786.0
620,787.0
621,788.0
622,789.0
623,790.0
624,792.0
625,793.0
626,798.0
627,799.0
628,800.0
629,803.0
630,804.0
631,805.0
632,808.0
633,809.0
634,810.0
635,811.0
636,812.0
637,813.0
638,814.0
639,815.0
