,0
0,1
1,50
2,54
3,55
4,57
5,58
6,60
7,62
8,68
9,70
10,71
11,75
12,78
13,82
14,84
15,99
16,101
17,105
18,108
19,139
20,157
21,159
22,163
23,168
24,169
25,170
26,171
27,172
28,173
29,183
30,184
31,194
32,218
33,219
34,226
35,227
36,248
37,251
38,252
39,263
40,274
41,282
42,287
43,288
44,289
45,290
46,303
47,317
48,331
49,333
50,335
51,352
52,355
53,358
54,364
55,405
56,411
57,447
58,448
59,456
60,458
61,470
62,479
63,480
64,489
65,490
66,491
67,492
68,496
69,497
70,499
71,501
72,502
73,515
74,518
75,520
76,521
77,523
78,525
79,526
80,527
81,528
82,529
83,530
84,532
85,533
86,536
87,546
88,547
89,548
90,550
91,566
92,573
93,607
94,612
95,614
96,620
97,630
98,679
99,716
100,718
101,726
102,728
103,729
104,730
105,732
106,740
107,753
108,754
109,755
110,759
111,762
112,772
113,776
114,777
115,783
116,784
117,798
118,800
119,817
120,837
121,838
122,840
123,842
124,846
125,847
126,852
127,854
128,866
129,876
130,880
131,883
132,894
133,899
134,908
135,927
136,938
137,947
138,950
139,954
140,955
141,957
142,960
143,971
144,972
145,974
146,978
147,987
148,995
149,1002
150,1057
151,1066
152,1067
153,1068
154,1069
155,1075
156,1080
157,1094
158,1095
159,1096
160,1113
161,1119
162,1121
163,1122
164,1123
165,1130
166,1153
167,1154
168,1160
169,1164
170,1168
171,1212
172,1226
173,1236
174,1239
175,1241
176,1242
177,1243
178,1245
179,1250
180,1251
181,1262
182,1267
183,1271
184,1272
185,1273
186,1274
187,1275
188,1277
189,1279
190,1280
191,1282
192,1283
193,1284
194,1286
195,1288
196,1289
197,1290
198,1292
199,1293
200,1294
201,1295
202,1296
203,1298
204,1300
205,1301
206,1302
207,1303
208,1304
209,1305
210,1306
211,1308
212,1309
213,1310
214,1311
215,1312
216,1313
217,1314
218,1315
219,1318
220,1320
221,1321
222,1322
223,1323
224,1324
225,1325
226,1326
227,1335
228,1336
229,1338
230,1343
231,1344
232,1345
233,1346
234,1347
235,1348
236,1349
237,1350
238,1351
239,1352
240,1353
241,1354
242,1356
243,1357
244,1358
245,1359
246,1361
247,1362
248,1363
249,1364
250,1365
251,1366
252,1367
253,1374
254,1375
255,1376
256,1377
257,1379
258,1380
259,1384
260,1385
261,1386
262,1387
263,1389
264,1394
265,1395
266,1396
267,1397
268,1402
269,1403
270,1404
271,1405
272,1406
273,1407
274,1408
275,1409
276,1412
277,1413
278,1414
279,1415
280,1416
281,1419
282,1423
283,1424
284,1425
285,1426
286,1427
287,1428
288,1429
289,1432
290,1433
291,1436
292,1444
293,1449
294,1450
295,1468
296,1469
297,1477
298,1478
299,1486
300,1487
301,1497
302,1501
303,1516
304,1524
305,1545
306,1562
307,1580
308,1585
309,1594
310,1596
311,1605
312,1608
313,1611
314,1614
315,1615
316,1622
317,1623
318,1624
319,1625
320,1626
321,1627
322,1628
323,1629
324,1630
325,1631
326,1632
327,1633
328,1634
329,1635
330,1637
331,1638
332,1639
333,1641
334,1642
335,1645
336,1646
337,1649
338,1653
339,1654
340,1656
341,1658
342,1660
343,1661
344,1662
345,1663
346,1664
347,1665
348,1666
349,1669
350,1670
351,1675
352,1676
353,1677
354,1679
355,1680
356,1681
357,1682
358,1700
359,1702
360,1706
361,1707
362,1709
363,1726
364,1728
365,1736
366,1750
367,1751
368,1760
369,1761
370,1762
371,1769
372,1782
373,1792
374,1793
375,1808
376,1833
377,1835
378,1862
379,1863
380,1868
381,1894
382,1909
383,1929
384,1934
385,1939
386,1944
387,1947
388,1951
389,1954
390,1969
391,1973
392,1975
393,1977
394,1985
395,1987
396,1992
397,1999
398,2009
399,2010
400,2012
401,2027
402,2041
403,2043
404,2045
405,2047
406,2056
407,2058
408,2074
409,2083
410,2092
411,2102
412,2104
413,2108
414,2163
415,2186
416,2194
417,2197
418,2207
419,2215
420,2216
421,2226
422,2243
423,2264
424,2270
425,2280
426,2284
427,2286
428,2297
429,2307
430,2308
431,2386
432,2392
433,2395
434,2401
435,2402
436,2412
437,2413
438,2415
439,2427
440,2450
441,2468
442,2473
443,2474
444,2475
445,2478
446,2484
447,2495
448,2509
449,2515
450,2518
451,2539
452,2540
453,2568
454,2572
455,2573
456,2574
457,2585
458,2589
459,2590
460,2600
461,2601
462,2616
463,2639
464,2653
465,2657
466,2678
467,2681
468,2682
469,2684
470,2689
471,2691
472,2695
473,2698
474,2709
475,2741
476,2762
477,2772
478,2773
479,2777
480,2783
481,2785
482,2787
483,2788
484,2793
485,2795
486,2796
487,2811
488,2822
489,2827
490,2834
491,2840
492,2844
493,2850
494,2851
495,2859
496,2868
497,2886
498,2888
499,2894
500,2895
501,2900
502,2903
503,2904
504,2908
505,2911
506,2912
507,2954
508,2963
509,2968
510,2972
511,2977
512,2978
513,2996
514,3011
515,3021
516,3032
517,3038
518,3047
519,3050
520,3066
521,3068
522,3070
523,3073
524,3075
525,3077
526,3080
527,3084
528,3085
529,3091
530,3095
531,3096
532,3106
533,3149
534,3182
535,3187
536,3188
537,3198
538,3199
539,3200
540,3201
541,3205
542,3210
543,3213
544,3231
545,3238
546,3239
547,3246
548,3255
549,3261
550,3277
551,3278
552,3284
553,3287
554,3292
555,3295
556,3296
557,3313
558,3314
559,3315
560,3316
561,3318
562,3321
563,3351
564,3365
565,3366
566,3369
567,3391
568,3395
569,3409
570,3410
571,3417
572,3448
573,3450
574,3451
575,3453
576,3454
577,3458
578,3460
579,3474
580,3477
581,3481
582,3514
583,3516
584,3570
585,3571
586,3572
587,3573
588,3582
589,3583
590,3584
591,3586
592,3591
593,3621
594,3623
595,3629
596,3632
597,3636
598,3638
599,3644
600,3649
601,3699
602,3700
603,3704
604,3705
605,3706
606,3707
607,3713
608,3714
609,3716
610,3720
611,3723
612,3727
613,3730
614,3731
615,3734
616,3735
617,3737
618,3738
619,3740
620,3742
621,3743
622,3745
623,3750
624,3751
625,3752
626,3753
627,3754
628,3755
629,3756
630,3757
631,3758
632,3759
633,3761
634,3762
635,3766
636,3767
637,3768
638,3769
639,3770
640,3772
641,3773
642,3774
643,3775
644,3776
645,3781
646,3782
647,3784
648,3788
649,3790
650,3791
651,3792
652,3793
653,3794
654,3795
655,3796
656,3798
657,3799
658,3800
659,3803
660,3807
661,3808
662,3810
663,3820
664,3829
665,3830
666,3844
667,3845
668,3846
669,3848
670,3898
671,3914
672,3928
673,3930
674,3932
675,3936
676,3968
677,3979
678,3990
679,3994
680,3997
681,3999
682,4034
683,4035
684,4036
685,4077
686,4079
687,4087
688,4102
689,4106
690,4120
691,4122
692,4130
693,4143
694,4177
695,4180
696,4191
697,4192
698,4202
699,4236
700,4238
701,4239
702,4270
703,4279
704,4307
705,4308
706,4314
707,4316
708,4327
709,4328
710,4342
711,4343
712,4347
713,4352
714,4366
715,4371
716,4372
717,4387
718,4389
719,4390
720,4407
721,4456
722,4464
723,4472
724,4478
725,4484
726,4488
727,4497
728,4507
729,4514
730,4515
731,4516
732,4519
733,4522
734,4523
735,4526
736,4531
737,4533
738,4536
739,4552
740,4570
741,4580
742,4581
743,4582
744,4662
745,4664
746,4670
747,4672
748,4673
749,4677
750,4700
751,4704
752,4710
753,4739
754,4741
755,4745
756,4747
757,4748
758,4758
759,4759
760,4761
761,4764
762,4766
763,4767
764,4768
765,4772
766,4774
767,4783
768,4790
769,4792
770,4794
771,4801
772,4813
773,4820
774,4821
775,4829
776,4847
777,4863
778,4864
779,4866
780,4868
781,4882
782,4883
783,4892
784,4894
785,4896
786,4897
787,4899
788,4901
789,4902
790,4904
791,4908
792,4909
793,4912
794,4962
795,4978
796,4987
797,4991
798,4993
799,4998
800,5003
801,5008
802,5009
803,5014
804,5021
805,5028
806,5034
807,5040
808,5063
809,5064
810,5068
811,5074
812,5095
813,5101
814,5107
815,5129
816,5137
817,5156
818,5160
819,5162
820,5170
821,5178
822,5181
823,5212
824,5217
825,5236
826,5239
827,5250
828,5266
829,5267
830,5268
831,5271
832,5297
833,5298
834,5299
835,5300
836,5304
837,5308
838,5310
839,5311
840,5313
841,5314
842,5318
843,5319
844,5322
845,5343
846,5344
847,5355
848,5358
849,5362
850,5412
851,5413
852,5414
853,5422
854,5433
855,5438
856,5440
857,5441
858,5442
859,5466
860,5477
861,5480
862,5481
863,5482
864,5500
865,5532
866,5538
867,5541
868,5545
869,5546
870,5569
871,5573
872,5575
873,5576
874,5582
875,5583
876,5584
877,5586
878,5590
879,5593
880,5594
881,5595
882,5597
883,5598
884,5614
885,5648
886,5661
887,5667
888,5668
889,5670
890,5675
891,5680
892,5682
893,5683
894,5684
895,5686
896,5687
897,5688
898,5703
899,5710
900,5717
901,5729
902,5730
903,5731
904,5732
905,5733
906,5736
907,5737
908,5772
909,5773
910,5774
911,5776
912,5778
913,5780
914,5787
915,5789
916,5797
917,5811
918,5815
919,5819
920,5820
921,5821
922,5825
923,5826
924,5837
925,5838
926,5844
927,5861
928,5866
929,5868
930,5880
931,5885
932,5886
933,5894
934,5895
935,5918
936,5919
937,5933
938,5934
939,5948
940,5953
941,5958
942,5961
943,5972
944,5973
945,5979
946,5980
947,5981
948,5992
949,5994
950,5995
951,6005
952,6006
953,6007
954,6020
955,6025
956,6030
957,6032
958,6033
959,6035
960,6036
961,6038
962,6039
963,6040
964,6043
965,6048
966,6050
967,6051
968,6052
969,6053
970,6054
971,6055
972,6056
973,6057
974,6058
975,6060
976,6061
977,6063
978,6064
979,6075
980,6078
981,6080
982,6091
983,6097
984,6116
985,6136
986,6142
987,6144
988,6149
989,6151
990,6152
991,6153
992,6154
993,6163
994,6164
995,6165
996,6198
997,6200
998,6202
999,6221
1000,6224
1001,6226
1002,6227
1003,6228
1004,6234
1005,6257
1006,6268
1007,6271
1008,6274
1009,6276
1010,6278
1011,6279
1012,6282
1013,6291
1014,6298
1015,6316
1016,6332
1017,6334
1018,6335
1019,6337
1020,6343
1021,6383
1022,6389
1023,6411
1024,6421
1025,6425
1026,6438
1027,6454
1028,6456
1029,6457
1030,6463
1031,6464
1032,6465
1033,6467
1034,6468
1035,6469
1036,6471
1037,6472
1038,6486
1039,6488
1040,6489
1041,6490
1042,6494
1043,6495
1044,6497
1045,6499
1046,6522
1047,6523
1048,6532
1049,6533
1050,6535
1051,6536
1052,6541
1053,6550
1054,6552
1055,6559
1056,6585
1057,6604
1058,6613
1059,6614
1060,6615
1061,6616
1062,6618
1063,6623
1064,6634
1065,6635
1066,6636
1067,6639
1068,6640
1069,6643
1070,6648
1071,6653
1072,6674
1073,6679
1074,6680
1075,6681
1076,6682
1077,6753
1078,6754
