,0
0,0
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,11
10,12
11,13
12,14
13,15
14,16
15,17
16,18
17,19
18,20
19,21
20,22
21,23
22,24
23,25
24,26
25,27
26,28
27,29
28,30
29,31
30,32
31,33
32,34
33,35
34,36
35,37
36,38
37,39
38,40
39,41
40,42
41,43
42,44
43,45
44,46
45,47
46,48
47,49
48,50
49,51
50,53
51,54
52,55
53,58
54,62
55,64
56,66
57,67
58,68
59,69
60,71
61,75
62,76
63,81
64,82
65,83
66,86
67,88
68,89
69,90
70,91
71,92
72,93
73,94
74,95
75,96
76,97
77,98
78,99
79,100
80,102
81,104
82,105
83,106
84,108
85,109
86,111
87,112
88,113
89,114
90,115
91,116
92,117
93,118
94,119
95,121
96,122
97,124
98,125
99,126
100,127
101,128
102,129
103,130
104,131
105,132
106,133
107,134
108,135
109,136
110,137
111,138
112,139
113,140
114,141
115,142
116,144
117,145
118,146
119,147
120,149
121,150
122,151
123,152
124,153
125,154
126,155
127,156
128,157
129,158
130,159
131,160
132,161
133,163
134,164
135,165
136,166
137,168
138,169
139,170
140,171
141,181
142,182
143,183
144,184
145,185
146,187
147,188
148,189
149,190
150,191
151,192
152,193
153,194
154,196
155,197
156,198
157,199
158,200
159,201
160,202
161,203
162,204
163,205
164,206
165,207
166,208
167,209
168,210
169,211
170,212
171,213
172,214
173,215
174,216
175,217
176,218
177,219
178,222
179,223
180,224
181,225
182,226
183,227
184,228
185,229
186,231
187,232
188,233
189,234
190,235
191,236
192,237
193,238
194,239
195,240
196,241
197,242
198,243
199,244
200,245
201,246
202,247
203,248
204,249
205,250
206,251
207,252
208,253
209,255
210,256
211,257
212,258
213,259
214,260
215,261
216,262
217,263
218,264
219,266
220,267
221,268
222,269
223,270
224,271
225,272
226,273
227,274
228,275
229,277
230,278
231,279
232,281
233,284
234,285
235,287
236,288
237,289
238,290
239,295
240,296
241,297
242,298
243,299
244,300
245,301
246,302
247,303
248,304
249,305
250,306
251,307
252,309
253,310
254,311
255,312
256,313
257,314
258,315
259,316
260,317
261,318
262,319
263,320
264,321
265,322
266,323
267,324
268,325
269,326
270,327
271,328
272,329
273,330
274,331
275,332
276,333
277,334
278,335
279,336
280,338
281,340
282,342
283,343
284,344
285,346
286,347
287,348
288,349
289,350
290,351
291,352
292,353
293,354
294,355
295,357
296,358
297,359
298,361
299,362
300,364
301,365
302,366
303,367
304,369
305,370
306,371
307,372
308,373
309,374
310,375
311,376
312,377
313,378
314,379
315,381
316,384
317,385
318,386
319,388
320,389
321,390
322,391
323,392
324,393
325,394
326,395
327,396
328,397
329,398
330,399
331,400
332,401
333,402
334,403
335,404
336,405
337,406
338,407
339,408
340,409
341,410
342,411
343,413
344,414
345,415
346,416
347,417
348,419
349,420
350,421
351,422
352,423
353,424
354,425
355,426
356,427
357,428
358,429
359,430
360,431
361,432
362,433
363,434
364,435
365,436
366,437
367,438
368,439
369,440
370,441
371,442
372,443
373,444
374,445
375,446
376,447
377,448
378,449
379,450
380,451
381,452
382,456
383,457
384,458
385,459
386,460
387,461
388,463
389,465
390,466
391,467
392,468
393,469
394,470
395,471
396,472
397,473
398,474
399,475
400,476
401,477
402,479
403,480
404,481
405,482
406,483
407,484
408,485
409,488
410,489
411,490
412,491
413,492
414,493
415,495
416,496
417,501
418,502
419,503
420,506
421,508
422,511
423,512
424,513
425,514
426,515
427,516
428,517
429,518
430,519
431,520
432,521
433,524
434,525
435,526
436,528
437,531
438,533
439,535
440,542
441,545
442,546
443,547
444,548
445,551
446,552
447,553
448,554
449,555
450,556
451,557
452,558
453,559
454,560
455,561
456,562
457,566
458,568
459,569
460,570
461,571
462,572
463,573
464,574
465,575
466,576
467,577
468,578
469,579
470,580
471,581
472,582
473,583
474,585
475,586
476,587
477,588
478,589
479,590
480,591
481,592
482,593
483,594
484,595
485,596
486,597
487,598
488,599
489,600
490,601
491,602
492,603
493,604
494,605
495,606
496,607
497,608
498,609
499,610
500,611
501,612
502,613
503,614
504,615
505,616
506,617
507,618
508,619
509,620
510,622
511,623
512,625
513,627
514,629
515,630
516,631
517,632
518,634
519,635
520,636
521,637
522,638
523,639
524,640
525,641
526,643
527,645
528,646
529,647
530,648
531,649
532,650
533,651
534,653
535,654
536,655
537,656
538,657
539,658
540,659
541,660
542,661
543,662
544,663
545,664
546,665
547,666
548,667
549,668
550,669
551,670
552,671
553,672
554,673
555,674
556,675
557,676
558,677
559,680
560,681
561,682
562,683
563,684
564,685
565,686
566,687
567,688
568,689
569,690
570,691
571,692
572,693
573,694
574,695
575,697
576,698
577,699
578,700
579,701
580,702
581,703
582,704
583,705
584,706
585,707
586,708
587,709
588,711
589,712
590,713
591,714
592,716
593,717
594,718
595,719
596,720
597,721
598,722
599,724
600,725
601,726
602,728
603,729
604,730
605,731
606,732
607,738
608,739
609,740
610,741
611,742
612,743
613,744
614,746
615,751
616,753
617,754
618,755
619,756
620,761
621,762
622,763
623,764
624,766
625,767
626,768
627,769
628,771
629,772
630,773
631,777
632,778
633,779
634,781
635,782
636,784
637,785
638,786
639,787
640,788
641,789
642,790
643,791
644,793
645,795
646,796
647,797
648,800
649,801
650,802
651,803
652,804
653,809
654,810
655,811
656,812
657,813
658,814
659,815
660,816
661,817
662,818
663,819
664,820
665,821
666,823
667,825
668,826
669,827
670,828
671,829
672,830
673,831
674,832
675,833
676,834
677,835
678,836
679,837
680,838
681,839
682,840
683,842
684,843
685,844
686,845
687,846
688,847
689,848
690,849
691,850
692,851
693,852
694,853
695,854
696,855
697,856
698,857
699,858
700,859
701,860
702,861
703,864
704,866
705,868
706,870
707,871
708,874
709,875
710,876
711,879
712,881
713,884
714,885
715,886
716,887
717,888
718,889
719,890
720,891
721,894
722,895
723,896
724,897
725,898
726,899
727,900
728,902
729,903
730,904
731,905
732,906
733,908
734,909
735,911
736,912
737,913
738,914
739,915
740,916
741,917
742,918
743,920
744,922
745,924
746,925
747,927
748,928
749,929
750,930
751,931
752,932
753,933
754,935
755,936
756,937
757,939
758,940
759,941
760,942
761,943
762,944
763,945
764,946
765,947
766,948
767,949
768,950
769,951
770,953
771,954
772,955
773,956
774,957
775,958
776,959
777,960
778,961
779,962
780,963
781,965
782,966
783,967
784,968
785,969
786,970
787,972
788,973
789,975
790,976
791,978
792,979
793,980
794,981
795,984
796,986
797,989
798,990
799,992
800,993
801,994
802,995
803,997
804,998
805,1001
806,1003
807,1004
808,1005
809,1007
810,1008
811,1009
812,1010
813,1011
814,1012
815,1015
816,1016
817,1017
818,1018
819,1019
820,1022
821,1023
822,1024
823,1025
824,1026
825,1027
826,1028
827,1030
828,1031
829,1032
830,1033
831,1034
832,1035
833,1036
834,1037
835,1039
836,1040
837,1041
838,1042
839,1043
840,1044
841,1045
842,1046
843,1047
844,1048
845,1049
846,1050
847,1051
848,1052
849,1053
850,1054
851,1055
852,1056
853,1057
854,1058
855,1059
856,1060
857,1061
858,1062
859,1063
860,1064
861,1065
862,1066
863,1067
864,1068
865,1069
866,1070
867,1071
868,1072
869,1075
870,1076
871,1077
872,1078
873,1079
874,1082
875,1083
876,1084
877,1086
878,1087
879,1088
880,1089
881,1090
882,1091
883,1092
884,1097
885,1098
886,1099
887,1100
888,1101
889,1103
890,1104
891,1105
892,1106
893,1108
894,1109
895,1110
896,1111
897,1116
898,1117
899,1118
900,1123
901,1126
902,1128
903,1132
904,1136
905,1137
906,1139
907,1140
908,1141
909,1142
910,1143
911,1145
912,1149
913,1150
914,1151
915,1152
916,1153
917,1154
918,1155
919,1156
920,1158
921,1159
922,1160
923,1161
924,1162
925,1163
926,1164
927,1165
928,1166
929,1167
930,1168
931,1169
932,1170
933,1171
934,1172
935,1173
936,1174
937,1176
938,1178
939,1181
940,1182
941,1184
942,1185
943,1186
944,1187
945,1188
946,1189
947,1191
948,1192
949,1194
950,1195
951,1196
952,1197
953,1198
954,1199
955,1200
956,1202
957,1203
958,1205
959,1207
960,1208
961,1209
962,1210
963,1211
964,1212
965,1213
966,1214
967,1215
968,1216
969,1217
970,1218
971,1219
972,1220
973,1221
974,1222
975,1223
976,1224
977,1225
978,1226
979,1228
980,1229
981,1230
982,1231
983,1232
984,1234
985,1235
986,1238
987,1240
988,1244
989,1245
990,1246
991,1247
992,1248
993,1249
994,1250
995,1252
996,1253
997,1255
998,1256
999,1257
1000,1258
1001,1260
1002,1261
1003,1262
1004,1263
1005,1264
1006,1265
1007,1266
1008,1267
1009,1268
1010,1270
1011,1271
1012,1272
1013,1274
1014,1278
1015,1280
1016,1282
1017,1283
1018,1284
1019,1290
1020,1291
1021,1292
1022,1293
1023,1294
1024,1295
1025,1297
1026,1298
1027,1300
1028,1302
1029,1303
1030,1304
1031,1312
1032,1315
1033,1320
1034,1321
1035,1324
1036,1330
1037,1331
1038,1338
1039,1347
1040,1348
1041,1350
1042,1355
1043,1356
1044,1357
1045,1358
1046,1359
1047,1360
1048,1361
1049,1362
1050,1363
1051,1364
1052,1367
1053,1369
1054,1370
1055,1371
1056,1372
1057,1377
1058,1387
1059,1394
1060,1401
1061,1402
1062,1403
1063,1404
1064,1412
1065,1413
1066,1418
1067,1420
1068,1421
1069,1422
1070,1423
1071,1424
1072,1429
1073,1430
1074,1431
1075,1432
1076,1441
1077,1442
1078,1443
1079,1444
1080,1448
1081,1449
1082,1451
1083,1452
1084,1454
1085,1464
1086,1465
1087,1468
1088,1469
1089,1470
1090,1472
1091,1473
1092,1474
1093,1475
1094,1476
1095,1477
1096,1478
1097,1480
1098,1481
1099,1482
1100,1483
1101,1485
1102,1486
1103,1487
1104,1488
1105,1490
1106,1492
1107,1493
1108,1494
1109,1495
1110,1496
1111,1497
1112,1498
1113,1499
1114,1500
1115,1501
1116,1502
1117,1503
1118,1504
1119,1505
1120,1508
1121,1509
1122,1510
1123,1511
1124,1512
1125,1513
1126,1514
1127,1515
1128,1516
1129,1519
1130,1520
1131,1521
1132,1522
1133,1523
1134,1524
1135,1526
1136,1528
1137,1529
1138,1530
1139,1531
1140,1532
1141,1533
1142,1534
1143,1535
1144,1536
1145,1537
1146,1539
1147,1540
1148,1541
1149,1542
1150,1543
1151,1545
1152,1547
1153,1548
1154,1549
1155,1551
1156,1552
1157,1553
1158,1554
1159,1555
1160,1556
1161,1557
1162,1559
1163,1560
