,0
A1BG,0
A2M,1
A2ML1,2
A4GALT,3
AAAS,4
AACS,5
AADAC,6
AADAT,7
AAGAB,8
AAK1,9
AAMDC,10
AAMP,11
AAR2,12
AARS2,13
AASDH,14
AASDHPPT,15
AASS,16
AATF,17
AATK,18
ABAT,19
ABCA1,20
ABCA10,21
ABCA12,22
ABCA13,23
ABCA2,24
ABCA3,25
ABCA4,26
ABCA5,27
ABCA6,28
ABCA7,29
ABCA8,30
ABCB1,31
ABCB10,32
ABCB6,33
ABCB7,34
ABCB8,35
ABCB9,36
ABCC1,37
ABCC10,38
ABCC3,39
ABCC4,40
ABCC5,41
ABCC6,42
ABCC9,43
ABCD1,44
ABCD3,45
ABCD4,46
ABCE1,47
ABCF1,48
ABCF2,49
ABCF3,50
ABCG1,51
ABCG2,52
ABHD1,53
ABHD10,54
ABHD11,55
ABHD12,56
ABHD12B,57
ABHD13,58
ABHD14A-ACY1,59
ABHD14B,60
ABHD15,61
ABHD16B,62
ABHD17A,63
ABHD17B,64
ABHD17C,65
ABHD2,66
ABHD3,67
ABHD4,68
ABHD5,69
ABHD6,70
ABHD8,71
ABI1,72
ABI2,73
ABI3,74
ABI3BP,75
ABL1,76
ABL2,77
ABLIM1,78
ABLIM2,79
ABLIM3,80
ABR,81
ABRACL,82
ABT1,83
ABTB1,84
ABTB2,85
ACAA1,86
ACAA2,87
ACACA,88
ACACB,89
ACAD10,90
ACAD11,91
ACAD8,92
ACAD9,93
ACADL,94
ACADM,95
ACADS,96
ACADSB,97
ACADVL,98
ACAN,99
ACAP1,100
ACAP2,101
ACAP3,102
ACAT1,103
ACAT2,104
ACBD3,105
ACBD4,106
ACBD5,107
ACBD7,108
ACCS,109
ACD,110
ACE,111
ACE2,112
ACER2,113
ACER3,114
ACHE,115
ACIN1,116
ACKR3,117
ACKR4,118
ACLY,119
ACO1,120
ACO2,121
ACOT1,122
ACOT11,123
ACOT13,124
ACOT2,125
ACOT4,126
ACOT7,127
ACOT8,128
ACOT9,129
ACOX1,130
ACOX2,131
ACOX3,132
ACP1,133
ACP2,134
ACP5,135
ACP6,136
ACRBP,137
ACSF2,138
ACSF3,139
ACSL1,140
ACSL3,141
ACSL4,142
ACSL5,143
ACSL6,144
ACSM3,145
ACSS1,146
ACSS2,147
ACSS3,148
ACTA2,149
ACTB,150
ACTC1,151
ACTG1,152
ACTG2,153
ACTL10,154
ACTL6A,155
ACTL8,156
ACTN1,157
ACTN4,158
ACTR10,159
ACTR1A,160
ACTR1B,161
ACTR2,162
ACTR3,163
ACTR3B,164
ACTR3C,165
ACTR5,166
ACTR6,167
ACTR8,168
ACTRT3,169
ACVR1,170
ACVR1B,171
ACVR1C,172
ACVR2A,173
ACVR2B,174
ACVRL1,175
ACY1,176
ACYP2,177
ADA,178
ADAD2,179
ADAL,180
ADAM10,181
ADAM11,182
ADAM12,183
ADAM15,184
ADAM17,185
ADAM19,186
ADAM22,187
ADAM23,188
ADAM28,189
ADAM32,190
ADAM33,191
ADAM8,192
ADAM9,193
ADAMDEC1,194
ADAMTS1,195
ADAMTS10,196
ADAMTS12,197
ADAMTS13,198
ADAMTS14,199
ADAMTS15,200
ADAMTS17,201
ADAMTS2,202
ADAMTS4,203
ADAMTS6,204
ADAMTS7,205
ADAMTS9,206
ADAMTSL1,207
ADAMTSL2,208
ADAMTSL3,209
ADAMTSL4,210
ADAMTSL5,211
ADAP1,212
ADAP2,213
ADAR,214
ADARB1,215
ADARB2,216
ADAT1,217
ADAT2,218
ADAT3,219
ADCK1,220
ADCK2,221
ADCK5,222
ADCY1,223
ADCY2,224
ADCY3,225
ADCY4,226
ADCY5,227
ADCY6,228
ADCY7,229
ADCY9,230
ADD1,231
ADD2,232
ADD3,233
ADH1B,234
ADH7,235
ADHFE1,236
ADIPOR1,237
ADIPOR2,238
ADIRF,239
ADK,240
ADM,241
ADNP,242
ADNP2,243
ADO,244
ADORA1,245
ADORA2A,246
ADORA3,247
ADPGK,248
ADPRH,249
ADPRHL1,250
ADPRM,251
ADRA2A,252
ADRA2B,253
ADRA2C,254
ADRB1,255
ADRB2,256
ADRM1,257
ADSL,258
ADTRP,259
AEBP1,260
AEBP2,261
AEN,262
AFAP1,263
AFAP1L1,264
AFAP1L2,265
AFF1,266
AFF2,267
AFF4,268
AFG3L2,269
AFMID,270
AFTPH,271
AGA,272
AGAP1,273
AGAP2,274
AGAP3,275
AGAP4,276
AGAP5,277
AGAP6,278
AGAP9,279
AGBL2,280
AGBL3,281
AGBL5,282
AGER,283
AGFG1,284
AGFG2,285
AGGF1,286
AGK,287
AGL,288
AGMAT,289
AGO1,290
AGO2,291
AGO3,292
AGO4,293
AGPAT1,294
AGPAT2,295
AGPAT3,296
AGPAT4,297
AGPAT5,298
AGPS,299
AGR2,300
AGR3,301
AGRN,302
AGT,303
AGTPBP1,304
AGTRAP,305
AHCTF1,306
AHCY,307
AHCYL1,308
AHCYL2,309
AHDC1,310
AHI1,311
AHNAK,312
AHNAK2,313
AHR,314
AHRR,315
AHSA1,316
AIDA,317
AIF1,318
AIFM1,319
AIFM2,320
AIFM3,321
AIM2,322
AIMP1,323
AIMP2,324
AIP,325
AJUBA,326
AK2,327
AK3,328
AK7,329
AK8,330
AK9,331
AKAP1,332
AKAP10,333
AKAP11,334
AKAP12,335
AKAP13,336
AKAP17A,337
AKAP3,338
AKAP5,339
AKAP6,340
AKAP7,341
AKAP8,342
AKAP8L,343
AKAP9,344
AKIP1,345
AKIRIN1,346
AKIRIN2,347
AKNA,348
AKR1A1,349
AKR1B1,350
AKR1B10,351
AKR1B15,352
AKR1C1,353
AKR1C2,354
AKR1C3,355
AKR1E2,356
AKR7A2,357
AKR7A3,358
AKT1,359
AKT1S1,360
AKT2,361
AKT3,362
AKTIP,363
ALAD,364
ALAS1,365
ALB,366
ALCAM,367
ALDH16A1,368
ALDH18A1,369
ALDH1A1,370
ALDH1A2,371
ALDH1A3,372
ALDH1B1,373
ALDH1L1,374
ALDH1L2,375
ALDH2,376
ALDH3A1,377
ALDH3A2,378
ALDH3B1,379
ALDH3B2,380
ALDH4A1,381
ALDH5A1,382
ALDH6A1,383
ALDH7A1,384
ALDH9A1,385
ALDOA,386
ALDOC,387
ALG1,388
ALG10,389
ALG10B,390
ALG12,391
ALG13,392
ALG14,393
ALG1L,394
ALG3,395
ALG5,396
ALG6,397
ALG8,398
ALG9,399
ALKBH1,400
ALKBH2,401
ALKBH3,402
ALKBH5,403
ALKBH6,404
ALKBH7,405
ALKBH8,406
ALMS1,407
ALOX12,408
ALOX12B,409
ALOX15,410
ALOX15B,411
ALOX5,412
ALOX5AP,413
ALOXE3,414
ALPK1,415
ALPK2,416
ALPK3,417
ALPL,418
ALPP,419
ALS2,420
ALS2CL,421
ALX1,422
ALX3,423
ALYREF,424
AMACR,425
AMBP,426
AMBRA1,427
AMD1,428
AMDHD1,429
AMDHD2,430
AMER1,431
AMFR,432
AMH,433
AMIGO1,434
AMIGO2,435
AMIGO3,436
AMMECR1,437
AMMECR1L,438
AMN,439
AMN1,440
AMOT,441
AMOTL1,442
AMOTL2,443
AMPD2,444
AMPD3,445
AMPH,446
AMT,447
AMTN,448
AMY1A,449
AMY1C,450
AMY2B,451
AMZ2,452
ANAPC1,453
ANAPC10,454
ANAPC11,455
ANAPC13,456
ANAPC15,457
ANAPC16,458
ANAPC2,459
ANAPC4,460
ANAPC5,461
ANAPC7,462
ANG,463
ANGEL1,464
ANGEL2,465
ANGPT1,466
ANGPT2,467
ANGPTL1,468
ANGPTL2,469
ANGPTL4,470
ANK1,471
ANK2,472
ANK3,473
ANKAR,474
ANKDD1A,475
ANKEF1,476
ANKFY1,477
ANKH,478
ANKHD1,479
ANKHD1-EIF4EBP3,480
ANKIB1,481
ANKK1,482
ANKLE1,483
ANKLE2,484
ANKMY1,485
ANKRA2,486
ANKRD1,487
ANKRD10,488
ANKRD11,489
ANKRD12,490
ANKRD13A,491
ANKRD13B,492
ANKRD13C,493
ANKRD13D,494
ANKRD16,495
ANKRD17,496
ANKRD18A,497
ANKRD18B,498
ANKRD2,499
ANKRD22,500
ANKRD23,501
ANKRD24,502
ANKRD26,503
ANKRD27,504
ANKRD28,505
ANKRD29,506
ANKRD34B,507
ANKRD35,508
ANKRD36,509
ANKRD36C,510
ANKRD37,511
ANKRD39,512
ANKRD40,513
ANKRD42,514
ANKRD44,515
ANKRD45,516
ANKRD46,517
ANKRD49,518
ANKRD50,519
ANKRD52,520
ANKRD54,521
ANKRD6,522
ANKRD65,523
ANKS1A,524
ANKS1B,525
ANKS3,526
ANKS6,527
ANKZF1,528
ANLN,529
ANO1,530
ANO10,531
ANO2,532
ANO4,533
ANO6,534
ANO7,535
ANO8,536
ANO9,537
ANP32A,538
ANP32B,539
ANP32E,540
ANPEP,541
ANTXR1,542
ANTXR2,543
ANXA1,544
ANXA10,545
ANXA11,546
ANXA2,547
ANXA2R,548
ANXA3,549
ANXA4,550
ANXA5,551
ANXA6,552
ANXA7,553
ANXA8,554
ANXA8L1,555
ANXA9,556
AOAH,557
AOC1,558
AOC2,559
AOC3,560
AOX1,561
AP1AR,562
AP1B1,563
AP1G1,564
AP1G2,565
AP1M1,566
AP1M2,567
AP1S1,568
AP1S2,569
AP1S3,570
AP2A1,571
AP2A2,572
AP2B1,573
AP2M1,574
AP3B1,575
AP3B2,576
AP3D1,577
AP3M1,578
AP3S1,579
AP3S2,580
AP4B1,581
AP4E1,582
AP4M1,583
AP4S1,584
AP5B1,585
AP5M1,586
AP5S1,587
AP5Z1,588
APAF1,589
APBA1,590
APBA2,591
APBA3,592
APBB1,593
APBB1IP,594
APBB2,595
APBB3,596
APC,597
APC2,598
APCDD1,599
APCDD1L,600
APEH,601
APEX1,602
APEX2,603
APH1A,604
APH1B,605
API5,606
APIP,607
APLF,608
APLN,609
APLNR,610
APLP1,611
APLP2,612
APMAP,613
APOBEC3B,614
APOBEC3C,615
APOBEC3D,616
APOBEC3F,617
APOBEC3G,618
APOBEC3H,619
APOBR,620
APOC1,621
APOD,622
APOE,623
APOL1,624
APOL3,625
APOL4,626
APOL6,627
APOLD1,628
APOM,629
APOO,630
APOOL,631
APP,632
APPBP2,633
APPL1,634
APPL2,635
APRT,636
APTX,637
AQP1,638
AQP11,639
AQP3,640
AQP5,641
AQP6,642
AQP7,643
AQR,644
AR,645
ARAF,646
ARAP1,647
ARAP2,648
ARAP3,649
ARC,650
ARCN1,651
AREG,652
AREL1,653
ARF1,654
ARF3,655
ARF4,656
ARF5,657
ARF6,658
ARFGAP1,659
ARFGAP2,660
ARFGAP3,661
ARFGEF1,662
ARFGEF2,663
ARFIP1,664
ARFIP2,665
ARFRP1,666
ARG2,667
ARGLU1,668
ARHGAP1,669
ARHGAP10,670
ARHGAP11A,671
ARHGAP11B,672
ARHGAP12,673
ARHGAP17,674
ARHGAP18,675
ARHGAP19,676
ARHGAP21,677
ARHGAP22,678
ARHGAP23,679
ARHGAP24,680
ARHGAP25,681
ARHGAP26,682
ARHGAP27,683
ARHGAP28,684
ARHGAP29,685
ARHGAP30,686
ARHGAP31,687
ARHGAP32,688
ARHGAP33,689
ARHGAP35,690
ARHGAP39,691
ARHGAP4,692
ARHGAP40,693
ARHGAP42,694
ARHGAP44,695
ARHGAP5,696
ARHGAP6,697
ARHGAP9,698
ARHGDIA,699
ARHGDIB,700
ARHGDIG,701
ARHGEF1,702
ARHGEF10,703
ARHGEF10L,704
ARHGEF11,705
ARHGEF12,706
ARHGEF15,707
ARHGEF16,708
ARHGEF17,709
ARHGEF18,710
ARHGEF19,711
ARHGEF2,712
ARHGEF25,713
ARHGEF26,714
ARHGEF28,715
ARHGEF3,716
ARHGEF33,717
ARHGEF35,718
ARHGEF37,719
ARHGEF38,720
ARHGEF39,721
ARHGEF4,722
ARHGEF40,723
ARHGEF5,724
ARHGEF6,725
ARHGEF7,726
ARHGEF9,727
ARID1A,728
ARID1B,729
ARID2,730
ARID3A,731
ARID3B,732
ARID4A,733
ARID4B,734
ARID5A,735
ARID5B,736
ARIH1,737
ARIH2,738
ARIH2OS,739
ARL1,740
ARL10,741
ARL11,742
ARL13B,743
ARL14,744
ARL14EP,745
ARL15,746
ARL16,747
ARL2,748
ARL2BP,749
ARL3,750
ARL4A,751
ARL4C,752
ARL4D,753
ARL5A,754
ARL5B,755
ARL6,756
ARL6IP1,757
ARL6IP4,758
ARL6IP5,759
ARL6IP6,760
ARL8A,761
ARL8B,762
ARL9,763
ARMC1,764
ARMC10,765
ARMC2,766
ARMC3,767
ARMC5,768
ARMC6,769
ARMC8,770
ARMC9,771
ARMCX1,772
ARMCX2,773
ARMCX3,774
ARMCX4,775
ARMCX5,776
ARNT,777
ARNT2,778
ARNTL,779
ARNTL2,780
ARPC1A,781
ARPC1B,782
ARPC2,783
ARPC4,784
ARPC5,785
ARPP19,786
ARRB1,787
ARRB2,788
ARRDC1,789
ARRDC2,790
ARRDC3,791
ARRDC4,792
ARSA,793
ARSB,794
ARSD,795
ARSF,796
ARSG,797
ARSI,798
ARSJ,799
ARSK,800
ART5,801
ARV1,802
ARVCF,803
AS3MT,804
ASAH1,805
ASAH2,806
ASAP1,807
ASAP2,808
ASAP3,809
ASB1,810
ASB13,811
ASB16,812
ASB2,813
ASB6,814
ASB7,815
ASB8,816
ASB9,817
ASCC1,818
ASCC2,819
ASCC3,820
ASCL2,821
ASF1A,822
ASF1B,823
ASGR1,824
ASGR2,825
ASH1L,826
ASH2L,827
ASIC1,828
ASIC3,829
ASL,830
ASMTL,831
ASNS,832
ASNSD1,833
ASPG,834
ASPH,835
ASPHD1,836
ASPHD2,837
ASPM,838
ASPN,839
ASPRV1,840
ASPSCR1,841
ASRGL1,842
ASS1,843
ASTE1,844
ASTN2,845
ASXL1,846
ASXL2,847
ATAD1,848
ATAD2,849
ATAD2B,850
ATAD3A,851
ATAD3B,852
ATAD3C,853
ATAD5,854
ATAT1,855
ATE1,856
ATF1,857
ATF2,858
ATF3,859
ATF4,860
ATF5,861
ATF6,862
ATF6B,863
ATF7,864
ATF7IP,865
ATF7IP2,866
ATG10,867
ATG12,868
ATG13,869
ATG14,870
ATG16L1,871
ATG16L2,872
ATG2A,873
ATG2B,874
ATG3,875
ATG4A,876
ATG4B,877
ATG4C,878
ATG4D,879
ATG5,880
ATG7,881
ATG9A,882
ATG9B,883
ATIC,884
ATL1,885
ATL2,886
ATL3,887
ATM,888
ATMIN,889
ATN1,890
ATOH8,891
ATOX1,892
ATP10A,893
ATP10B,894
ATP10D,895
ATP11A,896
ATP11B,897
ATP11C,898
ATP12A,899
ATP13A1,900
ATP13A2,901
ATP13A3,902
ATP13A4,903
ATP13A5,904
ATP1A1,905
ATP1A3,906
ATP1B1,907
ATP1B3,908
ATP2A1,909
ATP2A2,910
ATP2A3,911
ATP2B1,912
ATP2B4,913
ATP2C1,914
ATP2C2,915
ATP6AP1,916
ATP6AP1L,917
ATP6AP2,918
ATP6V0A1,919
ATP6V0A2,920
ATP6V0A4,921
ATP6V0B,922
ATP6V0C,923
ATP6V0D1,924
ATP6V0E2,925
ATP6V1A,926
ATP6V1B1,927
ATP6V1B2,928
ATP6V1C1,929
ATP6V1C2,930
ATP6V1E1,931
ATP6V1E2,932
ATP6V1F,933
ATP6V1G1,934
ATP6V1G2,935
ATP7A,936
ATP7B,937
ATP8A1,938
ATP8B1,939
ATP8B2,940
ATP8B3,941
ATP8B4,942
ATP9A,943
ATP9B,944
ATPAF1,945
ATPAF2,946
ATR,947
ATRAID,948
ATRIP,949
ATRN,950
ATRNL1,951
ATRX,952
ATXN1,953
ATXN10,954
ATXN1L,955
ATXN2,956
ATXN2L,957
ATXN3,958
ATXN7,959
ATXN7L1,960
ATXN7L2,961
ATXN7L3,962
ATXN7L3B,963
AUH,964
AUNIP,965
AUP1,966
AURKA,967
AURKAIP1,968
AURKB,969
AURKC,970
AUTS2,971
AVEN,972
AVIL,973
AVL9,974
AVPI1,975
AVPR2,976
AXIN1,977
AXIN2,978
AXL,979
AZGP1,980
AZI2,981
AZIN1,982
B2M,983
B3GALNT1,984
B3GALNT2,985
B3GALT4,986
B3GALT5,987
B3GALT6,988
B3GAT1,989
B3GAT3,990
B3GNT2,991
B3GNT3,992
B3GNT4,993
B3GNT5,994
B3GNT8,995
B3GNT9,996
B3GNTL1,997
B4GALNT1,998
B4GALNT2,999
B4GALNT3,1000
