,0
A1BG,0
A1CF,1
A2M,2
A4GALT,3
A4GNT,4
AAAS,5
AACS,6
AADAC,7
AADAT,8
AAGAB,9
AAK1,10
AAMDC,11
AAMP,12
AAR2,13
AARD,14
AARS2,15
AASDH,16
AASDHPPT,17
AASS,18
AATF,19
AATK,20
ABAT,21
ABCA1,22
ABCA10,23
ABCA12,24
ABCA13,25
ABCA2,26
ABCA3,27
ABCA5,28
ABCA6,29
ABCA7,30
ABCA8,31
ABCA9,32
ABCB1,33
ABCB10,34
ABCB4,35
ABCB6,36
ABCB7,37
ABCB8,38
ABCB9,39
ABCC1,40
ABCC10,41
ABCC2,42
ABCC3,43
ABCC4,44
ABCC5,45
ABCC6,46
ABCC8,47
ABCC9,48
ABCD1,49
ABCD3,50
ABCD4,51
ABCE1,52
ABCF1,53
ABCF2,54
ABCF3,55
ABCG1,56
ABCG2,57
ABHD1,58
ABHD10,59
ABHD11,60
ABHD12,61
ABHD12B,62
ABHD13,63
ABHD14A,64
ABHD14A-ACY1,65
ABHD14B,66
ABHD15,67
ABHD16A,68
ABHD16B,69
ABHD17A,70
ABHD17C,71
ABHD2,72
ABHD3,73
ABHD4,74
ABHD5,75
ABHD6,76
ABHD8,77
ABI1,78
ABI2,79
ABI3,80
ABI3BP,81
ABL1,82
ABL2,83
ABLIM1,84
ABLIM2,85
ABLIM3,86
ABR,87
ABRACL,88
ABT1,89
ABTB1,90
ABTB2,91
ACAA1,92
ACAA2,93
ACACA,94
ACACB,95
ACAD10,96
ACAD11,97
ACAD8,98
ACAD9,99
ACADL,100
ACADM,101
ACADS,102
ACADSB,103
ACADVL,104
ACAN,105
ACAP1,106
ACAP2,107
ACAP3,108
ACAT1,109
ACAT2,110
ACBD3,111
ACBD4,112
ACBD5,113
ACBD6,114
ACBD7,115
ACCS,116
ACD,117
ACE,118
ACE2,119
ACER2,120
ACER3,121
ACHE,122
ACIN1,123
ACKR2,124
ACKR3,125
ACKR4,126
ACLY,127
ACMSD,128
ACO1,129
ACO2,130
ACOT1,131
ACOT11,132
ACOT13,133
ACOT2,134
ACOT4,135
ACOT7,136
ACOT8,137
ACOT9,138
ACOX1,139
ACOX2,140
ACOX3,141
ACP1,142
ACP2,143
ACP5,144
ACP6,145
ACRBP,146
ACSF2,147
ACSF3,148
ACSL1,149
ACSL3,150
ACSL4,151
ACSL5,152
ACSL6,153
ACSM1,154
ACSM3,155
ACSM5,156
ACSS1,157
ACSS2,158
ACSS3,159
ACTA1,160
ACTA2,161
ACTB,162
ACTC1,163
ACTG1,164
ACTG2,165
ACTL10,166
ACTL6A,167
ACTL8,168
ACTN1,169
ACTN2,170
ACTN4,171
ACTR10,172
ACTR1A,173
ACTR1B,174
ACTR2,175
ACTR3,176
ACTR3B,177
ACTR3C,178
ACTR5,179
ACTR6,180
ACTR8,181
ACTRT3,182
ACVR1,183
ACVR1B,184
ACVR1C,185
ACVR2A,186
ACVR2B,187
ACVRL1,188
ACY1,189
ACY3,190
ACYP1,191
ACYP2,192
ADA,193
ADAL,194
ADAM10,195
ADAM12,196
ADAM15,197
ADAM17,198
ADAM19,199
ADAM22,200
ADAM23,201
ADAM28,202
ADAM32,203
ADAM33,204
ADAM8,205
ADAM9,206
ADAMDEC1,207
ADAMTS1,208
ADAMTS10,209
ADAMTS12,210
ADAMTS13,211
ADAMTS14,212
ADAMTS15,213
ADAMTS16,214
ADAMTS17,215
ADAMTS2,216
ADAMTS4,217
ADAMTS5,218
ADAMTS6,219
ADAMTS7,220
ADAMTS8,221
ADAMTS9,222
ADAMTSL1,223
ADAMTSL2,224
ADAMTSL3,225
ADAMTSL4,226
ADAMTSL5,227
ADAP1,228
ADAP2,229
ADAR,230
ADARB1,231
ADARB2,232
ADAT1,233
ADAT2,234
ADAT3,235
ADCK1,236
ADCK2,237
ADCK5,238
ADCY1,239
ADCY2,240
ADCY3,241
ADCY4,242
ADCY5,243
ADCY6,244
ADCY7,245
ADCY9,246
ADCYAP1,247
ADD1,248
ADD2,249
ADD3,250
ADH1B,251
ADH4,252
ADH5,253
ADH6,254
ADHFE1,255
ADI1,256
ADIPOR1,257
ADIPOR2,258
ADIRF,259
ADK,260
ADM,261
ADM2,262
ADM5,263
ADNP,264
ADNP2,265
ADO,266
ADORA1,267
ADORA2A,268
ADORA2B,269
ADORA3,270
ADPGK,271
ADPRH,272
ADPRHL1,273
ADPRM,274
ADRA1D,275
ADRA2A,276
ADRA2B,277
ADRA2C,278
ADRB1,279
ADRB2,280
ADRM1,281
ADSL,282
ADTRP,283
AEBP1,284
AEBP2,285
AEN,286
AFAP1,287
AFAP1L1,288
AFAP1L2,289
AFF1,290
AFF3,291
AFF4,292
AFG3L2,293
AFMID,294
AFTPH,295
AGA,296
AGAP1,297
AGAP2,298
AGAP3,299
AGAP4,300
AGAP5,301
AGAP6,302
AGAP9,303
AGBL2,304
AGBL5,305
AGER,306
AGFG1,307
AGFG2,308
AGGF1,309
AGK,310
AGL,311
AGMAT,312
AGMO,313
AGO1,314
AGO2,315
AGO3,316
AGO4,317
AGPAT1,318
AGPAT2,319
AGPAT3,320
AGPAT4,321
AGPAT5,322
AGPS,323
AGR2,324
AGR3,325
AGRN,326
AGT,327
AGTPBP1,328
AGTR1,329
AGTRAP,330
AHCTF1,331
AHCY,332
AHCYL1,333
AHCYL2,334
AHDC1,335
AHI1,336
AHNAK,337
AHNAK2,338
AHR,339
AHRR,340
AHSA1,341
AIDA,342
AIF1,343
AIFM1,344
AIFM2,345
AIFM3,346
AIG1,347
AIM2,348
AIMP1,349
AIMP2,350
AIP,351
AJUBA,352
AK1,353
AK2,354
AK3,355
AK4,356
AK5,357
AK7,358
AK8,359
AK9,360
AKAP1,361
AKAP10,362
AKAP11,363
AKAP12,364
AKAP13,365
AKAP17A,366
AKAP3,367
AKAP5,368
AKAP6,369
AKAP7,370
AKAP8,371
AKAP8L,372
AKAP9,373
AKIP1,374
AKIRIN2,375
AKNA,376
AKR1A1,377
AKR1B1,378
AKR1B10,379
AKR1B15,380
AKR1C1,381
AKR1C2,382
AKR1C3,383
AKR1C4,384
AKR1E2,385
AKR7A2,386
AKR7A3,387
AKT1,388
AKT1S1,389
AKT2,390
AKT3,391
AKTIP,392
ALAD,393
ALAS1,394
ALB,395
ALCAM,396
ALDH16A1,397
ALDH18A1,398
ALDH1A1,399
ALDH1A2,400
ALDH1A3,401
ALDH1B1,402
ALDH1L1,403
ALDH1L2,404
ALDH2,405
ALDH3A1,406
ALDH3A2,407
ALDH3B1,408
ALDH3B2,409
ALDH4A1,410
ALDH5A1,411
ALDH6A1,412
ALDH7A1,413
ALDH9A1,414
ALDOA,415
ALDOB,416
ALDOC,417
ALG1,418
ALG10,419
ALG10B,420
ALG11,421
ALG12,422
ALG13,423
ALG14,424
ALG1L,425
ALG2,426
ALG3,427
ALG5,428
ALG6,429
ALG8,430
ALG9,431
ALKBH1,432
ALKBH2,433
ALKBH3,434
ALKBH4,435
ALKBH5,436
ALKBH6,437
ALKBH7,438
ALKBH8,439
ALMS1,440
ALOX12B,441
ALOX15,442
ALOX15B,443
ALOX5,444
ALOX5AP,445
ALOXE3,446
ALPI,447
ALPK1,448
ALPK2,449
ALPK3,450
ALPL,451
ALPP,452
ALS2,453
ALS2CL,454
ALYREF,455
AMACR,456
AMBP,457
AMBRA1,458
AMD1,459
AMDHD1,460
AMDHD2,461
AMER1,462
AMFR,463
AMH,464
AMIGO1,465
AMIGO2,466
AMIGO3,467
AMMECR1,468
AMMECR1L,469
AMN,470
AMN1,471
AMOT,472
AMOTL1,473
AMOTL2,474
AMPD1,475
AMPD2,476
AMPD3,477
AMPH,478
AMT,479
AMY2B,480
AMZ1,481
AMZ2,482
ANAPC1,483
ANAPC10,484
ANAPC11,485
ANAPC13,486
ANAPC15,487
ANAPC2,488
ANAPC4,489
ANAPC5,490
ANAPC7,491
ANG,492
ANGEL1,493
ANGEL2,494
ANGPT1,495
ANGPT2,496
ANGPTL1,497
ANGPTL2,498
ANGPTL4,499
ANGPTL6,500
ANGPTL7,501
ANK1,502
ANK2,503
ANK3,504
ANKAR,505
ANKDD1A,506
ANKEF1,507
ANKFY1,508
ANKH,509
ANKHD1,510
ANKHD1-EIF4EBP3,511
ANKIB1,512
ANKLE1,513
ANKLE2,514
ANKMY1,515
ANKMY2,516
ANKRA2,517
ANKRD1,518
ANKRD10,519
ANKRD11,520
ANKRD12,521
ANKRD13A,522
