,0
0,1
1,7
2,11
3,14
4,56
5,60
6,61
7,63
8,64
9,65
10,67
11,69
12,74
13,76
14,77
15,81
16,84
17,88
18,89
19,91
20,106
21,108
22,112
23,115
24,146
25,164
26,168
27,173
28,174
29,175
30,176
31,177
32,178
33,189
34,190
35,200
36,227
37,228
38,237
39,238
40,260
41,263
42,272
43,285
44,296
45,301
46,302
47,303
48,304
49,317
50,332
51,347
52,362
53,366
54,369
55,376
56,416
57,422
58,457
59,458
60,465
61,467
62,481
63,490
64,491
65,500
66,501
67,502
68,506
69,507
70,509
71,511
72,512
73,525
74,529
75,531
76,533
77,535
78,536
79,537
80,538
81,539
82,541
83,542
84,547
85,548
86,558
87,559
88,560
89,562
90,578
91,585
92,618
93,623
94,625
95,631
96,641
97,688
98,703
99,729
100,731
101,739
102,741
103,742
104,743
105,744
106,746
107,754
108,763
109,767
110,768
111,769
112,770
113,773
114,776
115,783
116,785
117,789
118,790
119,796
120,797
121,798
122,809
123,814
124,816
125,831
126,833
127,851
128,852
129,854
130,856
131,859
132,860
133,866
134,867
135,880
136,891
137,895
138,898
139,909
140,914
141,922
142,926
143,941
144,953
145,960
146,963
147,966
148,971
149,972
150,974
151,977
152,989
153,990
154,992
155,1002
156,1010
157,1017
158,1025
159,1071
160,1079
161,1080
162,1081
163,1083
164,1089
165,1094
166,1107
167,1108
168,1109
169,1131
170,1133
171,1134
172,1135
173,1142
174,1164
175,1165
176,1173
177,1177
178,1187
179,1224
180,1236
181,1242
182,1252
183,1256
184,1258
185,1259
186,1260
187,1262
188,1266
189,1277
190,1282
191,1286
192,1287
193,1288
194,1289
195,1291
196,1292
197,1294
198,1295
199,1297
200,1298
201,1299
202,1300
203,1303
204,1304
205,1305
206,1307
207,1308
208,1309
209,1310
210,1311
211,1313
212,1314
213,1315
214,1316
215,1317
216,1318
217,1319
218,1320
219,1321
220,1323
221,1324
222,1325
223,1326
224,1327
225,1328
226,1329
227,1330
228,1333
229,1335
230,1336
231,1337
232,1338
233,1339
234,1349
235,1350
236,1353
237,1357
238,1358
239,1359
240,1360
241,1361
242,1362
243,1363
244,1364
245,1365
246,1366
247,1367
248,1368
249,1369
250,1370
251,1371
252,1373
253,1374
254,1375
255,1376
256,1377
257,1378
258,1379
259,1381
260,1382
261,1383
262,1384
263,1385
264,1386
265,1387
266,1388
267,1389
268,1394
269,1395
270,1396
271,1397
272,1399
273,1400
274,1404
275,1405
276,1406
277,1407
278,1408
279,1410
280,1416
281,1417
282,1418
283,1423
284,1424
285,1425
286,1426
287,1427
288,1428
289,1429
290,1432
291,1433
292,1434
293,1435
294,1436
295,1439
296,1442
297,1443
298,1444
299,1445
300,1446
301,1447
302,1448
303,1449
304,1450
305,1453
306,1454
307,1457
308,1465
309,1470
310,1471
311,1493
312,1494
313,1504
314,1505
315,1513
316,1515
317,1526
318,1532
319,1547
320,1555
321,1560
322,1578
323,1594
324,1616
325,1619
326,1628
327,1630
328,1640
329,1644
330,1648
331,1649
332,1656
333,1657
334,1658
335,1659
336,1660
337,1661
338,1662
339,1663
340,1664
341,1665
342,1666
343,1667
344,1668
345,1669
346,1671
347,1672
348,1673
349,1675
350,1678
351,1686
352,1687
353,1689
354,1692
355,1694
356,1695
357,1696
358,1697
359,1698
360,1699
361,1702
362,1704
363,1705
364,1706
365,1711
366,1712
367,1713
368,1715
369,1716
370,1717
371,1718
372,1735
373,1737
374,1741
375,1742
376,1744
377,1760
378,1762
379,1770
380,1784
381,1785
382,1794
383,1795
384,1796
385,1803
386,1817
387,1827
388,1828
389,1843
390,1845
391,1869
392,1871
393,1902
394,1903
395,1904
396,1909
397,1934
398,1936
399,1951
400,1972
401,1975
402,1979
403,1987
404,1991
405,1992
406,1995
407,2012
408,2016
409,2018
410,2020
411,2027
412,2029
413,2031
414,2036
415,2043
416,2053
417,2054
418,2056
419,2071
420,2083
421,2085
422,2086
423,2088
424,2090
425,2099
426,2101
427,2117
428,2129
429,2139
430,2149
431,2151
432,2155
433,2159
434,2178
435,2203
436,2234
437,2237
438,2239
439,2246
440,2247
441,2258
442,2259
443,2268
444,2269
445,2278
446,2293
447,2312
448,2317
449,2326
450,2330
451,2332
452,2344
453,2354
454,2355
455,2440
456,2444
457,2447
458,2454
459,2455
460,2465
461,2466
462,2468
463,2480
464,2523
465,2528
466,2529
467,2530
468,2533
469,2539
470,2551
471,2566
472,2570
473,2574
474,2583
475,2599
476,2600
477,2630
478,2634
479,2635
480,2636
481,2646
482,2652
483,2653
484,2664
485,2665
486,2678
487,2699
488,2713
489,2715
490,2718
491,2742
492,2745
493,2746
494,2748
495,2752
496,2756
497,2759
498,2770
499,2802
500,2824
501,2830
502,2833
503,2836
504,2837
505,2841
506,2847
507,2849
508,2852
509,2853
510,2858
511,2860
512,2861
513,2864
514,2877
515,2887
516,2892
517,2900
518,2906
519,2914
520,2915
521,2924
522,2933
523,2951
524,2952
525,2954
526,2962
527,2963
528,2968
529,2971
530,2972
531,2975
532,2978
533,2979
534,3019
535,3028
536,3033
537,3037
538,3042
539,3043
540,3061
541,3078
542,3089
543,3103
544,3109
545,3124
546,3127
547,3143
548,3148
549,3150
550,3152
551,3155
552,3159
553,3160
554,3167
555,3172
556,3173
557,3183
558,3204
559,3229
560,3273
561,3274
562,3284
563,3285
564,3286
565,3287
566,3291
567,3297
568,3313
569,3319
570,3326
571,3327
572,3334
573,3343
574,3349
575,3365
576,3366
577,3373
578,3376
579,3381
580,3384
581,3385
582,3402
583,3403
584,3404
585,3405
586,3406
587,3407
588,3409
589,3412
590,3441
591,3453
592,3456
593,3459
594,3482
595,3486
596,3500
597,3501
598,3507
599,3524
600,3540
601,3542
602,3543
603,3545
604,3546
605,3551
606,3553
607,3554
608,3570
609,3574
610,3579
611,3598
612,3614
613,3616
614,3669
615,3670
616,3671
617,3672
618,3682
619,3683
620,3684
621,3686
622,3691
623,3695
624,3722
625,3724
626,3730
627,3733
628,3736
629,3738
630,3744
631,3749
632,3784
633,3802
634,3803
635,3807
636,3808
637,3809
638,3811
639,3817
640,3818
641,3820
642,3824
643,3827
644,3831
645,3834
646,3835
647,3839
648,3840
649,3841
650,3842
651,3843
652,3845
653,3847
654,3849
655,3850
656,3854
657,3855
658,3856
659,3857
660,3858
661,3859
662,3860
663,3861
664,3862
665,3863
666,3864
667,3866
668,3867
669,3872
670,3873
671,3874
672,3875
673,3876
674,3877
675,3878
676,3879
677,3881
678,3882
679,3883
680,3884
681,3885
682,3886
683,3887
684,3888
685,3893
686,3894
687,3896
688,3902
689,3904
690,3905
691,3906
692,3907
693,3908
694,3909
695,3910
696,3912
697,3913
698,3914
699,3917
700,3921
701,3922
702,3924
703,3934
704,3943
705,3944
706,3958
707,3959
708,3960
709,3962
710,3963
711,3970
712,3974
713,4017
714,4034
715,4049
716,4050
717,4052
718,4053
719,4055
720,4059
721,4067
722,4095
723,4097
724,4107
725,4118
726,4122
727,4125
728,4158
729,4159
730,4161
731,4204
732,4206
733,4214
734,4229
735,4233
736,4249
737,4251
738,4258
739,4271
740,4304
741,4308
742,4319
743,4320
744,4333
745,4371
746,4373
747,4374
748,4382
749,4408
750,4418
751,4450
752,4451
753,4458
754,4471
755,4472
756,4486
757,4487
758,4491
759,4496
760,4509
761,4514
762,4515
763,4516
764,4533
765,4535
766,4536
767,4544
768,4555
769,4605
770,4613
771,4615
772,4621
773,4627
774,4634
775,4638
776,4645
777,4655
778,4663
779,4664
780,4665
781,4668
782,4672
783,4673
784,4676
785,4681
786,4683
787,4686
788,4706
789,4722
790,4731
791,4732
792,4733
793,4815
794,4817
795,4824
796,4826
797,4827
798,4831
799,4856
800,4860
801,4865
802,4895
803,4897
804,4902
805,4904
806,4914
807,4915
808,4917
809,4920
810,4922
811,4923
812,4924
813,4926
814,4929
815,4931
816,4940
817,4948
818,4950
819,4952
820,4959
821,4973
822,4974
823,4985
824,4986
825,4993
826,5011
827,5027
828,5028
829,5030
830,5032
831,5045
832,5053
833,5055
834,5057
835,5058
836,5060
837,5062
838,5063
839,5065
840,5069
841,5070
842,5073
843,5124
844,5148
845,5151
846,5153
847,5158
848,5164
849,5168
850,5169
851,5173
852,5174
853,5181
854,5188
855,5194
856,5199
857,5209
858,5224
859,5228
860,5234
861,5255
862,5260
863,5266
864,5318
865,5321
866,5323
867,5330
868,5338
869,5341
870,5369
871,5375
872,5398
873,5401
874,5412
875,5429
876,5430
877,5431
878,5434
879,5460
880,5461
881,5462
882,5463
883,5467
884,5471
885,5473
886,5474
887,5476
888,5477
889,5481
890,5482
891,5485
892,5506
893,5507
894,5524
895,5529
896,5533
897,5584
898,5585
899,5586
900,5594
901,5606
902,5611
903,5613
904,5614
905,5638
906,5649
907,5651
908,5652
909,5653
910,5676
911,5677
912,5720
913,5726
914,5729
915,5733
916,5756
917,5760
918,5762
919,5763
920,5770
921,5771
922,5772
923,5774
924,5778
925,5781
926,5782
927,5783
928,5785
929,5786
930,5803
931,5838
932,5851
933,5857
934,5861
935,5866
936,5871
937,5873
938,5874
939,5875
940,5878
941,5879
942,5881
943,5897
944,5904
945,5908
946,5916
947,5929
948,5930
949,5931
950,5932
951,5933
952,5936
953,5937
954,5972
955,5973
956,5974
957,5977
958,5979
959,5980
960,5981
961,5988
962,5990
963,5999
964,6014
965,6018
966,6022
967,6023
968,6024
969,6028
970,6029
971,6040
972,6041
973,6047
974,6071
975,6073
