,0
0,70
1,74
2,75
3,115
4,137
5,166
6,167
7,169
8,265
9,267
10,360
11,362
12,363
13,366
14,430
15,464
16,579
17,594
18,623
19,624
20,660
21,668
22,672
23,678
24,679
25,681
26,701
27,702
28,709
29,745
30,810
31,815
32,816
33,826
34,834
35,851
36,855
37,870
38,916
39,921
40,926
41,944
42,945
43,950
44,999
45,1000
46,1005
47,1006
48,1035
49,1036
50,1037
51,1038
52,1042
53,1046
54,1047
55,1051
56,1052
57,1053
58,1055
59,1056
60,1057
61,1094
62,1096
63,1099
64,1143
65,1146
66,1147
67,1151
68,1152
69,1153
70,1162
71,1190
72,1191
73,1193
74,1203
75,1361
76,1408
77,1412
78,1436
79,1455
80,1461
81,1476
82,1477
83,1478
84,1479
85,1542
86,1588
87,1589
88,1590
89,1591
90,1592
91,1593
92,1614
93,1616
94,1649
95,1656
96,1658
97,1689
98,1691
99,1692
100,1734
101,1743
102,1744
103,1765
104,1775
105,1787
106,1791
107,1806
108,1817
109,1922
110,1923
111,1924
112,1927
113,1931
114,1980
115,1997
116,1999
117,2073
118,2100
119,2101
120,2125
121,2144
122,2165
123,2191
124,2199
125,2206
126,2290
127,2329
128,2331
129,2332
130,2335
131,2355
132,2378
133,2381
134,2385
135,2441
136,2466
137,2476
138,2502
139,2554
140,2579
141,2580
142,2621
143,2637
144,2641
145,2648
146,2651
147,2665
148,2673
149,2682
150,2695
151,2728
152,2771
153,2774
154,2776
155,2823
156,2850
157,2895
158,2898
159,2899
160,2961
161,3062
162,3100
163,3101
164,3107
165,3138
166,3161
167,3180
168,3190
169,3213
170,3214
171,3219
172,3220
173,3261
174,3304
175,3320
176,3322
177,3338
178,3348
179,3350
180,3353
181,3354
182,3355
183,3356
184,3363
185,3391
186,3404
187,3408
188,3411
189,3412
190,3413
191,3426
192,3455
193,3456
194,3464
195,3465
196,3597
197,3599
198,3600
199,3601
200,3602
201,3603
202,3616
203,3633
204,3655
205,3695
206,3720
207,3726
208,3750
209,3752
210,3757
211,3775
212,3790
213,3795
214,3798
215,3809
216,3847
217,3848
218,3864
219,3869
220,3870
221,3871
222,3872
223,3876
224,3908
225,3914
226,3922
227,4024
228,4027
229,4028
230,4160
231,4202
232,4203
233,4211
234,4212
235,4244
236,4253
237,4277
238,4284
239,4343
240,4371
241,4427
242,4560
243,4569
244,4573
245,4586
246,4593
247,4626
248,4654
249,4678
250,4682
251,4683
252,4688
253,4698
254,4699
255,4706
256,4762
257,4763
258,4827
259,4829
260,4830
261,4885
262,4911
263,4913
264,4949
265,4968
266,4970
267,5011
268,5062
269,5067
270,5069
271,5117
272,5134
273,5159
274,5160
275,5161
276,5184
277,5193
278,5200
279,5201
280,5202
281,5238
282,5285
283,5287
284,5292
285,5293
286,5295
287,5338
288,5357
289,5368
290,5379
291,5380
292,5381
293,5439
294,5440
295,5441
296,5446
297,5457
298,5505
299,5554
300,5559
301,5562
302,5563
303,5584
304,5607
305,5609
306,5617
307,5704
308,5707
309,5743
310,5757
311,5863
312,5884
313,5892
314,5893
315,5901
316,5903
317,5929
318,5958
319,5959
320,5961
321,5965
322,5969
323,5972
324,6041
325,6101
326,6102
327,6109
328,6115
329,6154
330,6161
331,6211
332,6221
333,6263
334,6276
335,6280
336,6281
337,6282
338,6283
339,6317
340,6466
341,6467
342,6469
343,6471
344,6477
345,6501
346,6543
347,6554
348,6570
349,6578
350,6580
351,6581
352,6583
353,6589
354,6624
355,6632
356,6650
357,6668
358,6709
359,6712
360,6748
361,6749
362,6751
363,6755
364,6756
365,6766
366,6849
367,6850
368,6855
369,6864
370,6869
371,6901
372,6912
373,6986
374,6999
375,7027
376,7057
377,7061
378,7068
379,7102
380,7114
381,7160
382,7164
383,7171
384,7181
385,7182
386,7187
387,7323
388,7331
389,7348
390,7359
391,7414
392,7417
393,7418
394,7420
395,7427
396,7428
397,7435
398,7488
399,7514
400,7534
401,7545
402,7548
403,7549
404,7574
405,7601
406,7685
407,7724
408,7757
409,7759
410,7761
411,7762
412,7769
413,7845
414,7850
415,7925
416,7935
417,7940
418,7941
419,7981
420,7986
421,7989
422,7996
423,8024
424,8046
425,8051
426,8058
427,8069
428,8087
429,8130
430,8150
431,8165
432,8167
433,8171
434,8172
435,8185
436,8186
437,8200
438,8205
439,8210
440,8252
441,8285
442,8311
443,8368
444,8393
445,8398
446,8402
447,8411
448,8415
449,8416
450,8417
451,8423
452,8474
453,8544
454,8560
455,8562
456,8568
457,8582
458,8600
459,8608
460,8621
461,8674
462,8679
463,8748
464,8755
465,8772
466,8779
467,8791
468,8835
469,8839
470,8846
471,8884
472,8906
473,8943
474,8959
475,8974
476,8986
477,9002
478,9011
479,9032
480,9040
481,9072
482,9095
483,9120
484,9150
485,9151
486,9163
487,9179
488,9202
