,0
0,0.0
1,1.0
2,3.0
3,4.0
4,5.0
5,6.0
6,7.0
7,8.0
8,9.0
9,10.0
10,12.0
11,14.0
12,15.0
13,16.0
14,17.0
15,18.0
16,19.0
17,21.0
18,22.0
19,23.0
20,25.0
21,27.0
22,30.0
23,31.0
24,32.0
25,33.0
26,34.0
27,35.0
28,36.0
29,37.0
30,41.0
31,42.0
32,43.0
33,44.0
34,45.0
35,46.0
36,47.0
37,48.0
38,49.0
39,50.0
40,51.0
41,52.0
42,53.0
43,54.0
44,55.0
45,56.0
46,58.0
47,59.0
48,60.0
49,63.0
50,65.0
51,67.0
52,73.0
53,74.0
54,76.0
55,77.0
56,78.0
57,80.0
58,81.0
59,82.0
60,83.0
61,84.0
62,85.0
63,86.0
64,87.0
65,89.0
66,90.0
67,91.0
68,92.0
69,93.0
70,94.0
71,95.0
72,96.0
73,97.0
74,98.0
75,99.0
76,100.0
77,101.0
78,102.0
79,103.0
80,105.0
81,106.0
82,107.0
83,109.0
84,110.0
85,113.0
86,114.0
87,115.0
88,118.0
89,119.0
90,120.0
91,121.0
92,122.0
93,123.0
94,124.0
95,125.0
96,126.0
97,127.0
98,128.0
99,129.0
100,130.0
101,131.0
102,132.0
103,133.0
104,134.0
105,135.0
106,136.0
107,137.0
108,138.0
109,139.0
110,140.0
111,141.0
112,143.0
113,144.0
114,145.0
115,146.0
116,147.0
117,148.0
118,149.0
119,150.0
120,152.0
121,153.0
122,154.0
123,155.0
124,156.0
125,157.0
126,158.0
127,159.0
128,160.0
129,162.0
130,163.0
131,164.0
132,165.0
133,166.0
134,167.0
135,168.0
136,169.0
137,170.0
138,171.0
139,172.0
140,173.0
141,174.0
142,175.0
143,177.0
144,178.0
145,180.0
146,181.0
147,182.0
148,183.0
149,185.0
150,186.0
151,188.0
152,189.0
153,190.0
154,191.0
155,192.0
156,195.0
157,196.0
158,197.0
159,198.0
160,199.0
161,201.0
162,203.0
163,204.0
164,209.0
165,211.0
166,213.0
167,214.0
168,216.0
169,219.0
170,220.0
171,222.0
172,223.0
173,224.0
174,225.0
175,226.0
176,227.0
177,228.0
178,231.0
179,232.0
180,233.0
181,234.0
182,235.0
183,236.0
184,237.0
185,238.0
186,239.0
187,240.0
188,241.0
189,242.0
190,243.0
191,244.0
192,245.0
193,246.0
194,247.0
195,249.0
196,250.0
197,252.0
198,253.0
199,256.0
200,258.0
201,259.0
202,260.0
203,261.0
204,262.0
205,266.0
206,267.0
207,268.0
208,269.0
209,270.0
210,271.0
211,272.0
212,273.0
213,274.0
214,276.0
215,277.0
216,278.0
217,280.0
218,281.0
219,282.0
220,283.0
221,284.0
222,285.0
223,287.0
224,288.0
225,289.0
226,290.0
227,291.0
228,296.0
229,299.0
230,300.0
231,302.0
232,303.0
233,304.0
234,305.0
235,306.0
236,307.0
237,308.0
238,309.0
239,310.0
240,311.0
241,312.0
242,313.0
243,314.0
244,315.0
245,316.0
246,317.0
247,318.0
248,319.0
249,320.0
250,321.0
251,322.0
252,323.0
253,325.0
254,326.0
255,327.0
256,328.0
257,329.0
258,330.0
259,331.0
260,333.0
261,334.0
262,335.0
263,336.0
264,337.0
265,338.0
266,339.0
267,340.0
268,341.0
269,342.0
270,343.0
271,344.0
272,345.0
273,346.0
274,347.0
275,348.0
276,349.0
277,351.0
278,352.0
279,353.0
280,354.0
281,355.0
282,356.0
283,357.0
284,358.0
285,359.0
286,360.0
287,361.0
288,362.0
289,363.0
290,364.0
291,365.0
292,366.0
293,367.0
294,368.0
295,369.0
296,372.0
297,373.0
298,374.0
299,376.0
300,377.0
301,378.0
302,379.0
303,380.0
304,381.0
305,382.0
306,383.0
307,384.0
308,385.0
309,386.0
310,387.0
311,388.0
312,389.0
313,390.0
314,391.0
315,392.0
316,393.0
317,394.0
318,395.0
319,396.0
320,397.0
321,398.0
322,400.0
323,401.0
324,402.0
325,404.0
326,405.0
327,406.0
328,407.0
329,408.0
330,409.0
331,410.0
332,411.0
333,412.0
334,413.0
335,415.0
336,416.0
337,417.0
338,419.0
339,420.0
340,421.0
341,422.0
342,423.0
343,424.0
344,425.0
345,426.0
346,427.0
347,428.0
348,429.0
349,430.0
350,431.0
351,432.0
352,436.0
353,437.0
354,438.0
355,440.0
356,441.0
357,442.0
358,443.0
359,444.0
360,445.0
361,446.0
362,448.0
363,449.0
364,450.0
365,451.0
366,452.0
367,456.0
368,457.0
369,458.0
370,460.0
371,461.0
372,462.0
373,467.0
374,468.0
375,469.0
376,470.0
377,471.0
378,472.0
379,473.0
380,475.0
381,476.0
382,477.0
383,478.0
384,480.0
385,481.0
386,482.0
387,483.0
388,487.0
389,489.0
390,493.0
391,495.0
392,496.0
393,497.0
394,498.0
395,499.0
396,500.0
397,501.0
398,503.0
399,506.0
400,509.0
401,510.0
402,511.0
403,515.0
404,519.0
405,525.0
406,526.0
407,530.0
408,533.0
409,534.0
410,536.0
411,537.0
412,538.0
413,540.0
414,541.0
415,542.0
416,543.0
417,544.0
418,545.0
419,548.0
420,549.0
421,550.0
422,551.0
423,552.0
424,553.0
425,554.0
426,555.0
427,557.0
428,558.0
429,559.0
430,560.0
431,561.0
432,564.0
433,566.0
434,567.0
435,568.0
436,569.0
437,570.0
438,571.0
439,572.0
440,573.0
441,574.0
442,575.0
443,576.0
444,577.0
445,578.0
446,579.0
447,580.0
448,581.0
449,582.0
450,583.0
451,584.0
452,585.0
453,586.0
454,587.0
455,588.0
456,589.0
457,590.0
458,591.0
459,592.0
460,594.0
461,596.0
462,597.0
463,598.0
464,599.0
465,600.0
466,601.0
467,602.0
468,603.0
469,605.0
470,607.0
471,608.0
472,609.0
473,610.0
474,611.0
475,612.0
476,613.0
477,614.0
478,615.0
479,616.0
480,617.0
481,618.0
482,619.0
483,620.0
484,621.0
485,625.0
486,626.0
487,628.0
488,629.0
489,630.0
490,631.0
491,632.0
492,633.0
493,637.0
494,638.0
495,639.0
496,640.0
497,641.0
498,642.0
499,643.0
500,644.0
501,645.0
502,646.0
503,648.0
504,649.0
505,650.0
506,651.0
507,652.0
508,653.0
509,654.0
510,655.0
511,656.0
512,657.0
513,658.0
514,659.0
515,660.0
516,661.0
517,662.0
518,663.0
519,664.0
520,665.0
521,666.0
522,667.0
523,668.0
524,669.0
525,670.0
526,671.0
527,672.0
528,673.0
529,674.0
530,675.0
531,676.0
532,677.0
533,678.0
534,679.0
535,680.0
536,681.0
537,682.0
538,683.0
539,684.0
540,685.0
541,686.0
542,687.0
543,688.0
544,689.0
545,690.0
546,693.0
547,694.0
548,696.0
549,697.0
550,698.0
551,699.0
552,700.0
553,701.0
554,702.0
555,703.0
556,704.0
557,705.0
558,707.0
559,708.0
560,709.0
561,710.0
562,711.0
563,712.0
564,713.0
565,714.0
566,715.0
567,716.0
568,717.0
569,718.0
570,719.0
571,720.0
572,721.0
573,722.0
574,723.0
575,724.0
576,729.0
577,730.0
578,731.0
579,732.0
580,733.0
581,734.0
582,735.0
583,736.0
584,737.0
585,738.0
586,739.0
587,740.0
588,741.0
589,742.0
590,743.0
591,744.0
592,745.0
593,746.0
594,748.0
595,749.0
596,751.0
597,753.0
598,754.0
599,755.0
600,756.0
601,757.0
602,758.0
603,760.0
604,761.0
605,762.0
606,763.0
607,764.0
608,765.0
609,766.0
610,767.0
611,769.0
612,770.0
613,771.0
614,775.0
615,776.0
616,777.0
617,780.0
618,781.0
619,784.0
620,785.0
621,786.0
622,787.0
623,788.0
624,789.0
625,790.0
626,791.0
627,792.0
628,793.0
629,794.0
630,795.0
631,796.0
632,797.0
633,799.0
634,801.0
635,802.0
636,804.0
637,805.0
638,807.0
639,808.0
