,0
0,1
1,10
2,50
3,54
4,55
5,57
6,58
7,59
8,61
9,62
10,68
11,70
12,71
13,75
14,78
15,82
16,83
17,85
18,100
19,102
20,106
21,108
22,137
23,154
24,156
25,159
26,164
27,165
28,166
29,167
30,168
31,169
32,179
33,180
34,190
35,211
36,212
37,221
38,222
39,239
40,251
41,262
42,271
43,276
44,277
45,278
46,279
47,292
48,305
49,320
50,335
51,338
52,341
53,348
54,389
55,394
56,429
57,430
58,438
59,440
60,453
61,464
62,465
63,474
64,475
65,476
66,480
67,481
68,483
69,485
70,497
71,498
72,500
73,504
74,506
75,508
76,510
77,512
78,513
79,514
80,515
81,516
82,517
83,519
84,520
85,523
86,524
87,535
88,536
89,537
90,539
91,555
92,562
93,594
94,600
95,602
96,608
97,616
98,664
99,693
100,705
101,707
102,715
103,717
104,718
105,719
106,720
107,721
108,723
109,731
110,741
111,745
112,746
113,747
114,751
115,754
116,764
117,769
118,775
119,776
120,790
121,792
122,808
123,828
124,829
125,831
126,833
127,836
128,837
129,842
130,844
131,856
132,868
133,872
134,875
135,886
136,891
137,900
138,904
139,917
140,927
141,933
142,938
143,942
144,943
145,945
146,948
147,961
148,962
149,965
150,969
151,984
152,992
153,999
154,1046
155,1055
156,1056
157,1057
158,1058
159,1063
160,1068
161,1081
162,1082
163,1083
164,1105
165,1107
166,1108
167,1109
168,1118
169,1138
170,1139
171,1149
172,1153
173,1194
174,1205
175,1211
176,1221
177,1225
178,1227
179,1229
180,1234
181,1235
182,1246
183,1251
184,1255
185,1256
186,1257
187,1260
188,1261
189,1263
190,1264
191,1265
192,1267
193,1269
194,1270
195,1271
196,1273
197,1274
198,1275
199,1276
200,1278
201,1280
202,1281
203,1282
204,1283
205,1284
206,1285
207,1286
208,1287
209,1288
210,1289
211,1290
212,1291
213,1293
214,1294
215,1295
216,1296
217,1297
218,1298
219,1299
220,1300
221,1303
222,1305
223,1306
224,1307
225,1308
226,1309
227,1310
228,1311
229,1312
230,1322
231,1323
232,1331
233,1332
234,1333
235,1334
236,1335
237,1336
238,1337
239,1338
240,1339
241,1340
242,1341
243,1342
244,1344
245,1345
246,1346
247,1347
248,1349
249,1350
250,1351
251,1352
252,1353
253,1354
254,1355
255,1361
256,1363
257,1364
258,1365
259,1366
260,1367
261,1369
262,1370
263,1371
264,1372
265,1376
266,1377
267,1378
268,1379
269,1381
270,1386
271,1387
272,1388
273,1389
274,1391
275,1395
276,1396
277,1397
278,1398
279,1399
280,1400
281,1403
282,1404
283,1405
284,1406
285,1407
286,1408
287,1413
288,1415
289,1416
290,1417
291,1418
292,1419
293,1420
294,1421
295,1424
296,1425
297,1428
298,1434
299,1456
300,1457
301,1465
302,1466
303,1474
304,1475
305,1487
306,1492
307,1508
308,1514
309,1517
310,1536
311,1567
312,1571
313,1576
314,1585
315,1587
316,1595
317,1597
318,1600
319,1603
320,1607
321,1608
322,1615
323,1616
324,1617
325,1618
326,1619
327,1620
328,1621
329,1622
330,1623
331,1624
332,1625
333,1626
334,1627
335,1628
336,1629
337,1630
338,1631
339,1632
340,1634
341,1635
342,1637
343,1640
344,1641
345,1647
346,1648
347,1650
348,1653
349,1655
350,1656
351,1657
352,1658
353,1659
354,1660
355,1661
356,1664
357,1665
358,1666
359,1667
360,1669
361,1673
362,1674
363,1676
364,1677
365,1678
366,1679
367,1693
368,1697
369,1698
370,1700
371,1714
372,1716
373,1724
374,1738
375,1739
376,1748
377,1749
378,1750
379,1758
380,1771
381,1781
382,1782
383,1794
384,1796
385,1820
386,1821
387,1848
388,1849
389,1854
390,1879
391,1893
392,1917
393,1919
394,1922
395,1927
396,1930
397,1933
398,1934
399,1937
400,1952
401,1955
402,1957
403,1966
404,1968
405,1973
406,1980
407,1990
408,1991
409,1993
410,2008
411,2018
412,2020
413,2022
414,2024
415,2033
416,2035
417,2050
418,2061
419,2070
420,2079
421,2084
422,2088
423,2105
424,2131
425,2140
426,2163
427,2172
428,2173
429,2184
430,2185
431,2191
432,2192
433,2200
434,2233
435,2239
436,2250
437,2255
438,2257
439,2269
440,2279
441,2280
442,2292
443,2359
444,2365
445,2367
446,2374
447,2375
448,2384
449,2385
450,2386
451,2398
452,2437
453,2442
454,2443
455,2444
456,2447
457,2453
458,2462
459,2477
460,2481
461,2483
462,2492
463,2505
464,2506
465,2535
466,2539
467,2540
468,2541
469,2551
470,2554
471,2565
472,2566
473,2580
474,2601
475,2615
476,2617
477,2620
478,2639
479,2641
480,2643
481,2648
482,2652
483,2655
484,2665
485,2716
486,2726
487,2727
488,2731
489,2737
490,2739
491,2741
492,2742
493,2747
494,2749
495,2750
496,2765
497,2775
498,2785
499,2792
500,2800
501,2801
502,2809
503,2817
504,2835
505,2844
506,2845
507,2850
508,2853
509,2854
510,2857
511,2859
512,2860
513,2901
514,2910
515,2915
516,2919
517,2924
518,2925
519,2954
520,2963
521,2976
522,2982
523,2994
524,2997
525,3011
526,3013
527,3015
528,3019
529,3021
530,3023
531,3026
532,3030
533,3031
534,3041
535,3042
536,3052
537,3098
538,3133
539,3137
540,3138
541,3148
542,3149
543,3150
544,3151
545,3155
546,3173
547,3175
548,3180
549,3186
550,3187
551,3194
552,3203
553,3209
554,3225
555,3226
556,3232
557,3239
558,3242
559,3243
560,3260
561,3261
562,3262
563,3263
564,3264
565,3266
566,3295
567,3308
568,3310
569,3313
570,3336
571,3340
572,3355
573,3356
574,3362
575,3367
576,3380
577,3396
578,3398
579,3399
580,3401
581,3402
582,3407
583,3409
584,3410
585,3416
586,3428
587,3432
588,3437
589,3438
590,3456
591,3472
592,3474
593,3528
594,3529
595,3530
596,3531
597,3540
598,3541
599,3542
600,3544
601,3545
602,3550
603,3554
604,3579
605,3580
606,3586
607,3589
608,3592
609,3594
610,3600
611,3605
612,3640
613,3644
614,3657
615,3658
616,3662
617,3663
618,3664
619,3666
620,3671
621,3672
622,3674
623,3678
624,3681
625,3684
626,3686
627,3687
628,3688
629,3692
630,3693
631,3695
632,3696
633,3697
634,3699
635,3701
636,3702
637,3704
638,3705
639,3709
640,3711
641,3712
642,3713
643,3714
644,3715
645,3716
646,3717
647,3718
648,3719
649,3720
650,3721
651,3722
652,3724
653,3725
654,3726
655,3727
656,3732
657,3733
658,3734
659,3735
660,3736
661,3737
662,3739
663,3740
664,3741
665,3742
666,3743
667,3744
668,3745
669,3746
670,3747
671,3748
672,3754
673,3756
674,3761
675,3763
676,3764
677,3765
678,3766
679,3767
680,3768
681,3769
682,3771
683,3772
684,3773
685,3777
686,3778
687,3780
688,3790
689,3799
690,3811
691,3812
692,3813
693,3815
694,3816
695,3823
696,3826
697,3868
698,3881
699,3894
700,3896
701,3897
702,3902
703,3936
704,3938
705,3949
706,3950
707,3959
708,3965
709,4003
710,4004
711,4005
712,4052
713,4060
714,4077
715,4092
716,4094
717,4100
718,4104
719,4116
720,4150
721,4154
722,4165
723,4166
724,4174
725,4210
726,4212
727,4213
728,4221
729,4247
730,4257
731,4258
732,4287
733,4288
734,4293
735,4295
736,4305
737,4318
738,4319
739,4323
740,4328
741,4341
742,4345
743,4346
744,4363
745,4365
746,4366
747,4377
748,4384
749,4419
750,4433
751,4441
752,4442
753,4445
754,4446
755,4452
756,4458
757,4465
758,4469
759,4476
760,4486
761,4491
762,4492
763,4495
764,4498
765,4499
766,4501
767,4506
768,4508
769,4511
770,4530
771,4547
772,4558
773,4559
774,4560
775,4628
776,4636
777,4638
778,4645
779,4647
780,4648
781,4651
782,4672
783,4676
784,4682
785,4708
786,4710
787,4715
788,4716
789,4726
790,4727
791,4729
792,4732
793,4734
794,4735
795,4736
796,4740
797,4742
798,4751
799,4758
800,4760
801,4762
802,4770
803,4782
804,4783
805,4792
806,4793
807,4800
808,4818
809,4834
810,4835
811,4837
812,4840
813,4854
814,4855
815,4856
816,4867
817,4869
818,4871
819,4872
820,4874
821,4876
822,4877
823,4882
824,4883
825,4886
826,4937
827,4951
828,4964
829,4965
830,4967
831,4972
832,4977
833,4981
834,4982
835,4987
836,4994
837,5001
838,5006
839,5012
840,5020
841,5032
842,5033
843,5036
844,5041
845,5063
846,5066
847,5068
848,5070
849,5096
850,5120
851,5131
852,5138
853,5141
854,5171
855,5176
856,5193
857,5196
858,5207
859,5222
860,5223
861,5224
862,5227
863,5253
864,5254
865,5255
866,5256
867,5260
868,5264
869,5266
870,5267
871,5269
872,5270
873,5274
874,5277
875,5298
876,5299
877,5312
878,5317
879,5321
880,5369
881,5370
882,5371
883,5378
884,5387
885,5392
886,5394
887,5395
888,5396
889,5419
890,5432
891,5433
892,5434
893,5452
894,5483
895,5491
896,5495
897,5496
898,5518
899,5522
900,5525
901,5526
902,5533
903,5534
904,5535
905,5538
906,5542
907,5545
908,5546
909,5547
910,5548
911,5550
912,5551
913,5567
914,5598
915,5612
916,5618
917,5619
918,5623
919,5629
920,5634
921,5636
922,5637
923,5638
924,5639
925,5641
926,5642
927,5643
928,5658
929,5665
930,5667
931,5675
932,5689
933,5690
934,5691
935,5692
936,5693
937,5695
938,5696
939,5727
940,5728
941,5729
942,5730
943,5731
944,5738
945,5740
946,5749
947,5763
948,5768
949,5771
950,5772
951,5773
952,5777
953,5778
954,5789
955,5790
956,5795
957,5818
958,5820
959,5824
960,5832
961,5838
962,5839
963,5849
964,5873
965,5874
966,5883
967,5889
968,5890
969,5903
970,5908
971,5913
972,5916
973,5928
974,5930
975,5936
976,5937
977,5938
978,5949
979,5951
980,5952
981,5962
982,5963
983,5974
984,5976
985,5980
986,5985
987,5987
988,5988
989,5990
990,5991
991,5992
992,5994
993,5995
994,5996
995,5998
996,6000
997,6005
998,6007
999,6008
1000,6009
1001,6010
1002,6011
1003,6012
1004,6013
1005,6014
1006,6015
1007,6017
1008,6018
1009,6020
1010,6021
1011,6022
1012,6035
1013,6037
1014,6046
1015,6053
1016,6070
1017,6089
1018,6094
1019,6096
1020,6098
1021,6102
1022,6104
1023,6105
1024,6106
1025,6112
1026,6113
1027,6142
1028,6144
1029,6147
1030,6149
1031,6165
1032,6168
1033,6170
1034,6171
1035,6172
1036,6177
1037,6200
1038,6210
1039,6212
1040,6215
1041,6218
1042,6220
1043,6222
1044,6223
1045,6226
1046,6234
1047,6241
1048,6258
1049,6274
1050,6276
1051,6277
1052,6279
1053,6285
1054,6296
1055,6324
1056,6330
1057,6350
1058,6358
1059,6360
1060,6375
1061,6390
1062,6392
1063,6393
1064,6399
1065,6400
1066,6401
1067,6403
1068,6404
1069,6405
1070,6407
1071,6408
1072,6423
1073,6426
1074,6427
1075,6428
1076,6432
