,0
0,0
1,8
2,11
3,45
4,47
5,48
6,50
7,51
8,52
9,53
10,55
11,57
12,62
13,64
14,65
15,69
16,72
17,75
18,77
19,90
20,94
21,118
22,133
23,135
24,138
25,141
26,142
27,143
28,144
29,145
30,153
31,163
32,186
33,191
34,192
35,209
36,220
37,231
38,241
39,246
40,247
41,248
42,249
43,260
44,283
45,285
46,286
47,301
48,311
49,312
50,347
51,353
52,378
53,385
54,396
55,403
56,411
57,412
58,413
59,416
60,418
61,420
62,421
63,432
64,433
65,437
66,439
67,440
68,441
69,443
70,445
71,446
72,447
73,448
74,450
75,454
76,464
77,465
78,466
79,468
80,487
81,517
82,522
83,524
84,528
85,533
86,575
87,600
88,602
89,609
90,611
91,612
92,628
93,632
94,633
95,637
96,640
97,646
98,649
99,655
100,656
101,667
102,668
103,680
104,699
105,700
106,702
107,704
108,707
109,708
110,711
111,713
112,724
113,733
114,734
115,737
116,756
117,785
118,786
119,789
120,793
121,794
122,796
123,810
124,811
125,814
126,829
127,877
128,885
129,886
130,887
131,888
132,893
133,897
134,927
135,928
136,930
137,931
138,932
139,954
140,955
141,962
142,972
143,1001
144,1024
145,1027
146,1029
147,1030
148,1031
149,1033
150,1036
151,1046
152,1051
153,1053
154,1054
155,1055
156,1056
157,1058
158,1060
159,1062
160,1063
161,1065
162,1066
163,1067
164,1068
165,1069
166,1071
167,1072
168,1073
169,1074
170,1075
171,1076
172,1077
173,1078
174,1079
175,1081
176,1082
177,1083
178,1084
179,1085
180,1086
181,1089
182,1091
183,1092
184,1093
185,1094
186,1100
187,1101
188,1102
189,1106
190,1107
191,1108
192,1109
193,1110
194,1111
195,1112
196,1113
197,1114
198,1115
199,1116
200,1117
201,1118
202,1119
203,1120
204,1121
205,1122
206,1123
207,1124
208,1130
209,1131
210,1133
211,1134
212,1135
213,1139
214,1140
215,1141
216,1143
217,1147
218,1148
219,1150
220,1154
221,1155
222,1156
223,1157
224,1160
225,1161
226,1162
227,1163
228,1166
229,1170
230,1171
231,1172
232,1173
233,1174
234,1177
235,1182
236,1186
237,1201
238,1202
239,1210
240,1211
241,1219
242,1231
243,1245
244,1251
245,1269
246,1284
247,1303
248,1310
249,1312
250,1318
251,1321
252,1324
253,1325
254,1330
255,1331
256,1332
257,1333
258,1334
259,1335
260,1336
261,1337
262,1338
263,1339
264,1340
265,1341
266,1342
267,1344
268,1346
269,1347
270,1354
271,1355
272,1357
273,1360
274,1362
275,1363
276,1364
277,1365
278,1366
279,1367
280,1368
281,1370
282,1372
283,1377
284,1378
285,1380
286,1381
287,1382
288,1392
289,1395
290,1397
291,1406
292,1408
293,1415
294,1425
295,1426
296,1434
297,1435
298,1442
299,1456
300,1457
301,1465
302,1484
303,1507
304,1508
305,1513
306,1534
307,1547
308,1561
309,1566
310,1571
311,1574
312,1576
313,1577
314,1586
315,1595
316,1599
317,1607
318,1612
319,1619
320,1626
321,1627
322,1646
323,1650
324,1656
325,1660
326,1672
327,1691
328,1693
329,1696
330,1743
331,1762
332,1764
333,1767
334,1777
335,1783
336,1791
337,1831
338,1835
339,1843
340,1853
341,1926
342,1929
343,1980
344,1984
345,1985
346,1986
347,1989
348,1994
349,2001
350,2011
351,2014
352,2016
353,2021
354,2033
355,2060
356,2064
357,2065
358,2070
359,2081
360,2082
361,2093
362,2122
363,2137
364,2140
365,2145
366,2149
367,2188
368,2207
369,2215
370,2216
371,2220
372,2225
373,2227
374,2228
375,2233
376,2235
377,2236
378,2258
379,2269
380,2272
381,2277
382,2278
383,2284
384,2293
385,2308
386,2309
387,2315
388,2316
389,2322
390,2323
391,2325
392,2328
393,2329
394,2362
395,2369
396,2374
397,2381
398,2382
399,2394
400,2400
401,2408
402,2417
403,2426
404,2439
405,2451
406,2457
407,2460
408,2463
409,2464
410,2471
411,2472
412,2521
413,2550
414,2555
415,2565
416,2566
417,2567
418,2568
419,2588
420,2590
421,2597
422,2604
423,2608
424,2623
425,2626
426,2629
427,2632
428,2635
429,2650
430,2651
431,2652
432,2654
433,2681
434,2694
435,2717
436,2720
437,2733
438,2734
439,2739
440,2756
441,2772
442,2774
443,2775
444,2778
445,2779
446,2784
447,2793
448,2797
449,2800
450,2828
451,2830
452,2875
453,2876
454,2877
455,2885
456,2886
457,2887
458,2889
459,2890
460,2896
461,2917
462,2918
463,2922
464,2925
465,2928
466,2930
467,2935
468,2940
469,2976
470,2977
471,2981
472,2982
473,2983
474,2987
475,2989
476,2994
477,2998
478,3000
479,3001
480,3002
481,3005
482,3006
483,3008
484,3009
485,3011
486,3013
487,3014
488,3017
489,3019
490,3020
491,3021
492,3022
493,3023
494,3024
495,3025
496,3026
497,3027
498,3028
499,3029
500,3030
501,3032
502,3033
503,3034
504,3035
505,3039
506,3040
507,3041
508,3042
509,3043
510,3045
511,3046
512,3047
513,3048
514,3049
515,3050
516,3051
