,0
0,1
1,67
2,71
3,72
4,108
5,131
6,155
7,156
8,243
9,244
10,245
11,300
12,334
13,335
14,386
15,525
16,543
17,570
18,571
19,604
20,611
21,616
22,621
23,622
24,624
25,646
26,654
27,686
28,746
29,751
30,752
31,766
32,784
33,788
34,800
35,838
36,843
37,860
38,865
39,907
40,911
41,912
42,940
43,941
44,942
45,945
46,948
47,949
48,952
49,953
50,954
51,956
52,957
53,958
54,988
55,991
56,1007
57,1028
58,1029
59,1033
60,1034
61,1039
62,1070
63,1071
64,1073
65,1082
66,1227
67,1245
68,1260
69,1264
70,1285
71,1297
72,1301
73,1302
74,1313
75,1314
76,1315
77,1316
78,1317
79,1325
80,1379
81,1419
82,1421
83,1422
84,1423
85,1424
86,1426
87,1446
88,1473
89,1479
90,1509
91,1510
92,1545
93,1551
94,1552
95,1568
96,1579
97,1587
98,1592
99,1700
100,1701
101,1702
102,1705
103,1709
104,1742
105,1758
106,1761
107,1823
108,1847
109,1848
110,1867
111,1887
112,1909
113,1933
114,1940
115,1947
116,2025
117,2058
118,2060
119,2061
120,2065
121,2079
122,2083
123,2085
124,2096
125,2099
126,2102
127,2133
128,2145
129,2149
130,2150
131,2170
132,2172
133,2179
134,2200
135,2222
136,2238
137,2283
138,2284
139,2322
140,2332
141,2340
142,2343
143,2359
144,2367
145,2379
146,2411
147,2452
148,2454
149,2489
150,2511
151,2549
152,2552
153,2553
154,2601
155,2684
156,2713
157,2719
158,2745
159,2764
160,2781
161,2788
162,2807
163,2808
164,2813
165,2814
166,2846
167,2882
168,2884
169,2897
170,2898
171,2912
172,2921
173,2922
174,2923
175,2925
176,2926
177,2927
178,2928
179,2934
180,2958
181,2971
182,2975
183,2977
184,2978
185,2989
186,3012
187,3013
188,3017
189,3018
190,3137
191,3138
192,3139
193,3140
194,3141
195,3153
196,3160
197,3161
198,3169
199,3220
200,3228
201,3247
202,3252
203,3272
204,3273
205,3274
206,3275
207,3280
208,3282
209,3294
210,3306
211,3310
212,3312
213,3321
214,3355
215,3368
216,3369
217,3370
218,3371
219,3375
220,3405
221,3410
222,3489
223,3491
224,3492
225,3607
226,3644
227,3650
228,3677
229,3686
230,3705
231,3713
232,3757
233,3822
234,3943
235,3950
236,3955
237,3967
238,3973
239,3988
240,3989
241,4002
242,4009
243,4010
244,4026
245,4032
246,4054
247,4104
248,4105
249,4138
250,4155
251,4159
252,4205
253,4226
254,4228
255,4255
256,4270
257,4309
258,4358
259,4363
260,4364
261,4379
262,4397
263,4415
264,4438
265,4439
266,4440
267,4456
268,4465
269,4472
270,4473
271,4474
272,4504
273,4545
274,4547
275,4549
276,4552
277,4553
278,4555
279,4593
280,4620
281,4634
282,4635
283,4636
284,4667
285,4668
286,4669
287,4670
288,4675
289,4702
290,4712
291,4750
292,4755
293,4758
294,4759
295,4767
296,4790
297,4793
298,4821
299,4863
300,4866
301,4896
302,4910
303,5002
304,5027
305,5036
306,5039
307,5060
308,5063
309,5087
