,0
0,0
1,23
2,24
3,27
4,28
5,31
6,35
7,36
8,44
9,55
10,63
11,64
12,67
13,86
14,102
15,111
16,113
17,114
18,134
19,137
20,180
21,189
22,190
23,193
24,194
25,195
26,196
27,205
28,206
29,210
30,217
31,218
32,219
33,227
34,248
35,267
36,272
37,285
38,287
39,291
40,292
41,294
42,304
43,305
44,310
45,313
46,315
47,323
48,327
49,328
50,332
51,336
52,338
53,340
54,343
55,362
56,374
57,382
58,388
59,405
60,406
61,421
62,425
63,426
64,427
65,438
66,462
67,469
68,471
69,473
70,475
71,477
72,483
73,484
74,485
75,486
76,488
77,489
78,490
79,491
80,493
81,498
82,499
83,500
84,501
85,502
86,505
87,508
88,510
89,512
90,513
91,515
92,516
93,518
94,534
95,548
96,553
97,564
98,587
99,593
100,597
101,601
102,602
103,603
104,604
105,605
106,606
107,607
108,609
109,610
110,611
111,612
112,614
113,617
114,619
115,621
116,622
117,626
118,630
119,631
120,632
121,640
122,645
123,658
124,659
125,665
126,701
127,704
128,705
129,706
130,715
131,717
132,729
133,730
134,732
135,737
136,743
137,746
138,747
139,794
140,799
141,800
142,823
143,891
144,894
145,895
146,896
147,906
148,929
149,930
150,931
151,933
152,944
153,951
154,958
155,965
156,966
157,967
158,970
159,979
160,996
161,1000
162,1002
163,1006
164,1007
165,1016
166,1022
167,1028
168,1032
169,1050
170,1052
171,1053
172,1073
173,1078
174,1101
175,1104
176,1120
177,1121
178,1124
179,1125
180,1131
181,1150
182,1173
183,1178
184,1179
185,1187
186,1191
187,1205
188,1208
189,1211
190,1220
191,1221
192,1232
193,1237
194,1253
195,1261
196,1263
197,1276
198,1281
199,1317
200,1318
201,1324
202,1339
203,1342
204,1345
205,1366
206,1368
207,1372
208,1373
209,1374
210,1379
211,1381
212,1382
213,1385
214,1386
215,1387
216,1388
217,1390
218,1391
219,1393
220,1395
221,1396
222,1397
223,1400
224,1402
225,1412
226,1413
227,1421
228,1425
229,1440
230,1446
231,1472
232,1487
233,1507
234,1511
235,1523
236,1525
237,1528
238,1531
239,1541
240,1566
241,1587
242,1598
243,1600
244,1611
245,1618
246,1625
247,1626
248,1662
249,1684
250,1709
251,1718
252,1728
253,1729
254,1734
255,1736
256,1738
257,1739
258,1740
259,1743
260,1752
261,1760
262,1765
263,1769
264,1783
265,1784
266,1792
267,1793
268,1797
269,1798
270,1806
271,1815
272,1822
273,1824
274,1830
275,1833
276,1847
277,1870
278,1882
279,1906
280,1920
281,1923
282,1924
283,1929
284,1936
285,1970
286,1978
287,1998
288,1999
289,2009
290,2022
291,2036
292,2037
293,2041
294,2042
295,2043
296,2046
297,2048
298,2049
299,2051
300,2059
301,2068
302,2072
303,2079
304,2080
305,2081
306,2082
307,2097
308,2098
309,2099
310,2100
311,2122
312,2126
313,2131
314,2132
315,2144
316,2147
317,2148
318,2159
319,2163
320,2170
321,2176
322,2181
323,2182
324,2183
325,2186
326,2197
327,2201
328,2205
329,2207
330,2211
331,2212
332,2213
333,2214
334,2215
335,2227
336,2241
337,2252
338,2266
339,2283
340,2286
341,2290
342,2337
343,2338
344,2347
345,2349
346,2350
347,2351
348,2352
349,2356
350,2357
351,2361
352,2366
353,2369
354,2370
355,2372
356,2377
357,2393
358,2394
359,2397
360,2402
361,2403
362,2404
363,2408
364,2417
365,2418
366,2437
367,2440
368,2441
369,2442
370,2448
371,2455
372,2459
373,2467
374,2469
375,2470
376,2491
377,2524
378,2526
379,2528
380,2529
381,2530
382,2538
383,2539
384,2546
385,2559
386,2561
387,2569
388,2590
389,2596
390,2608
391,2613
392,2616
393,2618
394,2622
395,2625
396,2626
397,2627
398,2630
399,2631
400,2645
401,2672
402,2696
403,2698
404,2700
405,2701
406,2702
407,2703
408,2715
409,2716
410,2722
411,2726
412,2730
413,2731
414,2735
415,2739
416,2751
417,2756
418,2758
419,2764
420,2777
421,2781
422,2798
423,2812
424,2841
425,2870
426,2880
427,2882
428,2883
429,2885
430,2890
431,2902
432,2913
433,2932
434,2942
435,2957
436,2961
437,2966
438,2968
439,2969
440,2971
441,2973
442,2991
443,3008
444,3018
445,3028
446,3051
447,3055
448,3057
449,3063
450,3065
451,3071
452,3090
453,3102
454,3106
455,3116
456,3118
457,3121
458,3124
459,3145
460,3154
461,3175
462,3190
463,3191
464,3192
465,3205
466,3212
467,3214
468,3218
469,3225
470,3234
471,3243
472,3246
473,3248
474,3249
475,3265
476,3268
477,3269
478,3276
479,3284
480,3285
481,3286
482,3287
483,3291
484,3298
485,3301
486,3310
487,3312
488,3316
489,3326
490,3333
491,3341
492,3351
493,3364
494,3366
495,3369
496,3371
497,3384
498,3395
499,3398
500,3415
501,3418
502,3419
503,3425
504,3428
505,3431
506,3435
507,3447
508,3452
509,3464
510,3469
511,3470
512,3471
513,3472
514,3491
515,3495
516,3497
517,3503
518,3507
519,3517
520,3529
521,3541
522,3543
523,3548
524,3549
525,3569
526,3573
527,3574
528,3580
529,3581
530,3583
531,3585
532,3586
533,3603
534,3611
535,3615
536,3627
537,3652
538,3666
539,3670
540,3686
541,3710
542,3717
543,3718
544,3722
