,0
0,1
1,9
2,11
3,54
4,58
5,59
6,61
7,62
8,64
9,66
10,72
11,74
12,75
13,79
14,82
15,86
16,88
17,102
18,104
19,108
20,111
21,124
22,142
23,161
24,163
25,167
26,172
27,173
28,174
29,175
30,176
31,187
32,196
33,223
34,224
35,232
36,233
37,251
38,254
39,255
40,265
41,277
42,287
43,292
44,293
45,294
46,295
47,308
48,320
49,335
50,337
51,354
52,357
53,360
54,367
55,408
56,414
57,446
58,447
59,454
60,455
61,467
62,474
63,475
64,484
65,485
66,486
67,490
68,491
69,494
70,495
71,507
72,510
73,512
74,515
75,516
76,518
77,520
78,521
79,522
80,523
81,524
82,525
83,527
84,528
85,532
86,533
87,545
88,546
89,547
90,549
91,563
92,569
93,602
94,607
95,609
96,614
97,624
98,671
99,685
100,713
101,715
102,723
103,725
104,726
105,727
106,728
107,729
108,731
109,739
110,749
111,752
112,753
113,754
114,758
115,759
116,769
117,771
118,775
119,776
120,782
121,783
122,793
123,798
124,800
125,817
126,819
127,837
128,838
129,839
130,841
131,843
132,846
133,847
134,852
135,854
136,866
137,877
138,881
139,884
140,895
141,900
142,906
143,910
144,937
145,946
146,949
147,954
148,955
149,957
150,960
151,973
152,974
153,977
154,981
155,998
156,1005
157,1012
158,1058
159,1067
160,1068
161,1069
162,1075
163,1080
164,1094
165,1095
166,1096
167,1113
168,1119
169,1120
170,1121
171,1128
172,1150
173,1151
174,1157
175,1161
176,1165
177,1175
178,1209
179,1220
180,1222
181,1229
182,1239
183,1243
184,1245
185,1246
186,1247
187,1249
188,1251
189,1255
190,1256
191,1267
192,1272
193,1276
194,1277
195,1278
196,1279
197,1281
198,1282
199,1285
200,1287
201,1288
202,1289
203,1290
204,1292
205,1294
206,1296
207,1297
208,1298
209,1299
210,1300
211,1302
212,1304
213,1305
214,1306
215,1307
216,1308
217,1309
218,1310
219,1311
220,1312
221,1314
222,1315
223,1316
224,1317
225,1318
226,1319
227,1320
228,1321
229,1324
230,1325
231,1326
232,1327
233,1328
234,1329
235,1330
236,1331
237,1332
238,1341
239,1342
240,1346
241,1350
242,1351
243,1352
244,1353
245,1354
246,1355
247,1356
248,1357
249,1358
250,1359
251,1360
252,1361
253,1362
254,1363
255,1364
256,1366
257,1367
258,1368
259,1369
260,1370
261,1371
262,1373
263,1374
264,1375
265,1376
266,1377
267,1378
268,1379
269,1380
270,1386
271,1388
272,1389
273,1390
274,1391
275,1392
276,1393
277,1395
278,1396
279,1397
280,1398
281,1399
282,1403
283,1404
284,1405
285,1406
286,1408
287,1414
288,1415
289,1416
290,1417
291,1418
292,1423
293,1424
294,1425
295,1426
296,1427
297,1428
298,1429
299,1430
300,1434
301,1435
302,1436
303,1437
304,1438
305,1441
306,1445
307,1446
308,1447
309,1448
310,1449
311,1452
312,1453
313,1456
314,1463
315,1468
316,1469
317,1490
318,1491
319,1500
320,1501
321,1509
322,1520
323,1526
324,1542
325,1548
326,1555
327,1572
328,1589
329,1606
330,1615
331,1624
332,1626
333,1634
334,1636
335,1638
336,1641
337,1645
338,1646
339,1652
340,1653
341,1654
342,1655
343,1656
344,1657
345,1658
346,1659
347,1660
348,1661
349,1662
350,1663
351,1664
352,1665
353,1666
354,1667
355,1668
356,1669
357,1670
358,1673
359,1674
360,1676
361,1677
362,1680
363,1681
364,1685
365,1689
366,1690
367,1694
368,1696
369,1697
370,1698
371,1699
372,1700
373,1701
374,1702
375,1705
376,1706
377,1707
378,1708
379,1709
380,1711
381,1715
382,1716
383,1717
384,1719
385,1720
386,1721
387,1722
388,1736
389,1738
390,1742
391,1743
392,1745
393,1761
394,1763
395,1771
396,1783
397,1784
398,1793
399,1794
400,1801
401,1815
402,1825
403,1826
404,1842
405,1844
406,1866
407,1868
408,1880
409,1898
410,1899
411,1904
412,1923
413,1925
414,1941
415,1962
416,1965
417,1969
418,1974
419,1976
420,1995
421,1999
422,2001
423,2003
424,2009
425,2011
426,2013
427,2018
428,2025
429,2035
430,2036
431,2038
432,2052
433,2062
434,2065
435,2075
436,2077
437,2081
438,2094
439,2104
440,2113
441,2123
442,2131
443,2161
444,2176
445,2185
446,2206
447,2214
448,2217
449,2218
450,2233
451,2239
452,2240
453,2250
454,2263
455,2288
456,2296
457,2299
458,2301
459,2314
460,2324
461,2325
462,2406
463,2412
464,2420
465,2421
466,2431
467,2432
468,2434
469,2446
470,2483
471,2488
472,2489
473,2490
474,2493
475,2499
476,2508
477,2521
478,2527
479,2530
480,2550
481,2578
482,2582
483,2583
484,2584
485,2597
486,2600
487,2609
488,2610
489,2623
490,2641
491,2654
492,2656
493,2659
494,2678
495,2681
496,2682
497,2684
498,2689
499,2691
500,2694
501,2696
502,2707
503,2738
504,2758
505,2764
506,2769
507,2770
508,2778
509,2780
510,2783
511,2788
512,2790
513,2807
514,2817
515,2828
516,2833
517,2836
518,2842
519,2843
520,2850
521,2858
522,2877
523,2879
524,2886
525,2887
526,2892
527,2895
528,2896
529,2899
530,2902
531,2903
532,2944
533,2953
534,2958
535,2962
536,2967
537,2968
538,2986
539,2993
540,3000
541,3004
542,3014
543,3024
544,3030
545,3033
546,3044
547,3047
548,3061
549,3063
550,3065
551,3069
552,3071
553,3073
554,3076
555,3080
556,3081
557,3087
558,3092
559,3123
560,3149
561,3182
562,3187
563,3188
564,3197
565,3198
566,3199
567,3200
568,3204
569,3209
570,3213
571,3225
572,3231
573,3236
574,3243
575,3252
576,3258
577,3275
578,3276
579,3282
580,3286
581,3290
582,3293
583,3294
584,3311
585,3312
586,3313
587,3314
588,3315
589,3316
590,3318
591,3321
592,3349
593,3361
594,3364
595,3367
596,3382
597,3391
598,3395
599,3409
600,3410
601,3417
602,3434
603,3450
604,3452
605,3454
606,3455
607,3459
608,3461
609,3462
610,3468
611,3476
612,3480
613,3484
614,3503
615,3519
616,3521
617,3575
618,3576
619,3577
620,3578
621,3579
622,3588
623,3589
624,3591
625,3592
626,3597
627,3624
628,3625
629,3631
630,3634
631,3637
632,3639
633,3645
634,3650
635,3700
636,3701
637,3705
638,3706
639,3707
640,3709
641,3714
642,3715
643,3717
644,3721
645,3724
646,3728
647,3730
648,3731
649,3732
650,3736
651,3737
652,3739
653,3741
654,3743
655,3744
656,3746
657,3747
658,3751
659,3753
660,3754
661,3755
662,3756
663,3757
664,3758
665,3759
666,3760
667,3761
668,3762
669,3763
670,3764
671,3765
672,3766
673,3768
674,3769
675,3770
676,3771
677,3776
678,3777
679,3778
680,3779
681,3780
682,3781
683,3782
684,3783
685,3785
686,3786
687,3787
688,3788
689,3789
690,3790
691,3791
692,3792
693,3793
694,3798
695,3799
696,3800
697,3806
698,3808
699,3809
700,3810
701,3811
702,3812
703,3813
704,3815
705,3816
706,3820
707,3823
708,3824
709,3826
710,3832
711,3837
712,3846
713,3847
714,3860
715,3861
716,3862
717,3864
718,3865
719,3872
720,3875
721,3877
722,3917
723,3932
724,3948
725,3949
726,3951
727,3952
728,3954
729,3958
730,3991
731,3992
732,3994
733,4005
734,4006
735,4017
736,4021
737,4024
738,4026
739,4061
740,4062
741,4064
742,4106
743,4113
744,4127
745,4130
746,4145
747,4147
748,4152
749,4157
750,4168
751,4201
752,4205
753,4217
754,4218
755,4225
756,4261
757,4263
758,4264
759,4297
760,4304
761,4333
762,4334
763,4341
764,4353
765,4368
766,4369
767,4374
768,4379
769,4392
770,4396
771,4397
772,4414
773,4415
774,4416
775,4436
776,4474
777,4487
778,4495
779,4498
780,4499
781,4505
782,4510
783,4518
784,4522
785,4531
786,4541
787,4548
788,4549
789,4550
790,4553
791,4557
792,4558
793,4561
794,4565
795,4567
796,4570
797,4588
798,4605
799,4616
800,4617
801,4618
802,4702
803,4704
804,4711
805,4713
806,4714
807,4716
808,4740
809,4744
810,4749
811,4776
812,4782
813,4784
814,4785
815,4795
816,4796
817,4798
818,4799
819,4802
820,4804
821,4805
822,4806
823,4807
824,4809
825,4812
826,4814
827,4822
828,4829
829,4831
830,4833
831,4839
832,4850
833,4851
834,4861
835,4862
836,4868
837,4885
838,4900
839,4901
840,4903
841,4905
842,4907
843,4915
844,4922
845,4923
846,4924
847,4933
848,4936
849,4937
850,4939
851,4941
852,4942
853,4944
854,4948
855,4949
856,4952
857,4997
858,5011
859,5024
860,5025
861,5029
862,5032
863,5036
864,5037
865,5042
866,5043
867,5050
868,5057
869,5063
870,5066
871,5088
872,5092
873,5098
874,5119
875,5123
876,5129
877,5151
878,5159
879,5179
880,5184
881,5192
882,5199
883,5202
884,5232
885,5237
886,5253
887,5256
888,5282
889,5283
890,5284
891,5287
892,5311
893,5312
894,5313
895,5317
896,5321
897,5323
898,5324
899,5326
900,5327
901,5331
902,5332
903,5335
904,5339
905,5357
906,5373
907,5376
908,5426
909,5427
910,5428
911,5436
912,5447
913,5452
914,5454
915,5455
916,5456
917,5477
918,5488
919,5490
920,5491
921,5513
922,5550
923,5555
924,5558
925,5562
926,5563
927,5589
928,5592
929,5593
930,5601
931,5602
932,5603
933,5606
934,5610
935,5613
936,5614
937,5615
938,5616
939,5618
940,5619
941,5635
942,5671
943,5684
944,5689
945,5690
946,5694
947,5699
948,5704
949,5706
950,5707
951,5708
952,5709
953,5711
954,5712
955,5713
956,5715
957,5730
958,5735
959,5745
960,5757
961,5758
962,5759
963,5760
964,5761
965,5763
966,5764
967,5791
968,5793
969,5794
970,5795
971,5802
972,5804
973,5814
974,5828
975,5835
976,5839
977,5840
978,5851
979,5852
980,5858
981,5880
982,5882
983,5893
984,5898
985,5899
986,5910
987,5932
988,5933
989,5946
990,5947
991,5953
992,5961
993,5966
994,5971
995,5974
996,5985
997,5987
998,5993
999,5994
1000,5995
1001,6007
1002,6009
1003,6010
1004,6020
1005,6021
1006,6022
1007,6034
1008,6038
1009,6042
1010,6047
1011,6049
1012,6050
1013,6051
1014,6052
1015,6054
1016,6055
1017,6056
1018,6058
1019,6059
1020,6060
1021,6062
1022,6064
1023,6070
1024,6072
1025,6073
1026,6074
1027,6075
1028,6076
1029,6077
1030,6078
1031,6079
1032,6081
1033,6082
1034,6084
1035,6085
1036,6086
1037,6087
1038,6100
1039,6104
1040,6114
1041,6121
1042,6137
1043,6155
1044,6160
1045,6162
1046,6168
1047,6169
1048,6170
1049,6171
1050,6179
1051,6210
1052,6212
1053,6215
1054,6217
1055,6234
1056,6237
1057,6239
1058,6240
1059,6247
1060,6268
1061,6279
1062,6282
1063,6285
1064,6286
1065,6288
1066,6289
1067,6292
1068,6301
1069,6325
1070,6340
1071,6342
1072,6343
1073,6345
1074,6351
1075,6363
1076,6392
1077,6399
1078,6422
1079,6430
1080,6432
1081,6435
1082,6448
1083,6465
1084,6467
1085,6468
1086,6474
1087,6475
1088,6476
1089,6477
1090,6479
1091,6480
1092,6481
1093,6483
1094,6496
1095,6498
1096,6499
1097,6500
1098,6503
1099,6505
1100,6507
1101,6530
1102,6531
1103,6540
1104,6541
1105,6543
1106,6544
1107,6548
1108,6556
1109,6558
1110,6565
1111,6591
1112,6595
1113,6613
1114,6624
1115,6625
1116,6626
1117,6627
1118,6629
1119,6633
1120,6644
1121,6645
1122,6646
1123,6647
1124,6649
1125,6651
1126,6652
1127,6655
1128,6656
1129,6661
1130,6667
1131,6689
1132,6695
1133,6696
1134,6697
1135,6767
1136,6768
1137,6769
1138,6772
1139,6777
1140,6778
1141,6779
1142,6780
1143,6790
1144,6805
1145,6811
