,0
0,2
1,47
2,53
3,54
4,56
5,59
6,64
7,66
8,70
9,73
10,77
11,79
12,92
13,94
14,98
15,110
16,127
17,143
18,148
19,152
20,153
21,154
22,161
23,188
24,189
25,195
26,215
27,218
28,219
29,229
30,250
31,255
32,256
33,257
34,258
35,271
36,283
37,296
38,310
39,320
40,359
41,385
42,392
43,400
44,407
45,408
46,418
47,419
48,420
49,424
50,425
51,427
52,428
53,439
54,440
55,444
56,446
57,447
58,448
59,451
60,452
61,454
62,455
63,459
64,460
65,470
66,471
67,472
68,473
69,495
70,522
71,529
72,534
73,545
74,586
75,623
76,625
77,633
78,635
79,636
80,637
81,638
82,640
83,648
84,650
85,658
86,661
87,662
88,664
89,666
90,675
91,678
92,679
93,685
94,695
95,701
96,714
97,732
98,733
99,736
100,738
101,739
102,742
103,747
104,749
105,769
106,772
107,775
108,786
109,791
110,797
111,819
112,826
113,827
114,830
115,834
116,835
117,837
118,839
119,850
120,851
121,866
122,873
123,879
124,923
125,924
126,925
127,927
128,932
129,936
130,946
131,947
132,965
133,967
134,973
135,989
136,1031
137,1044
138,1054
139,1057
140,1059
141,1060
142,1061
143,1062
144,1064
145,1069
146,1079
147,1083
148,1085
149,1086
150,1087
151,1088
152,1090
153,1092
154,1093
155,1094
156,1095
157,1097
158,1099
159,1100
160,1101
161,1102
162,1103
163,1104
164,1106
165,1107
166,1108
167,1109
168,1110
169,1111
170,1112
171,1114
172,1115
173,1116
174,1117
175,1118
176,1119
177,1120
178,1121
179,1122
180,1123
181,1124
182,1131
183,1135
184,1136
185,1137
186,1138
187,1139
188,1140
189,1141
190,1142
191,1143
192,1144
193,1145
194,1147
195,1148
196,1150
197,1151
198,1152
199,1153
200,1154
201,1155
202,1162
203,1163
204,1164
205,1166
206,1167
207,1168
208,1172
209,1177
210,1178
211,1181
212,1182
213,1183
214,1184
215,1185
216,1189
217,1190
218,1191
219,1192
220,1193
221,1194
222,1197
223,1201
224,1202
225,1203
226,1205
227,1206
228,1209
229,1210
230,1213
231,1218
232,1222
233,1234
234,1235
235,1240
236,1243
237,1253
238,1258
239,1271
240,1276
241,1304
242,1319
243,1326
244,1333
245,1335
246,1344
247,1345
248,1348
249,1354
250,1355
251,1356
252,1357
253,1358
254,1359
255,1360
256,1361
257,1362
258,1363
259,1365
260,1366
261,1368
262,1369
263,1370
264,1371
265,1377
266,1378
267,1382
268,1384
269,1385
270,1386
271,1387
272,1390
273,1391
274,1392
275,1397
276,1399
277,1400
278,1401
279,1402
280,1416
281,1417
282,1433
283,1434
284,1448
285,1457
286,1458
287,1459
288,1483
289,1484
290,1495
291,1497
292,1517
293,1519
294,1542
295,1546
296,1564
297,1573
298,1594
299,1600
300,1608
301,1617
302,1621
303,1623
304,1630
305,1632
306,1637
307,1644
308,1653
309,1654
310,1656
311,1669
312,1670
313,1681
314,1683
315,1691
316,1696
317,1707
318,1716
319,1729
320,1793
321,1802
322,1804
323,1813
324,1819
325,1826
326,1843
327,1868
328,1872
329,1884
330,1894
331,1895
332,1965
333,1971
334,1973
335,1979
336,1988
337,1999
338,2034
339,2039
340,2040
341,2041
342,2044
343,2050
344,2057
345,2068
346,2073
347,2088
348,2117
349,2118
350,2125
351,2137
352,2138
353,2154
354,2181
355,2183
356,2186
357,2203
358,2206
359,2208
360,2218
361,2228
362,2276
363,2285
364,2294
365,2296
366,2298
367,2304
368,2305
369,2306
370,2320
371,2339
372,2347
373,2351
374,2358
375,2376
376,2383
377,2384
378,2389
379,2392
380,2395
381,2398
382,2399
383,2442
384,2446
385,2450
386,2455
387,2456
388,2485
389,2488
390,2495
391,2500
392,2510
393,2522
394,2524
395,2526
396,2530
397,2532
398,2535
399,2538
400,2539
401,2543
402,2546
403,2572
404,2589
405,2612
406,2616
407,2626
408,2627
409,2628
410,2629
411,2632
412,2656
413,2661
414,2668
415,2676
416,2696
417,2699
418,2703
419,2706
420,2707
421,2722
422,2723
423,2724
424,2725
425,2727
426,2749
427,2762
428,2768
429,2789
430,2800
431,2801
432,2806
433,2810
434,2834
435,2835
436,2837
437,2842
438,2848
439,2856
440,2860
441,2863
442,2864
443,2894
444,2938
445,2939
446,2940
447,2947
448,2948
449,2957
450,2980
451,2985
452,2988
453,2991
454,2993
455,2999
456,3004
457,3040
458,3041
459,3042
460,3043
461,3045
462,3048
463,3051
464,3052
465,3054
466,3057
467,3062
468,3063
469,3065
470,3066
471,3069
472,3070
473,3072
474,3073
475,3074
476,3076
477,3078
478,3079
479,3080
480,3083
481,3085
482,3086
483,3087
484,3088
485,3089
486,3090
487,3091
488,3092
489,3093
490,3094
491,3095
492,3097
493,3098
494,3099
495,3104
496,3105
497,3106
498,3107
499,3109
500,3110
501,3111
502,3112
503,3116
504,3117
505,3118
506,3119
507,3124
508,3125
509,3126
510,3128
511,3131
512,3132
513,3134
514,3143
515,3151
516,3152
517,3164
518,3165
519,3166
520,3167
521,3173
522,3176
523,3224
524,3237
525,3238
526,3242
527,3249
528,3281
529,3292
530,3295
531,3324
532,3325
533,3326
534,3361
535,3365
536,3383
537,3393
538,3395
539,3400
540,3434
541,3436
542,3447
543,3448
544,3454
545,3482
546,3483
547,3516
548,3536
549,3550
550,3551
551,3556
552,3558
553,3566
554,3567
555,3579
556,3580
557,3583
558,3587
559,3595
560,3599
561,3600
562,3614
563,3615
564,3620
565,3631
566,3672
567,3678
568,3688
569,3696
570,3702
571,3712
572,3718
573,3721
574,3724
575,3725
576,3727
577,3729
578,3731
579,3734
580,3746
581,3758
582,3765
583,3766
584,3767
585,3827
586,3829
587,3836
588,3837
589,3841
590,3868
591,3873
592,3898
593,3900
594,3901
595,3911
596,3912
597,3915
598,3917
599,3918
600,3919
601,3920
602,3922
603,3925
604,3927
605,3934
606,3941
607,3942
608,3944
609,3949
610,3961
611,3969
612,3970
613,3975
614,3992
615,4005
616,4019
617,4020
618,4021
619,4030
620,4033
621,4034
622,4036
623,4037
624,4038
625,4043
626,4044
627,4046
628,4052
629,4088
630,4093
631,4098
632,4099
633,4109
634,4123
635,4143
636,4147
637,4167
638,4216
639,4225
640,4231
641,4254
642,4257
643,4275
644,4299
645,4300
646,4302
647,4310
648,4328
649,4329
650,4330
651,4334
652,4338
653,4341
654,4344
655,4345
656,4348
657,4366
658,4367
659,4375
660,4427
661,4428
662,4434
663,4444
664,4448
665,4450
666,4451
667,4470
668,4480
669,4483
670,4484
671,4498
672,4525
673,4531
674,4534
675,4535
676,4558
677,4560
678,4561
679,4566
680,4567
681,4568
682,4574
683,4576
684,4577
685,4578
686,4579
687,4581
688,4582
689,4597
690,4626
691,4637
692,4642
693,4643
694,4648
695,4652
696,4654
697,4655
698,4656
699,4658
700,4659
701,4674
702,4686
703,4687
704,4688
705,4689
706,4691
707,4692
708,4709
709,4710
710,4711
711,4715
712,4717
713,4725
714,4738
715,4745
716,4748
717,4749
718,4760
719,4765
720,4784
721,4786
722,4791
723,4796
724,4799
725,4800
726,4807
727,4813
728,4826
729,4827
730,4848
731,4853
732,4858
733,4861
734,4871
735,4877
736,4878
737,4879
738,4889
739,4891
740,4901
741,4902
742,4918
743,4922
744,4924
745,4927
746,4928
747,4929
748,4931
749,4932
750,4934
751,4939
752,4940
753,4941
754,4942
755,4943
756,4944
757,4945
758,4946
759,4948
760,4949
761,4950
762,4951
763,4952
764,4970
765,4987
766,5007
767,5011
768,5014
769,5015
770,5016
771,5024
772,5054
773,5056
774,5057
775,5073
776,5077
777,5078
778,5079
779,5084
780,5104
781,5113
782,5115
783,5120
784,5124
785,5132
786,5138
787,5171
788,5173
789,5180
790,5226
791,5255
792,5265
793,5281
794,5283
795,5284
796,5289
797,5290
798,5291
799,5292
800,5294
801,5295
802,5296
803,5308
804,5310
805,5311
806,5314
807,5315
808,5318
809,5332
810,5340
811,5341
812,5349
813,5351
814,5354
815,5362
816,5370
817,5394
818,5408
819,5417
820,5418
821,5419
822,5421
823,5426
824,5436
825,5437
826,5438
827,5439
828,5442
829,5447
830,5472
831,5477
832,5478
833,5480
834,5481
835,5533
836,5534
837,5535
838,5540
839,5541
840,5542
841,5551
842,5568
843,5574
844,5580
845,5582
846,5585
847,5593
848,5594
849,5607
850,5611
851,5613
852,5621
853,5622
854,5627
855,5630
856,5636
857,5644
858,5686
859,5688
860,5689
861,5690
862,5695
863,5697
864,5698
865,5699
866,5702
867,5703
868,5711
869,5712
870,5723
871,5724
872,5737
873,5738
874,5743
875,5745
876,5776
877,5779
878,5784
879,5785
880,5796
881,5798
882,5800
883,5849
884,5850
885,5859
886,5860
887,5861
888,5894
889,5902
890,5913
891,5914
892,5915
893,5922
894,5923
895,5926
896,5927
897,5930
898,5937
899,5938
900,5942
901,5944
902,5946
903,5951
904,5952
905,5954
906,5965
907,5971
908,5977
909,5985
910,5987
911,6011
912,6013
913,6018
914,6019
915,6021
916,6028
917,6032
918,6054
919,6055
920,6058
921,6061
922,6062
923,6066
924,6067
925,6079
926,6092
927,6093
928,6103
929,6111
930,6112
931,6115
932,6120
933,6122
934,6123
935,6127
936,6149
937,6155
938,6159
939,6160
940,6169
941,6170
942,6176
943,6180
944,6181
945,6183
946,6191
947,6193
948,6225
949,6226
950,6250
951,6263
952,6268
953,6290
954,6293
955,6296
956,6307
957,6317
958,6323
959,6327
960,6330
961,6331
962,6332
963,6344
964,6352
965,6384
966,6386
967,6390
968,6395
969,6396
970,6400
971,6402
972,6410
973,6424
974,6441
975,6452
976,6462
977,6463
978,6464
979,6478
980,6490
981,6523
982,6527
983,6528
984,6536
985,6546
986,6550
987,6554
988,6556
989,6559
990,6565
991,6577
992,6579
993,6580
994,6585
995,6586
996,6592
997,6619
998,6645
999,6648
1000,6654
1001,6671
1002,6683
1003,6684
1004,6689
1005,6690
1006,6697
1007,6701
1008,6709
1009,6710
1010,6717
1011,6719
1012,6723
1013,6725
1014,6729
1015,6730
1016,6733
1017,6761
1018,6782
1019,6785
1020,6802
1021,6824
1022,6826
1023,6839
1024,6852
1025,6860
1026,6863
1027,6871
1028,6875
1029,6889
1030,6908
1031,6911
1032,6916
1033,6920
1034,6921
1035,6930
1036,6934
1037,6944
1038,6949
1039,6951
1040,6961
1041,6962
1042,6963
1043,6982
1044,6995
1045,7014
1046,7022
1047,7023
1048,7035
1049,7042
1050,7055
1051,7057
1052,7058
1053,7059
1054,7064
1055,7070
1056,7077
1057,7079
1058,7105
1059,7135
1060,7142
1061,7163
1062,7166
1063,7178
1064,7207
1065,7217
1066,7221
1067,7222
1068,7233
1069,7237
1070,7241
1071,7245
1072,7246
1073,7247
1074,7248
1075,7253
1076,7256
1077,7258
1078,7268
1079,7277
1080,7280
1081,7281
1082,7282
1083,7283
1084,7290
