,0
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,25
23,26
24,32
25,33
26,34
27,37
28,38
29,39
30,40
31,41
32,42
33,43
34,45
35,46
36,47
37,48
38,49
39,50
40,51
41,52
42,53
43,54
44,57
45,58
46,59
47,60
48,61
49,62
50,66
51,68
52,69
53,70
54,71
55,72
56,73
57,74
58,75
59,76
60,77
61,78
62,79
63,80
64,81
65,82
66,83
67,84
68,85
69,87
70,88
71,89
72,90
73,91
74,92
75,93
76,94
77,95
78,96
79,97
80,98
81,99
82,100
83,101
84,103
85,104
86,105
87,106
88,107
89,110
90,112
91,115
92,116
93,117
94,118
95,119
96,120
97,121
98,122
99,123
100,124
101,125
102,126
103,127
104,128
105,129
106,130
107,131
108,132
109,133
110,135
111,136
112,138
113,139
114,140
115,144
116,146
117,147
118,148
119,149
120,150
121,151
122,152
123,153
124,154
125,155
126,156
127,157
128,158
129,159
130,160
131,162
132,163
133,164
134,165
135,166
136,167
137,168
138,169
139,171
140,172
141,173
142,174
143,175
144,176
145,177
146,178
147,179
148,181
149,182
150,183
151,184
152,185
153,186
154,187
155,188
156,191
157,192
158,197
159,198
160,199
161,200
162,201
163,202
164,203
165,204
166,207
167,208
168,209
169,211
170,212
171,213
172,214
173,215
174,216
175,220
176,221
177,222
178,223
179,224
180,225
181,226
182,228
183,229
184,230
185,231
186,232
187,233
188,234
189,235
190,236
191,237
192,238
193,239
194,240
195,241
196,242
197,243
198,244
199,245
200,247
201,249
202,250
203,251
204,252
205,253
206,254
207,255
208,256
209,257
210,258
211,259
212,260
213,261
214,262
215,263
216,264
217,265
218,266
219,268
220,269
221,270
222,271
223,274
224,275
225,276
226,277
227,278
228,279
229,280
230,281
231,288
232,289
233,290
234,293
235,295
236,296
237,297
238,300
239,301
240,302
241,303
242,306
243,307
244,308
245,309
246,311
247,312
248,314
249,316
250,317
251,318
252,319
253,320
254,321
255,322
256,324
257,325
258,326
259,329
260,330
261,333
262,335
263,337
264,339
265,341
266,342
267,345
268,347
269,348
270,349
271,350
272,351
273,352
274,353
275,354
276,355
277,357
278,358
279,359
280,360
281,361
282,363
283,364
284,365
285,366
286,367
287,368
288,369
289,370
290,371
291,372
292,373
293,375
294,378
295,379
296,380
297,381
298,383
299,384
300,387
301,389
302,390
303,391
304,392
305,393
306,394
307,395
308,396
309,397
310,398
311,400
312,401
313,402
314,403
315,404
316,407
317,408
318,409
319,410
320,411
321,412
322,418
323,420
324,422
325,423
326,424
327,428
328,429
329,430
330,431
331,432
332,433
333,437
334,439
335,440
336,441
337,442
338,443
339,444
340,445
341,446
342,447
343,448
344,449
345,450
346,451
347,453
348,456
349,460
350,461
351,463
352,464
353,465
354,466
355,467
356,468
357,470
358,472
359,474
360,476
361,479
362,480
363,481
364,482
365,487
366,492
367,494
368,495
369,496
370,497
371,503
372,504
373,506
374,507
375,509
376,511
377,514
378,517
379,519
380,520
381,521
382,522
383,524
384,526
385,527
386,528
387,529
388,530
389,531
390,532
391,533
392,535
393,536
394,537
395,538
396,539
397,540
398,541
399,542
400,544
401,545
402,546
403,547
404,549
405,550
406,551
407,552
408,554
409,555
410,556
411,557
412,558
413,559
414,560
415,561
416,562
417,563
418,565
419,566
420,567
421,568
422,569
423,571
424,572
425,573
426,575
427,576
428,577
429,578
430,579
431,580
432,583
433,584
434,585
435,588
436,589
437,590
438,591
439,592
440,594
441,595
442,596
443,598
444,599
445,600
446,608
447,613
448,615
449,618
450,620
451,623
452,624
453,625
454,627
455,628
456,629
457,634
458,635
459,636
460,637
461,638
462,639
463,641
464,642
465,643
466,644
467,646
468,647
469,648
470,649
471,650
472,651
473,652
474,653
475,654
476,655
477,656
478,657
479,660
480,661
481,662
482,664
483,666
484,667
485,668
486,669
487,670
488,671
489,672
490,673
491,675
492,676
493,677
494,678
495,679
496,680
497,681
498,682
499,683
500,684
501,686
502,687
503,688
504,689
505,690
506,691
507,692
508,693
509,694
510,695
511,700
512,702
513,703
514,707
515,708
516,709
517,710
518,711
519,712
520,713
521,714
522,716
523,718
524,719
525,720
526,721
527,722
528,723
529,724
530,725
531,726
532,727
533,728
534,731
535,733
536,734
537,735
538,736
539,738
540,739
541,740
542,741
543,742
544,744
545,745
546,748
547,750
548,753
549,754
550,755
551,756
552,758
553,759
554,760
555,761
556,762
557,763
558,764
559,765
560,766
561,767
562,768
563,769
564,770
565,771
566,773
567,774
568,775
569,776
570,777
571,778
572,779
573,780
574,781
575,782
576,783
577,784
578,785
579,786
580,787
581,788
582,789
583,790
584,791
585,792
586,793
587,795
588,796
589,797
590,798
591,801
592,802
593,803
594,804
595,805
596,806
597,807
598,808
599,809
600,810
601,811
602,812
603,813
604,814
605,815
606,816
607,817
608,818
609,819
610,820
611,821
612,822
613,824
614,825
615,826
616,827
617,828
618,829
619,830
620,831
621,832
622,833
623,834
624,836
625,837
626,838
627,839
628,840
629,841
630,842
631,843
632,844
633,845
634,846
635,848
636,849
637,850
638,851
639,852
640,853
641,854
642,855
643,857
644,858
645,859
646,860
647,861
648,862
649,863
650,864
651,865
652,866
653,867
654,868
655,869
656,870
657,871
658,872
659,873
660,874
661,875
662,876
663,877
664,878
665,879
666,880
667,881
668,882
669,883
670,884
671,885
672,886
673,887
674,888
675,889
676,890
677,892
678,893
679,897
680,898
681,899
682,900
683,901
684,902
685,905
686,907
687,908
688,909
689,910
690,911
691,912
692,913
693,914
694,916
695,917
696,919
697,920
698,921
699,923
700,924
701,925
702,926
703,927
704,928
705,932
706,934
707,935
708,936
709,938
710,939
711,942
712,943
713,945
714,946
715,947
716,948
717,949
718,950
719,953
720,955
721,956
722,959
723,960
724,961
725,962
726,963
727,964
728,968
729,969
730,971
731,972
732,973
733,975
734,976
735,977
736,978
737,980
738,981
739,983
740,984
741,985
742,987
743,988
744,989
745,990
746,991
747,992
748,993
749,994
750,995
751,997
752,998
753,999
754,1001
755,1003
756,1004
757,1005
758,1008
759,1009
760,1010
761,1011
762,1012
763,1013
764,1014
765,1015
766,1017
767,1019
768,1020
769,1021
770,1023
771,1025
772,1027
773,1029
774,1030
775,1031
776,1033
777,1034
778,1035
779,1036
780,1037
781,1038
782,1039
783,1040
784,1041
785,1042
786,1043
787,1044
788,1045
789,1046
790,1047
791,1048
792,1049
793,1051
794,1054
795,1055
796,1056
797,1057
798,1059
799,1060
800,1061
801,1062
802,1063
803,1064
804,1065
805,1066
806,1067
807,1068
808,1069
809,1070
810,1071
811,1072
812,1074
813,1075
814,1079
815,1080
816,1081
817,1082
818,1083
819,1084
820,1085
821,1086
822,1087
823,1088
824,1089
825,1090
826,1091
827,1092
828,1093
829,1094
830,1095
831,1096
832,1097
833,1099
834,1100
835,1102
836,1103
837,1105
838,1106
839,1107
840,1108
841,1109
842,1110
843,1111
844,1112
845,1113
846,1114
847,1115
848,1116
849,1117
850,1118
851,1119
852,1122
853,1123
854,1126
855,1127
856,1128
857,1129
858,1130
859,1133
860,1136
861,1137
862,1138
863,1139
864,1140
865,1141
866,1142
867,1143
868,1144
869,1145
870,1146
871,1147
872,1148
873,1149
874,1151
875,1152
876,1153
877,1154
878,1155
879,1156
880,1157
881,1158
882,1159
883,1160
884,1161
885,1162
886,1163
887,1165
888,1166
889,1167
890,1168
891,1169
892,1170
893,1171
894,1172
895,1174
896,1175
897,1176
898,1177
899,1180
900,1181
901,1182
902,1183
903,1184
904,1185
905,1186
906,1188
907,1189
908,1190
909,1192
910,1193
911,1194
912,1195
913,1196
914,1197
915,1198
916,1199
917,1200
918,1202
919,1203
920,1204
921,1206
