,0
0,1
1,78
2,82
3,83
4,125
5,150
6,183
7,184
8,290
9,291
10,292
11,352
12,388
13,390
14,391
15,395
16,462
17,502
18,649
19,652
20,686
21,687
22,723
23,731
24,735
25,742
26,743
27,745
28,767
29,774
30,813
31,883
32,888
33,889
34,899
35,907
36,926
37,930
38,945
39,994
40,998
41,1003
42,1023
43,1029
44,1083
45,1084
46,1090
47,1091
48,1123
49,1124
50,1125
51,1126
52,1130
53,1131
54,1136
55,1137
56,1139
57,1142
58,1143
59,1144
60,1147
61,1148
62,1187
63,1189
64,1195
65,1218
66,1242
67,1245
68,1246
69,1250
70,1251
71,1252
72,1260
73,1293
74,1295
75,1307
76,1506
77,1508
78,1539
79,1557
80,1561
81,1586
82,1605
83,1611
84,1626
85,1627
86,1628
87,1629
88,1630
89,1713
90,1771
91,1774
92,1775
93,1776
94,1777
95,1779
96,1802
97,1805
98,1840
99,1847
100,1849
101,1883
102,1885
103,1886
104,1887
105,1932
106,1942
107,1945
108,1962
109,1974
110,1981
111,1990
112,1991
113,1996
114,2011
115,2022
116,2130
117,2133
118,2134
119,2135
120,2138
121,2142
122,2192
123,2211
124,2214
125,2295
126,2326
127,2327
128,2354
129,2377
130,2400
131,2429
132,2437
133,2445
134,2535
135,2574
136,2576
137,2577
138,2578
139,2581
140,2603
141,2609
142,2611
143,2627
144,2630
145,2635
146,2675
147,2692
148,2693
149,2721
150,2723
151,2731
152,2755
153,2784
154,2798
155,2834
156,2849
157,2850
158,2894
159,2911
160,2916
161,2922
162,2926
163,2941
164,2949
165,2958
166,2972
167,3005
168,3049
169,3052
170,3054
171,3126
172,3175
173,3178
174,3179
175,3249
176,3344
177,3385
178,3386
179,3392
180,3426
181,3432
182,3450
183,3471
184,3481
185,3505
186,3506
187,3512
188,3513
189,3555
190,3596
191,3598
192,3613
193,3614
194,3616
195,3633
196,3645
197,3646
198,3648
199,3649
200,3650
201,3651
202,3658
203,3689
204,3703
205,3708
206,3711
207,3712
208,3713
209,3727
210,3755
211,3756
212,3763
213,3764
214,3918
215,3920
216,3921
217,3922
218,3923
219,3924
220,3937
221,3945
222,3946
223,3947
224,3955
225,3981
226,4026
227,4053
228,4059
229,4060
230,4089
231,4091
232,4092
233,4093
234,4100
235,4102
236,4118
237,4136
238,4141
239,4142
240,4144
241,4153
242,4193
243,4194
244,4213
245,4214
246,4215
247,4216
248,4220
249,4258
250,4266
251,4271
252,4376
253,4379
254,4380
255,4522
256,4566
257,4568
258,4576
259,4577
260,4614
261,4626
262,4653
263,4661
264,4729
265,4761
266,4762
267,4821
268,4961
269,4970
270,4975
271,4989
272,4998
273,5013
274,5014
275,5031
276,5041
277,5042
278,5058
279,5066
280,5090
281,5095
282,5096
283,5103
284,5114
285,5116
286,5124
287,5125
288,5148
289,5186
290,5187
291,5229
292,5256
293,5259
294,5260
295,5320
296,5352
297,5354
298,5395
299,5411
300,5413
301,5458
302,5512
303,5517
304,5519
305,5543
306,5564
307,5582
308,5609
309,5610
310,5611
311,5634
312,5643
313,5650
314,5651
315,5652
316,5699
317,5750
318,5752
319,5754
320,5757
321,5758
322,5759
323,5804
324,5824
325,5838
326,5852
327,5853
328,5854
329,5911
330,5912
331,5913
332,5914
333,5918
334,5961
335,6007
336,6012
337,6015
338,6016
339,6026
340,6052
341,6057
342,6065
343,6095
344,6148
345,6151
346,6152
347,6188
348,6202
349,6329
350,6353
351,6359
352,6360
353,6368
354,6370
355,6396
356,6400
357,6428
358,6429
359,6431
360,6435
361,6439
362,6442
363,6462
364,6514
365,6579
366,6580
367,6587
368,6592
369,6634
370,6642
371,6696
372,6707
373,6751
374,6764
375,6766
376,6769
377,6770
378,6771
379,6772
380,6773
381,6809
382,6975
383,6976
384,6978
385,6980
386,6987
387,7013
388,7045
389,7058
390,7073
391,7088
392,7093
393,7096
394,7097
395,7099
396,7103
397,7107
398,7131
399,7158
400,7179
401,7225
402,7229
403,7265
404,7266
405,7268
406,7272
407,7273
408,7287
409,7382
410,7383
411,7388
412,7394
413,7397
414,7402
415,7406
416,7434
417,7445
418,7528
419,7541
420,7542
421,7575
422,7614
423,7618
424,7626
425,7646
426,7663
427,7674
428,7682
429,7722
430,7726
431,7733
432,7742
433,7743
434,7749
435,7902
436,7910
437,7926
438,7942
439,8000
440,8002
441,8004
442,8011
443,8012
444,8020
445,8078
446,8106
447,8129
448,8141
449,8144
450,8145
451,8173
452,8207
453,8293
454,8335
455,8370
456,8372
457,8374
458,8375
459,8383
