,0
0,29
1,30
2,56
3,65
4,108
5,109
6,142
7,143
8,145
9,161
10,170
11,246
12,273
13,282
14,283
15,284
16,286
17,298
18,299
19,331
20,334
21,344
22,346
23,356
24,376
25,377
26,385
27,386
28,399
29,413
30,414
31,415
32,416
33,417
34,419
35,434
36,435
37,436
38,454
39,455
40,457
41,458
42,459
43,478
44,523
45,525
46,543
47,570
48,574
49,581
50,582
51,586
52,633
53,663
54,674
55,685
56,696
57,697
58,698
59,699
60,749
61,751
62,752
63,757
64,772
65,835
66,847
67,856
68,903
69,904
70,915
71,918
72,922
73,937
74,940
75,941
76,952
77,954
78,957
79,974
80,982
81,986
82,1018
83,1024
84,1026
85,1058
86,1076
87,1098
88,1132
89,1134
90,1164
91,1201
92,1215
93,1216
94,1219
95,1250
96,1255
97,1262
98,1264
99,1265
100,1277
101,1296
102,1304
103,1305
104,1307
105,1308
106,1309
107,1310
108,1315
109,1326
110,1333
111,1334
112,1351
113,1352
114,1357
115,1358
116,1404
117,1405
118,1406
119,1407
120,1418
121,1420
122,1432
123,1438
124,1442
125,1461
126,1462
127,1465
128,1475
129,1479
130,1484
131,1510
132,1633
133,1647
134,1658
135,1763
136,1775
137,1827
138,1828
139,1843
140,1898
141,1910
142,1956
143,1975
144,1976
145,1982
146,1988
147,1993
148,1994
149,2028
150,2030
151,2032
152,2033
153,2034
154,2056
155,2067
156,2069
157,2070
158,2086
159,2087
160,2088
161,2089
162,2091
163,2103
164,2127
165,2130
166,2141
167,2143
168,2152
169,2173
170,2189
171,2199
172,2251
173,2253
174,2254
175,2274
176,2276
177,2321
178,2322
179,2359
180,2362
181,2373
182,2380
183,2381
184,2391
185,2443
186,2444
187,2482
188,2493
189,2511
190,2523
191,2548
192,2565
193,2566
194,2601
195,2621
196,2628
197,2633
198,2650
199,2654
200,2679
201,2685
202,2693
203,2706
204,2707
205,2710
206,2714
207,2763
208,2787
209,2826
210,2835
211,2837
212,2838
213,2849
214,2877
215,2889
216,2917
217,2918
218,2920
219,2921
220,2951
221,2955
222,2959
223,2989
224,2994
225,2996
226,3025
227,3035
228,3062
229,3070
230,3078
231,3080
232,3088
233,3149
234,3151
235,3158
236,3159
237,3166
238,3167
239,3168
240,3171
241,3210
242,3226
243,3238
244,3244
245,3250
246,3254
247,3262
248,3273
249,3277
250,3304
251,3305
252,3321
253,3357
254,3370
255,3397
256,3404
257,3434
258,3448
259,3449
260,3454
261,3489
262,3511
263,3514
264,3550
265,3552
266,3556
267,3559
268,3565
269,3605
270,3667
271,3720
272,3721
273,3723
274,3724
275,3729
276,3731
277,3752
278,3782
279,3787
280,3813
281,3827
282,3832
283,3840
284,3864
285,3875
286,3876
287,3910
288,3922
289,3949
290,4001
291,4010
292,4012
293,4038
294,4045
295,4094
296,4152
297,4157
298,4186
299,4193
300,4217
301,4232
302,4251
303,4252
304,4339
305,4379
306,4389
307,4390
308,4477
309,4482
310,4487
311,4510
312,4529
313,4553
314,4557
315,4579
316,4658
317,4688
318,4779
