,0
0,0.0
1,1.0
2,3.0
3,4.0
4,5.0
5,6.0
6,7.0
7,8.0
8,9.0
9,10.0
10,11.0
11,12.0
12,14.0
13,15.0
14,16.0
15,17.0
16,18.0
17,19.0
18,21.0
19,23.0
20,24.0
21,25.0
22,26.0
23,28.0
24,31.0
25,32.0
26,33.0
27,34.0
28,35.0
29,36.0
30,37.0
31,39.0
32,40.0
33,41.0
34,42.0
35,43.0
36,44.0
37,45.0
38,46.0
39,47.0
40,48.0
41,49.0
42,50.0
43,51.0
44,52.0
45,53.0
46,54.0
47,55.0
48,56.0
49,57.0
50,58.0
51,60.0
52,62.0
53,67.0
54,68.0
55,70.0
56,71.0
57,72.0
58,74.0
59,75.0
60,76.0
61,77.0
62,78.0
63,79.0
64,81.0
65,82.0
66,84.0
67,85.0
68,86.0
69,87.0
70,88.0
71,89.0
72,90.0
73,91.0
74,92.0
75,93.0
76,94.0
77,95.0
78,96.0
79,97.0
80,99.0
81,100.0
82,102.0
83,103.0
84,106.0
85,107.0
86,108.0
87,109.0
88,112.0
89,113.0
90,114.0
91,115.0
92,116.0
93,117.0
94,118.0
95,119.0
96,120.0
97,121.0
98,122.0
99,123.0
100,124.0
101,125.0
102,126.0
103,127.0
104,128.0
105,129.0
106,130.0
107,131.0
108,132.0
109,134.0
110,135.0
111,136.0
112,137.0
113,138.0
114,139.0
115,141.0
116,142.0
117,143.0
118,144.0
119,145.0
120,146.0
121,147.0
122,148.0
123,149.0
124,150.0
125,151.0
126,152.0
127,153.0
128,154.0
129,155.0
130,156.0
131,157.0
132,158.0
133,159.0
134,160.0
135,161.0
136,162.0
137,163.0
138,164.0
139,166.0
140,167.0
141,169.0
142,170.0
143,171.0
144,172.0
145,173.0
146,175.0
147,178.0
148,179.0
149,180.0
150,181.0
151,182.0
152,185.0
153,186.0
154,187.0
155,188.0
156,189.0
157,191.0
158,193.0
159,194.0
160,199.0
161,201.0
162,202.0
163,204.0
164,206.0
165,207.0
166,209.0
167,210.0
168,211.0
169,212.0
170,213.0
171,214.0
172,215.0
173,217.0
174,218.0
175,219.0
176,220.0
177,221.0
178,222.0
179,223.0
180,224.0
181,225.0
182,226.0
183,227.0
184,228.0
185,229.0
186,230.0
187,231.0
188,232.0
189,233.0
190,234.0
191,236.0
192,237.0
193,238.0
194,240.0
195,242.0
196,244.0
197,245.0
198,246.0
199,247.0
200,248.0
201,249.0
202,253.0
203,254.0
204,255.0
205,256.0
206,257.0
207,258.0
208,259.0
209,261.0
210,262.0
211,264.0
212,265.0
213,266.0
214,267.0
215,268.0
216,269.0
217,270.0
218,271.0
219,272.0
220,273.0
221,274.0
222,278.0
223,279.0
224,280.0
225,281.0
226,283.0
227,284.0
228,285.0
229,286.0
230,287.0
231,288.0
232,289.0
233,290.0
234,291.0
235,292.0
236,293.0
237,294.0
238,295.0
239,296.0
240,297.0
241,298.0
242,299.0
243,300.0
244,301.0
245,302.0
246,303.0
247,304.0
248,306.0
249,307.0
250,308.0
251,309.0
252,310.0
253,311.0
254,312.0
255,314.0
256,315.0
257,316.0
258,317.0
259,318.0
260,319.0
261,320.0
262,321.0
263,322.0
264,323.0
265,324.0
266,325.0
267,326.0
268,327.0
269,328.0
270,329.0
271,330.0
272,331.0
273,332.0
274,334.0
275,335.0
276,336.0
277,337.0
278,338.0
279,339.0
280,340.0
281,341.0
282,342.0
283,343.0
284,344.0
285,345.0
286,346.0
287,347.0
288,348.0
289,349.0
290,350.0
291,351.0
292,352.0
293,355.0
294,356.0
295,358.0
296,359.0
297,360.0
298,361.0
299,362.0
300,363.0
301,364.0
302,365.0
303,366.0
304,367.0
305,368.0
306,369.0
307,370.0
308,371.0
309,372.0
310,373.0
311,374.0
312,375.0
313,376.0
314,377.0
315,378.0
316,379.0
317,381.0
318,382.0
319,383.0
320,384.0
321,385.0
322,386.0
323,387.0
324,388.0
325,389.0
326,390.0
327,391.0
328,392.0
329,393.0
330,394.0
331,396.0
332,397.0
333,398.0
334,400.0
335,401.0
336,402.0
337,403.0
338,404.0
339,405.0
340,407.0
341,408.0
342,409.0
343,410.0
344,412.0
345,413.0
346,414.0
347,418.0
348,419.0
349,420.0
350,422.0
351,423.0
352,424.0
353,425.0
354,426.0
355,427.0
356,428.0
357,430.0
358,431.0
359,432.0
360,433.0
361,434.0
362,438.0
363,439.0
364,440.0
365,441.0
366,443.0
367,444.0
368,445.0
369,449.0
370,450.0
371,451.0
372,452.0
373,453.0
374,454.0
375,455.0
376,456.0
377,459.0
378,460.0
379,461.0
380,463.0
381,464.0
382,465.0
383,466.0
384,470.0
385,472.0
386,477.0
387,479.0
388,480.0
389,481.0
390,482.0
391,483.0
392,484.0
393,485.0
394,487.0
395,490.0
396,492.0
397,493.0
398,494.0
399,495.0
400,496.0
401,501.0
402,506.0
403,507.0
404,511.0
405,513.0
406,514.0
407,515.0
408,517.0
409,518.0
410,520.0
411,521.0
412,524.0
413,525.0
414,526.0
415,527.0
416,528.0
417,529.0
418,530.0
419,531.0
420,532.0
421,534.0
422,535.0
423,536.0
424,537.0
425,538.0
426,541.0
427,543.0
428,544.0
429,545.0
430,546.0
431,547.0
432,548.0
433,549.0
434,550.0
435,551.0
436,552.0
437,553.0
438,554.0
439,555.0
440,556.0
441,557.0
442,558.0
443,559.0
444,560.0
445,561.0
446,562.0
447,563.0
448,564.0
449,565.0
450,566.0
451,567.0
452,569.0
453,570.0
454,571.0
455,572.0
456,573.0
457,574.0
458,575.0
459,576.0
460,577.0
461,579.0
462,581.0
463,582.0
464,583.0
465,584.0
466,585.0
467,586.0
468,587.0
469,588.0
470,589.0
471,590.0
472,591.0
473,593.0
474,597.0
475,598.0
476,601.0
477,602.0
478,604.0
479,608.0
480,609.0
481,610.0
482,611.0
483,612.0
484,613.0
485,614.0
486,615.0
487,616.0
488,617.0
489,618.0
490,619.0
491,620.0
492,621.0
493,622.0
494,623.0
495,624.0
496,625.0
497,626.0
498,627.0
499,628.0
500,629.0
501,630.0
502,631.0
503,632.0
504,633.0
505,634.0
506,635.0
507,636.0
508,637.0
509,638.0
510,639.0
511,640.0
512,641.0
513,642.0
514,643.0
515,644.0
516,645.0
517,646.0
518,647.0
519,648.0
520,649.0
521,650.0
522,651.0
523,652.0
524,653.0
525,654.0
526,655.0
527,656.0
528,657.0
529,658.0
530,659.0
531,662.0
532,663.0
533,665.0
534,666.0
535,667.0
536,668.0
537,669.0
538,670.0
539,671.0
540,672.0
541,674.0
542,675.0
543,676.0
544,677.0
545,678.0
546,679.0
547,680.0
548,681.0
549,682.0
550,683.0
551,684.0
552,685.0
553,686.0
554,687.0
555,688.0
556,689.0
557,690.0
558,691.0
559,694.0
560,695.0
561,696.0
562,697.0
563,698.0
564,699.0
565,700.0
566,701.0
567,702.0
568,703.0
569,704.0
570,705.0
571,706.0
572,707.0
573,708.0
574,709.0
575,710.0
576,711.0
577,713.0
578,715.0
579,718.0
580,719.0
581,720.0
582,721.0
583,722.0
584,723.0
585,725.0
586,726.0
587,727.0
588,728.0
589,729.0
590,730.0
591,731.0
592,733.0
593,734.0
594,737.0
595,738.0
596,739.0
597,741.0
598,742.0
599,745.0
600,746.0
601,747.0
602,748.0
603,749.0
604,750.0
605,751.0
606,752.0
607,753.0
608,754.0
609,755.0
610,757.0
611,758.0
612,759.0
613,761.0
614,763.0
615,764.0
616,766.0
617,767.0
618,769.0
619,770.0
620,772.0
621,773.0
622,775.0
623,778.0
624,779.0
625,780.0
626,786.0
627,787.0
628,789.0
629,791.0
630,792.0
631,793.0
632,794.0
633,795.0
634,796.0
635,797.0
636,798.0
637,799.0
638,801.0
639,804.0
