,0
0,0
1,2
2,3
3,4
4,5
5,6
6,8
7,9
8,10
9,12
10,13
11,15
12,16
13,17
14,18
15,19
16,20
17,21
18,22
19,23
20,24
21,25
22,26
23,27
24,28
25,29
26,30
27,31
28,32
29,33
30,34
31,35
32,36
33,37
34,38
35,39
36,40
37,41
38,42
39,43
40,44
41,45
42,46
43,47
44,48
45,49
46,50
47,51
48,52
49,53
50,54
51,55
52,57
53,58
54,59
55,62
56,66
57,68
58,70
59,71
60,72
61,73
62,75
63,79
64,80
65,85
66,86
67,87
68,90
69,92
70,93
71,94
72,95
73,96
74,97
75,98
76,99
77,100
78,101
79,102
80,103
81,104
82,105
83,107
84,109
85,110
86,111
87,113
88,114
89,116
90,117
91,118
92,119
93,120
94,121
95,122
96,123
97,124
98,126
99,127
100,128
101,129
102,130
103,131
104,132
105,133
106,134
107,135
108,136
109,137
110,138
111,139
112,140
113,141
114,142
115,143
116,144
117,145
118,147
119,148
120,149
121,151
122,152
123,153
124,154
125,155
126,156
127,157
128,158
129,159
130,160
131,161
132,162
133,163
134,165
135,166
136,167
137,169
138,170
139,171
140,172
141,181
142,183
143,184
144,185
145,186
146,187
147,188
148,191
149,192
150,193
151,194
152,195
153,196
154,197
155,198
156,199
157,201
158,202
159,203
160,204
161,205
162,206
163,207
164,208
165,209
166,210
167,211
168,212
169,213
170,214
171,215
172,216
173,217
174,218
175,219
176,220
177,221
178,222
179,223
180,224
181,225
182,226
183,229
184,230
185,231
186,232
187,233
188,234
189,235
190,236
191,239
192,240
193,241
194,242
195,243
196,244
197,245
198,246
199,247
200,248
201,249
202,250
203,251
204,252
205,253
206,254
207,255
208,256
209,257
210,258
211,259
212,261
213,262
214,264
215,265
216,266
217,267
218,268
219,269
220,270
221,271
222,273
223,274
224,275
225,276
226,277
227,278
228,279
229,280
230,281
231,282
232,283
233,284
234,286
235,287
236,288
237,290
238,293
239,294
240,295
241,297
242,298
243,299
244,300
245,305
246,306
247,307
248,308
249,309
250,310
251,311
252,312
253,313
254,314
255,315
256,316
257,318
258,319
259,320
260,321
261,322
262,323
263,324
264,325
265,326
266,327
267,328
268,329
269,330
270,331
271,333
272,334
273,335
274,336
275,337
276,338
277,339
278,340
279,341
280,342
281,343
282,344
283,345
284,346
285,348
286,349
287,350
288,351
289,352
290,354
291,355
292,356
293,357
294,358
295,359
296,360
297,361
298,363
299,364
300,365
301,367
302,368
303,370
304,371
305,372
306,373
307,374
308,375
309,377
310,378
311,379
312,380
313,381
314,382
315,383
316,384
317,385
318,387
319,390
320,391
321,393
322,394
323,395
324,396
325,397
326,398
327,399
328,400
329,401
330,402
331,403
332,404
333,405
334,406
335,407
336,408
337,409
338,410
339,411
340,412
341,413
342,414
343,415
344,417
345,418
346,419
347,420
348,421
349,423
350,424
351,425
352,426
353,427
354,428
355,429
356,430
357,431
358,432
359,433
360,434
361,435
362,436
363,437
364,438
365,439
366,440
367,441
368,442
369,443
370,444
371,445
372,446
373,447
374,448
375,449
376,450
377,451
378,452
379,453
380,454
381,455
382,456
383,460
384,461
385,462
386,463
387,464
388,466
389,468
390,469
391,470
392,471
393,472
394,473
395,474
396,475
397,476
398,477
399,478
400,479
401,480
402,482
403,483
404,484
405,485
406,486
407,487
408,488
409,489
410,492
411,493
412,494
413,495
414,496
415,498
416,499
417,503
418,504
419,505
420,508
421,510
422,513
423,514
424,515
425,516
426,517
427,518
428,519
429,520
430,521
431,522
432,523
433,524
434,526
435,527
436,528
437,530
438,532
439,534
440,540
441,543
442,544
443,545
444,546
445,549
446,550
447,551
448,552
449,553
450,554
451,555
452,556
453,557
454,561
455,563
456,564
457,565
458,566
459,567
460,568
461,569
462,570
463,571
464,572
465,573
466,574
467,575
468,576
469,577
470,579
471,580
472,581
473,582
474,583
475,584
476,586
477,587
478,588
479,589
480,590
481,591
482,592
483,593
484,594
485,595
486,596
487,597
488,598
489,599
490,600
491,601
492,602
493,603
494,604
495,605
496,606
497,607
498,608
499,609
500,610
501,611
502,612
503,613
504,614
505,615
506,616
507,617
508,619
509,620
510,622
511,624
512,626
513,627
514,628
515,629
516,630
517,632
518,633
519,634
520,635
521,636
522,637
523,638
524,640
525,642
526,643
527,644
528,645
529,646
530,647
531,648
532,649
533,650
534,651
535,652
536,653
537,654
538,655
539,656
540,657
541,658
542,659
543,660
544,661
545,662
546,663
547,664
548,665
549,666
550,667
551,668
552,669
553,670
554,673
555,674
556,675
557,676
558,677
559,678
560,679
561,680
562,681
563,682
564,683
565,684
566,685
567,686
568,687
569,689
570,690
571,691
572,692
573,693
574,694
575,695
576,696
577,697
578,698
579,699
580,700
581,701
582,702
583,704
584,705
585,706
586,707
587,709
588,710
589,711
590,712
591,713
592,714
593,715
594,717
595,718
596,719
597,721
598,722
599,723
600,724
601,725
602,726
603,732
604,733
605,734
606,735
607,736
608,737
609,738
610,740
611,745
612,747
613,748
614,749
615,750
616,755
617,756
618,757
619,758
620,760
621,761
622,762
623,764
624,765
625,766
626,771
627,772
628,774
629,775
630,777
631,778
632,779
633,780
634,781
635,782
636,784
637,786
638,787
639,788
640,791
641,792
642,793
643,794
644,795
645,800
646,801
647,802
648,803
649,804
650,805
651,806
652,807
653,808
654,810
655,811
656,812
657,813
658,815
659,817
660,818
661,819
662,820
663,821
664,822
665,823
666,824
667,825
668,826
669,827
670,828
671,829
672,830
673,832
674,834
675,835
676,836
677,837
678,838
679,839
680,840
681,841
682,842
683,843
684,844
685,845
686,846
687,847
688,848
689,849
690,850
691,853
692,855
693,857
694,858
695,861
696,862
697,863
698,865
699,868
700,869
701,872
702,873
703,874
704,875
705,876
706,877
707,878
708,879
709,882
710,883
711,884
712,885
713,886
714,887
715,889
716,890
717,892
718,893
719,894
720,896
721,897
722,899
723,900
724,901
725,902
726,903
727,904
728,905
729,906
730,908
731,910
732,912
733,913
734,915
735,916
736,917
737,918
738,919
739,920
740,921
741,923
742,924
743,925
744,928
745,929
746,930
747,931
748,932
749,933
750,934
751,935
752,936
753,937
754,938
755,939
756,940
757,942
758,943
759,944
760,945
761,946
762,947
763,948
764,949
765,950
766,951
767,952
768,954
769,955
770,956
771,957
772,958
773,959
774,961
775,962
776,964
777,965
778,967
779,968
780,969
781,970
782,973
783,975
784,978
785,979
786,980
787,982
788,983
789,984
790,985
791,987
792,988
793,991
794,993
795,994
796,995
797,996
798,997
799,998
800,999
801,1000
802,1001
803,1005
804,1006
805,1007
806,1008
807,1011
808,1012
809,1013
810,1014
811,1015
812,1016
813,1018
814,1019
815,1020
816,1021
817,1022
818,1023
819,1024
820,1026
821,1027
822,1028
823,1029
824,1030
825,1031
826,1032
827,1033
828,1034
829,1035
830,1036
831,1037
832,1038
833,1039
834,1040
835,1041
836,1042
837,1043
838,1044
839,1045
840,1046
841,1047
842,1048
843,1049
844,1050
845,1051
846,1052
847,1053
848,1054
849,1055
850,1056
851,1057
852,1058
853,1061
854,1062
855,1063
856,1064
857,1065
858,1068
859,1069
860,1070
861,1072
862,1073
863,1074
864,1075
865,1076
866,1077
867,1078
868,1082
869,1084
870,1085
871,1086
872,1087
873,1088
874,1090
875,1091
876,1092
877,1093
878,1095
879,1096
880,1097
881,1098
882,1103
883,1104
884,1105
885,1110
886,1113
887,1115
888,1116
889,1120
890,1124
891,1125
892,1126
893,1127
894,1128
895,1129
896,1130
897,1132
898,1136
899,1137
900,1138
901,1139
902,1140
903,1141
904,1143
905,1144
906,1145
907,1146
908,1147
909,1148
910,1149
911,1150
912,1151
913,1152
914,1153
915,1154
916,1155
917,1156
918,1157
919,1158
920,1159
921,1161
922,1163
923,1166
924,1167
925,1169
926,1170
927,1171
928,1172
929,1174
930,1175
931,1176
932,1178
933,1179
934,1180
935,1181
936,1182
937,1183
938,1185
939,1186
940,1188
941,1189
942,1191
943,1192
944,1193
945,1194
946,1195
947,1196
948,1197
949,1198
950,1199
951,1200
952,1201
953,1202
954,1203
955,1204
956,1205
957,1206
958,1207
959,1208
960,1209
961,1210
962,1211
963,1212
964,1213
965,1214
966,1215
967,1216
968,1217
969,1219
970,1220
971,1223
972,1225
973,1229
974,1230
975,1231
976,1232
977,1233
978,1234
979,1235
980,1237
981,1239
982,1240
983,1241
984,1243
985,1244
986,1245
987,1246
988,1247
989,1248
990,1249
991,1250
992,1251
993,1253
994,1254
995,1255
996,1257
997,1261
998,1263
999,1264
1000,1265
1001,1269
1002,1271
1003,1272
1004,1273
1005,1274
1006,1275
1007,1276
1008,1278
1009,1279
1010,1281
1011,1283
1012,1284
1013,1285
1014,1290
1015,1293
1016,1296
1017,1301
1018,1302
1019,1306
1020,1312
1021,1322
1022,1331
1023,1332
1024,1334
1025,1340
1026,1341
1027,1342
1028,1343
1029,1344
1030,1345
1031,1346
1032,1347
1033,1348
1034,1351
1035,1352
1036,1354
1037,1355
1038,1356
1039,1372
1040,1380
1041,1390
1042,1391
1043,1392
1044,1393
1045,1398
1046,1401
1047,1402
1048,1403
1049,1409
1050,1411
1051,1412
1052,1413
1053,1414
1054,1415
1055,1419
1056,1420
1057,1421
1058,1422
1059,1430
1060,1431
1061,1437
1062,1438
1063,1440
1064,1441
1065,1451
1066,1452
1067,1455
1068,1456
1069,1458
1070,1459
1071,1460
1072,1461
1073,1462
1074,1463
1075,1464
1076,1466
1077,1467
1078,1468
1079,1469
1080,1472
1081,1473
1082,1474
1083,1475
1084,1477
1085,1478
1086,1480
1087,1481
1088,1482
1089,1483
1090,1484
1091,1485
1092,1486
1093,1487
1094,1488
1095,1489
1096,1490
1097,1491
1098,1492
1099,1495
1100,1496
1101,1497
1102,1498
1103,1499
1104,1500
1105,1501
1106,1502
1107,1503
1108,1506
1109,1507
1110,1508
1111,1509
1112,1510
1113,1511
1114,1512
1115,1514
1116,1517
1117,1518
1118,1519
1119,1520
1120,1521
1121,1522
1122,1523
1123,1524
1124,1525
1125,1527
1126,1528
1127,1529
1128,1530
1129,1531
1130,1533
1131,1535
1132,1536
1133,1537
1134,1539
1135,1540
1136,1541
1137,1542
1138,1543
1139,1544
1140,1545
1141,1546
1142,1548
1143,1549
1144,1550
1145,1551
1146,1552
1147,1553
1148,1554
1149,1556
1150,1557
1151,1558
1152,1559
1153,1561
1154,1562
1155,1563
1156,1564
1157,1566
1158,1567
1159,1568
1160,1569
1161,1570
1162,1571
