,0
0,62
1,64
2,91
3,123
4,124
5,198
6,199
7,239
8,268
9,269
10,307
11,330
12,432
13,452
14,478
15,485
16,489
17,495
18,496
19,498
20,514
21,515
22,516
23,521
24,541
25,591
26,594
27,595
28,609
29,624
30,626
31,639
32,668
33,671
34,675
35,687
36,690
37,728
38,729
39,732
40,758
41,759
42,761
43,763
44,764
45,766
46,767
47,768
48,769
49,770
50,771
51,799
52,801
53,805
54,815
55,820
56,842
57,843
58,847
59,848
60,875
61,876
62,878
63,885
64,978
65,1006
66,1019
67,1042
68,1057
69,1058
70,1066
71,1067
72,1068
73,1069
74,1154
75,1156
76,1157
77,1179
78,1200
79,1207
80,1227
81,1228
82,1261
83,1266
84,1267
85,1268
86,1284
87,1300
88,1301
89,1302
90,1382
91,1385
92,1386
93,1387
94,1390
95,1425
96,1439
97,1440
98,1486
99,1509
100,1510
101,1525
102,1538
103,1556
104,1579
105,1585
106,1593
107,1647
108,1672
109,1674
110,1677
111,1698
112,1710
113,1713
114,1717
115,1740
116,1752
117,1753
118,1771
119,1773
120,1781
121,1808
122,1853
123,1862
124,1879
125,1892
126,1895
127,1906
128,1920
129,1930
130,1959
131,1994
132,2029
133,2080
134,2083
135,2084
136,2131
137,2197
138,2225
139,2226
140,2232
141,2258
142,2310
143,2340
144,2372
145,2374
146,2388
147,2389
148,2393
149,2410
150,2418
151,2419
152,2420
153,2423
154,2424
155,2425
156,2426
157,2454
158,2466
159,2484
160,2504
161,2505
162,2511
163,2588
164,2589
165,2590
166,2591
167,2592
168,2607
169,2609
170,2610
171,2615
172,2632
173,2656
174,2663
175,2677
176,2687
177,2689
178,2690
179,2691
180,2696
181,2698
182,2711
183,2723
184,2725
185,2731
186,2771
187,2772
188,2773
189,2776
190,2806
191,2883
192,2977
193,3006
194,3007
195,3035
196,3066
197,3104
198,3264
199,3276
200,3281
201,3294
202,3295
203,3303
204,3322
205,3343
206,3347
207,3391
208,3392
209,3420
210,3466
211,3485
212,3509
213,3516
214,3518
215,3548
216,3593
217,3630
218,3644
219,3664
220,3665
221,3666
222,3683
223,3691
224,3697
225,3698
226,3699
227,3722
228,3758
229,3763
230,3764
231,3765
232,3799
233,3824
234,3833
235,3834
236,3871
237,3872
238,3873
239,3877
240,3885
241,3910
242,3942
243,3945
244,3952
245,3969
246,3972
247,3978
248,3991
249,4027
250,4054
251,4067
252,4147
253,4160
254,4165
255,4166
256,4186
257,4207
258,4209
259,4212
260,4216
261,4219
262,4235
263,4261
264,4302
265,4307
266,4338
267,4346
268,4386
269,4419
270,4430
271,4433
272,4434
273,4435
274,4436
275,4458
276,4550
277,4551
278,4553
279,4555
280,4561
281,4573
282,4594
283,4608
284,4611
285,4620
286,4625
287,4629
288,4632
289,4637
290,4659
291,4678
292,4692
293,4722
294,4726
295,4752
296,4753
297,4755
298,4759
299,4819
300,4820
301,4824
302,4828
303,4830
304,4833
305,4836
306,4852
307,4859
308,4868
309,4914
310,4923
311,4924
312,4970
313,4979
314,4991
315,5001
316,5008
317,5015
318,5016
319,5033
320,5036
321,5042
322,5049
323,5142
324,5158
325,5163
326,5208
327,5210
328,5216
329,5217
330,5285
331,5318
332,5327
333,5330
334,5331
335,5352
336,5376
337,5410
338,5461
339,5486
340,5488
341,5489
342,5490
343,5543
344,5548
345,5605
346,5613
347,5617
348,5618
349,5642
350,5647
351,5649
352,5669
353,5683
354,5686
355,5701
356,5714
357,5746
358,5766
359,5777
360,5781
361,5790
362,5791
363,5797
364,5800
365,5804
366,5836
367,5857
368,5875
369,5929
370,5932
371,5934
372,5936
373,5946
374,5950
375,5951
376,5953
377,5958
378,5992
379,6035
380,6040
381,6044
382,6046
383,6050
384,6074
385,6083
386,6091
387,6097
388,6123
389,6133
390,6137
391,6182
392,6190
393,6202
394,6208
395,6218
396,6252
397,6253
398,6286
399,6318
400,6329
401,6339
402,6363
403,6379
404,6385
405,6405
406,6421
407,6439
408,6459
409,6469
410,6522
411,6571
412,6574
413,6575
414,6576
415,6659
416,6660
417,6662
418,6666
419,6673
420,6688
421,6698
422,6749
423,6755
424,6765
425,6766
426,6870
427,6973
428,6974
429,6975
430,6980
431,6982
432,6988
433,6990
434,6991
435,7001
436,7025
437,7081
438,7089
439,7093
440,7129
441,7157
442,7195
443,7196
444,7200
445,7237
446,7238
447,7249
448,7251
449,7252
450,7255
451,7258
452,7282
453,7304
454,7348
455,7392
456,7394
457,7458
458,7463
459,7470
460,7477
461,7481
462,7485
463,7509
464,7526
465,7543
466,7544
467,7546
468,7590
469,7639
470,7680
471,7765
472,7767
473,7812
474,7832
475,7841
476,7844
477,7859
478,7884
479,7889
480,7908
481,7939
482,7943
483,7944
484,8044
485,8100
486,8200
487,8201
488,8222
489,8238
490,8287
491,8340
492,8345
493,8358
494,8364
495,8378
496,8379
497,8424
498,8427
499,8446
500,8452
501,8487
502,8500
503,8501
504,8625
505,8642
506,8659
507,8704
508,8814
509,8863
510,8868
