,0
0,0.0
1,1.0
2,3.0
3,4.0
4,5.0
5,6.0
6,7.0
7,8.0
8,9.0
9,10.0
10,11.0
11,12.0
12,13.0
13,15.0
14,16.0
15,17.0
16,18.0
17,19.0
18,20.0
19,22.0
20,24.0
21,25.0
22,26.0
23,27.0
24,29.0
25,31.0
26,32.0
27,33.0
28,34.0
29,35.0
30,36.0
31,37.0
32,38.0
33,39.0
34,40.0
35,41.0
36,42.0
37,43.0
38,44.0
39,45.0
40,46.0
41,47.0
42,48.0
43,49.0
44,50.0
45,51.0
46,52.0
47,54.0
48,55.0
49,56.0
50,60.0
51,63.0
52,64.0
53,69.0
54,70.0
55,72.0
56,73.0
57,74.0
58,76.0
59,77.0
60,78.0
61,79.0
62,81.0
63,83.0
64,84.0
65,86.0
66,87.0
67,88.0
68,89.0
69,90.0
70,91.0
71,92.0
72,93.0
73,94.0
74,95.0
75,96.0
76,97.0
77,98.0
78,99.0
79,100.0
80,103.0
81,104.0
82,105.0
83,107.0
84,110.0
85,111.0
86,112.0
87,115.0
88,116.0
89,117.0
90,118.0
91,119.0
92,120.0
93,121.0
94,122.0
95,123.0
96,124.0
97,125.0
98,126.0
99,127.0
100,128.0
101,129.0
102,130.0
103,131.0
104,132.0
105,133.0
106,134.0
107,135.0
108,136.0
109,138.0
110,139.0
111,140.0
112,141.0
113,142.0
114,143.0
115,144.0
116,146.0
117,147.0
118,148.0
119,149.0
120,150.0
121,151.0
122,152.0
123,153.0
124,155.0
125,156.0
126,157.0
127,158.0
128,159.0
129,160.0
130,161.0
131,162.0
132,163.0
133,164.0
134,165.0
135,166.0
136,167.0
137,168.0
138,170.0
139,171.0
140,172.0
141,173.0
142,174.0
143,175.0
144,176.0
145,177.0
146,178.0
147,181.0
148,182.0
149,183.0
150,184.0
151,185.0
152,186.0
153,189.0
154,190.0
155,191.0
156,192.0
157,193.0
158,195.0
159,197.0
160,198.0
161,202.0
162,203.0
163,205.0
164,207.0
165,208.0
166,210.0
167,211.0
168,212.0
169,213.0
170,214.0
171,215.0
172,216.0
173,220.0
174,221.0
175,222.0
176,223.0
177,224.0
178,225.0
179,226.0
180,227.0
181,228.0
182,229.0
183,230.0
184,231.0
185,232.0
186,233.0
187,234.0
188,235.0
189,237.0
190,238.0
191,240.0
192,241.0
193,242.0
194,244.0
195,245.0
196,246.0
197,247.0
198,248.0
199,252.0
200,253.0
201,254.0
202,255.0
203,256.0
204,257.0
205,258.0
206,259.0
207,261.0
208,262.0
209,263.0
210,265.0
211,266.0
212,267.0
213,268.0
214,269.0
215,270.0
216,271.0
217,272.0
218,273.0
219,274.0
220,275.0
221,280.0
222,282.0
223,283.0
224,284.0
225,286.0
226,287.0
227,288.0
228,289.0
229,290.0
230,291.0
231,292.0
232,293.0
233,294.0
234,295.0
235,296.0
236,297.0
237,298.0
238,299.0
239,300.0
240,301.0
241,302.0
242,303.0
243,304.0
244,305.0
245,306.0
246,307.0
247,308.0
248,310.0
249,311.0
250,312.0
251,313.0
252,314.0
253,315.0
254,316.0
255,318.0
256,319.0
257,320.0
258,321.0
259,322.0
260,323.0
261,324.0
262,325.0
263,326.0
264,327.0
265,328.0
266,329.0
267,330.0
268,332.0
269,333.0
270,334.0
271,335.0
272,336.0
273,337.0
274,338.0
275,339.0
276,340.0
277,341.0
278,342.0
279,343.0
280,344.0
281,345.0
282,346.0
283,347.0
284,348.0
285,349.0
286,350.0
287,353.0
288,354.0
289,355.0
290,357.0
291,358.0
292,359.0
293,360.0
294,361.0
295,362.0
296,363.0
297,364.0
298,365.0
299,366.0
300,367.0
301,368.0
302,369.0
303,370.0
304,371.0
305,372.0
306,373.0
307,374.0
308,375.0
309,376.0
310,377.0
311,378.0
312,379.0
313,381.0
314,382.0
315,383.0
316,384.0
317,385.0
318,386.0
319,387.0
320,388.0
321,389.0
322,390.0
323,391.0
324,392.0
325,393.0
326,395.0
327,396.0
328,398.0
329,399.0
330,400.0
331,401.0
332,402.0
333,403.0
334,405.0
335,406.0
336,407.0
337,408.0
338,410.0
339,411.0
340,412.0
341,413.0
342,417.0
343,418.0
344,419.0
345,420.0
346,422.0
347,423.0
348,424.0
349,425.0
350,426.0
351,427.0
352,428.0
353,429.0
354,431.0
355,432.0
356,433.0
357,434.0
358,435.0
359,436.0
360,441.0
361,442.0
362,443.0
363,445.0
364,446.0
365,447.0
366,448.0
367,453.0
368,454.0
369,455.0
370,456.0
371,457.0
372,458.0
373,459.0
374,460.0
375,461.0
376,462.0
377,463.0
378,465.0
379,466.0
380,467.0
381,468.0
382,470.0
383,471.0
384,472.0
385,473.0
386,477.0
387,479.0
388,484.0
389,486.0
390,487.0
391,488.0
392,489.0
393,490.0
394,491.0
395,493.0
396,496.0
397,499.0
398,501.0
399,503.0
400,504.0
401,505.0
402,511.0
403,517.0
404,518.0
405,521.0
406,524.0
407,525.0
408,527.0
409,528.0
410,529.0
411,530.0
412,531.0
413,532.0
414,534.0
415,535.0
416,538.0
417,539.0
418,540.0
419,541.0
420,542.0
421,543.0
422,544.0
423,545.0
424,546.0
425,547.0
426,549.0
427,550.0
428,551.0
429,552.0
430,553.0
431,556.0
432,558.0
433,559.0
434,560.0
435,561.0
436,562.0
437,563.0
438,564.0
439,565.0
440,566.0
441,567.0
442,568.0
443,569.0
444,570.0
445,571.0
446,572.0
447,573.0
448,574.0
449,575.0
450,576.0
451,577.0
452,578.0
453,579.0
454,580.0
455,581.0
456,582.0
457,583.0
458,584.0
459,586.0
460,588.0
461,589.0
462,590.0
463,591.0
464,592.0
465,593.0
466,594.0
467,595.0
468,597.0
469,598.0
470,600.0
471,601.0
472,602.0
473,603.0
474,604.0
475,605.0
476,606.0
477,607.0
478,608.0
479,609.0
480,610.0
481,611.0
482,612.0
483,613.0
484,617.0
485,618.0
486,621.0
487,622.0
488,623.0
489,624.0
490,628.0
491,629.0
492,630.0
493,631.0
494,632.0
495,633.0
496,634.0
497,635.0
498,636.0
499,637.0
500,638.0
501,640.0
502,641.0
503,642.0
504,644.0
505,645.0
506,646.0
507,647.0
508,648.0
509,649.0
510,650.0
511,651.0
512,652.0
513,654.0
514,655.0
515,656.0
516,657.0
517,658.0
518,659.0
519,660.0
520,661.0
521,662.0
522,663.0
523,664.0
524,665.0
525,666.0
526,667.0
527,668.0
528,669.0
529,670.0
530,671.0
531,672.0
532,673.0
533,674.0
534,675.0
535,676.0
536,677.0
537,678.0
538,679.0
539,680.0
540,681.0
541,685.0
542,687.0
543,688.0
544,689.0
545,690.0
546,691.0
547,692.0
548,694.0
549,695.0
550,696.0
551,698.0
552,699.0
553,700.0
554,701.0
555,702.0
556,703.0
557,704.0
558,705.0
559,706.0
560,707.0
561,708.0
562,709.0
563,710.0
564,711.0
565,712.0
566,713.0
567,714.0
568,715.0
569,716.0
570,721.0
571,722.0
572,723.0
573,724.0
574,725.0
575,726.0
576,727.0
577,728.0
578,729.0
579,730.0
580,731.0
581,732.0
582,733.0
583,734.0
584,735.0
585,736.0
586,737.0
587,738.0
588,740.0
589,741.0
590,743.0
591,746.0
592,747.0
593,748.0
594,749.0
595,750.0
596,751.0
597,752.0
598,753.0
599,755.0
600,756.0
601,757.0
602,758.0
603,759.0
604,760.0
605,761.0
606,762.0
607,764.0
608,765.0
609,769.0
610,770.0
611,773.0
612,774.0
613,775.0
614,777.0
615,778.0
616,779.0
617,780.0
618,781.0
619,782.0
620,783.0
621,784.0
622,785.0
623,786.0
624,787.0
625,788.0
626,789.0
627,791.0
628,793.0
629,794.0
630,797.0
631,798.0
632,800.0
633,801.0
634,802.0
635,803.0
636,805.0
637,807.0
638,808.0
639,809.0
