,0
A1BG,0
A2M,1
A2ML1,2
A4GALT,3
AAAS,4
AACS,5
AADAC,6
AADACL2,7
AADAT,8
AAGAB,9
AAK1,10
AAMDC,11
AAMP,12
AAR2,13
AARD,14
AARS2,15
AASDH,16
AASDHPPT,17
AASS,18
AATF,19
AATK,20
ABAT,21
ABCA1,22
ABCA10,23
ABCA12,24
ABCA13,25
ABCA2,26
ABCA3,27
ABCA4,28
ABCA5,29
ABCA6,30
ABCA7,31
ABCA8,32
ABCA9,33
ABCB1,34
ABCB10,35
ABCB4,36
ABCB6,37
ABCB7,38
ABCB8,39
ABCB9,40
ABCC1,41
ABCC10,42
ABCC2,43
ABCC3,44
ABCC4,45
ABCC5,46
ABCC6,47
ABCC8,48
ABCC9,49
ABCD1,50
ABCD3,51
ABCD4,52
ABCE1,53
ABCF1,54
ABCF2,55
ABCF3,56
ABCG1,57
ABCG2,58
ABHD1,59
ABHD10,60
ABHD11,61
ABHD12,62
ABHD12B,63
ABHD13,64
ABHD14A-ACY1,65
ABHD14B,66
ABHD15,67
ABHD16A,68
ABHD16B,69
ABHD17A,70
ABHD17B,71
ABHD2,72
ABHD3,73
ABHD4,74
ABHD5,75
ABHD6,76
ABHD8,77
ABI1,78
ABI2,79
ABI3,80
ABI3BP,81
ABL1,82
ABL2,83
ABLIM1,84
ABLIM2,85
ABLIM3,86
ABR,87
ABRACL,88
ABT1,89
ABTB1,90
ABTB2,91
ACAA1,92
ACAA2,93
ACACA,94
ACACB,95
ACAD10,96
ACAD11,97
ACAD8,98
ACAD9,99
ACADL,100
ACADM,101
ACADS,102
ACADSB,103
ACADVL,104
ACAN,105
ACAP1,106
ACAP2,107
ACAP3,108
ACAT1,109
ACAT2,110
ACBD3,111
ACBD4,112
ACBD5,113
ACBD6,114
ACBD7,115
ACCS,116
ACD,117
ACE,118
ACE2,119
ACER2,120
ACER3,121
ACHE,122
ACIN1,123
ACKR2,124
ACKR3,125
ACKR4,126
ACLY,127
ACO1,128
ACO2,129
ACOT11,130
ACOT13,131
ACOT2,132
ACOT4,133
ACOT7,134
ACOT8,135
ACOT9,136
ACOX1,137
ACOX2,138
ACOX3,139
ACOXL,140
ACP1,141
ACP2,142
ACP5,143
ACP6,144
ACR,145
ACRBP,146
ACSF2,147
ACSF3,148
ACSL1,149
ACSL3,150
ACSL4,151
ACSL5,152
ACSL6,153
ACSM3,154
ACSM5,155
ACSS1,156
ACSS2,157
ACSS3,158
ACTA2,159
ACTB,160
ACTG1,161
ACTG2,162
ACTL6A,163
ACTL8,164
ACTN1,165
ACTN2,166
ACTN4,167
ACTR10,168
ACTR1A,169
ACTR1B,170
ACTR2,171
ACTR3,172
ACTR3B,173
ACTR3C,174
ACTR5,175
ACTR6,176
ACTR8,177
ACTRT3,178
ACVR1,179
ACVR1B,180
ACVR1C,181
ACVR2A,182
ACVR2B,183
ACVRL1,184
ACY3,185
ACYP1,186
ACYP2,187
ADA,188
ADAD2,189
ADAL,190
ADAM10,191
ADAM11,192
ADAM12,193
ADAM15,194
ADAM17,195
ADAM19,196
ADAM22,197
ADAM23,198
ADAM28,199
ADAM32,200
ADAM33,201
ADAM8,202
ADAM9,203
ADAMDEC1,204
ADAMTS1,205
ADAMTS10,206
ADAMTS12,207
ADAMTS13,208
ADAMTS14,209
ADAMTS15,210
ADAMTS16,211
ADAMTS17,212
ADAMTS18,213
ADAMTS2,214
ADAMTS20,215
ADAMTS3,216
ADAMTS4,217
ADAMTS5,218
ADAMTS6,219
ADAMTS7,220
ADAMTS8,221
ADAMTS9,222
ADAMTSL1,223
ADAMTSL2,224
ADAMTSL3,225
ADAMTSL4,226
ADAMTSL5,227
ADAP1,228
ADAP2,229
ADAR,230
ADARB1,231
ADARB2,232
ADAT1,233
ADAT2,234
ADAT3,235
ADCK1,236
ADCK2,237
ADCK5,238
ADCY1,239
ADCY10,240
ADCY2,241
ADCY3,242
ADCY4,243
ADCY5,244
ADCY6,245
ADCY7,246
ADCY8,247
ADCY9,248
ADCYAP1,249
ADD1,250
ADD2,251
ADD3,252
ADH1B,253
ADH5,254
ADH7,255
ADHFE1,256
ADI1,257
ADIPOR1,258
ADIPOR2,259
ADIRF,260
ADK,261
ADM,262
ADM5,263
ADNP,264
ADNP2,265
ADO,266
ADORA1,267
ADORA2A,268
ADORA3,269
ADPRH,270
ADPRHL1,271
ADPRM,272
ADRA1B,273
ADRA1D,274
ADRA2A,275
ADRA2B,276
ADRA2C,277
ADRB1,278
ADRB2,279
ADRM1,280
ADSL,281
ADTRP,282
AEBP1,283
AEBP2,284
AEN,285
AFAP1,286
AFAP1L1,287
AFAP1L2,288
AFF1,289
AFF2,290
AFF3,291
AFF4,292
AFG3L2,293
AFMID,294
AFP,295
AFTPH,296
AGA,297
AGAP1,298
AGAP2,299
AGAP3,300
AGAP4,301
AGAP5,302
AGAP6,303
AGAP9,304
AGBL2,305
AGBL5,306
AGER,307
AGFG1,308
AGFG2,309
AGGF1,310
AGK,311
AGL,312
AGMAT,313
AGMO,314
AGO1,315
AGO2,316
AGO3,317
AGO4,318
AGPAT1,319
AGPAT2,320
AGPAT3,321
AGPAT4,322
AGPAT5,323
AGPS,324
AGR2,325
AGR3,326
AGRN,327
AGT,328
AGTPBP1,329
AGTR1,330
AGTR2,331
AGTRAP,332
AHCTF1,333
AHCY,334
AHCYL1,335
AHCYL2,336
AHDC1,337
AHI1,338
AHNAK,339
AHNAK2,340
AHR,341
AHRR,342
AHSG,343
AIDA,344
AIF1,345
AIFM1,346
AIFM2,347
AIFM3,348
AIM2,349
AIMP1,350
AIMP2,351
AJAP1,352
AJUBA,353
AK1,354
AK3,355
AK5,356
AK7,357
AK8,358
AK9,359
AKAP1,360
AKAP11,361
AKAP12,362
AKAP13,363
AKAP14,364
AKAP17A,365
AKAP3,366
AKAP5,367
AKAP6,368
AKAP7,369
AKAP8,370
AKAP8L,371
AKAP9,372
AKIP1,373
AKIRIN1,374
AKIRIN2,375
AKNA,376
AKR1A1,377
AKR1B1,378
AKR1B10,379
AKR1B15,380
AKR1C1,381
AKR1C2,382
AKR1C3,383
AKR1E2,384
AKR7A2,385
AKT1,386
AKT1S1,387
AKT2,388
AKT3,389
ALAD,390
ALAS1,391
ALB,392
ALCAM,393
ALDH16A1,394
ALDH18A1,395
ALDH1A1,396
ALDH1A2,397
ALDH1A3,398
ALDH1B1,399
ALDH1L1,400
ALDH1L2,401
ALDH2,402
ALDH3A1,403
ALDH3A2,404
ALDH3B1,405
ALDH3B2,406
ALDH4A1,407
ALDH5A1,408
ALDH6A1,409
ALDH7A1,410
ALDH8A1,411
ALDH9A1,412
ALDOA,413
ALDOC,414
ALG1,415
ALG10,416
ALG10B,417
ALG11,418
ALG12,419
ALG13,420
ALG14,421
ALG1L,422
ALG2,423
ALG3,424
ALG5,425
ALG6,426
ALG8,427
ALG9,428
ALKBH1,429
ALKBH2,430
ALKBH3,431
ALKBH4,432
ALKBH5,433
ALKBH6,434
ALKBH7,435
ALKBH8,436
ALMS1,437
ALOX12,438
ALOX12B,439
ALOX15,440
ALOX15B,441
ALOX5,442
ALOX5AP,443
ALOXE3,444
ALPK1,445
ALPK2,446
ALPK3,447
ALPL,448
ALS2,449
ALS2CL,450
ALX1,451
ALX3,452
ALYREF,453
AMACR,454
AMBRA1,455
AMD1,456
AMDHD1,457
AMDHD2,458
AMER1,459
AMFR,460
AMIGO1,461
AMIGO2,462
AMIGO3,463
AMMECR1,464
AMMECR1L,465
AMN,466
AMN1,467
AMOT,468
AMOTL1,469
AMOTL2,470
AMPD1,471
AMPD2,472
AMPD3,473
AMPH,474
AMT,475
AMTN,476
AMY1B,477
AMY1C,478
AMY2B,479
AMZ2,480
ANAPC1,481
ANAPC10,482
ANAPC13,483
ANAPC15,484
ANAPC2,485
ANAPC4,486
ANAPC5,487
ANAPC7,488
ANG,489
ANGEL1,490
ANGEL2,491
ANGPT1,492
ANGPT2,493
ANGPTL1,494
ANGPTL2,495
ANGPTL4,496
ANK1,497
ANK2,498
ANK3,499
ANKAR,500
ANKDD1A,501
ANKEF1,502
ANKFY1,503
ANKH,504
ANKHD1,505
ANKHD1-EIF4EBP3,506
ANKIB1,507
ANKK1,508
ANKLE1,509
ANKLE2,510
ANKMY1,511
ANKMY2,512
ANKRA2,513
ANKRD1,514
ANKRD10,515
ANKRD11,516
ANKRD12,517
ANKRD13A,518
ANKRD13B,519
ANKRD13C,520
ANKRD13D,521
ANKRD16,522
ANKRD17,523
ANKRD2,524
ANKRD22,525
ANKRD23,526
ANKRD24,527
ANKRD26,528
ANKRD27,529
ANKRD28,530
ANKRD35,531
ANKRD36,532
ANKRD36C,533
ANKRD37,534
ANKRD40,535
ANKRD42,536
ANKRD44,537
ANKRD45,538
ANKRD46,539
ANKRD49,540
ANKRD50,541
ANKRD52,542
ANKRD53,543
ANKRD54,544
ANKRD6,545
ANKRD7,546
ANKRD9,547
ANKS1A,548
ANKS1B,549
ANKS3,550
ANKS6,551
ANKZF1,552
ANLN,553
ANO1,554
ANO10,555
ANO2,556
ANO6,557
ANO7,558
ANO8,559
ANO9,560
ANP32A,561
ANP32B,562
ANP32E,563
ANPEP,564
ANTXR1,565
ANTXR2,566
ANXA1,567
ANXA10,568
ANXA11,569
ANXA2,570
ANXA2R,571
ANXA3,572
ANXA4,573
ANXA5,574
ANXA6,575
ANXA7,576
ANXA8,577
ANXA8L1,578
ANXA9,579
AOAH,580
AOC1,581
AOC2,582
AOC3,583
AOX1,584
AP1AR,585
AP1B1,586
AP1G1,587
AP1G2,588
AP1M1,589
AP1M2,590
AP1S1,591
AP1S3,592
AP2A1,593
AP2A2,594
AP2B1,595
AP2M1,596
AP2S1,597
AP3B1,598
AP3B2,599
AP3D1,600
AP3M1,601
AP3M2,602
AP3S1,603
AP3S2,604
AP4B1,605
AP4E1,606
AP4M1,607
AP4S1,608
AP5B1,609
AP5M1,610
AP5S1,611
AP5Z1,612
APAF1,613
APBA1,614
APBA2,615
APBA3,616
APBB1,617
APBB1IP,618
APBB2,619
APBB3,620
APC,621
APCDD1,622
APCDD1L,623
APEH,624
APEX1,625
APEX2,626
APH1A,627
APH1B,628
API5,629
APIP,630
APLF,631
APLN,632
APLNR,633
APLP1,634
APLP2,635
APMAP,636
APOA2,637
APOBEC3A,638
APOBEC3B,639
APOBEC3C,640
APOBEC3D,641
APOBEC3F,642
APOBEC3G,643
APOBEC3H,644
APOBR,645
APOC1,646
APOC2,647
APOD,648
APOL1,649
APOL2,650
APOL3,651
APOL4,652
APOL6,653
APOLD1,654
APOO,655
APOOL,656
APP,657
APPBP2,658
APPL1,659
APPL2,660
APRT,661
APTX,662
AQP1,663
AQP10,664
AQP11,665
AQP3,666
AQP4,667
AQP5,668
AQP9,669
AQR,670
AR,671
ARAF,672
ARAP1,673
ARAP2,674
ARAP3,675
ARC,676
ARCN1,677
AREG,678
AREL1,679
ARF1,680
ARF5,681
ARF6,682
ARFGAP1,683
ARFGAP2,684
ARFGAP3,685
ARFGEF1,686
ARFGEF2,687
ARFIP1,688
ARFIP2,689
ARFRP1,690
ARG1,691
ARG2,692
ARGLU1,693
ARHGAP1,694
ARHGAP10,695
ARHGAP11A,696
ARHGAP11B,697
ARHGAP12,698
ARHGAP15,699
ARHGAP17,700
ARHGAP18,701
ARHGAP19,702
ARHGAP20,703
ARHGAP21,704
ARHGAP22,705
ARHGAP24,706
ARHGAP25,707
ARHGAP26,708
ARHGAP27,709
ARHGAP28,710
ARHGAP29,711
ARHGAP30,712
ARHGAP31,713
ARHGAP32,714
ARHGAP33,715
ARHGAP35,716
ARHGAP39,717
ARHGAP4,718
ARHGAP44,719
ARHGAP5,720
ARHGAP6,721
ARHGAP9,722
ARHGDIA,723
ARHGDIB,724
ARHGDIG,725
ARHGEF1,726
ARHGEF10,727
ARHGEF10L,728
ARHGEF11,729
ARHGEF12,730
ARHGEF15,731
ARHGEF16,732
ARHGEF17,733
ARHGEF18,734
ARHGEF19,735
ARHGEF2,736
ARHGEF25,737
ARHGEF26,738
ARHGEF28,739
ARHGEF3,740
ARHGEF35,741
ARHGEF37,742
ARHGEF38,743
ARHGEF39,744
ARHGEF4,745
ARHGEF40,746
ARHGEF5,747
ARHGEF6,748
ARHGEF7,749
ARHGEF9,750
ARID1A,751
ARID1B,752
ARID2,753
ARID3A,754
ARID3B,755
ARID4A,756
ARID4B,757
ARID5A,758
ARID5B,759
ARIH1,760
ARIH2,761
ARL1,762
ARL10,763
ARL11,764
ARL13B,765
ARL14,766
ARL14EP,767
ARL15,768
ARL16,769
ARL17A,770
ARL2BP,771
ARL3,772
ARL4A,773
ARL4C,774
ARL4D,775
ARL5A,776
ARL5B,777
ARL6,778
ARL6IP1,779
ARL6IP4,780
ARL6IP5,781
ARL6IP6,782
ARMC1,783
ARMC10,784
ARMC12,785
ARMC2,786
ARMC3,787
ARMC5,788
ARMC6,789
ARMC7,790
ARMC8,791
ARMC9,792
ARMCX1,793
ARMCX2,794
ARMCX3,795
ARMCX4,796
ARMCX5,797
ARMCX6,798
ARNT,799
ARNT2,800
ARNTL,801
ARNTL2,802
ARPC1A,803
ARPC1B,804
ARPC2,805
ARPC3,806
ARPC4,807
ARPC5,808
ARPC5L,809
ARPP19,810
ARRB1,811
ARRB2,812
ARRDC1,813
ARRDC2,814
ARRDC3,815
ARRDC4,816
ARSA,817
ARSB,818
ARSD,819
ARSG,820
ARSI,821
ARSJ,822
ARSK,823
ART3,824
ART5,825
ARV1,826
ARVCF,827
AS3MT,828
ASAH1,829
ASAH2,830
ASAH2B,831
ASAP1,832
ASAP2,833
ASAP3,834
ASB1,835
ASB13,836
ASB16,837
ASB2,838
ASB6,839
ASB7,840
ASB8,841
ASB9,842
ASCC1,843
ASCC2,844
ASCC3,845
ASF1B,846
ASGR1,847
ASGR2,848
ASH1L,849
ASH2L,850
ASIC1,851
ASIC3,852
ASL,853
ASMTL,854
ASNS,855
ASNSD1,856
ASPG,857
ASPH,858
ASPHD1,859
ASPHD2,860
ASPM,861
ASPN,862
ASPRV1,863
ASPSCR1,864
ASS1,865
ASTE1,866
ASTL,867
ASTN1,868
ASTN2,869
ASXL1,870
ASXL2,871
ATAD1,872
ATAD2,873
ATAD2B,874
ATAD3A,875
ATAD3B,876
ATAD3C,877
ATAD5,878
ATAT1,879
ATE1,880
ATF1,881
ATF2,882
ATF3,883
ATF4,884
ATF6,885
ATF6B,886
ATF7,887
ATF7IP,888
ATF7IP2,889
ATG10,890
ATG12,891
ATG13,892
ATG14,893
ATG16L1,894
ATG16L2,895
ATG2A,896
ATG2B,897
ATG3,898
ATG4A,899
ATG4B,900
ATG4C,901
ATG4D,902
ATG5,903
ATG7,904
ATG9A,905
ATG9B,906
ATIC,907
ATL1,908
ATL2,909
ATL3,910
ATM,911
ATMIN,912
ATN1,913
ATOH8,914
ATP10A,915
ATP10B,916
ATP10D,917
ATP11A,918
ATP11B,919
ATP11C,920
ATP12A,921
ATP13A1,922
ATP13A2,923
ATP13A3,924
ATP13A4,925
ATP13A5,926
ATP1A1,927
ATP1A3,928
ATP1B1,929
ATP1B2,930
ATP1B3,931
ATP2A1,932
ATP2A2,933
ATP2A3,934
ATP2B1,935
ATP2B4,936
ATP2C1,937
ATP2C2,938
ATP4A,939
ATP6AP1,940
ATP6AP1L,941
ATP6AP2,942
ATP6V0A1,943
ATP6V0A2,944
ATP6V0A4,945
ATP6V0B,946
ATP6V0C,947
ATP6V0D1,948
ATP6V0D2,949
ATP6V0E1,950
ATP6V0E2,951
ATP6V1A,952
ATP6V1B1,953
ATP6V1B2,954
ATP6V1C1,955
ATP6V1C2,956
ATP6V1D,957
ATP6V1E1,958
ATP6V1E2,959
ATP6V1F,960
ATP6V1G1,961
ATP6V1G2,962
ATP6V1H,963
ATP7A,964
ATP7B,965
ATP8A1,966
ATP8A2,967
ATP8B1,968
ATP8B2,969
ATP8B3,970
ATP8B4,971
ATP9A,972
ATP9B,973
ATPAF1,974
ATPAF2,975
ATR,976
ATRAID,977
ATRIP,978
ATRN,979
ATRNL1,980
ATRX,981
ATXN1,982
ATXN10,983
ATXN2,984
ATXN2L,985
ATXN3,986
ATXN7,987
ATXN7L1,988
ATXN7L2,989
ATXN7L3,990
AUH,991
AUNIP,992
AUP1,993
AURKA,994
AURKAIP1,995
AURKC,996
AUTS2,997
AVEN,998
AVIL,999
AVL9,1000
AVPI1,1001
