,0
0,0
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,10
9,12
10,13
11,14
12,15
13,16
14,17
15,18
16,19
17,20
18,21
19,22
20,23
21,24
22,25
23,26
24,27
25,28
26,29
27,30
28,31
29,32
30,33
31,34
32,35
33,36
34,37
35,38
36,39
37,40
38,41
39,42
40,43
41,44
42,45
43,46
44,47
45,48
46,49
47,50
48,51
49,52
50,53
51,55
52,56
53,57
54,60
55,63
56,65
57,67
58,68
59,69
60,70
61,71
62,73
63,77
64,78
65,83
66,84
67,85
68,87
69,89
70,90
71,91
72,92
73,93
74,94
75,95
76,96
77,97
78,98
79,99
80,100
81,101
82,103
83,105
84,106
85,107
86,109
87,110
88,112
89,113
90,114
91,115
92,116
93,117
94,118
95,119
96,120
97,122
98,123
99,125
100,126
101,127
102,128
103,129
104,130
105,131
106,132
107,133
108,134
109,135
110,136
111,137
112,138
113,139
114,140
115,141
116,143
117,144
118,145
119,147
120,148
121,149
122,150
123,151
124,152
125,153
126,154
127,155
128,156
129,157
130,158
131,159
132,160
133,162
134,164
135,165
136,166
137,168
138,169
139,170
140,171
141,179
142,181
143,182
144,183
145,184
146,185
147,186
148,188
149,189
150,190
151,191
152,192
153,193
154,194
155,195
156,197
157,198
158,199
159,200
160,201
161,202
162,203
163,204
164,205
165,206
166,207
167,208
168,209
169,210
170,211
171,212
172,213
173,214
174,215
175,216
176,217
177,218
178,219
179,220
180,221
181,222
182,225
183,226
184,227
185,228
186,229
187,230
188,231
189,234
190,235
191,236
192,237
193,238
194,239
195,240
196,241
197,242
198,243
199,244
200,245
201,246
202,247
203,248
204,249
205,250
206,252
207,253
208,256
209,257
210,258
211,259
212,260
213,261
214,262
215,263
216,264
217,266
218,267
219,268
220,269
221,270
222,271
223,272
224,273
225,274
226,275
227,276
228,278
229,279
230,280
231,284
232,285
233,286
234,288
235,289
236,290
237,291
238,296
239,297
240,298
241,299
242,300
243,301
244,302
245,303
246,304
247,305
248,306
249,307
250,309
251,310
252,311
253,312
254,313
255,314
256,315
257,316
258,317
259,318
260,319
261,321
262,322
263,323
264,324
265,325
266,326
267,327
268,328
269,329
270,330
271,331
272,332
273,333
274,334
275,336
276,338
277,339
278,340
279,341
280,343
281,344
282,345
283,346
284,347
285,348
286,349
287,350
288,351
289,352
290,353
291,355
292,356
293,358
294,359
295,361
296,362
297,363
298,364
299,365
300,366
301,368
302,369
303,370
304,371
305,372
306,373
307,374
308,375
309,376
310,377
311,379
312,382
313,383
314,384
315,386
316,387
317,388
318,389
319,390
320,391
321,392
322,393
323,394
324,395
325,396
326,397
327,398
328,399
329,400
330,401
331,402
332,403
333,404
334,405
335,406
336,407
337,409
338,410
339,411
340,412
341,413
342,415
343,416
344,417
345,418
346,419
347,420
348,421
349,422
350,423
351,424
352,425
353,426
354,427
355,428
356,429
357,430
358,431
359,432
360,433
361,434
362,435
363,436
364,437
365,438
366,439
367,440
368,441
369,442
370,443
371,444
372,445
373,449
374,450
375,451
376,452
377,453
378,456
379,457
380,458
381,459
382,460
383,461
384,462
385,463
386,464
387,465
388,466
389,468
390,469
391,470
392,471
393,472
394,473
395,476
396,477
397,478
398,479
399,480
400,482
401,483
402,487
403,488
404,489
405,492
406,493
407,496
408,497
409,498
410,499
411,500
412,501
413,502
414,503
415,504
416,505
417,506
418,508
419,509
420,511
421,513
422,514
423,517
424,519
425,526
426,529
427,530
428,531
429,534
430,535
431,536
432,537
433,538
434,539
435,540
436,541
437,542
438,543
439,544
440,548
441,550
442,551
443,552
444,553
445,554
446,555
447,556
448,557
449,558
450,559
451,560
452,561
453,562
454,564
455,565
456,566
457,567
458,568
459,570
460,571
461,572
462,573
463,574
464,575
465,576
466,577
467,578
468,579
469,580
470,581
471,582
472,583
473,584
474,585
475,586
476,587
477,588
478,589
479,590
480,591
481,592
482,593
483,594
484,595
485,596
486,597
487,598
488,599
489,600
490,601
491,603
492,604
493,606
494,608
495,610
496,611
497,612
498,613
499,615
500,616
501,617
502,618
503,619
504,620
505,621
506,623
507,625
508,626
509,627
510,628
511,629
512,630
513,631
514,632
515,633
516,634
517,635
518,636
519,637
520,638
521,639
522,640
523,641
524,642
525,643
526,644
527,645
528,646
529,647
530,648
531,649
532,650
533,651
534,654
535,655
536,656
537,657
538,658
539,659
540,660
541,661
542,662
543,663
544,664
545,665
546,666
547,667
548,668
549,669
550,670
551,672
552,673
553,674
554,675
555,676
556,677
557,678
558,679
559,680
560,681
561,682
562,683
563,684
564,686
565,687
566,688
567,689
568,690
569,692
570,693
571,694
572,695
573,696
574,697
575,698
576,700
577,701
578,702
579,703
580,704
581,706
582,707
583,708
584,709
585,710
586,716
587,717
588,718
589,719
590,720
591,721
592,722
593,724
594,730
595,732
596,733
597,734
598,735
599,740
600,741
601,742
602,743
603,745
604,746
605,747
606,748
607,750
608,751
609,755
610,756
611,757
612,760
613,761
614,762
615,763
616,764
617,765
618,766
619,767
620,768
621,770
622,772
623,773
624,774
625,777
626,778
627,779
628,780
629,781
630,785
631,786
632,787
633,788
634,789
635,790
636,791
637,792
638,794
639,795
640,796
641,797
642,799
643,801
644,802
645,803
646,804
647,805
648,806
649,807
650,808
651,809
652,810
653,811
654,812
655,813
656,814
657,815
658,816
659,818
660,820
661,821
662,822
663,823
664,824
665,825
666,826
667,827
668,828
669,829
670,830
671,831
672,832
673,833
674,834
675,835
676,836
677,840
678,842
679,844
680,845
681,848
682,849
683,850
684,853
685,855
686,858
687,859
688,860
689,861
690,862
691,863
692,864
693,865
694,868
695,869
696,870
697,871
698,872
699,873
700,874
701,876
702,878
703,879
704,880
705,882
706,883
707,885
708,886
709,887
710,888
711,889
712,890
713,891
714,892
715,894
716,896
717,898
718,899
719,901
720,902
721,903
722,904
723,905
724,907
725,908
726,909
727,912
728,913
729,914
730,915
731,916
732,917
733,918
734,919
735,920
736,921
737,922
738,923
739,924
740,925
741,926
742,927
743,928
744,929
745,930
746,931
747,932
748,933
749,934
750,935
751,936
752,938
753,939
754,940
755,941
756,942
757,943
758,944
759,945
760,947
761,948
762,950
763,951
764,952
765,953
766,956
767,958
768,961
769,962
770,963
771,965
772,966
773,967
774,968
775,969
776,971
777,972
778,975
779,976
780,978
781,979
782,980
783,982
784,983
785,984
786,985
787,986
788,987
789,988
790,989
791,992
792,993
793,994
794,995
795,996
796,999
797,1000
798,1001
799,1002
800,1003
801,1004
802,1006
803,1007
804,1008
805,1009
806,1010
807,1011
808,1013
809,1014
810,1015
811,1016
812,1017
813,1018
814,1019
815,1020
816,1021
817,1022
818,1023
819,1024
820,1025
821,1026
822,1027
823,1028
824,1029
825,1030
826,1031
827,1032
828,1033
829,1034
830,1035
831,1036
832,1037
833,1038
834,1039
835,1040
836,1041
837,1042
838,1043
839,1044
840,1045
841,1048
842,1049
843,1050
844,1051
845,1052
846,1055
847,1056
848,1057
849,1059
850,1060
851,1061
852,1062
853,1063
854,1064
855,1065
856,1066
857,1070
858,1071
859,1072
860,1073
861,1074
862,1076
863,1077
864,1078
865,1079
866,1081
867,1082
868,1083
869,1084
870,1089
871,1090
872,1091
873,1097
874,1100
875,1102
876,1103
877,1107
878,1111
879,1112
880,1114
881,1115
882,1116
883,1117
884,1118
885,1122
886,1123
887,1124
888,1125
889,1126
890,1127
891,1129
892,1130
893,1131
894,1132
895,1133
896,1134
897,1135
898,1136
899,1137
900,1138
901,1139
902,1140
903,1141
904,1142
905,1143
906,1144
907,1145
908,1146
909,1148
910,1152
911,1153
912,1155
913,1156
914,1158
915,1159
916,1160
917,1162
918,1163
919,1164
920,1166
921,1167
922,1168
923,1169
924,1170
925,1171
926,1173
927,1174
928,1176
929,1177
930,1179
931,1180
932,1181
933,1182
934,1183
935,1184
936,1185
937,1186
938,1187
939,1188
940,1189
941,1190
942,1191
943,1192
944,1193
945,1194
946,1195
947,1196
948,1197
949,1198
950,1199
951,1200
952,1201
953,1202
954,1204
955,1205
956,1208
957,1210
958,1214
959,1215
960,1216
961,1217
962,1218
963,1219
964,1221
965,1223
966,1225
967,1226
968,1227
969,1228
970,1230
971,1231
972,1232
973,1233
974,1234
975,1235
976,1236
977,1237
978,1238
979,1240
980,1241
981,1242
982,1244
983,1248
984,1250
985,1252
986,1253
987,1254
988,1259
989,1261
990,1262
991,1263
992,1264
993,1265
994,1266
995,1268
996,1269
997,1271
998,1273
999,1274
1000,1275
1001,1280
1002,1283
1003,1284
1004,1286
1005,1291
1006,1293
1007,1295
1008,1301
1009,1303
1010,1313
1011,1322
1012,1323
1013,1333
1014,1334
1015,1335
1016,1336
1017,1337
1018,1338
1019,1339
1020,1340
1021,1343
1022,1344
1023,1345
1024,1347
1025,1348
1026,1349
1027,1365
1028,1372
1029,1381
1030,1382
1031,1383
1032,1384
1033,1385
1034,1387
1035,1394
1036,1400
1037,1401
1038,1402
1039,1407
1040,1409
1041,1410
1042,1411
1043,1412
1044,1413
1045,1419
1046,1420
1047,1421
1048,1422
1049,1431
1050,1432
1051,1433
1052,1439
1053,1440
1054,1442
1055,1443
1056,1444
1057,1450
1058,1451
1059,1454
1060,1455
1061,1457
1062,1458
1063,1459
1064,1460
1065,1461
1066,1462
1067,1464
1068,1465
1069,1466
1070,1467
1071,1470
1072,1471
1073,1472
1074,1474
1075,1476
1076,1477
1077,1478
1078,1479
1079,1480
1080,1481
1081,1482
1082,1483
1083,1484
1084,1485
1085,1486
1086,1487
1087,1488
1088,1489
1089,1492
1090,1493
1091,1494
1092,1495
1093,1496
1094,1497
1095,1498
1096,1499
1097,1502
1098,1503
1099,1504
1100,1505
1101,1506
1102,1507
1103,1508
1104,1510
1105,1512
1106,1513
1107,1514
1108,1515
1109,1516
1110,1517
1111,1518
1112,1519
1113,1521
1114,1522
1115,1523
1116,1524
1117,1525
1118,1527
1119,1529
1120,1530
1121,1531
1122,1533
1123,1534
1124,1535
1125,1536
1126,1537
1127,1538
1128,1539
1129,1540
1130,1541
1131,1543
1132,1544
1133,1545
1134,1546
1135,1547
1136,1549
1137,1550
1138,1551
1139,1552
1140,1553
1141,1554
1142,1556
1143,1557
1144,1558
1145,1559
1146,1561
1147,1562
1148,1563
1149,1564
1150,1565
1151,1566
1152,1567
1153,1568
1154,1569
1155,1570
1156,1571
1157,1573
1158,1574
1159,1575
1160,1576
1161,1577
