,0
0,74
1,78
2,79
3,120
4,148
5,178
6,179
7,180
8,280
9,282
10,283
11,345
12,380
13,382
14,383
15,387
16,455
17,494
18,624
19,642
20,678
21,679
22,715
23,723
24,727
25,733
26,734
27,736
28,758
29,759
30,765
31,808
32,877
33,882
34,883
35,893
36,901
37,919
38,938
39,987
40,991
41,996
42,1013
43,1014
44,1020
45,1073
46,1074
47,1080
48,1081
49,1112
50,1113
51,1114
52,1115
53,1119
54,1120
55,1124
56,1125
57,1127
58,1129
59,1130
60,1131
61,1133
62,1134
63,1135
64,1175
65,1177
66,1183
67,1201
68,1206
69,1236
70,1237
71,1241
72,1242
73,1243
74,1254
75,1287
76,1288
77,1289
78,1299
79,1489
80,1491
81,1527
82,1546
83,1550
84,1576
85,1595
86,1600
87,1601
88,1615
89,1616
90,1617
91,1618
92,1619
93,1628
94,1704
95,1764
96,1766
97,1767
98,1768
99,1769
100,1771
101,1795
102,1798
103,1835
104,1842
105,1844
106,1879
107,1881
108,1882
109,1883
110,1928
111,1936
112,1937
113,1940
114,1960
115,1969
116,1976
117,1985
118,1986
119,1991
120,2005
121,2122
122,2125
123,2126
124,2127
125,2130
126,2134
127,2185
128,2205
129,2208
130,2292
131,2320
132,2321
133,2346
134,2371
135,2395
136,2424
137,2440
138,2535
139,2575
140,2577
141,2578
142,2581
143,2600
144,2603
145,2609
146,2611
147,2626
148,2629
149,2634
150,2674
151,2689
152,2690
153,2716
154,2718
155,2726
156,2753
157,2779
158,2794
159,2817
160,2831
161,2848
162,2849
163,2893
164,2910
165,2915
166,2921
167,2924
168,2939
169,2947
170,2956
171,2971
172,3005
173,3049
174,3052
175,3054
176,3101
177,3135
178,3184
179,3187
180,3188
181,3260
182,3356
183,3374
184,3388
185,3389
186,3395
187,3436
188,3454
189,3472
190,3482
191,3508
192,3509
193,3514
194,3515
195,3558
196,3598
197,3600
198,3615
199,3616
200,3619
201,3636
202,3647
203,3648
204,3649
205,3652
206,3653
207,3654
208,3655
209,3662
210,3692
211,3706
212,3711
213,3714
214,3715
215,3716
216,3730
217,3758
218,3759
219,3768
220,3769
221,3921
222,3923
223,3924
224,3925
225,3926
226,3927
227,3940
228,3948
229,3950
230,3958
231,3983
232,4016
233,4027
234,4053
235,4058
236,4085
237,4087
238,4088
239,4089
240,4096
241,4098
242,4114
243,4131
244,4135
245,4136
246,4138
247,4146
248,4148
249,4188
250,4189
251,4206
252,4207
253,4208
254,4209
255,4213
256,4249
257,4257
258,4264
259,4365
260,4367
261,4368
262,4507
263,4553
264,4555
265,4563
266,4564
267,4597
268,4608
269,4636
270,4638
271,4645
272,4712
273,4748
274,4802
275,4941
276,4951
277,4955
278,4981
279,4996
280,4997
281,5015
282,5025
283,5044
284,5052
285,5077
286,5082
287,5089
288,5100
289,5101
290,5130
291,5169
292,5170
293,5208
294,5235
295,5238
296,5296
297,5327
298,5330
299,5366
300,5387
301,5389
302,5434
303,5489
304,5494
305,5496
306,5541
307,5557
308,5585
309,5586
310,5587
311,5611
312,5619
313,5626
314,5627
315,5628
316,5670
317,5725
318,5727
319,5729
320,5732
321,5733
322,5735
323,5782
324,5803
325,5817
326,5832
327,5833
328,5834
329,5895
330,5896
331,5897
332,5898
333,5902
334,5951
335,5997
336,6002
337,6005
338,6006
339,6016
340,6042
341,6047
342,6055
343,6087
344,6139
345,6142
346,6178
347,6192
348,6317
349,6338
350,6344
351,6345
352,6354
353,6356
354,6382
355,6386
356,6415
357,6416
358,6418
359,6422
360,6426
361,6430
362,6449
363,6501
364,6566
365,6567
366,6574
367,6580
368,6622
369,6696
370,6740
371,6754
372,6756
373,6760
374,6761
375,6762
376,6763
377,6764
378,6800
379,6966
380,6967
381,6969
382,6971
383,6980
384,7006
385,7037
386,7048
387,7059
388,7063
389,7078
390,7086
391,7090
392,7092
393,7096
394,7100
395,7125
396,7150
397,7171
398,7216
399,7220
400,7256
401,7257
402,7259
403,7263
404,7264
405,7278
406,7370
407,7375
408,7381
409,7384
410,7389
411,7393
412,7422
413,7432
414,7450
415,7509
416,7523
417,7556
418,7591
419,7594
420,7602
421,7619
422,7637
423,7649
424,7657
425,7659
426,7698
427,7702
428,7710
429,7720
430,7721
431,7726
432,7870
433,7878
434,7896
435,7913
436,7970
437,7972
438,7973
439,7974
440,7981
441,7982
442,7990
443,8060
444,8087
445,8109
446,8120
447,8123
448,8124
449,8151
450,8180
451,8267
452,8306
453,8341
454,8343
455,8345
456,8346
457,8354
458,8424
459,8436
460,8441
461,8518
462,8528
463,8534
464,8535
465,8576
466,8582
467,8585
468,8593
469,8621
470,8644
471,8645
472,8651
473,8658
474,8671
475,8691
476,8738
477,8761
478,8777
479,8779
480,8783
481,8784
482,8800
483,8801
484,8814
485,8818
486,8823
487,8867
488,8902
489,8928
490,8989
491,8995
492,9015
493,9017
494,9023
495,9026
496,9037
497,9041
498,9042
499,9044
500,9050
501,9102
502,9180
503,9196
504,9204
505,9216
506,9238
507,9249
508,9261
509,9265
510,9320
511,9393
512,9402
513,9421
514,9428
515,9440
516,9477
517,9491
518,9494
519,9495
520,9502
521,9568
522,9609
523,9626
524,9643
525,9657
526,9675
527,9686
528,9706
529,9716
530,9762
531,9784
532,9814
533,9815
534,9844
535,9845
536,9857
537,9874
538,9897
539,9939
540,9950
541,10016
542,10022
543,10023
544,10024
545,10025
546,10132
547,10133
548,10142
549,10147
550,10151
551,10160
552,10164
553,10185
554,10218
555,10279
556,10285
557,10298
558,10299
559,10307
560,10460
561,10525
562,10616
563,10617
564,10618
565,10626
566,10632
567,10635
568,10638
569,10639
570,10642
571,10662
572,10700
573,10777
574,10786
575,10788
576,10794
577,10852
578,10886
579,10913
580,10929
581,10968
582,10974
583,10975
584,11024
585,11025
586,11043
587,11046
588,11047
589,11057
590,11140
591,11197
592,11259
593,11261
594,11281
595,11352
596,11364
597,11373
598,11385
599,11390
600,11394
601,11398
602,11428
603,11449
604,11455
605,11476
606,11477
607,11481
608,11497
609,11500
610,11538
611,11611
612,11680
613,11826
614,11832
615,11843
616,11847
617,11860
618,11861
619,11925
620,11953
621,11966
622,11967
623,11972
624,11991
625,11998
626,12044
627,12047
628,12053
629,12085
630,12126
631,12130
632,12131
633,12142
634,12284
635,12373
636,12505
637,12517
638,12518
639,12553
640,12578
641,12651
642,12733
643,12742
644,12758
645,12762
646,12771
647,12788
648,12789
649,12793
650,12843
651,12863
652,12867
653,12893
654,12902
655,12917
656,12952
657,12965
658,12974
659,12975
660,13027
661,13028
662,13051
663,13166
664,13192
665,13218
666,13275
667,13428
668,13503
669,13508
