,0
0,1
1,44
2,48
3,49
4,51
5,52
6,53
7,59
8,60
9,61
10,63
11,65
12,68
13,78
14,82
15,111
16,119
17,120
18,121
19,122
20,128
21,157
22,158
23,162
24,163
25,185
26,195
27,204
28,205
29,215
30,237
31,248
32,252
33,255
34,260
35,306
36,311
37,317
38,324
39,325
40,333
41,334
42,335
43,338
44,339
45,342
46,351
47,353
48,356
49,357
50,359
51,362
52,373
53,374
54,376
55,394
56,420
57,427
58,433
59,473
60,497
61,499
62,506
63,507
64,508
65,510
66,526
67,536
68,540
69,547
70,549
71,551
72,563
73,578
74,579
75,581
76,583
77,586
78,587
79,592
80,601
81,612
82,618
83,625
84,636
85,656
86,659
87,662
88,665
89,666
90,676
91,677
92,680
93,691
94,697
95,743
96,744
97,745
98,746
99,751
100,755
101,762
102,778
103,779
104,780
105,781
106,802
107,807
108,845
109,853
110,865
111,867
112,868
113,870
114,872
115,882
116,887
117,889
118,890
119,892
120,893
121,894
122,895
123,897
124,898
125,899
126,900
127,901
128,902
129,903
130,904
131,905
132,906
133,907
134,908
135,909
136,910
137,911
138,912
139,913
140,922
141,923
142,924
143,925
144,927
145,928
146,929
147,930
148,931
149,935
150,936
151,937
152,940
153,941
154,942
155,943
156,944
157,947
158,949
159,950
160,953
161,959
162,960
163,961
164,962
165,964
166,969
167,974
168,991
169,999
170,1000
171,1031
172,1040
173,1051
174,1071
175,1080
176,1087
177,1089
178,1093
179,1094
180,1099
181,1100
182,1101
183,1102
184,1103
185,1104
186,1105
187,1106
188,1107
189,1110
190,1111
191,1112
192,1113
193,1114
194,1116
195,1117
196,1121
197,1122
198,1123
199,1125
200,1126
201,1127
202,1128
203,1129
204,1130
205,1133
206,1135
207,1140
208,1141
209,1143
210,1144
211,1145
212,1151
213,1152
214,1165
215,1171
216,1182
217,1183
218,1187
219,1188
220,1189
221,1202
222,1218
223,1219
224,1234
225,1236
226,1257
227,1262
228,1303
229,1306
230,1323
231,1326
232,1332
233,1334
234,1339
235,1345
236,1351
237,1352
238,1362
239,1372
240,1377
241,1380
242,1392
243,1402
244,1409
245,1411
246,1414
247,1450
248,1466
249,1469
250,1470
251,1480
252,1488
253,1526
254,1536
255,1543
256,1544
257,1624
258,1632
259,1654
260,1658
261,1659
262,1661
263,1666
264,1686
265,1703
266,1704
267,1725
268,1730
269,1743
270,1744
271,1756
272,1785
273,1795
274,1797
275,1798
276,1800
277,1848
278,1854
279,1857
280,1861
281,1864
282,1867
283,1878
284,1882
285,1891
286,1899
287,1904
288,1927
289,1934
290,1935
291,1940
292,1943
293,1944
294,1949
295,1950
296,1976
297,1985
298,1990
299,1995
300,2011
301,2023
302,2028
303,2033
304,2039
305,2047
306,2049
307,2059
308,2060
309,2065
310,2067
311,2069
312,2070
313,2073
314,2077
315,2102
316,2119
317,2156
318,2157
319,2158
320,2164
321,2177
322,2181
323,2188
324,2194
325,2211
326,2218
327,2219
328,2235
329,2236
330,2237
331,2238
332,2240
333,2243
334,2263
335,2291
336,2305
337,2312
338,2318
339,2328
340,2329
341,2333
342,2335
343,2336
344,2345
345,2348
346,2352
347,2369
348,2384
349,2435
350,2436
351,2444
352,2445
353,2450
354,2474
355,2481
356,2486
357,2487
358,2495
359,2524
360,2525
361,2527
362,2528
363,2530
364,2534
365,2536
366,2538
367,2541
368,2544
369,2545
370,2546
371,2549
372,2552
373,2553
374,2554
375,2555
376,2556
377,2557
378,2559
379,2562
380,2563
381,2564
382,2565
383,2566
384,2567
385,2572
386,2573
387,2574
388,2575
389,2577
390,2578
391,2579
392,2581
393,2584
394,2585
395,2586
396,2594
397,2601
398,2612
399,2613
400,2650
401,2660
402,2669
403,2688
404,2697
405,2705
406,2709
407,2712
408,2734
409,2736
410,2765
411,2769
412,2782
413,2796
414,2798
