,0
0,1
1,50
2,54
3,55
4,57
5,59
6,61
7,66
8,68
9,69
10,73
11,76
12,80
13,81
14,83
15,96
16,98
17,101
18,104
19,133
20,151
21,155
22,160
23,161
24,162
25,163
26,164
27,165
28,176
29,177
30,186
31,210
32,211
33,218
34,219
35,239
36,241
37,252
38,261
39,270
40,275
41,276
42,277
43,289
44,302
45,315
46,317
47,319
48,337
49,340
50,343
51,349
52,350
53,389
54,395
55,428
56,429
57,436
58,449
59,457
60,458
61,467
62,468
63,469
64,473
65,474
66,476
67,478
68,479
69,491
70,495
71,497
72,498
73,500
74,502
75,503
76,504
77,505
78,506
79,508
80,509
81,511
82,521
83,522
84,523
85,540
86,546
87,576
88,581
89,587
90,596
91,641
92,680
93,682
94,690
95,692
96,693
97,694
98,696
99,704
100,717
101,718
102,721
103,724
104,733
105,737
106,738
107,743
108,744
109,755
110,760
111,762
112,777
113,779
114,797
115,798
116,800
117,802
118,805
119,806
120,811
121,813
122,825
123,837
124,841
125,853
126,865
127,869
128,876
129,885
130,897
131,904
132,905
133,908
134,912
135,913
136,917
137,928
138,929
139,931
140,935
141,943
142,951
143,958
144,965
145,1017
146,1018
147,1019
148,1020
149,1026
150,1043
151,1044
152,1060
153,1066
154,1068
155,1069
156,1070
157,1078
158,1097
159,1102
160,1105
161,1109
162,1118
163,1149
164,1161
165,1166
166,1175
167,1178
168,1180
169,1181
170,1182
171,1184
172,1189
173,1200
174,1204
175,1207
176,1208
177,1209
178,1210
179,1211
180,1212
181,1213
182,1215
183,1216
184,1218
185,1219
186,1221
187,1222
188,1224
189,1225
190,1226
191,1228
192,1229
193,1230
194,1231
195,1232
196,1234
197,1235
198,1236
199,1237
200,1238
201,1239
202,1240
203,1241
204,1242
205,1243
206,1244
207,1245
208,1246
209,1247
210,1251
211,1252
212,1253
213,1254
214,1255
215,1264
216,1265
217,1271
218,1272
219,1273
220,1274
221,1275
222,1276
223,1277
224,1278
225,1279
226,1280
227,1281
228,1283
229,1284
230,1285
231,1287
232,1288
233,1289
234,1290
235,1291
236,1292
237,1299
238,1300
239,1302
240,1306
241,1307
242,1308
243,1309
244,1310
245,1312
246,1316
247,1317
248,1318
249,1319
250,1323
251,1324
252,1325
253,1326
254,1327
255,1328
256,1331
257,1332
258,1333
259,1336
260,1340
261,1341
262,1342
263,1343
264,1344
265,1345
266,1347
267,1353
268,1357
269,1375
270,1376
271,1384
272,1385
273,1393
274,1402
275,1406
276,1420
277,1427
278,1447
279,1464
280,1484
281,1487
282,1497
283,1505
284,1506
285,1508
286,1511
287,1514
288,1518
289,1519
290,1520
291,1521
292,1522
293,1523
294,1524
295,1526
296,1527
297,1529
298,1530
299,1533
300,1534
301,1537
302,1541
303,1543
304,1545
305,1547
306,1548
307,1549
308,1550
309,1551
310,1552
311,1555
312,1556
313,1557
314,1559
315,1563
316,1565
317,1566
318,1567
319,1568
320,1579
321,1581
322,1583
323,1584
324,1586
325,1601
326,1608
327,1621
328,1622
329,1631
330,1632
331,1633
332,1651
333,1661
334,1662
335,1675
336,1677
337,1699
338,1701
339,1729
340,1730
341,1735
342,1760
343,1773
344,1790
345,1794
346,1797
347,1804
348,1808
349,1812
350,1813
351,1816
352,1832
353,1835
354,1837
355,1839
356,1845
357,1847
358,1849
359,1854
360,1861
361,1871
362,1872
363,1874
364,1889
365,1900
366,1901
367,1903
368,1905
369,1913
370,1915
371,1917
372,1929
373,1940
374,1949
375,1958
376,1960
377,1964
378,2015
379,2038
380,2048
381,2058
382,2065
383,2066
384,2076
385,2110
386,2115
387,2126
388,2130
389,2141
390,2151
391,2152
392,2225
393,2232
394,2239
395,2240
396,2248
397,2249
398,2250
399,2262
400,2300
401,2305
402,2306
403,2307
404,2310
405,2316
406,2327
407,2341
408,2347
409,2356
410,2368
411,2399
412,2403
413,2404
414,2405
415,2415
416,2420
417,2421
418,2431
419,2432
420,2445
421,2464
422,2477
423,2479
424,2482
425,2505
426,2507
427,2509
428,2513
429,2515
430,2519
431,2572
432,2577
433,2581
434,2582
435,2586
436,2592
437,2594
438,2596
439,2597
440,2602
441,2604
442,2605
443,2619
444,2629
445,2634
446,2640
447,2647
448,2654
449,2655
450,2663
451,2672
452,2691
453,2699
454,2700
455,2705
456,2708
457,2709
458,2712
459,2715
460,2763
461,2768
462,2772
463,2777
464,2778
465,2795
466,2806
467,2809
468,2820
469,2831
470,2837
471,2846
472,2849
473,2864
474,2866
475,2868
476,2871
477,2873
478,2875
479,2877
480,2881
481,2882
482,2888
483,2892
484,2945
485,2977
486,2982
487,2983
488,2994
489,2995
490,2996
491,2997
492,3000
493,3006
494,3011
495,3024
496,3026
497,3031
498,3044
499,3053
500,3059
501,3074
502,3075
503,3082
504,3085
505,3090
506,3093
507,3094
508,3111
509,3112
510,3113
511,3114
512,3115
513,3117
514,3146
515,3159
516,3162
517,3165
518,3187
519,3191
520,3205
521,3212
522,3216
523,3229
524,3245
525,3247
526,3249
527,3250
528,3254
529,3256
530,3257
531,3273
532,3277
533,3282
534,3300
535,3315
536,3317
537,3367
538,3368
539,3377
540,3378
541,3379
542,3381
543,3386
544,3390
545,3415
546,3416
547,3422
548,3425
549,3428
550,3430
551,3436
552,3441
553,3491
554,3492
555,3495
556,3496
557,3498
558,3500
559,3503
560,3504
561,3509
562,3512
563,3516
564,3518
565,3519
566,3523
567,3524
568,3525
569,3526
570,3528
571,3529
572,3530
573,3532
574,3536
575,3537
576,3538
577,3539
578,3540
579,3541
580,3542
581,3543
582,3544
583,3545
584,3547
585,3548
586,3552
587,3553
588,3554
589,3555
590,3556
591,3557
592,3559
593,3560
594,3561
595,3562
596,3563
597,3564
598,3569
599,3570
600,3572
601,3577
602,3578
603,3579
604,3580
605,3581
606,3582
607,3584
608,3585
609,3586
610,3589
611,3592
612,3593
613,3595
614,3605
615,3614
616,3615
617,3627
618,3628
619,3629
620,3631
621,3677
622,3691
623,3705
624,3706
625,3708
626,3709
627,3711
628,3715
629,3722
630,3746
631,3747
632,3749
633,3758
634,3769
635,3773
636,3777
637,3813
638,3814
639,3815
640,3859
641,3867
642,3882
643,3886
644,3900
645,3902
646,3909
647,3919
648,3953
649,3957
650,3968
651,3969
652,3980
653,4016
654,4018
655,4019
656,4026
657,4052
658,4062
659,4089
660,4090
661,4097
662,4109
663,4110
664,4123
665,4124
666,4128
667,4133
668,4147
669,4151
670,4152
671,4153
672,4169
673,4171
674,4178
675,4189
676,4238
677,4250
678,4255
679,4261
680,4265
681,4274
682,4283
683,4289
684,4290
685,4291
686,4294
687,4297
688,4298
689,4305
690,4307
691,4310
692,4326
693,4353
694,4354
695,4355
696,4433
697,4435
698,4440
699,4442
700,4443
701,4446
702,4469
703,4472
704,4478
705,4505
706,4507
707,4513
708,4514
709,4524
710,4526
711,4527
712,4530
713,4532
714,4533
715,4534
716,4536
717,4539
718,4541
719,4550
720,4557
721,4559
722,4561
723,4567
724,4579
725,4580
726,4595
727,4613
728,4627
729,4628
730,4630
731,4632
732,4643
733,4644
734,4651
735,4653
736,4655
737,4656
738,4658
739,4660
740,4661
741,4663
742,4666
743,4667
744,4670
745,4714
746,4728
747,4738
748,4741
749,4746
750,4751
751,4754
752,4755
753,4760
754,4767
755,4774
756,4784
757,4793
758,4807
759,4808
760,4812
761,4818
762,4835
763,4839
764,4841
765,4845
766,4872
767,4898
768,4900
769,4902
770,4910
771,4917
772,4920
773,4948
774,4953
775,4973
776,4976
777,5001
778,5004
779,5027
780,5028
781,5029
782,5033
783,5037
784,5039
785,5040
786,5042
787,5043
788,5047
789,5048
790,5051
791,5072
792,5073
793,5088
794,5093
795,5097
796,5146
797,5147
798,5148
799,5155
800,5167
801,5172
802,5174
803,5175
804,5176
805,5198
806,5209
807,5211
808,5212
809,5213
810,5232
811,5265
812,5269
813,5300
814,5302
815,5303
816,5310
817,5311
818,5312
819,5314
820,5318
821,5321
822,5322
823,5323
824,5325
825,5326
826,5342
827,5372
828,5376
829,5384
830,5389
831,5393
832,5398
833,5403
834,5405
835,5406
836,5407
837,5409
838,5411
839,5412
840,5416
841,5435
842,5437
843,5445
844,5458
845,5459
846,5460
847,5461
848,5464
849,5465
850,5500
851,5501
852,5503
853,5504
854,5512
855,5514
856,5523
857,5538
858,5546
859,5547
860,5548
861,5552
862,5553
863,5564
864,5565
865,5571
866,5601
867,5603
868,5613
869,5619
870,5620
871,5630
872,5631
873,5658
874,5659
875,5668
876,5674
877,5675
878,5691
879,5699
880,5702
881,5714
882,5716
883,5722
884,5723
885,5735
886,5737
887,5738
888,5748
889,5749
890,5760
891,5765
892,5770
893,5772
894,5773
895,5776
896,5777
897,5778
898,5779
899,5780
900,5783
901,5788
902,5790
903,5791
904,5792
905,5793
906,5794
907,5795
908,5796
909,5797
910,5799
911,5800
912,5801
913,5812
914,5815
915,5826
916,5830
917,5847
918,5862
919,5866
920,5869
921,5876
922,5877
923,5878
924,5879
925,5887
926,5888
927,5891
928,5923
929,5927
930,5944
931,5948
932,5949
933,5954
934,5976
935,5986
936,5988
937,5991
938,5994
939,5996
940,5998
941,5999
942,6001
943,6010
944,6017
945,6049
946,6051
947,6053
948,6059
949,6104
950,6124
951,6132
952,6134
953,6137
954,6151
955,6167
956,6169
957,6170
958,6176
959,6177
960,6178
961,6180
962,6181
963,6182
964,6183
965,6184
966,6197
967,6200
968,6201
969,6202
970,6205
971,6206
972,6208
973,6210
974,6234
975,6235
976,6244
977,6245
978,6247
979,6248
980,6260
981,6262
982,6270
983,6293
984,6297
985,6314
986,6324
987,6325
988,6326
989,6327
990,6329
991,6334
992,6344
993,6345
994,6348
995,6349
996,6353
997,6357
998,6363
999,6383
1000,6389
1001,6390
1002,6391
1003,6392
1004,6451
1005,6452
1006,6453
1007,6461
1008,6462
1009,6463
1010,6464
1011,6474
1012,6491
1013,6496
1014,6498
1015,6506
1016,6508
1017,6509
1018,6512
1019,6517
1020,6520
1021,6521
1022,6536
1023,6539
1024,6542
1025,6555
1026,6556
1027,6562
1028,6564
1029,6567
1030,6577
1031,6584
1032,6646
1033,6647
1034,6648
1035,6651
1036,6653
1037,6657
1038,6658
1039,6659
1040,6661
1041,6662
1042,6669
1043,6670
1044,6684
1045,6685
1046,6698
1047,6699
1048,6704
1049,6739
1050,6742
1051,6747
1052,6757
1053,6759
1054,6762
1055,6765
1056,6776
1057,6821
1058,6831
1059,6832
1060,6833
1061,6834
1062,6872
1063,6879
1064,6893
1065,6894
1066,6896
1067,6904
1068,6905
1069,6908
1070,6909
1071,6910
1072,6915
1073,6924
1074,6925
1075,6927
1076,6935
1077,6937
