,0
0,0.0
1,1.0
2,3.0
3,4.0
4,5.0
5,6.0
6,8.0
7,9.0
8,10.0
9,11.0
10,12.0
11,13.0
12,15.0
13,17.0
14,18.0
15,19.0
16,20.0
17,21.0
18,22.0
19,24.0
20,26.0
21,27.0
22,28.0
23,29.0
24,31.0
25,34.0
26,35.0
27,36.0
28,37.0
29,38.0
30,39.0
31,40.0
32,41.0
33,43.0
34,44.0
35,45.0
36,46.0
37,47.0
38,48.0
39,49.0
40,50.0
41,51.0
42,52.0
43,53.0
44,54.0
45,55.0
46,56.0
47,57.0
48,58.0
49,60.0
50,61.0
51,62.0
52,66.0
53,68.0
54,70.0
55,71.0
56,75.0
57,76.0
58,78.0
59,79.0
60,80.0
61,82.0
62,83.0
63,84.0
64,85.0
65,87.0
66,89.0
67,90.0
68,92.0
69,93.0
70,94.0
71,95.0
72,96.0
73,97.0
74,98.0
75,99.0
76,100.0
77,101.0
78,102.0
79,103.0
80,104.0
81,105.0
82,106.0
83,107.0
84,109.0
85,110.0
86,111.0
87,113.0
88,114.0
89,117.0
90,118.0
91,119.0
92,122.0
93,123.0
94,124.0
95,125.0
96,126.0
97,127.0
98,128.0
99,129.0
100,130.0
101,131.0
102,132.0
103,133.0
104,134.0
105,135.0
106,136.0
107,137.0
108,138.0
109,139.0
110,141.0
111,142.0
112,143.0
113,144.0
114,145.0
115,147.0
116,148.0
117,149.0
118,150.0
119,151.0
120,152.0
121,153.0
122,155.0
123,156.0
124,157.0
125,158.0
126,159.0
127,160.0
128,161.0
129,162.0
130,163.0
131,164.0
132,165.0
133,166.0
134,167.0
135,168.0
136,169.0
137,170.0
138,171.0
139,172.0
140,173.0
141,174.0
142,175.0
143,176.0
144,177.0
145,179.0
146,180.0
147,182.0
148,183.0
149,184.0
150,185.0
151,187.0
152,188.0
153,191.0
154,192.0
155,193.0
156,194.0
157,195.0
158,196.0
159,199.0
160,200.0
161,201.0
162,202.0
163,203.0
164,205.0
165,207.0
166,208.0
167,213.0
168,214.0
169,217.0
170,218.0
171,220.0
172,223.0
173,224.0
174,226.0
175,227.0
176,228.0
177,229.0
178,230.0
179,231.0
180,232.0
181,236.0
182,237.0
183,238.0
184,239.0
185,240.0
186,241.0
187,242.0
188,243.0
189,244.0
190,245.0
191,246.0
192,247.0
193,248.0
194,249.0
195,250.0
196,251.0
197,252.0
198,253.0
199,254.0
200,255.0
201,257.0
202,258.0
203,259.0
204,261.0
205,262.0
206,264.0
207,266.0
208,267.0
209,268.0
210,269.0
211,273.0
212,274.0
213,275.0
214,276.0
215,277.0
216,278.0
217,279.0
218,280.0
219,281.0
220,282.0
221,284.0
222,285.0
223,286.0
224,288.0
225,289.0
226,290.0
227,291.0
228,292.0
229,293.0
230,294.0
231,296.0
232,297.0
233,298.0
234,299.0
235,300.0
236,305.0
237,306.0
238,307.0
239,308.0
240,310.0
241,311.0
242,312.0
243,313.0
244,314.0
245,315.0
246,316.0
247,317.0
248,318.0
249,319.0
250,320.0
251,321.0
252,322.0
253,323.0
254,324.0
255,325.0
256,326.0
257,327.0
258,328.0
259,329.0
260,330.0
261,331.0
262,332.0
263,333.0
264,334.0
265,335.0
266,337.0
267,338.0
268,339.0
269,340.0
270,341.0
271,342.0
272,343.0
273,345.0
274,346.0
275,347.0
276,348.0
277,349.0
278,350.0
279,351.0
280,352.0
281,353.0
282,354.0
283,355.0
284,356.0
285,357.0
286,358.0
287,360.0
288,361.0
289,362.0
290,363.0
291,364.0
292,365.0
293,366.0
294,367.0
295,368.0
296,369.0
297,370.0
298,371.0
299,372.0
300,373.0
301,374.0
302,375.0
303,376.0
304,377.0
305,378.0
306,381.0
307,382.0
308,383.0
309,385.0
310,386.0
311,387.0
312,388.0
313,389.0
314,390.0
315,391.0
316,392.0
317,393.0
318,394.0
319,395.0
320,396.0
321,397.0
322,398.0
323,399.0
324,400.0
325,401.0
326,402.0
327,403.0
328,404.0
329,405.0
330,407.0
331,408.0
332,409.0
333,410.0
334,412.0
335,413.0
336,414.0
337,415.0
338,416.0
339,417.0
340,418.0
341,419.0
342,420.0
343,421.0
344,423.0
345,424.0
346,425.0
347,427.0
348,428.0
349,429.0
350,430.0
351,431.0
352,432.0
353,433.0
354,435.0
355,436.0
356,437.0
357,438.0
358,440.0
359,441.0
360,442.0
361,443.0
362,447.0
363,448.0
364,449.0
365,451.0
366,452.0
367,453.0
368,454.0
369,455.0
370,456.0
371,457.0
372,459.0
373,460.0
374,461.0
375,462.0
376,463.0
377,468.0
378,469.0
379,470.0
380,471.0
381,473.0
382,474.0
383,475.0
384,476.0
385,481.0
386,482.0
387,483.0
388,484.0
389,485.0
390,486.0
391,487.0
392,488.0
393,489.0
394,491.0
395,492.0
396,493.0
397,494.0
398,496.0
399,497.0
400,498.0
401,499.0
402,503.0
403,505.0
404,510.0
405,512.0
406,513.0
407,514.0
408,515.0
409,516.0
410,517.0
411,518.0
412,520.0
413,523.0
414,524.0
415,526.0
416,528.0
417,529.0
418,530.0
419,534.0
420,539.0
421,540.0
422,544.0
423,548.0
424,549.0
425,551.0
426,552.0
427,553.0
428,554.0
429,555.0
430,556.0
431,557.0
432,558.0
433,561.0
434,562.0
435,563.0
436,564.0
437,565.0
438,566.0
439,567.0
440,568.0
441,569.0
442,570.0
443,572.0
444,573.0
445,574.0
446,575.0
447,576.0
448,579.0
449,581.0
450,582.0
451,583.0
452,584.0
453,585.0
454,586.0
455,587.0
456,588.0
457,589.0
458,590.0
459,591.0
460,592.0
461,593.0
462,594.0
463,595.0
464,596.0
465,597.0
466,598.0
467,599.0
468,600.0
469,601.0
470,602.0
471,603.0
472,604.0
473,605.0
474,606.0
475,607.0
476,608.0
477,610.0
478,612.0
479,613.0
480,614.0
481,615.0
482,616.0
483,617.0
484,618.0
485,619.0
486,621.0
487,623.0
488,624.0
489,625.0
490,626.0
491,627.0
492,628.0
493,629.0
494,630.0
495,631.0
496,632.0
497,633.0
498,634.0
499,635.0
500,636.0
501,637.0
502,638.0
503,642.0
504,643.0
505,646.0
506,647.0
507,648.0
508,649.0
509,650.0
510,654.0
511,655.0
512,656.0
513,657.0
514,658.0
515,659.0
516,660.0
517,661.0
518,662.0
519,663.0
520,664.0
521,666.0
522,667.0
523,668.0
524,669.0
525,670.0
526,671.0
527,672.0
528,673.0
529,674.0
530,675.0
531,676.0
532,677.0
533,678.0
534,679.0
535,680.0
536,681.0
537,682.0
538,683.0
539,684.0
540,685.0
541,686.0
542,687.0
543,688.0
544,689.0
545,690.0
546,691.0
547,692.0
548,693.0
549,694.0
550,695.0
551,696.0
552,697.0
553,698.0
554,699.0
555,700.0
556,701.0
557,702.0
558,703.0
559,704.0
560,705.0
561,706.0
562,707.0
563,710.0
564,711.0
565,713.0
566,714.0
567,715.0
568,716.0
569,717.0
570,718.0
571,719.0
572,720.0
573,722.0
574,723.0
575,724.0
576,725.0
577,726.0
578,727.0
579,728.0
580,729.0
581,730.0
582,731.0
583,732.0
584,733.0
585,734.0
586,735.0
587,736.0
588,737.0
589,738.0
590,739.0
591,740.0
592,744.0
593,745.0
594,746.0
595,747.0
596,748.0
597,749.0
598,750.0
599,751.0
600,752.0
601,753.0
602,754.0
603,755.0
604,756.0
605,757.0
606,758.0
607,759.0
608,760.0
609,761.0
610,762.0
611,763.0
612,765.0
613,768.0
614,769.0
615,771.0
616,772.0
617,773.0
618,774.0
619,775.0
620,777.0
621,778.0
622,779.0
623,780.0
624,781.0
625,782.0
626,783.0
627,784.0
628,785.0
629,789.0
630,790.0
631,791.0
632,794.0
633,795.0
634,796.0
635,799.0
636,800.0
637,801.0
638,802.0
639,803.0
