,0
0,1
1,10
2,13
3,54
4,58
5,59
6,61
7,62
8,63
9,64
10,66
11,68
12,74
13,76
14,77
15,81
16,84
17,88
18,89
19,91
20,106
21,108
22,112
23,115
24,147
25,165
26,167
27,171
28,176
29,177
30,178
31,179
32,180
33,181
34,192
35,202
36,229
37,230
38,238
39,239
40,260
41,263
42,264
43,275
44,286
45,296
46,301
47,302
48,303
49,304
50,318
51,332
52,346
53,348
54,350
55,368
56,373
57,376
58,383
59,425
60,431
61,465
62,466
63,474
64,476
65,489
66,500
67,501
68,510
69,511
70,512
71,513
72,514
73,518
74,519
75,521
76,523
77,524
78,536
79,538
80,541
81,543
82,545
83,547
84,549
85,550
86,551
87,552
88,553
89,554
90,556
91,557
92,561
93,562
94,564
95,565
96,569
97,578
98,579
99,580
100,582
101,598
102,605
103,639
104,644
105,646
106,652
107,663
108,671
109,692
110,719
111,760
112,762
113,770
114,772
115,773
116,774
117,775
118,776
119,778
120,786
121,796
122,800
123,801
124,802
125,803
126,807
127,810
128,820
129,822
130,826
131,827
132,833
133,834
134,835
135,846
136,851
137,853
138,870
139,872
140,892
141,893
142,894
143,896
144,898
145,901
146,902
147,907
148,909
149,922
150,934
151,938
152,941
153,952
154,957
155,965
156,983
157,994
158,1001
159,1004
160,1007
161,1011
162,1012
163,1014
164,1017
165,1030
166,1031
167,1034
168,1038
169,1047
170,1056
171,1065
172,1120
173,1130
174,1131
175,1132
176,1134
177,1140
178,1145
179,1159
180,1160
181,1161
182,1178
183,1183
184,1185
185,1187
186,1188
187,1189
188,1198
189,1221
190,1222
191,1227
192,1232
193,1236
194,1280
195,1291
196,1293
197,1299
198,1310
199,1314
200,1316
201,1317
202,1318
203,1319
204,1320
205,1322
206,1327
207,1328
208,1339
209,1344
210,1348
211,1349
212,1350
213,1351
214,1353
215,1354
216,1357
217,1359
218,1360
219,1361
220,1362
221,1364
222,1365
223,1367
224,1368
225,1370
226,1371
227,1372
228,1373
229,1374
230,1375
231,1376
232,1377
233,1379
234,1381
235,1382
236,1383
237,1384
238,1385
239,1386
240,1387
241,1388
242,1389
243,1390
244,1391
245,1392
246,1393
247,1395
248,1396
249,1397
250,1398
251,1399
252,1400
253,1401
254,1402
255,1405
256,1407
257,1408
258,1409
259,1410
260,1411
261,1412
262,1413
263,1414
264,1425
265,1428
266,1434
267,1435
268,1436
269,1437
270,1438
271,1439
272,1440
273,1441
274,1442
275,1443
276,1444
277,1445
278,1446
279,1447
280,1448
281,1450
282,1451
283,1452
284,1453
285,1454
286,1455
287,1456
288,1458
289,1459
290,1460
291,1461
292,1462
293,1463
294,1464
295,1465
296,1466
297,1471
298,1473
299,1474
300,1475
301,1476
302,1477
303,1479
304,1480
305,1481
306,1482
307,1483
308,1484
309,1488
310,1489
311,1490
312,1491
313,1492
314,1494
315,1500
316,1501
317,1502
318,1503
319,1505
320,1510
321,1511
322,1512
323,1513
324,1514
325,1515
326,1516
327,1517
328,1518
329,1522
330,1524
331,1525
332,1526
333,1527
334,1528
335,1529
336,1530
337,1531
338,1534
339,1537
340,1539
341,1540
342,1541
343,1542
344,1543
345,1544
346,1545
347,1546
348,1547
349,1548
350,1549
351,1552
352,1553
353,1557
354,1565
355,1570
356,1571
357,1590
358,1591
359,1602
360,1603
361,1612
362,1613
363,1615
364,1628
365,1635
366,1650
367,1656
368,1663
369,1679
370,1715
371,1720
372,1725
373,1734
374,1736
375,1745
376,1747
377,1750
378,1753
379,1757
380,1758
381,1765
382,1766
383,1767
384,1768
385,1769
386,1770
387,1771
388,1772
389,1773
390,1774
391,1775
392,1776
393,1777
394,1778
395,1779
396,1780
397,1781
398,1784
399,1785
400,1786
401,1788
402,1789
403,1792
404,1793
405,1798
406,1802
407,1803
408,1805
409,1808
410,1810
411,1811
412,1812
413,1813
414,1814
415,1815
416,1816
417,1819
418,1821
419,1822
420,1823
421,1828
422,1829
423,1830
424,1832
425,1833
426,1834
427,1835
428,1855
429,1857
430,1861
431,1862
432,1864
433,1881
434,1883
435,1891
436,1903
437,1904
438,1913
439,1914
440,1915
441,1922
442,1934
443,1944
444,1945
445,1961
446,1987
447,1989
448,2001
449,2020
450,2021
451,2022
452,2027
453,2050
454,2053
455,2068
456,2089
457,2094
458,2097
459,2100
460,2105
461,2108
462,2114
463,2132
464,2136
465,2138
466,2140
467,2147
468,2149
469,2151
470,2156
471,2163
472,2173
473,2174
474,2176
475,2190
476,2202
477,2205
478,2206
479,2209
480,2218
481,2220
482,2224
483,2237
484,2250
485,2260
486,2270
487,2275
488,2279
489,2298
490,2308
491,2326
492,2336
493,2360
494,2372
495,2375
496,2376
497,2387
498,2388
499,2391
500,2396
501,2397
502,2407
503,2425
504,2429
505,2446
506,2452
507,2464
508,2469
509,2471
510,2482
511,2492
512,2493
513,2509
514,2579
515,2585
516,2588
517,2595
518,2596
519,2606
520,2607
521,2609
522,2621
523,2663
524,2671
525,2676
526,2677
527,2678
528,2681
529,2687
530,2700
531,2714
532,2720
533,2723
534,2746
535,2747
536,2776
537,2781
538,2782
539,2783
540,2795
541,2800
542,2801
543,2812
544,2813
545,2830
546,2853
547,2868
548,2870
549,2873
550,2896
551,2899
552,2900
553,2902
554,2907
555,2909
556,2913
557,2916
558,2927
559,2959
560,2981
561,2987
562,2992
563,2993
564,2997
565,3003
566,3005
567,3006
568,3008
569,3009
570,3014
571,3016
572,3017
573,3021
574,3035
575,3045
576,3050
577,3058
578,3064
579,3068
580,3074
581,3075
582,3084
583,3092
584,3111
585,3113
586,3114
587,3122
588,3123
589,3128
590,3131
591,3132
592,3136
593,3139
594,3140
595,3178
596,3183
597,3192
598,3197
599,3201
600,3206
601,3207
602,3226
603,3241
604,3245
605,3255
606,3269
607,3275
608,3279
609,3292
610,3295
611,3311
612,3313
613,3315
614,3319
615,3321
616,3323
617,3326
618,3330
619,3331
620,3338
621,3341
622,3342
623,3352
624,3374
625,3402
626,3442
627,3448
628,3449
629,3459
630,3460
631,3461
632,3462
633,3466
634,3471
635,3476
636,3490
637,3496
638,3503
639,3504
640,3511
641,3520
642,3526
643,3542
644,3543
645,3550
646,3554
647,3559
648,3562
649,3563
650,3581
651,3582
652,3583
653,3584
654,3585
655,3586
656,3587
657,3589
658,3592
659,3622
660,3636
661,3639
662,3642
663,3657
664,3666
665,3670
666,3686
667,3687
668,3693
669,3698
670,3711
671,3728
672,3730
673,3731
674,3733
675,3734
676,3739
677,3741
678,3742
679,3748
680,3759
681,3763
682,3768
683,3769
684,3788
685,3804
686,3829
687,3863
688,3864
689,3865
690,3866
691,3867
692,3877
693,3878
694,3879
695,3881
696,3882
697,3887
698,3891
699,3918
700,3920
701,3926
702,3929
703,3932
704,3934
705,3940
706,3945
707,3981
708,3997
709,3998
710,4002
711,4003
712,4004
713,4006
714,4010
715,4013
716,4014
717,4016
718,4020
719,4023
720,4027
721,4029
722,4030
723,4031
724,4035
725,4036
726,4038
727,4039
728,4040
729,4042
730,4044
731,4045
732,4047
733,4048
734,4052
735,4054
736,4055
737,4056
738,4057
739,4058
740,4059
741,4060
742,4061
743,4062
744,4063
745,4064
746,4065
747,4066
748,4067
749,4068
750,4069
751,4071
752,4072
753,4073
754,4074
755,4079
756,4080
757,4081
758,4082
759,4083
760,4084
761,4085
762,4086
763,4087
764,4089
765,4090
766,4091
767,4092
768,4093
769,4094
770,4095
771,4096
772,4097
773,4098
774,4099
775,4105
776,4106
777,4107
778,4108
779,4110
780,4117
781,4119
782,4120
783,4121
784,4122
785,4123
786,4124
787,4126
788,4127
789,4128
790,4132
791,4136
792,4137
793,4139
794,4149
795,4158
796,4159
797,4172
798,4173
799,4174
800,4176
801,4177
802,4184
803,4187
804,4189
805,4233
806,4248
807,4262
808,4264
809,4266
810,4270
811,4308
812,4309
813,4311
814,4321
815,4322
816,4332
817,4336
818,4339
819,4341
820,4378
821,4379
822,4381
823,4389
824,4419
825,4426
826,4428
827,4435
828,4454
829,4471
830,4473
831,4479
832,4483
833,4495
834,4532
835,4536
836,4548
837,4549
838,4557
839,4598
840,4600
841,4601
842,4636
843,4678
844,4679
845,4686
846,4688
847,4699
848,4700
849,4714
850,4715
851,4720
852,4725
853,4739
854,4743
855,4744
856,4745
857,4760
858,4762
859,4763
860,4771
861,4784
862,4822
863,4825
864,4840
865,4848
866,4849
867,4850
868,4853
869,4854
870,4860
871,4866
872,4874
873,4878
874,4887
875,4897
876,4903
877,4904
878,4905
879,4908
880,4912
881,4913
882,4916
883,4920
884,4922
885,4925
886,4942
887,4960
888,4971
889,4972
890,4973
891,5057
892,5067
893,5069
894,5076
895,5078
896,5079
897,5082
898,5106
899,5110
900,5116
901,5117
902,5147
903,5149
904,5154
905,5156
906,5157
907,5167
908,5168
909,5170
910,5171
911,5174
912,5176
913,5177
914,5178
915,5179
916,5181
917,5184
918,5186
919,5195
920,5201
921,5203
922,5205
923,5214
924,5230
925,5231
926,5242
927,5243
928,5244
929,5252
930,5270
931,5286
932,5287
933,5289
934,5291
935,5293
936,5308
937,5309
938,5310
939,5321
940,5323
941,5325
942,5326
943,5328
944,5330
945,5331
946,5333
947,5337
948,5338
949,5341
950,5393
951,5409
952,5416
953,5420
954,5421
955,5423
956,5428
957,5433
958,5437
959,5438
960,5443
961,5444
962,5451
963,5458
964,5464
965,5470
966,5480
967,5493
968,5494
969,5498
970,5504
971,5524
972,5529
973,5533
974,5535
975,5538
976,5544
977,5569
978,5577
979,5599
980,5601
981,5604
982,5606
983,5607
984,5615
985,5623
986,5626
987,5658
988,5663
989,5680
990,5683
991,5695
992,5712
993,5713
994,5714
995,5717
996,5744
997,5745
998,5746
999,5750
1000,5754
1001,5756
1002,5757
1003,5759
1004,5760
1005,5764
1006,5765
1007,5768
1008,5772
1009,5790
1010,5791
1011,5802
1012,5807
1013,5811
1014,5861
1015,5862
1016,5863
1017,5870
1018,5881
1019,5886
1020,5888
1021,5889
1022,5890
1023,5897
1024,5916
1025,5927
1026,5930
1027,5931
1028,5932
1029,5953
1030,5954
1031,6000
1032,6006
1033,6009
1034,6013
1035,6014
1036,6035
1037,6039
1038,6042
1039,6043
1040,6050
1041,6051
1042,6052
1043,6055
1044,6059
1045,6062
1046,6063
1047,6064
1048,6065
1049,6067
1050,6068
1051,6085
1052,6120
1053,6134
1054,6140
1055,6141
1056,6145
1057,6151
1058,6156
1059,6158
1060,6159
1061,6160
1062,6161
1063,6163
1064,6165
1065,6166
1066,6167
1067,6169
1068,6184
1069,6194
1070,6202
1071,6214
1072,6215
1073,6216
1074,6217
1075,6218
1076,6221
1077,6222
