,0
A1BG,0
A2M,1
A2ML1,2
A4GALT,3
AADAT,4
AAK1,5
AAMP,6
AAR2,7
AARS2,8
AASDHPPT,9
AASS,10
AATF,11
AATK,12
ABAT,13
ABCA1,14
ABCA10,15
ABCA2,16
ABCA3,17
ABCA5,18
ABCA6,19
ABCA7,20
ABCA8,21
ABCA9,22
ABCB1,23
ABCB10,24
ABCB4,25
ABCB6,26
ABCB7,27
ABCB8,28
ABCB9,29
ABCC1,30
ABCC10,31
ABCC11,32
ABCC3,33
ABCC4,34
ABCC5,35
ABCC6,36
ABCC8,37
ABCC9,38
ABCD1,39
ABCD3,40
ABCE1,41
ABCF1,42
ABCF2,43
ABCF3,44
ABCG1,45
ABCG2,46
ABHD1,47
ABHD10,48
ABHD11,49
ABHD12,50
ABHD13,51
ABHD14A,52
ABHD14A-ACY1,53
ABHD16A,54
ABHD17A,55
ABHD17B,56
ABHD17C,57
ABHD2,58
ABHD4,59
ABHD6,60
ABHD8,61
ABI1,62
ABI3BP,63
ABL1,64
ABLIM1,65
ABLIM3,66
ABR,67
ABT1,68
ABTB1,69
ACAA1,70
ACACA,71
ACACB,72
ACAD10,73
ACADS,74
ACADSB,75
ACADVL,76
ACAN,77
ACAP1,78
ACAP2,79
ACAT1,80
ACAT2,81
ACBD4,82
ACBD5,83
ACCS,84
ACD,85
ACE,86
ACER3,87
ACHE,88
ACIN1,89
ACKR2,90
ACKR3,91
ACLY,92
ACO1,93
ACO2,94
ACOT11,95
ACOT9,96
ACOX1,97
ACOX2,98
ACP1,99
ACP5,100
ACSL1,101
ACSL5,102
ACSM3,103
ACSS1,104
ACSS2,105
ACSS3,106
ACTA1,107
ACTB,108
ACTC1,109
ACTG1,110
ACTL10,111
ACTL6A,112
ACTN1,113
ACTN2,114
ACTN4,115
ACTR1A,116
ACTR1B,117
ACTR3,118
ACTR3B,119
ACTR5,120
ACTR6,121
ACTRT3,122
ACVR1B,123
ACVR2A,124
ACVRL1,125
ACY3,126
ADA,127
ADAD2,128
ADAM10,129
ADAM11,130
ADAM15,131
ADAM17,132
ADAM19,133
ADAM2,134
ADAM22,135
ADAM23,136
ADAM28,137
ADAM7,138
ADAM9,139
ADAMDEC1,140
ADAMTS1,141
ADAMTS10,142
ADAMTS12,143
ADAMTS13,144
ADAMTS15,145
ADAMTS17,146
ADAMTS2,147
ADAMTS3,148
ADAMTS4,149
ADAMTS5,150
ADAMTS8,151
ADAMTS9,152
ADAMTSL1,153
ADAMTSL2,154
ADAMTSL3,155
ADAMTSL4,156
ADAMTSL5,157
ADAP1,158
ADAR,159
ADARB1,160
ADARB2,161
ADCK2,162
ADCK5,163
ADCY1,164
ADCY2,165
ADCY4,166
ADCY5,167
ADCY6,168
ADCY7,169
ADCY9,170
ADCYAP1,171
ADD2,172
ADD3,173
ADH1B,174
ADI1,175
ADIPOR1,176
ADIPOR2,177
ADNP,178
ADNP2,179
ADORA2A,180
ADORA3,181
ADPGK,182
ADPRH,183
ADPRHL1,184
ADPRM,185
ADRA1A,186
ADRA1D,187
ADRA2A,188
ADRA2C,189
ADRB2,190
ADSL,191
ADTRP,192
AEBP1,193
AEBP2,194
AEN,195
AFAP1,196
AFAP1L1,197
AFF1,198
AFF3,199
AFG3L2,200
AGA,201
AGAP2,202
AGAP3,203
AGAP4,204
AGAP9,205
AGBL2,206
AGBL5,207
AGER,208
AGFG1,209
AGK,210
AGL,211
AGMO,212
AGO1,213
AGO2,214
AGO3,215
AGPAT2,216
AGPAT3,217
AGPAT4,218
AGPAT5,219
AGPS,220
AGR2,221
AGR3,222
AGRN,223
AGT,224
AGTPBP1,225
AGTR1,226
AHCY,227
AHCYL1,228
AHCYL2,229
AHDC1,230
AHI1,231
AHNAK,232
AHNAK2,233
AHR,234
AHSA1,235
AIF1,236
AIFM2,237
AIFM3,238
AJUBA,239
AK1,240
AK2,241
AK5,242
AK7,243
AK8,244
AKAP1,245
AKAP10,246
AKAP11,247
AKAP12,248
AKAP13,249
AKAP14,250
AKAP17A,251
AKAP3,252
AKAP5,253
AKAP6,254
AKAP7,255
AKAP8,256
AKAP8L,257
AKAP9,258
AKIRIN2,259
AKNA,260
AKR1A1,261
AKR1C1,262
AKR1C3,263
AKR1E2,264
AKR7A2,265
AKT1,266
AKT1S1,267
AKT2,268
AKT3,269
ALAS1,270
ALCAM,271
ALDH18A1,272
ALDH1A1,273
ALDH1A2,274
ALDH1A3,275
ALDH1B1,276
ALDH1L1,277
ALDH1L2,278
ALDH3A1,279
ALDH3A2,280
ALDH3B2,281
ALDH4A1,282
ALDH6A1,283
ALDH7A1,284
ALDOC,285
ALG10B,286
ALG14,287
ALG2,288
ALKBH1,289
ALKBH2,290
ALKBH3,291
ALKBH4,292
ALKBH5,293
ALMS1,294
ALOX15,295
ALOX5,296
ALPK1,297
ALPK3,298
ALPL,299
ALS2,300
ALS2CL,301
ALYREF,302
AMACR,303
AMBRA1,304
AMD1,305
AMDHD2,306
AMER1,307
AMFR,308
AMIGO2,309
AMIGO3,310
AMMECR1L,311
AMOT,312
AMPD2,313
AMT,314
AMY2B,315
AMZ2,316
ANAPC1,317
ANAPC10,318
ANAPC2,319
ANAPC4,320
ANAPC5,321
ANAPC7,322
ANG,323
ANGEL1,324
ANGEL2,325
ANGPT1,326
ANGPT2,327
ANGPTL2,328
ANGPTL7,329
ANK1,330
ANK2,331
ANK3,332
ANKAR,333
ANKDD1A,334
ANKEF1,335
ANKFY1,336
ANKH,337
ANKHD1-EIF4EBP3,338
ANKIB1,339
ANKK1,340
ANKLE2,341
ANKMY1,342
ANKRD1,343
ANKRD11,344
ANKRD12,345
ANKRD13A,346
ANKRD13C,347
ANKRD17,348
ANKRD23,349
ANKRD26,350
ANKRD27,351
ANKRD28,352
ANKRD35,353
ANKRD36,354
ANKRD37,355
ANKRD39,356
ANKRD44,357
ANKRD49,358
ANKRD52,359
ANKRD53,360
ANKRD6,361
ANKS1A,362
ANKS1B,363
ANKS3,364
ANKS6,365
ANKZF1,366
ANO1,367
ANO10,368
ANO2,369
ANO4,370
ANO5,371
ANO6,372
ANO7,373
ANO9,374
ANP32A,375
ANP32B,376
ANPEP,377
ANTXR1,378
ANTXR2,379
ANXA11,380
ANXA2,381
ANXA2R,382
ANXA4,383
ANXA5,384
ANXA6,385
ANXA7,386
ANXA8,387
ANXA9,388
AOAH,389
AOC1,390
AOC2,391
AOC3,392
AOX1,393
AP1AR,394
AP1B1,395
AP1G1,396
AP1G2,397
AP1M1,398
AP1M2,399
AP1S3,400
AP2A1,401
AP2A2,402
AP2B1,403
AP2M1,404
AP3B2,405
AP3D1,406
AP3M1,407
AP3S2,408
AP4B1,409
AP4E1,410
AP4M1,411
AP5B1,412
AP5S1,413
AP5Z1,414
APAF1,415
APBA1,416
APBA2,417
APBA3,418
APBB1,419
APBB1IP,420
APBB2,421
APBB3,422
APC,423
APEH,424
APH1B,425
API5,426
APLF,427
APLNR,428
APLP1,429
APLP2,430
APMAP,431
APOBEC3B,432
APOBEC3D,433
APOBEC3F,434
APOBEC3G,435
APOC1,436
APOE,437
APOL1,438
APOL4,439
APOL6,440
APOLD1,441
APOO,442
APPBP2,443
APPL1,444
APPL2,445
APRT,446
APTX,447
AQP1,448
AQP5,449
AQR,450
AR,451
ARAF,452
ARAP1,453
ARAP2,454
ARAP3,455
ARC,456
ARCN1,457
AREL1,458
ARF1,459
ARFGAP2,460
ARFGAP3,461
ARFGEF1,462
ARFGEF2,463
ARFIP2,464
ARHGAP1,465
ARHGAP10,466
ARHGAP11A,467
ARHGAP12,468
ARHGAP15,469
ARHGAP17,470
ARHGAP18,471
ARHGAP19,472
ARHGAP20,473
ARHGAP21,474
ARHGAP22,475
ARHGAP24,476
ARHGAP25,477
ARHGAP26,478
ARHGAP27,479
ARHGAP28,480
ARHGAP30,481
ARHGAP31,482
ARHGAP32,483
ARHGAP33,484
ARHGAP35,485
ARHGAP39,486
ARHGAP4,487
ARHGAP44,488
ARHGAP5,489
ARHGAP6,490
ARHGAP9,491
ARHGDIA,492
ARHGDIB,493
ARHGEF1,494
ARHGEF10,495
ARHGEF10L,496
ARHGEF11,497
ARHGEF12,498
ARHGEF15,499
ARHGEF17,500
ARHGEF18,501
ARHGEF19,502
ARHGEF2,503
ARHGEF25,504
ARHGEF26,505
ARHGEF37,506
ARHGEF38,507
ARHGEF39,508
ARHGEF4,509
ARHGEF40,510
ARHGEF5,511
ARHGEF6,512
ARHGEF9,513
ARID1A,514
ARID1B,515
ARID2,516
ARID3B,517
ARID4A,518
ARID4B,519
ARID5A,520
ARID5B,521
ARIH1,522
ARIH2,523
ARL1,524
ARL13B,525
ARL16,526
ARL2,527
ARL4C,528
ARL5B,529
ARL6,530
ARL6IP4,531
ARMC10,532
ARMC2,533
ARMC3,534
ARMC5,535
ARMC6,536
ARMC9,537
ARMCX2,538
ARMCX3,539
ARMCX5,540
ARNT,541
ARNT2,542
ARNTL,543
ARNTL2,544
ARPC1B,545
ARPC5,546
ARPC5L,547
ARRB1,548
ARRDC2,549
ARRDC3,550
ARRDC4,551
ARSB,552
ARSD,553
ARSG,554
ARSI,555
ARSK,556
ART4,557
ART5,558
ARV1,559
ARVCF,560
ASAH2,561
ASAP1,562
ASAP2,563
ASAP3,564
ASB1,565
ASB13,566
ASB16,567
ASB2,568
ASB5,569
ASB6,570
ASB8,571
ASB9,572
ASCC2,573
ASCC3,574
ASF1B,575
ASGR1,576
ASH1L,577
ASIC1,578
ASIC2,579
ASL,580
ASMTL,581
ASNS,582
ASNSD1,583
ASPA,584
ASPH,585
ASPHD1,586
ASPHD2,587
ASPM,588
ASPN,589
ASPRV1,590
ASPSCR1,591
ASTE1,592
ASTN2,593
ASXL1,594
ASXL2,595
ATAD2,596
ATAD2B,597
ATAD3A,598
ATAD3B,599
ATAD3C,600
ATE1,601
ATF2,602
ATF3,603
ATF4,604
ATF5,605
ATF6,606
ATF6B,607
ATF7,608
ATF7IP,609
ATF7IP2,610
ATG10,611
ATG12,612
ATG13,613
ATG14,614
ATG16L1,615
ATG2A,616
ATG2B,617
ATG3,618
ATG4A,619
ATG4B,620
ATG5,621
ATG7,622
ATG9A,623
ATIC,624
ATL2,625
ATM,626
ATMIN,627
ATN1,628
ATOH1,629
ATP10A,630
ATP10D,631
ATP11A,632
ATP11B,633
ATP11C,634
ATP12A,635
ATP13A1,636
ATP13A2,637
ATP13A3,638
ATP1A1,639
ATP1A2,640
ATP1B2,641
ATP1B3,642
ATP2A1,643
ATP2A2,644
ATP2A3,645
ATP2B1,646
ATP2B4,647
ATP2C1,648
ATP2C2,649
ATP6AP2,650
ATP6V0A1,651
ATP6V0A2,652
ATP6V0B,653
ATP6V0D1,654
ATP6V1A,655
ATP6V1B1,656
ATP6V1C2,657
ATP6V1E2,658
ATP6V1H,659
ATP7A,660
ATP7B,661
ATP8A1,662
ATP8B1,663
ATP8B2,664
ATP8B4,665
ATP9A,666
ATPAF2,667
ATR,668
ATRN,669
ATRNL1,670
ATRX,671
ATXN1,672
ATXN2,673
ATXN2L,674
ATXN3,675
ATXN7L2,676
ATXN7L3,677
AUP1,678
AURKAIP1,679
AURKB,680
AURKC,681
AUTS2,682
AVEN,683
AVL9,684
AVPR1A,685
AXIN1,686
AXIN2,687
AXL,688
AZGP1,689
B2M,690
B3GALNT1,691
B3GALNT2,692
B3GALT2,693
B3GALT4,694
B3GAT1,695
B3GAT3,696
B3GNT3,697
B3GNT5,698
B3GNT7,699
B3GNT8,700
B3GNT9,701
B3GNTL1,702
B4GALNT1,703
B4GALNT3,704
B4GALNT4,705
B4GALT1,706
B4GALT2,707
B4GALT3,708
B4GALT4,709
B4GALT5,710
B4GALT6,711
B9D1,712
BACE1,713
BACE2,714
BACH2,715
BAG1,716
BAG2,717
BAG4,718
BAG6,719
BAHD1,720
BAIAP2,721
BAIAP2L1,722
BAIAP2L2,723
BAIAP3,724
BAK1,725
BAMBI,726
BANK1,727
BAP1,728
BARD1,729
BASP1,730
BATF,731
BAZ1A,732
BAZ1B,733
BAZ2A,734
BAZ2B,735
BBOX1,736
BBS10,737
BBS12,738
BBS2,739
BBS4,740
BBS5,741
BBS7,742
BBS9,743
BBX,744
BCAM,745
BCAP29,746
BCAR1,747
BCAR3,748
BCAS1,749
BCAS2,750
BCAS3,751
BCAS4,752
BCAT2,753
BCCIP,754
BCDIN3D,755
BCHE,756
BCKDK,757
BCL11A,758
BCL2,759
BCL2A1,760
BCL2L11,761
BCL2L13,762
BCL3,763
BCL6,764
BCL6B,765
BCL9,766
BCL9L,767
BCLAF1,768
BCOR,769
BCORL1,770
BCR,771
BCS1L,772
BDKRB2,773
BDNF,774
BDP1,775
BECN1,776
BEND3,777
BEND4,778
BEND5,779
BEND6,780
BEND7,781
BEST1,782
BEST3,783
BET1,784
BET1L,785
BEX2,786
BFSP1,787
BGN,788
BHLHB9,789
BHLHE40,790
BHLHE41,791
BHMT2,792
BICC1,793
BICD1,794
BICD2,795
BIN2,796
BIN3,797
BIRC2,798
BIRC3,799
BIRC5,800
BIRC6,801
BIVM-ERCC5,802
BLCAP,803
BLK,804
BLM,805
BLMH,806
BLOC1S5-TXNDC5,807
BLOC1S6,808
BLVRB,809
BMI1,810
BMP1,811
BMP2,812
BMP2K,813
BMP4,814
BMP5,815
BMP6,816
BMP7,817
BMP8B,818
BMPER,819
BMPR1A,820
BMPR1B,821
BMPR2,822
BMS1,823
BMX,824
BNC2,825
BNIP1,826
BNIP3L,827
BNIPL,828
BOC,829
BOD1L1,830
BOLA1,831
BOP1,832
BPHL,833
BPI,834
BPIFB1,835
BPIFB2,836
BPNT1,837
BPTF,838
BRAF,839
BRAP,840
BRAT1,841
BRCA1,842
BRCA2,843
BRCC3,844
BRD1,845
BRD2,846
BRD3,847
BRD4,848
BRD8,849
BRD9,850
BRF1,851
BRF2,852
BRICD5,853
BRINP1,854
BRINP3,855
BRIX1,856
BRMS1,857
BRPF1,858
BRPF3,859
BRSK2,860
BRWD1,861
BRWD3,862
BSCL2,863
BTAF1,864
BTBD1,865
BTBD10,866
BTBD11,867
BTBD2,868
BTBD3,869
BTBD6,870
BTBD7,871
BTBD8,872
BTBD9,873
BTD,874
BTG1,875
BTG2,876
BTG3,877
BTK,878
BTN2A1,879
BTN2A2,880
BTN3A3,881
BTNL9,882
BTRC,883
BUB1,884
BUB1B,885
BUB3,886
BUD13,887
BYSL,888
BZW1,889
C11orf1,890
C11orf24,891
C11orf58,892
C11orf71,893
C12orf43,894
C14orf93,895
C15orf39,896
C15orf40,897
C16orf46,898
C16orf54,899
C16orf72,900
C16orf86,901
C16orf87,902
C16orf89,903
C16orf91,904
C17orf107,905
C17orf67,906
C17orf80,907
C17orf97,908
C18orf25,909
C19orf33,910
C19orf44,911
C19orf47,912
C19orf53,913
C1QB,914
C1QC,915
C1QL3,916
C1QTNF1,917
C1QTNF6,918
C1RL,919
C1S,920
C1orf109,921
C1orf112,922
C1orf131,923
C1orf159,924
C1orf174,925
C1orf43,926
C1orf53,927
C20orf85,928
C20orf96,929
C22orf23,930
C22orf42,931
C2CD2,932
C2CD2L,933
C2CD3,934
C2orf42,935
C2orf49,936
C2orf76,937
C3,938
C3AR1,939
C3orf14,940
C3orf18,941
C3orf36,942
C3orf38,943
C3orf62,944
C3orf70,945
C4B,946
C4orf19,947
C5,948
C5orf22,949
C5orf38,950
C6orf118,951
C6orf136,952
C6orf62,953
C6orf89,954
C7,955
C7orf31,956
C7orf50,957
C8G,958
C8orf58,959
C9orf24,960
C9orf40,961
C9orf78,962
CA12,963
CA13,964
CA14,965
CA2,966
CA4,967
CA8,968
CAAP1,969
CAB39,970
CAB39L,971
CABIN1,972
CABLES1,973
CABP1,974
CABP4,975
CACHD1,976
CACNA1C,977
CACNA1D,978
CACNA1G,979
CACNA1H,980
CACNA2D1,981
CACNA2D2,982
CACNA2D3,983
CACNA2D4,984
CACNB1,985
CACNB2,986
CACNB4,987
CACNG1,988
CACNG4,989
CACTIN,990
CACYBP,991
CAD,992
CADM1,993
CADM2,994
CADM3,995
CADPS,996
CADPS2,997
CALCA,998
CALCOCO1,999
CALCOCO2,1000
CALCRL,1001
CALD1,1002
CALHM2,1003
CALM1,1004
CALML3,1005
CALR,1006
CALU,1007
CAMK1,1008
CAMK1G,1009
CAMK2B,1010
CAMK2D,1011
CAMK2N2,1012
CAMK4,1013
CAMKK2,1014
CAMKMT,1015
