,0
0,2
1,11
2,14
3,55
4,59
5,60
6,62
7,63
8,64
9,65
10,67
11,69
12,74
13,76
14,77
15,81
16,84
17,88
18,89
19,91
20,106
21,108
22,112
23,115
24,128
25,146
26,166
27,168
28,172
29,177
30,178
31,179
32,180
33,181
34,182
35,194
36,203
37,227
38,228
39,237
40,238
41,259
42,262
43,263
44,274
45,286
46,295
47,300
48,301
49,302
50,303
51,316
52,330
53,345
54,347
55,364
56,367
57,370
58,376
59,419
60,425
61,460
62,461
63,469
64,471
65,483
66,493
67,494
68,505
69,506
70,507
71,511
72,512
73,513
74,515
75,516
76,528
77,529
78,533
79,535
80,536
81,537
82,539
83,541
84,542
85,543
86,544
87,545
88,546
89,548
90,549
91,553
92,554
93,566
94,567
95,568
96,570
97,587
98,594
99,628
100,633
101,635
102,641
103,654
104,718
105,744
106,746
107,754
108,756
109,757
110,758
111,759
112,761
113,769
114,778
115,782
116,783
117,784
118,787
119,790
120,799
121,804
122,805
123,811
124,812
125,823
126,828
127,830
128,848
129,869
130,870
131,872
132,874
133,878
134,879
135,884
136,886
137,898
138,910
139,914
140,917
141,928
142,934
143,941
144,961
145,972
146,979
147,982
148,985
149,989
150,990
151,992
152,995
153,1006
154,1007
155,1009
156,1013
157,1022
158,1030
159,1038
160,1047
161,1095
162,1103
163,1104
164,1105
165,1107
166,1113
167,1118
168,1132
169,1133
170,1134
171,1151
172,1157
173,1159
174,1160
175,1161
176,1168
177,1191
178,1192
179,1198
180,1205
181,1215
182,1248
183,1259
184,1265
185,1275
186,1279
187,1281
188,1282
189,1283
190,1285
191,1287
192,1291
193,1292
194,1304
195,1309
196,1313
197,1314
198,1315
199,1316
200,1317
201,1319
202,1321
203,1322
204,1324
205,1325
206,1326
207,1327
208,1329
209,1331
210,1332
211,1334
212,1335
213,1336
214,1337
215,1338
216,1340
217,1342
218,1343
219,1344
220,1345
221,1346
222,1347
223,1348
224,1349
225,1351
226,1352
227,1353
228,1354
229,1355
230,1356
231,1357
232,1360
233,1362
234,1363
235,1364
236,1365
237,1366
238,1367
239,1368
240,1379
241,1380
242,1384
243,1389
244,1390
245,1391
246,1392
247,1393
248,1394
249,1395
250,1396
251,1397
252,1398
253,1399
254,1400
255,1401
256,1402
257,1403
258,1405
259,1406
260,1407
261,1408
262,1409
263,1410
264,1412
265,1413
266,1414
267,1415
268,1420
269,1421
