,0
A1BG,0
A1CF,1
A2M,2
A4GALT,3
AACS,4
AADAC,5
AADAT,6
AAK1,7
AAMP,8
AAR2,9
AARS2,10
AASDH,11
AASS,12
AATF,13
AATK,14
ABAT,15
ABCA1,16
ABCA10,17
ABCA2,18
ABCA3,19
ABCA4,20
ABCA5,21
ABCA6,22
ABCA7,23
ABCA8,24
ABCA9,25
ABCB1,26
ABCB10,27
ABCB11,28
ABCB4,29
ABCB6,30
ABCB7,31
ABCB8,32
ABCC1,33
ABCC10,34
ABCC11,35
ABCC2,36
ABCC3,37
ABCC4,38
ABCC5,39
ABCC6,40
ABCC8,41
ABCC9,42
ABCD1,43
ABCD4,44
ABCE1,45
ABCF1,46
ABCF3,47
ABCG1,48
ABCG2,49
ABCG5,50
ABCG8,51
ABHD1,52
ABHD10,53
ABHD11,54
ABHD12,55
ABHD13,56
ABHD14B,57
ABHD16A,58
ABHD16B,59
ABHD17B,60
ABHD17C,61
ABHD2,62
ABHD3,63
ABHD4,64
ABHD5,65
ABHD8,66
ABI1,67
ABI2,68
ABI3,69
ABI3BP,70
ABL1,71
ABL2,72
ABLIM1,73
ABLIM2,74
ABLIM3,75
ABR,76
ABT1,77
ABTB1,78
ABTB2,79
ACAA1,80
ACAA2,81
ACACA,82
ACACB,83
ACAD10,84
ACAD11,85
ACAD8,86
ACAD9,87
ACADL,88
ACADM,89
ACADVL,90
ACAN,91
ACAP1,92
ACAP2,93
ACAP3,94
ACAT1,95
ACAT2,96
ACBD3,97
ACBD4,98
ACBD5,99
ACBD6,100
ACCS,101
ACE,102
ACE2,103
ACER2,104
ACER3,105
ACHE,106
ACIN1,107
ACKR3,108
ACLY,109
ACMSD,110
ACO1,111
ACO2,112
ACOT11,113
ACOT12,114
ACOT13,115
ACOT2,116
ACOT4,117
ACOT6,118
ACOT9,119
ACOX1,120
ACOX2,121
ACOX3,122
ACP1,123
ACP2,124
ACP5,125
ACR,126
ACRBP,127
ACSF2,128
ACSF3,129
ACSL1,130
ACSL3,131
ACSL4,132
ACSL5,133
ACSL6,134
ACSM2A,135
ACSM2B,136
ACSM3,137
ACSM5,138
ACSS1,139
ACSS3,140
ACTA2,141
ACTG1,142
ACTL10,143
ACTL6A,144
ACTN1,145
ACTN2,146
ACTN4,147
ACTR10,148
ACTR1A,149
ACTR1B,150
ACTR3,151
ACTR3B,152
ACTR5,153
ACTR6,154
ACVR1,155
ACVR1B,156
ACVR2A,157
ACVR2B,158
ACVRL1,159
ACY3,160
ADAL,161
ADAM10,162
ADAM12,163
ADAM15,164
ADAM17,165
ADAM19,166
ADAM23,167
ADAM28,168
ADAM33,169
ADAM8,170
ADAM9,171
ADAMDEC1,172
ADAMTS1,173
ADAMTS10,174
ADAMTS12,175
ADAMTS13,176
ADAMTS16,177
ADAMTS17,178
ADAMTS2,179
ADAMTS4,180
ADAMTS5,181
ADAMTS7,182
ADAMTS9,183
ADAMTSL1,184
ADAMTSL2,185
ADAMTSL3,186
ADAMTSL4,187
ADAMTSL5,188
ADAP1,189
ADAR,190
ADARB1,191
ADAT1,192
ADAT2,193
ADCK1,194
ADCK2,195
ADCY1,196
ADCY10,197
ADCY3,198
ADCY4,199
ADCY5,200
ADCY6,201
ADCY7,202
ADCY9,203
ADD1,204
ADD3,205
ADH1A,206
ADH1B,207
ADH4,208
ADH5,209
ADH6,210
ADHFE1,211
ADI1,212
ADIPOR1,213
ADIPOR2,214
ADIRF,215
ADK,216
ADM,217
ADM2,218
ADM5,219
ADNP,220
ADNP2,221
ADO,222
ADORA1,223
ADORA2A,224
ADORA2B,225
ADORA3,226
ADPRH,227
ADPRHL1,228
ADPRM,229
ADRA1A,230
ADRA1B,231
ADRA2A,232
ADRA2B,233
ADRA2C,234
ADRB2,235
ADRM1,236
ADSL,237
ADTRP,238
AEBP1,239
AFAP1,240
AFAP1L1,241
AFAP1L2,242
AFF1,243
AFF3,244
AFF4,245
AFG3L2,246
AFM,247
AFMID,248
AFP,249
AFTPH,250
AGA,251
AGAP1,252
AGAP2,253
AGAP3,254
AGAP4,255
AGAP5,256
AGAP6,257
AGAP9,258
AGBL2,259
AGBL3,260
AGBL5,261
AGER,262
AGFG1,263
AGFG2,264
AGGF1,265
AGL,266
AGMAT,267
AGMO,268
AGO1,269
AGO2,270
AGO3,271
AGO4,272
AGPAT1,273
AGPAT2,274
AGPAT3,275
AGPAT5,276
AGPS,277
AGR2,278
AGRN,279
AGT,280
AGTPBP1,281
AGTR1,282
AGTRAP,283
AGXT,284
AHCTF1,285
AHCY,286
AHCYL1,287
AHCYL2,288
AHDC1,289
AHI1,290
AHNAK,291
AHNAK2,292
AHR,293
AHSA1,294
AHSG,295
AIF1L,296
AIFM1,297
AIM2,298
AIMP2,299
AJUBA,300
AK1,301
AK2,302
AK3,303
AK7,304
AK8,305
AK9,306
AKAP1,307
AKAP10,308
AKAP11,309
AKAP12,310
AKAP13,311
AKAP17A,312
AKAP6,313
AKAP8,314
AKAP8L,315
AKAP9,316
AKIP1,317
AKIRIN1,318
AKIRIN2,319
AKNA,320
AKR1A1,321
AKR1B1,322
AKR1B10,323
AKR1B15,324
AKR1C1,325
AKR1C2,326
AKR1C3,327
AKR1C4,328
AKR1D1,329
AKR1E2,330
AKR7A2,331
AKR7A3,332
AKT1S1,333
AKT2,334
AKT3,335
AKTIP,336
ALAD,337
ALB,338
ALCAM,339
ALDH16A1,340
ALDH18A1,341
ALDH1A1,342
ALDH1A2,343
ALDH1A3,344
ALDH1B1,345
ALDH1L1,346
ALDH2,347
ALDH3A1,348
ALDH4A1,349
ALDH5A1,350
ALDH6A1,351
ALDH7A1,352
ALDH8A1,353
ALDOA,354
ALDOB,355
ALDOC,356
ALG1,357
ALG10B,358
ALG1L,359
ALG3,360
ALG5,361
ALG6,362
ALG8,363
ALG9,364
ALKBH3,365
ALKBH4,366
ALKBH5,367
ALKBH7,368
ALKBH8,369
ALMS1,370
ALOX15B,371
ALOX5,372
ALPI,373
ALPK1,374
ALPK2,375
ALPK3,376
ALS2,377
ALS2CL,378
ALX3,379
ALYREF,380
AMACR,381
AMBP,382
AMBRA1,383
AMD1,384
AMDHD1,385
AMER1,386
AMFR,387
AMH,388
AMIGO2,389
AMIGO3,390
AMMECR1,391
AMMECR1L,392
AMOT,393
AMOTL1,394
AMOTL2,395
AMPD2,396
AMPD3,397
AMY2B,398
AMZ2,399
ANAPC1,400
ANAPC11,401
ANAPC2,402
ANAPC4,403
ANAPC5,404
ANAPC7,405
ANG,406
ANGEL1,407
ANGEL2,408
ANGPT1,409
ANGPT2,410
ANGPTL1,411
ANGPTL2,412
ANGPTL3,413
ANGPTL4,414
ANGPTL6,415
ANK2,416
ANK3,417
ANKAR,418
ANKDD1A,419
ANKEF1,420
ANKFY1,421
ANKH,422
ANKHD1,423
ANKHD1-EIF4EBP3,424
ANKIB1,425
ANKLE2,426
ANKMY1,427
ANKMY2,428
ANKRA2,429
ANKRD1,430
ANKRD10,431
ANKRD11,432
ANKRD12,433
ANKRD13A,434
ANKRD13B,435
ANKRD13C,436
ANKRD13D,437
ANKRD17,438
ANKRD18A,439
ANKRD22,440
ANKRD23,441
ANKRD24,442
ANKRD26,443
ANKRD27,444
ANKRD28,445
ANKRD29,446
ANKRD33,447
ANKRD35,448
ANKRD36,449
ANKRD37,450
ANKRD44,451
ANKRD46,452
ANKRD49,453
ANKRD50,454
ANKRD52,455
ANKRD53,456
ANKRD54,457
ANKRD6,458
ANKRD9,459
ANKS1A,460
ANKS1B,461
ANKS3,462
ANKS6,463
ANKZF1,464
ANLN,465
ANO1,466
ANO10,467
ANO5,468
ANO6,469
ANO7,470
ANO8,471
ANO9,472
ANP32B,473
ANP32E,474
ANPEP,475
ANTXR1,476
ANTXR2,477
ANXA1,478
ANXA10,479
ANXA11,480
ANXA13,481
ANXA2,482
ANXA2R,483
ANXA3,484
ANXA4,485
ANXA5,486
ANXA6,487
ANXA7,488
ANXA9,489
AOAH,490
AOC1,491
AOC2,492
AOC3,493
AOX1,494
AP1AR,495
AP1B1,496
AP1G1,497
AP1G2,498
AP1M1,499
AP1M2,500
AP1S1,501
AP1S2,502
AP2A1,503
AP2A2,504
AP2B1,505
AP2M1,506
AP3B1,507
AP3D1,508
AP3M1,509
AP3M2,510
AP3S1,511
AP4B1,512
AP4E1,513
AP4S1,514
AP5M1,515
AP5Z1,516
APAF1,517
APBA1,518
APBA2,519
APBA3,520
APBB1,521
