,0
A2M,0
AAAS,1
AACS,2
AAMP,3
AASDH,4
AASDHPPT,5
ABAT,6
ABCA10,7
ABCA13,8
ABCA2,9
ABCA3,10
ABCA4,11
ABCA5,12
ABCA6,13
ABCA8,14
ABCA9,15
ABCB7,16
ABCC10,17
ABCC9,18
ABCD1,19
ABCD3,20
ABCD4,21
ABCF1,22
ABCF3,23
ABHD14A-ACY1,24
ABHD16A,25
ABHD2,26
ABHD4,27
ABHD6,28
ABL1,29
ABL2,30
ABLIM1,31
ABLIM2,32
ABLIM3,33
ABR,34
ABT1,35
ABTB2,36
ACACB,37
ACAD10,38
ACAD11,39
ACAD9,40
ACADL,41
ACADSB,42
ACAN,43
ACAP1,44
ACAP2,45
ACBD5,46
ACBD6,47
ACD,48
ACER3,49
ACIN1,50
ACKR2,51
ACKR4,52
ACOT13,53
ACOT7,54
ACRBP,55
ACSL3,56
ACSM5,57
ACSS3,58
ACTB,59
ACTBL2,60
ACTG1,61
ACTR3,62
ACTR3B,63
ACTR6,64
ACVR2A,65
ACVR2B,66
ADAL,67
ADAM12,68
ADAM15,69
ADAM22,70
ADAM8,71
ADAM9,72
ADAMDEC1,73
ADAMTS12,74
ADAMTS15,75
ADAMTS2,76
ADAMTS9,77
ADAMTSL1,78
ADAMTSL2,79
ADAMTSL3,80
ADAMTSL4,81
ADAR,82
ADARB1,83
ADAT1,84
ADCK1,85
ADCK2,86
ADCY1,87
ADCY6,88
ADCY7,89
ADCY8,90
ADD2,91
ADD3,92
ADH1B,93
ADIPOR1,94
ADK,95
ADM,96
ADNP,97
ADO,98
ADORA1,99
ADPGK,100
ADPRH,101
ADPRM,102
ADRA2B,103
ADTRP,104
AFAP1,105
AFAP1L2,106
AFF2,107
AFF3,108
AFF4,109
AFMID,110
AFTPH,111
AGA,112
AGAP5,113
AGAP6,114
AGFG1,115
AGGF1,116
AGL,117
AGO1,118
AGO2,119
AGPAT2,120
AGPS,121
AGR2,122
AHCYL1,123
AHNAK,124
AHNAK2,125
AHR,126
AHRR,127
AIFM3,128
AJAP1,129
AK7,130
AK9,131
AKAP10,132
AKAP11,133
AKAP12,134
AKAP13,135
AKAP6,136
AKAP7,137
AKAP8,138
AKAP9,139
AKR1C3,140
AKT1,141
