,0
A1BG,0
A2M,1
A2ML1,2
A4GALT,3
AAAS,4
AACS,5
AADAC,6
AADAT,7
AAGAB,8
AAK1,9
AAMP,10
AAR2,11
AARS2,12
AASDH,13
AASDHPPT,14
AASS,15
AATF,16
AATK,17
ABAT,18
ABCA1,19
ABCA10,20
ABCA12,21
ABCA13,22
ABCA2,23
ABCA3,24
ABCA4,25
ABCA5,26
ABCA6,27
ABCA7,28
ABCA8,29
ABCA9,30
ABCB1,31
ABCB4,32
ABCB6,33
ABCB7,34
ABCB8,35
ABCB9,36
ABCC1,37
ABCC10,38
ABCC3,39
ABCC4,40
ABCC5,41
ABCC6,42
ABCC9,43
ABCD1,44
ABCD3,45
ABCD4,46
ABCE1,47
ABCF1,48
ABCF2,49
ABCF3,50
ABCG1,51
ABCG2,52
ABCG4,53
ABHD10,54
ABHD11,55
ABHD12,56
ABHD14A,57
ABHD14B,58
ABHD15,59
ABHD16A,60
ABHD16B,61
ABHD17B,62
ABHD17C,63
ABHD2,64
ABHD3,65
ABHD4,66
ABHD5,67
ABHD6,68
ABHD8,69
ABI1,70
ABI2,71
ABI3,72
ABI3BP,73
ABL1,74
ABL2,75
ABLIM1,76
ABLIM2,77
ABLIM3,78
ABR,79
ABRACL,80
ABT1,81
ABTB1,82
ABTB2,83
ACAA2,84
ACACA,85
ACACB,86
ACAD10,87
ACAD11,88
ACAD8,89
ACAD9,90
ACADM,91
ACADS,92
ACADSB,93
ACADVL,94
ACAN,95
ACAP1,96
ACAP2,97
ACAP3,98
ACAT2,99
ACBD3,100
ACBD4,101
ACBD5,102
ACBD6,103
ACBD7,104
ACCS,105
ACD,106
ACE,107
ACE2,108
ACER1,109
ACER2,110
ACER3,111
ACHE,112
ACIN1,113
ACKR2,114
ACKR3,115
ACKR4,116
ACLY,117
ACO1,118
ACO2,119
ACOT11,120
ACOT13,121
ACOT2,122
ACOT4,123
ACOT8,124
ACOT9,125
ACOX1,126
ACOX2,127
ACOX3,128
ACP1,129
ACP2,130
ACP5,131
ACP6,132
ACRBP,133
ACSF2,134
ACSF3,135
ACSL1,136
ACSL3,137
ACSL4,138
ACSL5,139
ACSM3,140
ACSS1,141
ACSS2,142
ACSS3,143
ACTA1,144
ACTA2,145
ACTB,146
ACTC1,147
ACTG1,148
ACTG2,149
ACTL6A,150
ACTL8,151
ACTN1,152
ACTN2,153
ACTN4,154
ACTR10,155
ACTR1A,156
ACTR1B,157
ACTR2,158
ACTR3,159
ACTR3B,160
ACTR3C,161
ACTR5,162
ACTR6,163
ACTR8,164
ACTRT3,165
ACVR1,166
ACVR1B,167
ACVR1C,168
ACVR2A,169
ACVR2B,170
ACVRL1,171
ACY1,172
ACY3,173
ACYP1,174
ADA,175
ADAD2,176
ADAL,177
ADAM10,178
ADAM12,179
ADAM15,180
ADAM17,181
ADAM19,182
ADAM22,183
ADAM23,184
ADAM28,185
ADAM32,186
ADAM33,187
ADAM8,188
ADAM9,189
ADAMDEC1,190
ADAMTS1,191
ADAMTS10,192
ADAMTS12,193
ADAMTS13,194
ADAMTS14,195
ADAMTS15,196
ADAMTS16,197
ADAMTS17,198
ADAMTS2,199
ADAMTS3,200
ADAMTS4,201
ADAMTS5,202
ADAMTS6,203
ADAMTS7,204
ADAMTS9,205
ADAMTSL1,206
ADAMTSL2,207
ADAMTSL3,208
ADAMTSL4,209
ADAMTSL5,210
ADAP1,211
ADAP2,212
ADAR,213
ADARB1,214
ADARB2,215
ADAT1,216
ADCK1,217
ADCK2,218
ADCK5,219
ADCY1,220
ADCY2,221
ADCY3,222
ADCY4,223
ADCY5,224
ADCY6,225
ADCY7,226
ADCY9,227
ADCYAP1,228
ADD1,229
ADD2,230
ADD3,231
ADH1B,232
ADH5,233
ADH7,234
ADHFE1,235
ADI1,236
ADIPOR1,237
ADIPOR2,238
ADIRF,239
ADM,240
ADM2,241
ADNP,242
ADNP2,243
ADO,244
ADORA1,245
ADORA2A,246
ADORA2B,247
ADORA3,248
ADPGK,249
ADPRH,250
ADPRHL1,251
ADPRM,252
ADRA1B,253
ADRA2B,254
ADRA2C,255
ADRB2,256
ADRM1,257
ADSL,258
ADTRP,259
AEBP1,260
AEN,261
AFAP1,262
AFAP1L1,263
AFAP1L2,264
AFF1,265
AFF2,266
AFF4,267
AFG3L2,268
AFMID,269
AFTPH,270
AGA,271
AGAP1,272
AGAP2,273
AGAP3,274
AGAP4,275
AGAP5,276
AGAP6,277
AGBL2,278
AGBL5,279
AGER,280
AGFG1,281
AGFG2,282
AGGF1,283
AGK,284
AGL,285
AGMAT,286
AGO1,287
AGO2,288
AGO3,289
AGO4,290
AGPAT1,291
AGPAT2,292
AGPAT3,293
AGPAT4,294
AGPAT5,295
AGPS,296
AGR3,297
AGRN,298
AGT,299
AGTPBP1,300
AGTR1,301
AGTRAP,302
AHCTF1,303
AHCY,304
AHCYL2,305
AHDC1,306
AHI1,307
AHNAK,308
AHNAK2,309
AHR,310
AHRR,311
AHSA1,312
AIDA,313
AIF1,314
AIF1L,315
AIFM1,316
AIFM2,317
AIFM3,318
AIG1,319
AIM2,320
AIMP1,321
AIMP2,322
AIP,323
AJAP1,324
AJUBA,325
AK1,326
AK2,327
AK3,328
AK4,329
AK5,330
AK7,331
AK8,332
AK9,333
AKAP1,334
AKAP10,335
AKAP11,336
AKAP12,337
AKAP13,338
AKAP17A,339
AKAP3,340
AKAP5,341
AKAP6,342
AKAP7,343
AKAP8,344
AKAP8L,345
AKAP9,346
AKIP1,347
AKIRIN2,348
AKNA,349
AKNAD1,350
AKR1A1,351
AKR1B1,352
AKR1B10,353
AKR1B15,354
AKR1C1,355
AKR1C2,356
AKR1E2,357
AKR7A2,358
AKR7A3,359
AKT1,360
AKT1S1,361
AKT2,362
AKT3,363
ALAD,364
ALAS1,365
ALB,366
ALCAM,367
ALDH16A1,368
ALDH18A1,369
ALDH1A1,370
ALDH1A2,371
ALDH1A3,372
ALDH1B1,373
ALDH1L1,374
ALDH1L2,375
ALDH2,376
ALDH3A1,377
ALDH3A2,378
ALDH3B1,379
ALDH3B2,380
ALDH4A1,381
ALDH5A1,382
ALDH6A1,383
ALDH7A1,384
ALDH9A1,385
ALDOA,386
ALDOC,387
ALG1,388
ALG10,389
ALG10B,390
ALG11,391
ALG12,392
ALG13,393
ALG14,394
ALG1L,395
ALG2,396
ALG3,397
ALG5,398
ALG6,399
ALG8,400
ALKBH1,401
ALKBH2,402
ALKBH3,403
ALKBH4,404
ALKBH5,405
ALKBH6,406
ALKBH7,407
ALKBH8,408
ALMS1,409
ALOX12,410
ALOX12B,411
ALOX15,412
ALOX15B,413
ALOX5,414
ALOXE3,415
ALPK1,416
ALPK2,417
ALPK3,418
ALPL,419
ALS2,420
ALS2CL,421
ALX1,422
ALX3,423
ALYREF,424
AMACR,425
AMBRA1,426
AMD1,427
AMDHD1,428
AMDHD2,429
AMER1,430
AMFR,431
AMIGO1,432
AMIGO2,433
AMIGO3,434
AMMECR1,435
AMMECR1L,436
AMN,437
AMOT,438
AMOTL1,439
AMOTL2,440
AMPD1,441
AMPD2,442
AMPD3,443
AMPH,444
AMT,445
AMTN,446
AMY2B,447
AMZ2,448
ANAPC1,449
ANAPC13,450
ANAPC15,451
ANAPC2,452
ANAPC4,453
ANAPC5,454
ANAPC7,455
ANG,456
ANGEL1,457
ANGEL2,458
ANGPT1,459
ANGPT2,460
ANGPTL1,461
ANGPTL2,462
ANGPTL4,463
ANK1,464
ANK2,465
ANK3,466
ANKAR,467
ANKDD1A,468
ANKEF1,469
ANKFY1,470
ANKH,471
ANKHD1,472
ANKHD1-EIF4EBP3,473
ANKIB1,474
ANKK1,475
ANKLE1,476
ANKLE2,477
ANKMY1,478
ANKMY2,479
ANKRA2,480
ANKRD1,481
ANKRD10,482
ANKRD11,483
ANKRD12,484
ANKRD13A,485
ANKRD13B,486
ANKRD13C,487
ANKRD13D,488
ANKRD16,489
ANKRD17,490
ANKRD18A,491
ANKRD2,492
ANKRD23,493
ANKRD26,494
ANKRD27,495
ANKRD28,496
ANKRD29,497
ANKRD35,498
ANKRD36,499
ANKRD36C,500
ANKRD37,501
ANKRD39,502
ANKRD40,503
ANKRD42,504
ANKRD44,505
ANKRD46,506
ANKRD49,507
ANKRD50,508
ANKRD52,509
ANKRD6,510
ANKS1A,511
ANKS3,512
ANKS6,513
ANKZF1,514
ANLN,515
ANO1,516
ANO10,517
ANO2,518
ANO4,519
ANO6,520
ANO7,521
ANO8,522
ANO9,523
ANP32A,524
ANP32E,525
ANPEP,526
ANTXR1,527
ANTXR2,528
ANXA1,529
ANXA10,530
ANXA11,531
ANXA13,532
ANXA2R,533
ANXA3,534
ANXA4,535
ANXA5,536
ANXA6,537
ANXA7,538
ANXA8,539
ANXA8L1,540
ANXA9,541
AOAH,542
AOC1,543
AOC3,544
AOX1,545
AP1AR,546
AP1B1,547
AP1G1,548
AP1G2,549
AP1M1,550
AP1M2,551
AP1S1,552
AP1S2,553
AP2A1,554
AP2A2,555
AP2B1,556
AP2M1,557
AP2S1,558
AP3B1,559
AP3B2,560
AP3D1,561
AP3M1,562
AP3M2,563
AP3S2,564
AP4B1,565
AP4E1,566
AP4M1,567
AP5B1,568
AP5M1,569
AP5Z1,570
APAF1,571
APBA1,572
APBA2,573
APBA3,574
APBB1,575
APBB1IP,576
APBB2,577
APBB3,578
APC,579
APCDD1,580
APCDD1L,581
APEH,582
APEX2,583
APH1A,584
APH1B,585
API5,586
APLF,587
APLNR,588
APLP1,589
APLP2,590
APMAP,591
APOBEC2,592
APOBEC3A,593
APOBEC3B,594
APOBEC3C,595
APOBEC3D,596
APOBEC3F,597
APOBEC3G,598
APOBEC3H,599
APOBR,600
APOC1,601
APOD,602
APOL1,603
APOL2,604
APOL3,605
APOL4,606
APOL6,607
APOLD1,608
APOM,609
APOO,610
APOOL,611
APP,612
APPBP2,613
APPL1,614
APPL2,615
APRT,616
APTX,617
AQP1,618
AQP10,619
AQP3,620
AQP9,621
AQR,622
AR,623
ARAF,624
ARAP1,625
ARAP2,626
ARAP3,627
ARC,628
ARCN1,629
AREG,630
AREL1,631
ARF1,632
ARF4,633
ARF5,634
ARF6,635
ARFGAP1,636
ARFGAP2,637
ARFGAP3,638
ARFGEF1,639
ARFGEF2,640
ARFIP1,641
ARFIP2,642
ARFRP1,643
ARG1,644
ARG2,645
ARGLU1,646
ARHGAP1,647
ARHGAP10,648
ARHGAP11A,649
ARHGAP11B,650
ARHGAP12,651
ARHGAP15,652
ARHGAP17,653
ARHGAP18,654
ARHGAP19,655
ARHGAP21,656
ARHGAP22,657
ARHGAP24,658
ARHGAP25,659
ARHGAP26,660
ARHGAP27,661
ARHGAP28,662
ARHGAP29,663
ARHGAP30,664
ARHGAP31,665
ARHGAP32,666
ARHGAP33,667
ARHGAP35,668
ARHGAP39,669
ARHGAP4,670
ARHGAP44,671
ARHGAP5,672
ARHGAP6,673
ARHGAP9,674
ARHGDIA,675
ARHGDIB,676
ARHGEF1,677
ARHGEF10,678
ARHGEF10L,679
ARHGEF11,680
ARHGEF12,681
ARHGEF15,682
ARHGEF16,683
ARHGEF17,684
ARHGEF18,685
ARHGEF19,686
ARHGEF2,687
ARHGEF25,688
ARHGEF26,689
ARHGEF28,690
ARHGEF3,691
ARHGEF35,692
ARHGEF37,693
ARHGEF39,694
ARHGEF4,695
ARHGEF40,696
ARHGEF5,697
ARHGEF6,698
ARHGEF7,699
ARHGEF9,700
ARID1A,701
ARID1B,702
ARID2,703
ARID3A,704
ARID3B,705
ARID4A,706
ARID4B,707
ARID5A,708
ARID5B,709
ARIH1,710
ARIH2,711
ARIH2OS,712
ARL1,713
ARL11,714
ARL13B,715
ARL14,716
ARL14EP,717
ARL16,718
ARL2BP,719
ARL3,720
ARL4A,721
ARL4C,722
ARL4D,723
ARL5A,724
ARL5B,725
ARL6,726
ARL6IP1,727
ARL6IP5,728
ARL6IP6,729
ARL8A,730
ARL8B,731
ARL9,732
ARMC1,733
ARMC10,734
ARMC2,735
ARMC5,736
ARMC6,737
ARMC7,738
ARMC8,739
ARMC9,740
ARMCX2,741
ARMCX3,742
ARMCX5,743
ARMCX6,744
ARNT,745
ARNT2,746
ARNTL,747
ARNTL2,748
ARPC1A,749
ARPC1B,750
ARPC2,751
ARPC3,752
ARPC4,753
ARPC5,754
ARPC5L,755
ARPP21,756
ARRB1,757
ARRB2,758
ARRDC1,759
ARRDC2,760
ARRDC3,761
ARRDC4,762
ARSA,763
ARSB,764
ARSD,765
ARSG,766
ARSI,767
ARSJ,768
ARSK,769
ART3,770
ARTN,771
ARV1,772
ARVCF,773
AS3MT,774
ASAH1,775
ASAH2,776
ASAH2B,777
ASAP1,778
ASAP2,779
ASAP3,780
ASB1,781
ASB13,782
ASB16,783
ASB2,784
ASB5,785
ASB6,786
ASB8,787
ASB9,788
ASCC1,789
ASCC2,790
ASCC3,791
ASF1B,792
ASGR1,793
ASGR2,794
ASH1L,795
ASH2L,796
ASIC1,797
ASIC3,798
ASL,799
ASMTL,800
ASNS,801
ASNSD1,802
ASPG,803
ASPH,804
ASPHD1,805
ASPHD2,806
ASPM,807
ASPN,808
ASPRV1,809
ASPSCR1,810
ASRGL1,811
ASS1,812
ASTE1,813
ASTN2,814
ASXL1,815
ASXL2,816
ATAD1,817
ATAD2,818
ATAD2B,819
ATAD3A,820
ATAD3B,821
ATAD3C,822
ATAD5,823
ATAT1,824
ATE1,825
ATF1,826
ATF2,827
ATF3,828
ATF4,829
ATF5,830
ATF6,831
ATF6B,832
ATF7,833
ATF7IP,834
ATF7IP2,835
ATG10,836
ATG12,837
ATG13,838
ATG14,839
ATG16L1,840
ATG16L2,841
ATG2A,842
ATG2B,843
ATG4A,844
ATG4B,845
ATG4C,846
ATG4D,847
ATG7,848
ATG9A,849
ATG9B,850
ATIC,851
ATL1,852
ATL2,853
ATL3,854
ATM,855
ATMIN,856
ATN1,857
ATP10A,858
ATP10B,859
ATP10D,860
ATP11A,861
ATP11B,862
ATP11C,863
ATP12A,864
ATP13A1,865
ATP13A2,866
ATP13A3,867
ATP13A4,868
ATP13A5,869
ATP1A1,870
ATP1A2,871
ATP1A3,872
ATP1B1,873
ATP1B2,874
ATP1B3,875
ATP1B4,876
ATP2A1,877
ATP2A2,878
ATP2A3,879
ATP2B1,880
ATP2B4,881
ATP2C1,882
ATP2C2,883
ATP6AP1,884
ATP6AP1L,885
ATP6AP2,886
ATP6V0A1,887
ATP6V0A2,888
ATP6V0A4,889
ATP6V0B,890
ATP6V0C,891
ATP6V0D1,892
ATP6V0D2,893
ATP6V0E1,894
ATP6V0E2,895
ATP6V1A,896
ATP6V1B1,897
ATP6V1B2,898
ATP6V1C1,899
ATP6V1C2,900
ATP6V1D,901
ATP6V1E1,902
ATP6V1E2,903
ATP6V1F,904
ATP6V1H,905
ATP7A,906
ATP7B,907
ATP8A1,908
ATP8B1,909
ATP8B2,910
ATP8B3,911
ATP8B4,912
ATP9A,913
ATP9B,914
ATPAF2,915
ATR,916
ATRAID,917
ATRIP,918
ATRN,919
ATRNL1,920
ATRX,921
ATXN1,922
ATXN10,923
ATXN2,924
ATXN2L,925
ATXN3,926
ATXN7,927
ATXN7L2,928
ATXN7L3,929
AUH,930
AUNIP,931
AUP1,932
AURKA,933
AURKAIP1,934
AURKB,935
AURKC,936
AUTS2,937
AVEN,938
AVIL,939
AVL9,940
AVPI1,941
AVPR1A,942
AXDND1,943
AXIN1,944
AXIN2,945
AXL,946
AZGP1,947
AZI2,948
AZIN1,949
B2M,950
B3GALNT1,951
B3GALNT2,952
B3GALT4,953
B3GALT5,954
B3GALT6,955
B3GAT3,956
B3GNT2,957
B3GNT3,958
B3GNT5,959
B3GNT6,960
B3GNT7,961
B3GNT8,962
B3GNTL1,963
B4GALNT1,964
B4GALNT2,965
B4GALNT3,966
B4GALNT4,967
B4GALT1,968
B4GALT2,969
B4GALT3,970
B4GALT4,971
B4GALT5,972
B4GALT6,973
B4GALT7,974
B9D1,975
B9D2,976
BAALC,977
BABAM1,978
BACE1,979
BACE2,980
BACH1,981
BACH2,982
BAD,983
BAG1,984
BAG2,985
BAG3,986
BAG4,987
BAG5,988
BAG6,989
BAHD1,990
BAIAP2,991
BAIAP2L1,992
BAIAP2L2,993
BAIAP3,994
BAK1,995
BAMBI,996
BANK1,997
BANP,998
BAP1,999
BARD1,1000
BARX1,1001
BARX2,1002
