,0
0,0.0
1,1.0
2,3.0
3,4.0
4,5.0
5,6.0
6,7.0
7,8.0
8,9.0
9,10.0
10,11.0
11,12.0
12,14.0
13,16.0
14,17.0
15,18.0
16,19.0
17,20.0
18,21.0
19,23.0
20,25.0
21,26.0
22,28.0
23,30.0
24,33.0
25,34.0
26,35.0
27,36.0
28,37.0
29,38.0
30,39.0
31,40.0
32,41.0
33,42.0
34,43.0
35,44.0
36,45.0
37,46.0
38,47.0
39,48.0
40,49.0
41,50.0
42,51.0
43,52.0
44,53.0
45,54.0
46,55.0
47,56.0
48,58.0
49,59.0
50,60.0
51,63.0
52,65.0
53,67.0
54,69.0
55,70.0
56,75.0
57,76.0
58,78.0
59,79.0
60,80.0
61,82.0
62,83.0
63,84.0
64,85.0
65,87.0
66,89.0
67,90.0
68,92.0
69,93.0
70,94.0
71,95.0
72,96.0
73,97.0
74,98.0
75,99.0
76,100.0
77,101.0
78,102.0
79,103.0
80,104.0
81,105.0
82,106.0
83,107.0
84,109.0
85,110.0
86,111.0
87,113.0
88,114.0
89,117.0
90,118.0
91,119.0
92,122.0
93,123.0
94,124.0
95,125.0
96,126.0
97,127.0
98,128.0
99,129.0
100,130.0
101,131.0
102,132.0
103,133.0
104,134.0
105,135.0
106,136.0
107,137.0
108,138.0
109,139.0
110,140.0
111,142.0
112,143.0
113,144.0
114,145.0
115,146.0
116,149.0
117,150.0
118,151.0
119,152.0
120,153.0
121,154.0
122,157.0
123,158.0
124,159.0
125,160.0
126,161.0
127,162.0
128,163.0
129,164.0
130,166.0
131,167.0
132,168.0
133,169.0
134,170.0
135,171.0
136,172.0
137,173.0
138,174.0
139,175.0
140,176.0
141,177.0
142,178.0
143,179.0
144,180.0
145,182.0
146,183.0
147,184.0
148,185.0
149,186.0
150,187.0
151,188.0
152,190.0
153,191.0
154,193.0
155,194.0
156,195.0
157,196.0
158,197.0
159,198.0
160,201.0
161,202.0
162,203.0
163,204.0
164,205.0
165,207.0
166,209.0
167,210.0
168,215.0
169,217.0
170,219.0
171,220.0
172,222.0
173,225.0
174,226.0
175,228.0
176,229.0
177,230.0
178,231.0
179,232.0
180,233.0
181,237.0
182,238.0
183,239.0
184,240.0
185,241.0
186,242.0
187,243.0
188,244.0
189,245.0
190,246.0
191,247.0
192,248.0
193,249.0
194,250.0
195,251.0
196,253.0
197,254.0
198,257.0
199,258.0
200,259.0
201,261.0
202,262.0
203,265.0
204,267.0
205,268.0
206,269.0
207,270.0
208,271.0
209,272.0
210,276.0
211,277.0
212,278.0
213,279.0
214,280.0
215,281.0
216,282.0
217,283.0
218,285.0
219,286.0
220,287.0
221,289.0
222,290.0
223,291.0
224,292.0
225,293.0
226,294.0
227,295.0
228,296.0
229,297.0
230,298.0
231,299.0
232,300.0
233,305.0
234,307.0
235,308.0
236,309.0
237,311.0
238,312.0
239,313.0
240,314.0
241,315.0
242,316.0
243,317.0
244,318.0
245,319.0
246,320.0
247,321.0
248,322.0
249,323.0
250,324.0
251,325.0
252,326.0
253,327.0
254,328.0
255,329.0
256,330.0
257,331.0
258,332.0
259,333.0
260,334.0
261,335.0
262,337.0
263,338.0
264,339.0
265,340.0
266,341.0
267,342.0
268,343.0
269,345.0
270,346.0
271,347.0
272,348.0
273,349.0
274,350.0
275,351.0
276,352.0
277,353.0
278,354.0
279,355.0
280,356.0
281,357.0
282,358.0
283,359.0
284,360.0
285,361.0
286,362.0
287,363.0
288,365.0
289,366.0
290,367.0
291,368.0
292,369.0
293,370.0
294,371.0
295,373.0
296,374.0
297,375.0
298,376.0
299,377.0
300,378.0
301,379.0
302,380.0
303,381.0
304,382.0
305,383.0
306,384.0
307,385.0
308,388.0
309,389.0
310,390.0
311,392.0
312,393.0
313,394.0
314,395.0
315,396.0
316,397.0
317,398.0
318,399.0
319,400.0
320,401.0
321,402.0
322,403.0
323,404.0
324,405.0
325,406.0
326,407.0
327,408.0
328,409.0
329,410.0
330,411.0
331,412.0
332,413.0
333,414.0
334,416.0
335,417.0
336,418.0
337,419.0
338,421.0
339,422.0
340,423.0
341,424.0
342,425.0
343,426.0
344,427.0
345,428.0
346,429.0
347,430.0
348,432.0
349,433.0
350,434.0
351,436.0
352,437.0
353,438.0
354,439.0
355,440.0
356,441.0
357,442.0
358,444.0
359,445.0
360,446.0
361,448.0
362,449.0
363,450.0
364,451.0
365,453.0
366,454.0
367,455.0
368,456.0
369,458.0
370,459.0
371,460.0
372,461.0
373,462.0
374,463.0
375,464.0
376,465.0
377,467.0
378,468.0
379,469.0
380,470.0
381,471.0
382,472.0
383,477.0
384,478.0
385,479.0
386,481.0
387,482.0
388,483.0
389,489.0
390,490.0
391,491.0
392,492.0
393,493.0
394,494.0
395,495.0
396,496.0
397,497.0
398,498.0
399,499.0
400,501.0
401,502.0
402,503.0
403,504.0
404,506.0
405,507.0
406,508.0
407,509.0
408,515.0
409,517.0
410,522.0
411,524.0
412,525.0
413,526.0
414,527.0
415,528.0
416,529.0
417,530.0
418,532.0
419,535.0
420,537.0
421,539.0
422,540.0
423,541.0
424,542.0
425,548.0
426,554.0
427,555.0
428,559.0
429,565.0
430,566.0
431,568.0
432,570.0
433,571.0
434,572.0
435,573.0
436,574.0
437,576.0
438,577.0
439,578.0
440,581.0
441,582.0
442,583.0
443,584.0
444,585.0
445,586.0
446,587.0
447,588.0
448,589.0
449,590.0
450,592.0
451,593.0
452,594.0
453,595.0
454,596.0
455,599.0
456,601.0
457,602.0
458,603.0
459,604.0
460,605.0
461,606.0
462,607.0
463,608.0
464,609.0
465,610.0
466,611.0
467,612.0
468,613.0
469,614.0
470,615.0
471,616.0
472,617.0
473,618.0
474,619.0
475,620.0
476,621.0
477,622.0
478,623.0
479,624.0
480,625.0
481,626.0
482,627.0
483,628.0
484,629.0
485,631.0
486,633.0
487,634.0
488,635.0
489,636.0
490,637.0
491,638.0
492,639.0
493,640.0
494,642.0
495,644.0
496,645.0
497,646.0
498,647.0
499,648.0
500,649.0
501,650.0
502,651.0
503,652.0
504,653.0
505,654.0
506,655.0
507,656.0
508,657.0
509,658.0
510,659.0
511,660.0
512,664.0
513,665.0
514,669.0
515,670.0
516,672.0
517,673.0
518,674.0
519,675.0
520,679.0
521,680.0
522,681.0
523,682.0
524,683.0
525,684.0
526,685.0
527,686.0
528,687.0
529,688.0
530,689.0
531,692.0
532,693.0
533,694.0
534,695.0
535,696.0
536,697.0
537,698.0
538,699.0
539,700.0
540,701.0
541,702.0
542,703.0
543,704.0
544,705.0
545,706.0
546,707.0
547,708.0
548,709.0
549,710.0
550,711.0
551,712.0
552,713.0
553,714.0
554,715.0
555,716.0
556,717.0
557,718.0
558,719.0
559,720.0
560,721.0
561,722.0
562,723.0
563,724.0
564,725.0
565,726.0
566,727.0
567,728.0
568,729.0
569,730.0
570,731.0
571,732.0
572,733.0
573,734.0
574,735.0
575,736.0
576,737.0
577,740.0
578,741.0
579,743.0
580,744.0
581,745.0
582,746.0
583,747.0
584,748.0
585,749.0
586,750.0
587,751.0
588,753.0
589,754.0
590,755.0
591,756.0
592,757.0
593,758.0
594,759.0
595,760.0
596,761.0
597,762.0
598,763.0
599,764.0
600,765.0
601,766.0
602,767.0
603,768.0
604,769.0
605,770.0
606,771.0
607,776.0
608,777.0
609,778.0
610,779.0
611,780.0
612,781.0
613,782.0
614,783.0
615,784.0
616,785.0
617,786.0
618,787.0
619,788.0
620,789.0
621,790.0
622,791.0
623,792.0
624,793.0
625,795.0
626,796.0
627,798.0
628,801.0
629,802.0
630,804.0
631,805.0
632,806.0
633,807.0
634,808.0
635,809.0
636,811.0
637,812.0
638,813.0
639,814.0
