,0
0,78
1,82
2,83
3,125
4,152
5,183
6,184
7,290
8,292
9,293
10,356
11,396
12,397
13,401
14,467
15,507
16,642
17,661
18,700
19,701
20,738
21,751
22,758
23,759
24,761
25,784
26,785
27,836
28,906
29,912
30,913
31,923
32,950
33,969
34,1021
35,1027
36,1048
37,1049
38,1055
39,1107
40,1108
41,1115
42,1116
43,1150
44,1151
45,1152
46,1153
47,1157
48,1158
49,1163
50,1164
51,1166
52,1169
53,1170
54,1171
55,1174
56,1175
57,1217
58,1219
59,1224
60,1244
61,1248
62,1274
63,1277
64,1278
65,1282
66,1283
67,1284
68,1294
69,1329
70,1330
71,1332
72,1342
73,1576
74,1579
75,1616
76,1637
77,1641
78,1668
79,1688
80,1693
81,1694
82,1709
83,1710
84,1711
85,1712
86,1713
87,1724
88,1804
89,1866
90,1869
91,1871
92,1872
93,1874
94,1897
95,1899
96,1932
97,1939
98,1941
99,1975
100,1977
101,1978
102,1979
103,2026
104,2035
105,2036
106,2058
107,2070
108,2076
109,2084
110,2085
111,2087
112,2091
113,2106
114,2227
115,2230
116,2235
117,2239
118,2291
119,2313
120,2315
121,2404
122,2436
123,2437
124,2463
125,2485
126,2510
127,2540
128,2549
129,2557
130,2658
131,2701
132,2703
133,2704
134,2707
135,2731
136,2737
137,2739
138,2757
139,2760
140,2764
141,2820
142,2826
143,2855
144,2857
145,2865
146,2893
147,2923
148,2936
149,2973
150,2990
151,2991
152,3037
153,3054
154,3059
155,3065
156,3070
157,3086
158,3093
159,3102
160,3118
161,3155
162,3200
163,3203
164,3259
165,3296
166,3345
167,3348
168,3349
169,3426
170,3529
171,3552
172,3570
173,3571
174,3577
175,3614
176,3620
177,3638
178,3659
179,3669
180,3694
181,3695
182,3701
183,3702
184,3746
185,3793
186,3808
187,3809
188,3812
189,3831
190,3844
191,3845
192,3848
193,3849
194,3850
195,3851
196,3858
197,3892
198,3907
199,3911
200,3914
201,3915
202,3916
203,3930
204,3959
205,3960
206,3968
207,3969
208,4141
209,4143
210,4144
211,4145
212,4146
213,4147
214,4160
215,4170
216,4179
217,4206
218,4252
219,4276
220,4281
221,4310
222,4313
223,4314
224,4320
225,4323
226,4338
227,4356
228,4361
229,4362
230,4364
231,4374
232,4416
233,4433
234,4438
235,4439
236,4440
237,4441
238,4445
239,4482
240,4490
241,4498
242,4609
243,4611
244,4612
245,4752
246,4798
247,4800
248,4808
249,4809
250,4847
251,4863
252,4890
253,4899
254,4959
255,4996
256,5061
257,5204
258,5216
259,5222
260,5239
261,5250
262,5265
263,5266
264,5285
265,5296
266,5297
267,5316
268,5324
269,5349
270,5354
271,5355
272,5362
273,5373
274,5374
275,5382
276,5383
277,5407
278,5446
279,5447
280,5487
281,5514
282,5517
283,5518
284,5583
285,5616
286,5619
287,5659
288,5676
289,5678
290,5780
291,5785
292,5787
293,5831
294,5849
295,5874
296,5875
297,5876
298,5901
299,5918
300,5919
301,5920
302,5966
303,6025
304,6027
305,6028
306,6031
307,6032
308,6033
309,6081
310,6101
311,6115
312,6129
313,6130
314,6131
315,6196
316,6199
317,6203
318,6256
319,6304
320,6309
321,6312
322,6313
323,6322
324,6351
325,6356
326,6364
327,6395
328,6452
329,6455
330,6456
331,6492
332,6509
333,6649
334,6675
335,6681
336,6682
337,6692
338,6694
339,6725
340,6729
341,6758
342,6759
343,6761
344,6769
345,6774
346,6794
347,6913
348,6914
349,6922
350,6970
351,6977
352,7033
353,7044
354,7089
355,7102
356,7104
357,7107
358,7108
359,7109
360,7110
361,7111
362,7147
363,7322
364,7323
365,7327
366,7335
367,7364
368,7397
369,7410
370,7420
371,7424
372,7440
373,7446
374,7450
375,7453
376,7457
377,7461
378,7487
379,7514
380,7535
381,7580
382,7584
383,7621
384,7622
385,7624
386,7628
387,7629
388,7643
389,7742
390,7743
391,7748
392,7757
393,7762
394,7766
395,7796
396,7806
397,7823
398,7888
399,7900
400,7901
401,7939
402,7973
403,7986
404,8005
405,8023
406,8034
407,8043
408,8045
409,8085
410,8089
411,8096
412,8106
413,8107
414,8113
