,0
0,0
1,3
2,4
3,5
4,6
5,7
6,8
7,9
8,10
9,11
10,12
11,13
12,14
13,15
14,16
15,17
16,18
17,19
18,20
19,21
20,22
21,23
22,24
23,25
24,26
25,27
26,28
27,29
28,30
29,31
30,32
31,33
32,34
33,35
34,36
35,37
36,38
37,39
38,40
39,41
40,42
41,43
42,44
43,45
44,46
45,48
46,49
47,50
48,51
49,52
50,55
51,57
52,58
53,60
54,61
55,62
56,63
57,65
58,68
59,69
60,74
61,75
62,76
63,78
64,80
65,81
66,82
67,83
68,84
69,85
70,86
71,87
72,88
73,89
74,90
75,91
76,93
77,95
78,96
79,97
80,99
81,100
82,101
83,102
84,103
85,104
86,105
87,106
88,107
89,109
90,111
91,112
92,113
93,114
94,115
95,116
96,117
97,118
98,119
99,120
100,121
101,122
102,123
103,124
104,125
105,126
106,128
107,129
108,130
109,132
110,133
111,134
112,135
113,136
114,137
115,138
116,139
117,140
118,141
119,142
120,144
121,145
122,146
123,147
124,149
125,150
126,151
127,158
128,159
129,160
130,162
131,163
132,164
133,165
134,166
135,167
136,168
137,169
138,170
139,171
140,172
141,173
142,174
143,175
144,176
145,177
146,178
147,179
148,180
149,181
150,182
151,183
152,184
153,185
154,186
155,187
156,190
157,191
158,192
159,193
160,194
161,196
162,197
163,198
164,199
165,200
166,201
167,202
168,203
169,204
170,205
171,206
172,207
173,208
174,209
175,210
176,211
177,212
178,213
179,214
180,216
181,217
182,220
183,221
184,222
185,223
186,224
187,225
188,226
189,227
190,228
191,230
192,231
193,232
194,233
195,234
196,235
197,236
198,237
199,238
200,239
201,240
202,241
203,242
204,246
205,247
206,248
207,249
208,251
209,252
210,253
211,254
212,259
213,260
214,261
215,262
216,263
217,264
218,265
219,266
220,267
221,268
222,269
223,270
224,272
225,273
226,274
227,275
228,276
229,277
230,278
231,279
232,280
233,281
234,282
235,284
236,285
237,286
238,287
239,288
240,289
241,290
242,291
243,292
244,293
245,294
246,295
247,297
248,298
249,299
250,301
251,302
252,303
253,304
254,305
255,306
256,307
257,308
258,309
259,311
260,312
261,313
262,314
263,315
264,316
265,317
266,318
267,319
268,321
269,322
270,323
271,324
272,325
273,326
274,327
275,328
276,329
277,330
278,331
279,332
280,333
281,336
282,337
283,339
284,340
285,341
286,342
287,343
288,344
289,345
290,346
291,347
292,348
293,349
294,350
295,351
296,352
297,353
298,354
299,355
300,356
301,357
302,358
303,360
304,361
305,362
306,363
307,364
308,365
309,366
310,367
311,368
312,369
313,370
314,371
315,372
316,373
317,374
318,375
319,376
320,377
321,378
322,379
323,380
324,381
325,382
326,383
327,384
328,387
