,0
A2M,0
A2ML1,1
A4GALT,2
AAAS,3
AACS,4
AADAT,5
AAGAB,6
AAK1,7
AAMDC,8
AAMP,9
AAR2,10
AARD,11
AARS2,12
AASDH,13
AASDHPPT,14
AASS,15
AATK,16
ABCA1,17
ABCA10,18
ABCA12,19
ABCA13,20
ABCA2,21
ABCA3,22
ABCA4,23
ABCA5,24
ABCA6,25
ABCA7,26
ABCA8,27
ABCA9,28
ABCB1,29
ABCB4,30
ABCB6,31
ABCB8,32
ABCB9,33
ABCC1,34
ABCC10,35
ABCC3,36
ABCC4,37
ABCC5,38
ABCC6,39
ABCC9,40
ABCD1,41
ABCD4,42
ABCE1,43
ABCF2,44
ABCF3,45
ABCG1,46
ABHD10,47
ABHD11,48
ABHD12,49
ABHD12B,50
ABHD13,51
ABHD14A,52
ABHD14A-ACY1,53
ABHD14B,54
ABHD15,55
ABHD16A,56
ABHD16B,57
ABHD17A,58
ABHD17C,59
ABHD2,60
ABHD3,61
ABHD4,62
ABHD5,63
ABHD6,64
ABHD8,65
ABI1,66
ABI2,67
ABI3,68
ABI3BP,69
ABL1,70
ABL2,71
ABLIM1,72
ABLIM3,73
ABR,74
ABT1,75
ABTB1,76
ABTB2,77
ACAA1,78
ACAA2,79
ACACA,80
ACACB,81
ACAD10,82
ACAD11,83
ACAD9,84
ACADM,85
ACADSB,86
ACADVL,87
ACAN,88
ACAP2,89
ACAP3,90
ACAT1,91
ACAT2,92
ACBD3,93
ACBD4,94
ACBD5,95
ACCS,96
ACD,97
ACE,98
ACE2,99
ACHE,100
ACIN1,101
ACKR2,102
ACKR4,103
ACLY,104
ACO2,105
ACOT1,106
ACOT11,107
ACOT4,108
ACOT7,109
ACOT9,110
ACOX1,111
ACOX2,112
ACOX3,113
ACP1,114
ACP2,115
ACP6,116
ACR,117
ACRBP,118
ACSBG2,119
ACSF2,120
ACSF3,121
ACSL3,122
ACSL4,123
ACSL5,124
ACSM3,125
ACSS1,126
ACSS2,127
ACSS3,128
ACTA1,129
ACTA2,130
ACTB,131
ACTG1,132
ACTL10,133
ACTL6A,134
ACTL8,135
ACTN2,136
ACTN4,137
ACTR10,138
ACTR2,139
ACTR3,140
ACTR3B,141
ACTR5,142
ACTR6,143
ACTR8,144
ACTRT3,145
ACVR1,146
ACVR1B,147
ACVR2A,148
ACVR2B,149
ACVRL1,150
ACYP1,151
ADA,152
ADAD2,153
ADAM10,154
ADAM11,155
ADAM12,156
ADAM15,157
ADAM17,158
ADAM19,159
ADAM22,160
ADAM23,161
ADAM28,162
ADAM32,163
ADAM8,164
ADAM9,165
ADAMDEC1,166
ADAMTS1,167
ADAMTS10,168
ADAMTS12,169
ADAMTS13,170
ADAMTS14,171
ADAMTS15,172
ADAMTS17,173
ADAMTS19,174
ADAMTS2,175
ADAMTS3,176
ADAMTS4,177
ADAMTS5,178
ADAMTS6,179
ADAMTS7,180
ADAMTS8,181
ADAMTS9,182
ADAMTSL1,183
ADAMTSL3,184
ADAMTSL4,185
ADAP1,186
ADAP2,187
ADAR,188
ADARB2,189
ADCK1,190
ADCK2,191
ADCK5,192
ADCY2,193
ADCY3,194
ADCY4,195
ADCY5,196
ADCY6,197
ADCY7,198
ADCY9,199
ADD1,200
ADD2,201
ADD3,202
ADH1B,203
ADH6,204
ADH7,205
ADHFE1,206
ADI1,207
ADIPOR1,208
ADIRF,209
ADM,210
ADNP,211
ADNP2,212
ADO,213
ADORA1,214
ADORA2A,215
ADORA2B,216
ADORA3,217
ADPGK,218
ADPRHL1,219
ADPRM,220
ADRA2A,221
ADRA2B,222
ADRA2C,223
ADRB1,224
ADRB2,225
ADRM1,226
ADSL,227
ADTRP,228
AEBP1,229
AEBP2,230
AEN,231
AFAP1,232
AFAP1L1,233
AFAP1L2,234
AFF1,235
AFF2,236
AFF3,237
AFF4,238
AFG3L2,239
AFMID,240
AFTPH,241
AGA,242
AGAP1,243
AGAP2,244
AGAP3,245
AGAP4,246
AGAP5,247
AGAP6,248
AGAP9,249
AGBL2,250
AGBL3,251
AGBL5,252
AGFG1,253
AGFG2,254
AGK,255
AGL,256
AGMO,257
AGO1,258
AGO2,259
AGO3,260
AGO4,261
AGPAT1,262
AGPAT3,263
AGPAT4,264
AGPAT5,265
AGPS,266
AGR2,267
AGR3,268
AGRN,269
AGTPBP1,270
AGTR1,271
AGXT,272
AHCTF1,273
AHCY,274
AHCYL1,275
AHCYL2,276
AHDC1,277
AHI1,278
AHNAK,279
AHNAK2,280
AHRR,281
AIDA,282
AIF1L,283
AIFM1,284
AIFM2,285
AIG1,286
AIM2,287
AIMP1,288
AIMP2,289
AJAP1,290
AJUBA,291
AK2,292
AK3,293
AK4,294
AK5,295
AK7,296
AK8,297
AK9,298
AKAP1,299
AKAP11,300
AKAP12,301
AKAP13,302
AKAP17A,303
AKAP5,304
AKAP6,305
AKAP8,306
AKAP8L,307
AKAP9,308
AKIP1,309
AKIRIN2,310
AKNA,311
AKNAD1,312
AKR1A1,313
AKR1B1,314
AKR1B10,315
AKR1B15,316
AKR1C2,317
AKR1E2,318
AKR7A2,319
AKT1,320
AKT1S1,321
AKT2,322
AKT3,323
AKTIP,324
ALAD,325
ALB,326
ALCAM,327
ALDH16A1,328
ALDH18A1,329
ALDH1A1,330
ALDH1A2,331
ALDH1A3,332
ALDH1B1,333
ALDH1L1,334
ALDH1L2,335
ALDH3A1,336
ALDH3A2,337
ALDH3B1,338
ALDH4A1,339
ALDH5A1,340
ALDH6A1,341
ALDH8A1,342
ALDH9A1,343
ALDOA,344
ALDOC,345
ALG1,346
ALG10,347
ALG10B,348
ALG11,349
ALG12,350
ALG13,351
ALG14,352
ALG1L,353
ALG3,354
ALG5,355
ALG6,356
ALKBH1,357
ALKBH2,358
ALKBH3,359
ALKBH4,360
ALKBH5,361
ALKBH7,362
ALMS1,363
ALOX12,364
ALOX12B,365
ALOX15B,366
ALOX5,367
ALOX5AP,368
ALPK1,369
ALPK3,370
ALPL,371
ALS2,372
ALS2CL,373
ALYREF,374
AMACR,375
AMBRA1,376
AMD1,377
AMDHD1,378
AMER1,379
AMFR,380
AMH,381
AMIGO2,382
AMIGO3,383
AMMECR1,384
AMMECR1L,385
AMOT,386
AMOTL1,387
AMOTL2,388
AMPD2,389
AMPD3,390
AMPH,391
AMT,392
AMY2A,393
AMY2B,394
AMZ2,395
ANAPC1,396
ANAPC13,397
ANAPC15,398
ANAPC16,399
ANAPC2,400
ANAPC4,401
ANAPC7,402
ANGEL2,403
ANGPT1,404
ANGPT2,405
ANGPTL2,406
ANGPTL4,407
ANK1,408
ANK2,409
ANK3,410
ANKAR,411
ANKDD1A,412
ANKEF1,413
ANKFY1,414
ANKH,415
ANKHD1-EIF4EBP3,416
ANKK1,417
ANKLE1,418
ANKLE2,419
ANKMY1,420
ANKMY2,421
ANKRA2,422
ANKRD1,423
ANKRD10,424
ANKRD11,425
ANKRD12,426
ANKRD13A,427
ANKRD13C,428
ANKRD13D,429
ANKRD16,430
ANKRD17,431
ANKRD18A,432
ANKRD18B,433
ANKRD2,434
ANKRD23,435
ANKRD26,436
ANKRD27,437
ANKRD28,438
ANKRD29,439
ANKRD34A,440
ANKRD35,441
ANKRD36,442
ANKRD36C,443
ANKRD37,444
ANKRD40,445
ANKRD42,446
ANKRD44,447
ANKRD46,448
ANKRD49,449
ANKRD50,450
ANKRD53,451
ANKRD54,452
ANKRD6,453
ANKS1A,454
ANKS1B,455
ANKS3,456
ANKS6,457
ANKZF1,458
ANLN,459
ANO1,460
ANO2,461
ANO5,462
ANO6,463
ANO7,464
ANO8,465
ANO9,466
ANP32A,467
ANP32B,468
ANP32E,469
ANPEP,470
ANTXR1,471
ANTXR2,472
ANXA1,473
ANXA11,474
ANXA13,475
ANXA2,476
ANXA2R,477
ANXA4,478
ANXA5,479
ANXA7,480
ANXA8,481
AOAH,482
AOC1,483
AOC2,484
AOC3,485
AOX1,486
AP1AR,487
AP1B1,488
AP1G1,489
AP1G2,490
AP1M1,491
AP1M2,492
AP1S1,493
AP1S2,494
AP1S3,495
AP2A1,496
AP2A2,497
AP2B1,498
AP2M1,499
AP3B1,500
AP3B2,501
AP3D1,502
AP3M2,503
AP3S1,504
AP4B1,505
AP4E1,506
AP4M1,507
AP5B1,508
AP5M1,509
AP5S1,510
AP5Z1,511
APAF1,512
APBA1,513
APBA2,514
APBA3,515
APBB1,516
APBB1IP,517
APBB2,518
APBB3,519
APC,520
APCDD1,521
APCDD1L,522
APEH,523
APEX1,524
APEX2,525
APH1A,526
API5,527
APLF,528
APLN,529
APLNR,530
APLP1,531
APLP2,532
APOBEC3D,533
APOBEC3G,534
APOBEC3H,535
APOBR,536
APOC3,537
APOD,538
APOE,539
APOL3,540
APOL4,541
APOOL,542
APP,543
APPBP2,544
APPL1,545
APPL2,546
APRT,547
AQP1,548
AQP11,549
AQP3,550
AQR,551
ARAF,552
ARAP1,553
ARAP2,554
ARAP3,555
ARC,556
ARCN1,557
ARF1,558
ARF4,559
ARF5,560
ARF6,561
ARFGAP1,562
ARFGAP3,563
ARFGEF1,564
ARFGEF2,565
ARFIP2,566
ARG2,567
ARGLU1,568
ARHGAP10,569
ARHGAP11B,570
ARHGAP12,571
ARHGAP15,572
ARHGAP17,573
ARHGAP19,574
ARHGAP20,575
ARHGAP21,576
ARHGAP22,577
ARHGAP23,578
ARHGAP24,579
ARHGAP25,580
ARHGAP26,581
ARHGAP28,582
ARHGAP29,583
ARHGAP30,584
ARHGAP31,585
ARHGAP32,586
ARHGAP33,587
ARHGAP35,588
ARHGAP39,589
ARHGAP42,590
ARHGAP44,591
ARHGAP5,592
ARHGAP6,593
ARHGAP9,594
ARHGDIA,595
ARHGDIB,596
ARHGEF1,597
ARHGEF10,598
ARHGEF10L,599
ARHGEF11,600
ARHGEF12,601
ARHGEF15,602
ARHGEF16,603
ARHGEF17,604
ARHGEF18,605
ARHGEF2,606
ARHGEF25,607
ARHGEF26,608
ARHGEF28,609
ARHGEF3,610
ARHGEF35,611
ARHGEF37,612
ARHGEF4,613
ARHGEF5,614
ARHGEF6,615
ARHGEF7,616
ARHGEF9,617
ARID1A,618
ARID1B,619
ARID2,620
ARID3B,621
ARID4A,622
ARID4B,623
ARID5A,624
ARID5B,625
ARIH2,626
ARL1,627
ARL10,628
ARL11,629
ARL13B,630
ARL14,631
ARL14EP,632
ARL15,633
ARL2,634
ARL2BP,635
ARL3,636
ARL4A,637
ARL4C,638
ARL4D,639
ARL5A,640
ARL5B,641
ARL6,642
ARL6IP1,643
ARL6IP6,644
ARL8B,645
ARMC1,646
ARMC2,647
ARMC5,648
ARMC6,649
ARMC8,650
ARMC9,651
ARMCX1,652
ARMCX2,653
ARMCX3,654
ARMCX5,655
ARMCX6,656
ARNT,657
ARNT2,658
ARNTL,659
ARPC1A,660
ARPC4,661
ARPC5,662
ARPP19,663
ARRB1,664
ARRB2,665
ARRDC1,666
ARRDC2,667
ARRDC4,668
ARSA,669
ARSB,670
ARSD,671
ARSF,672
ARSI,673
ARSJ,674
ARSK,675
ART3,676
ARV1,677
ARVCF,678
ASAP1,679
ASAP2,680
ASAP3,681
ASB1,682
ASB13,683
ASB16,684
ASB2,685
ASB5,686
ASB6,687
ASB7,688
ASB8,689
ASB9,690
ASCC1,691
ASCC2,692
ASCC3,693
ASF1A,694
ASF1B,695
ASGR1,696
ASH1L,697
ASH2L,698
ASIC1,699
ASIC3,700
ASL,701
ASMTL,702
ASNS,703
ASNSD1,704
ASPG,705
ASPH,706
ASPHD1,707
ASPHD2,708
ASPM,709
ASPSCR1,710
ASRGL1,711
ASS1,712
ASTE1,713
ASTN2,714
ASXL1,715
ASXL2,716
ATAD1,717
ATAD2,718
ATAD2B,719
ATAD3A,720
ATAD3B,721
ATAD3C,722
ATAT1,723
ATE1,724
ATF1,725
ATF2,726
ATF4,727
ATF6,728
ATF6B,729
ATF7,730
ATF7IP,731
ATF7IP2,732
ATG12,733
ATG16L2,734
ATG2A,735
ATG2B,736
ATG3,737
ATG4B,738
ATG5,739
ATG7,740
ATG9A,741
ATG9B,742
ATIC,743
ATL1,744
ATL3,745
ATM,746
ATMIN,747
ATN1,748
ATP10A,749
ATP10B,750
ATP10D,751
ATP11A,752
ATP11B,753
ATP11C,754
ATP12A,755
ATP13A1,756
ATP13A2,757
ATP13A3,758
ATP13A4,759
ATP1A1,760
ATP1A2,761
ATP1A3,762
ATP1B1,763
ATP1B2,764
ATP2A1,765
ATP2A2,766
ATP2A3,767
ATP2B1,768
ATP2B4,769
ATP2C1,770
ATP2C2,771
ATP6AP1,772
ATP6AP2,773
ATP6V0A1,774
ATP6V0A2,775
ATP6V0A4,776
ATP6V0B,777
ATP6V0E2,778
ATP6V1B2,779
ATP6V1C1,780
ATP6V1C2,781
ATP6V1D,782
ATP6V1E1,783
ATP6V1E2,784
ATP6V1F,785
ATP6V1H,786
ATP7A,787
ATP7B,788
ATP8A1,789
ATP8B1,790
ATP8B2,791
ATP8B3,792
ATP8B4,793
ATP9A,794
ATP9B,795
ATPAF1,796
ATPAF2,797
ATR,798
ATRN,799
ATRNL1,800
ATRX,801
ATXN1,802
ATXN10,803
ATXN1L,804
ATXN2,805
ATXN2L,806
ATXN3,807
ATXN7,808
ATXN7L1,809
ATXN7L2,810
ATXN7L3,811
ATXN7L3B,812
AUH,813
AUNIP,814
AUP1,815
AURKA,816
AURKAIP1,817
AURKC,818
AUTS2,819
AVIL,820
AVL9,821
AVPR1A,822
AVPR2,823
AXIN1,824
AXIN2,825
AXL,826
AZI2,827
B2M,828
B3GALNT1,829
B3GALT4,830
B3GALT5,831
B3GALT6,832
B3GNT2,833
B3GNT4,834
B3GNT5,835
B3GNT7,836
B3GNT8,837
B3GNT9,838
B4GALNT1,839
B4GALNT3,840
B4GALNT4,841
B4GALT1,842
B4GALT2,843
B4GALT3,844
B4GALT4,845
B4GALT5,846
B4GALT6,847
B9D1,848
B9D2,849
BAALC,850
BABAM1,851
BACE1,852
BACE2,853
BACH1,854
BACH2,855
BAD,856
BAG2,857
BAG3,858
BAG5,859
BAG6,860
BAIAP2,861
BAIAP2L1,862
BAIAP3,863
BAK1,864
BAMBI,865
BANK1,866
BANP,867
BAP1,868
BARD1,869
BASP1,870
BATF,871
BAX,872
BAZ1A,873
BAZ1B,874
BAZ2A,875
BAZ2B,876
BBC3,877
BBOX1,878
BBS10,879
BBS12,880
BBS2,881
BBS4,882
BBS5,883
BBS7,884
BBS9,885
BBX,886
BCAM,887
BCAP29,888
BCAP31,889
BCAR1,890
BCAR3,891
BCAS1,892
BCAS3,893
BCAS4,894
BCAT2,895
BCCIP,896
BCDIN3D,897
BCHE,898
BCKDHA,899
BCKDHB,900
BCKDK,901
BCL11A,902
BCL11B,903
BCL2,904
BCL2A1,905
BCL2L11,906
BCL2L12,907
BCL2L2,908
BCL3,909
BCL6,910
BCL7A,911
BCL7B,912
BCL7C,913
BCL9,914
BCL9L,915
BCLAF1,916
BCO2,917
BCOR,918
BCORL1,919
BCR,920
BCS1L,921
BDH1,922
BDKRB1,923
BDKRB2,924
BDNF,925
BDP1,926
BEAN1,927
BEGAIN,928
BEND3,929
BEND5,930
BEND6,931
BEND7,932
BEST1,933
BET1,934
BEX1,935
BEX2,936
BFSP1,937
BGN,938
BHLHB9,939
BHLHE22,940
BHLHE41,941
BHMT,942
BHMT2,943
BICC1,944
BICD1,945
BICD2,946
BID,947
BIN1,948
BIN2,949
BIN3,950
BIRC2,951
BIRC5,952
BIRC6,953
BIVM,954
BIVM-ERCC5,955
BLCAP,956
BLM,957
BLNK,958
BLOC1S2,959
BLOC1S3,960
BLOC1S5,961
BLOC1S5-TXNDC5,962
BLVRA,963
BLVRB,964
BMI1,965
BMP1,966
BMP2,967
BMP2K,968
BMP3,969
BMP6,970
BMP7,971
BMP8A,972
BMP8B,973
BMPR1A,974
BMPR1B,975
BMPR2,976
BMS1,977
BNC1,978
BNC2,979
BNIP1,980
BNIP2,981
BNIP3,982
BNIP3L,983
BNIPL,984
BOC,985
BOD1,986
BOD1L1,987
BOLA1,988
BOLA3,989
BOP1,990
BORA,991
BPGM,992
BPIFB1,993
BPIFB2,994
BPTF,995
BRAF,996
BRAP,997
BRAT1,998
BRCA1,999
BRCA2,1000
BRD1,1001
BRD2,1002
BRD3,1003
BRD4,1004
BRD7,1005
BRD8,1006
BRD9,1007
BRF1,1008
BRF2,1009
