,0
0,1
1,10
2,52
3,56
4,57
5,59
6,60
7,61
8,63
9,65
10,70
11,72
12,73
13,77
14,80
15,84
16,85
17,87
18,101
19,103
20,107
21,110
22,123
23,143
24,162
25,167
26,172
27,173
28,174
29,175
30,176
31,177
32,186
33,195
34,220
35,221
36,230
37,254
38,265
39,276
40,286
41,291
42,292
43,293
44,294
45,308
46,337
47,339
48,341
49,356
50,360
51,363
52,368
53,412
54,418
55,453
56,454
57,462
58,464
59,478
60,486
61,487
62,497
63,498
64,499
65,500
66,504
67,505
68,507
69,509
70,510
71,522
72,523
73,527
74,529
75,530
76,532
77,534
78,536
79,537
80,538
81,539
82,540
83,541
84,543
85,544
86,549
87,550
88,563
89,564
90,565
91,567
92,584
93,621
94,626
95,628
96,633
97,644
98,652
99,696
100,710
101,735
102,737
103,745
104,747
105,748
106,749
107,750
108,752
109,760
110,770
111,774
112,775
113,776
114,780
115,783
116,792
117,794
118,798
119,799
120,805
121,806
122,807
123,822
124,824
125,841
126,862
127,863
128,865
129,867
130,869
131,872
132,873
133,878
134,880
135,892
136,907
137,910
138,921
139,926
140,934
141,952
142,964
143,971
144,974
145,977
146,982
147,983
148,985
149,988
150,999
151,1000
152,1002
153,1006
154,1021
155,1029
156,1038
157,1085
158,1093
159,1094
160,1095
161,1096
162,1102
163,1107
164,1121
165,1122
166,1138
167,1144
168,1146
169,1147
170,1148
171,1157
172,1179
173,1180
174,1190
175,1193
176,1204
177,1227
178,1239
179,1251
180,1259
181,1269
182,1273
183,1275
184,1276
185,1277
186,1279
187,1281
188,1285
189,1286
190,1296
191,1301
192,1305
193,1306
194,1307
195,1308
196,1309
197,1310
198,1311
199,1313
200,1314
201,1316
202,1317
203,1318
204,1319
205,1322
206,1323
207,1325
208,1326
209,1327
210,1328
211,1329
212,1332
213,1333
214,1334
215,1335
216,1336
217,1337
218,1339
219,1340
220,1341
221,1342
222,1343
223,1344
224,1345
225,1346
226,1349
227,1351
228,1352
229,1353
230,1354
231,1365
232,1366
233,1368
234,1373
235,1374
236,1375
237,1376
238,1378
239,1379
240,1380
241,1381
242,1382
243,1383
244,1384
245,1385
246,1386
247,1388
248,1389
249,1390
250,1391
251,1392
252,1393
253,1395
254,1396
255,1397
256,1398
257,1399
258,1400
259,1405
260,1406
261,1407
262,1408
263,1409
264,1410
265,1411
266,1414
267,1415
268,1416
269,1417
270,1419
271,1425
272,1426
273,1427
274,1428
275,1433
276,1434
277,1435
278,1436
279,1437
280,1438
281,1439
282,1440
283,1445
284,1446
285,1447
286,1450
287,1453
288,1455
289,1456
290,1457
291,1458
292,1459
293,1460
294,1461
295,1462
296,1463
297,1466
298,1467
299,1471
300,1479
301,1484
302,1506
303,1507
304,1517
305,1518
306,1525
307,1538
308,1544
309,1558
310,1566
311,1571
312,1587
313,1603
314,1624
315,1629
316,1638
317,1640
318,1649
319,1651
320,1654
321,1660
322,1661
323,1669
324,1670
325,1671
326,1672
327,1673
328,1674
329,1675
330,1676
331,1677
332,1678
333,1679
334,1680
335,1681
336,1682
337,1684
338,1685
339,1686
340,1688
341,1689
342,1692
343,1693
344,1698
345,1702
346,1703
347,1705
348,1708
349,1710
350,1711
351,1712
352,1713
353,1714
354,1715
355,1716
356,1719
357,1721
358,1722
359,1727
360,1728
361,1729
362,1731
363,1732
364,1733
365,1734
366,1753
367,1755
368,1759
369,1760
370,1762
371,1778
372,1780
373,1788
374,1803
375,1804
376,1813
377,1814
378,1815
379,1823
380,1837
381,1847
382,1848
383,1863
384,1865
385,1891
386,1893
387,1905
388,1923
389,1924
390,1929
391,1952
392,1955
393,1994
394,1999
395,2004
396,2007
397,2011
398,2012
399,2015
400,2032
401,2036
402,2038
403,2045
404,2047
405,2049
406,2054
407,2061
408,2071
409,2072
410,2074
411,2088
412,2099
413,2102
414,2105
415,2114
416,2116
417,2119
418,2132
419,2145
420,2155
421,2164
422,2169
423,2173
424,2192
425,2218
426,2227
427,2252
428,2256
429,2261
430,2264
431,2265
432,2276
433,2280
434,2286
435,2287
436,2295
437,2330
438,2336
439,2347
440,2353
441,2355
442,2368
443,2377
444,2378
445,2394
446,2463
447,2471
448,2478
449,2479
450,2489
451,2490
452,2492
453,2504
454,2547
455,2552
456,2553
457,2554
458,2557
459,2563
460,2574
461,2587
462,2591
463,2595
464,2617
465,2618
466,2647
467,2651
468,2652
469,2653
470,2664
471,2668
472,2669
473,2679
474,2680
475,2693
476,2714
477,2728
478,2730
479,2733
480,2756
481,2759
482,2760
483,2762
484,2765
485,2767
486,2770
487,2772
488,2784
489,2818
490,2838
491,2844
492,2847
493,2850
494,2851
495,2855
496,2861
497,2863
498,2865
499,2866
500,2871
501,2873
502,2874
503,2877
504,2890
505,2901
506,2906
507,2914
508,2920
509,2928
510,2929
511,2937
512,2946
513,2965
514,2966
515,2975
516,2976
517,2981
518,2984
519,2985
520,2988
521,2991
522,2992
523,3032
524,3041
525,3046
526,3050
527,3055
528,3073
529,3080
530,3098
531,3109
532,3115
533,3131
534,3134
535,3150
536,3152
537,3154
538,3157
539,3159
540,3161
541,3164
542,3168
543,3169
544,3176
545,3181
546,3191
547,3210
548,3237
549,3274
550,3280
551,3281
552,3291
553,3292
554,3293
555,3297
556,3302
557,3306
558,3319
559,3331
560,3332
561,3339
562,3347
563,3353
564,3366
565,3372
566,3376
567,3379
568,3382
569,3399
570,3400
571,3401
572,3402
573,3403
574,3404
575,3406
576,3409
577,3438
578,3452
579,3455
580,3458
581,3479
582,3483
583,3498
584,3499
585,3507
586,3511
587,3524
588,3541
589,3543
590,3544
591,3546
592,3547
593,3552
594,3554
595,3567
596,3571
597,3576
598,3595
599,3611
600,3667
601,3668
602,3678
603,3679
604,3680
605,3682
606,3687
607,3691
608,3708
609,3718
610,3720
611,3726
612,3729
613,3732
614,3734
615,3740
616,3745
617,3797
618,3798
619,3802
620,3803
621,3804
622,3806
623,3812
624,3813
625,3815
626,3819
627,3822
628,3826
629,3828
630,3829
631,3833
632,3834
633,3835
634,3836
635,3837
636,3839
637,3841
638,3842
639,3844
640,3845
641,3850
642,3851
643,3852
644,3853
645,3854
646,3855
647,3856
648,3857
649,3858
650,3859
651,3860
652,3861
653,3862
654,3864
655,3865
656,3866
657,3870
658,3871
659,3872
660,3873
661,3874
662,3875
663,3876
664,3878
665,3879
666,3880
667,3881
668,3882
669,3883
670,3889
671,3890
672,3892
673,3898
674,3900
675,3901
676,3902
677,3903
678,3904
679,3905
680,3907
681,3908
682,3909
683,3912
684,3916
685,3917
686,3919
687,3929
688,3938
689,3939
690,3952
691,3953
692,3954
693,3956
694,3963
695,3967
696,4008
697,4023
698,4038
699,4039
700,4041
701,4042
702,4044
703,4048
704,4083
705,4084
706,4086
707,4097
708,4108
709,4112
710,4115
711,4117
712,4151
713,4152
714,4154
715,4191
716,4198
717,4204
718,4219
719,4223
720,4239
721,4241
722,4250
723,4262
724,4297
725,4300
726,4311
727,4312
728,4354
729,4356
730,4357
731,4392
732,4401
733,4430
734,4431
735,4438
736,4452
737,4453
738,4467
739,4468
740,4473
741,4478
742,4493
743,4498
744,4499
745,4500
746,4516
747,4518
748,4519
749,4527
750,4531
751,4540
752,4577
753,4605
754,4611
755,4620
756,4624
757,4633
758,4644
759,4652
760,4653
761,4654
762,4657
763,4661
764,4662
765,4665
766,4670
767,4672
768,4676
769,4695
770,4713
771,4724
772,4725
773,4726
774,4799
775,4808
776,4810
777,4817
778,4819
779,4820
780,4823
781,4848
782,4852
783,4857
784,4885
785,4887
786,4892
787,4894
788,4895
789,4905
790,4907
791,4908
792,4911
793,4913
794,4914
795,4915
796,4916
797,4918
798,4921
799,4923
800,4938
801,4940
802,4942
803,4949
804,4963
805,4964
806,4975
807,4983
808,5001
809,5016
810,5017
811,5019
812,5021
813,5030
814,5037
815,5038
816,5039
817,5049
818,5051
819,5053
820,5054
821,5056
822,5058
823,5059
824,5061
825,5065
826,5066
827,5069
828,5116
829,5117
830,5141
831,5144
832,5146
833,5150
834,5156
835,5160
836,5161
837,5166
838,5167
839,5174
840,5181
841,5190
842,5200
843,5214
844,5215
845,5219
846,5225
847,5243
848,5247
849,5251
850,5253
851,5256
852,5260
853,5283
854,5313
855,5318
856,5326
857,5334
858,5337
859,5365
860,5371
861,5392
862,5395
863,5407
864,5421
865,5422
866,5423
867,5426
868,5453
869,5454
870,5455
871,5456
872,5460
873,5464
874,5466
875,5467
876,5469
877,5470
878,5474
879,5475
880,5478
881,5482
882,5499
883,5500
884,5514
885,5518
886,5521
887,5571
888,5572
889,5573
890,5581
891,5582
892,5593
893,5598
894,5600
895,5601
896,5624
897,5635
898,5637
899,5638
900,5639
901,5661
902,5701
903,5709
904,5713
905,5714
906,5737
907,5742
908,5744
909,5745
910,5753
911,5754
912,5755
913,5758
914,5762
915,5764
916,5765
917,5766
918,5768
919,5769
920,5786
921,5823
922,5837
923,5843
924,5844
925,5848
926,5853
927,5858
928,5860
929,5861
930,5862
931,5864
932,5865
933,5866
934,5868
935,5883
936,5889
937,5893
938,5901
939,5913
940,5914
941,5915
942,5916
943,5919
944,5920
945,5944
946,5945
947,5947
948,5949
949,5950
950,5957
951,5959
952,5968
953,5982
954,5987
955,5990
956,5991
957,5995
958,5996
959,6007
960,6008
961,6014
962,6023
963,6037
964,6039
965,6043
966,6051
967,6057
968,6058
969,6067
970,6068
971,6077
972,6094
973,6095
974,6104
975,6110
976,6111
977,6125
978,6129
979,6134
980,6137
981,6148
982,6150
983,6156
984,6157
985,6158
986,6170
987,6172
988,6173
989,6183
990,6184
991,6185
992,6197
993,6201
994,6206
995,6208
996,6209
997,6211
998,6212
999,6213
1000,6214
1001,6217
1002,6218
1003,6220
1004,6222
1005,6228
1006,6230
1007,6231
1008,6232
1009,6233
1010,6234
1011,6235
1012,6236
1013,6237
1014,6238
1015,6240
1016,6241
1017,6243
1018,6244
1019,6245
1020,6246
1021,6259
1022,6262
1023,6263
1024,6273
1025,6278
1026,6296
1027,6316
1028,6323
1029,6327
1030,6330
1031,6331
1032,6332
1033,6341
1034,6342
1035,6373
1036,6375
1037,6378
1038,6380
1039,6396
1040,6399
1041,6401
1042,6402
1043,6403
1044,6409
1045,6412
1046,6427
1047,6434
1048,6445
1049,6448
1050,6451
1051,6453
1052,6455
1053,6456
1054,6459
1055,6468
1056,6475
1057,6494
1058,6509
1059,6511
1060,6512
1061,6514
1062,6520
1063,6562
1064,6569
1065,6590
1066,6599
1067,6601
1068,6605
1069,6619
1070,6637
1071,6639
1072,6640
1073,6646
1074,6647
1075,6648
1076,6649
