,0
0,0
1,3
2,4
3,5
4,6
5,7
6,8
7,9
8,11
9,12
10,13
11,14
12,15
13,16
14,17
15,18
16,19
17,20
18,21
19,22
20,23
21,24
22,25
23,26
24,27
25,28
26,29
27,30
28,31
29,32
30,33
31,34
32,35
33,36
34,37
35,38
36,39
37,40
38,41
39,42
40,43
41,44
42,45
43,46
44,47
45,48
46,49
47,50
48,52
49,53
50,54
51,57
52,62
53,64
54,66
55,67
56,68
57,69
58,70
59,72
60,76
61,77
62,82
63,83
64,84
65,87
66,89
67,90
68,91
69,92
70,93
71,94
72,95
73,96
74,97
75,98
76,99
77,100
78,101
79,103
80,105
81,106
82,107
83,109
84,110
85,112
86,113
87,114
88,115
89,116
90,117
91,118
92,119
93,121
94,122
95,123
96,124
97,125
98,126
99,127
100,128
101,129
102,130
103,131
104,132
105,133
106,134
107,135
108,136
109,137
110,138
111,139
112,141
113,142
114,143
115,145
116,146
117,147
118,148
119,149
120,150
121,151
122,152
123,153
124,154
125,155
126,156
127,157
128,158
129,159
130,161
131,162
132,163
133,165
134,166
135,167
136,168
137,177
138,179
139,180
140,181
141,182
142,183
143,185
144,186
145,187
146,188
147,189
148,190
149,191
150,192
151,194
152,195
153,196
154,197
155,198
156,199
157,200
158,201
159,202
160,203
161,204
162,205
163,206
164,207
165,208
166,209
167,210
168,211
169,212
170,213
171,214
172,215
173,216
174,219
175,220
176,221
177,222
178,223
179,224
180,225
181,226
182,229
183,230
184,231
185,232
186,233
187,234
188,235
189,236
190,237
191,238
192,239
193,240
194,241
195,242
196,243
197,244
198,245
199,246
200,248
201,249
202,252
203,253
204,254
205,255
206,256
207,257
208,258
209,259
210,260
211,261
212,263
213,264
214,265
215,266
216,267
217,268
218,269
219,270
220,271
221,272
222,274
223,275
224,276
225,280
226,281
227,283
228,284
229,285
230,286
231,291
232,292
233,293
234,294
235,295
236,296
237,297
238,298
239,299
240,300
241,301
242,302
243,303
244,305
245,306
246,307
247,308
248,309
249,310
250,311
251,312
252,313
253,314
254,315
255,316
256,317
257,319
258,320
259,321
260,322
261,323
262,324
263,325
264,326
265,327
266,328
267,329
268,330
269,331
270,333
271,335
272,337
273,338
274,339
275,340
276,342
277,343
278,344
279,345
280,346
281,347
282,348
283,349
284,350
285,351
286,352
287,354
288,355
289,356
290,358
291,359
292,361
293,362
294,363
295,364
296,365
297,366
298,369
299,370
300,371
301,372
302,373
303,374
304,375
305,376
306,377
307,378
308,380
309,383
310,384
311,385
312,386
313,387
314,388
315,389
316,390
317,391
318,392
319,393
320,394
321,395
322,396
323,397
324,398
325,399
326,400
327,401
328,402
