,0
A1BG,0
A2M,1
A2ML1,2
A4GALT,3
AAAS,4
AACS,5
AADAT,6
AAGAB,7
AAK1,8
AAMDC,9
AAR2,10
AARD,11
AARS2,12
AASDH,13
AASDHPPT,14
AASS,15
AATF,16
AATK,17
ABAT,18
ABCA1,19
ABCA10,20
ABCA12,21
ABCA2,22
ABCA3,23
ABCA4,24
ABCA5,25
ABCA6,26
ABCA7,27
ABCA8,28
ABCA9,29
ABCB1,30
ABCB10,31
ABCB4,32
ABCB6,33
ABCB7,34
ABCB8,35
ABCB9,36
ABCC1,37
ABCC10,38
ABCC11,39
ABCC12,40
ABCC2,41
ABCC3,42
ABCC4,43
ABCC5,44
ABCC6,45
ABCC8,46
ABCC9,47
ABCD1,48
ABCD3,49
ABCD4,50
ABCE1,51
ABCF1,52
ABCF2,53
ABCF3,54
ABCG1,55
ABCG2,56
ABHD1,57
ABHD10,58
ABHD11,59
ABHD12,60
ABHD13,61
ABHD14A-ACY1,62
ABHD14B,63
ABHD15,64
ABHD16A,65
ABHD16B,66
ABHD17A,67
ABHD17B,68
ABHD17C,69
ABHD2,70
ABHD3,71
ABHD4,72
ABHD5,73
ABHD6,74
ABHD8,75
ABI1,76
ABI2,77
ABI3,78
ABI3BP,79
ABL1,80
ABL2,81
ABLIM1,82
ABLIM2,83
ABLIM3,84
ABR,85
ABT1,86
ABTB1,87
ABTB2,88
ACAA2,89
ACACA,90
ACACB,91
ACAD10,92
ACAD11,93
ACAD8,94
ACAD9,95
ACADL,96
ACADM,97
ACADS,98
ACADSB,99
ACADVL,100
ACAN,101
ACAP1,102
ACAP2,103
ACAP3,104
ACAT1,105
ACAT2,106
ACBD3,107
ACBD4,108
ACBD5,109
ACBD6,110
ACBD7,111
ACCS,112
ACD,113
ACE,114
ACE2,115
ACER2,116
ACER3,117
ACHE,118
ACIN1,119
ACKR2,120
ACKR3,121
ACKR4,122
ACLY,123
ACMSD,124
ACO1,125
ACO2,126
ACOT1,127
ACOT11,128
ACOT13,129
ACOT2,130
ACOT4,131
ACOT7,132
ACOT8,133
ACOT9,134
ACOX1,135
ACOX2,136
ACOX3,137
ACP1,138
ACP2,139
ACP5,140
ACP6,141
ACRBP,142
ACSF2,143
ACSF3,144
ACSL1,145
ACSL3,146
ACSL4,147
ACSL5,148
ACSL6,149
ACSM1,150
ACSM3,151
ACSM5,152
ACSS1,153
ACSS2,154
ACSS3,155
ACTA1,156
ACTA2,157
ACTB,158
ACTG1,159
ACTG2,160
ACTL10,161
ACTL6A,162
ACTL8,163
ACTN1,164
ACTN2,165
ACTN4,166
ACTR10,167
ACTR1A,168
ACTR1B,169
ACTR2,170
ACTR3,171
ACTR3B,172
ACTR5,173
ACTR6,174
ACTR8,175
ACTRT3,176
ACVR1,177
ACVR1B,178
ACVR1C,179
ACVR2A,180
ACVR2B,181
ACVRL1,182
ACY3,183
ACYP1,184
ACYP2,185
ADA,186
ADAL,187
ADAM10,188
ADAM12,189
ADAM15,190
ADAM17,191
ADAM19,192
ADAM22,193
ADAM23,194
ADAM28,195
ADAM32,196
ADAM33,197
ADAM8,198
ADAM9,199
ADAMDEC1,200
ADAMTS1,201
ADAMTS10,202
ADAMTS12,203
ADAMTS13,204
ADAMTS14,205
ADAMTS15,206
ADAMTS16,207
ADAMTS17,208
ADAMTS18,209
ADAMTS19,210
ADAMTS2,211
ADAMTS3,212
ADAMTS4,213
ADAMTS5,214
ADAMTS6,215
ADAMTS7,216
ADAMTS8,217
ADAMTS9,218
ADAMTSL1,219
ADAMTSL2,220
ADAMTSL3,221
ADAMTSL4,222
ADAMTSL5,223
ADAP1,224
ADAP2,225
ADAR,226
ADARB1,227
ADARB2,228
ADAT1,229
ADAT2,230
ADCK1,231
ADCK2,232
ADCK5,233
ADCY1,234
ADCY2,235
ADCY3,236
ADCY4,237
ADCY5,238
ADCY6,239
ADCY7,240
ADCY9,241
ADCYAP1R1,242
ADD1,243
ADD2,244
ADD3,245
ADH1B,246
ADH5,247
ADHFE1,248
ADIPOQ,249
ADIPOR2,250
ADIRF,251
ADK,252
ADM,253
ADM2,254
ADM5,255
ADNP,256
ADNP2,257
ADORA1,258
ADORA2A,259
ADORA2B,260
ADORA3,261
ADPGK,262
ADPRH,263
ADPRHL1,264
ADPRM,265
ADRA1B,266
ADRA2A,267
ADRA2B,268
ADRA2C,269
ADRB1,270
ADRB2,271
ADRM1,272
ADSL,273
ADTRP,274
AEBP1,275
AEBP2,276
AEN,277
AFAP1,278
AFAP1L1,279
AFAP1L2,280
AFF1,281
AFF3,282
AFF4,283
AFG3L2,284
AFMID,285
AFP,286
AFTPH,287
AGA,288
AGAP1,289
AGAP2,290
AGAP3,291
AGAP4,292
AGAP5,293
AGAP6,294
AGAP9,295
AGBL2,296
AGBL3,297
AGBL4,298
AGBL5,299
AGFG1,300
AGFG2,301
AGGF1,302
AGK,303
AGL,304
AGMAT,305
AGO1,306
AGO2,307
AGO3,308
AGO4,309
AGPAT1,310
AGPAT3,311
AGPAT4,312
AGPAT5,313
AGPS,314
AGR2,315
AGRN,316
AGT,317
AGTPBP1,318
AGTR1,319
AGTRAP,320
AHCTF1,321
AHCY,322
AHCYL1,323
AHCYL2,324
AHDC1,325
AHI1,326
AHNAK,327
AHNAK2,328
AHR,329
AHRR,330
AHSA1,331
AIDA,332
AIF1,333
AIFM1,334
AIFM2,335
AIFM3,336
AIG1,337
AIM2,338
AIMP1,339
AIMP2,340
AIP,341
AJUBA,342
AK1,343
AK2,344
AK3,345
AK4,346
AK5,347
AK7,348
AK8,349
AK9,350
AKAP1,351
AKAP10,352
AKAP11,353
AKAP12,354
AKAP13,355
AKAP17A,356
AKAP3,357
AKAP5,358
AKAP6,359
AKAP7,360
AKAP8,361
AKAP8L,362
AKAP9,363
AKIP1,364
AKIRIN1,365
AKIRIN2,366
AKNA,367
AKR1A1,368
AKR1B1,369
AKR1B10,370
AKR1B15,371
AKR1C1,372
AKR1C2,373
AKR1C3,374
AKR1E2,375
AKR7A2,376
AKR7A3,377
AKT1,378
AKT1S1,379
AKT2,380
AKT3,381
AKTIP,382
ALAD,383
ALAS1,384
ALB,385
ALCAM,386
ALDH16A1,387
ALDH18A1,388
ALDH1A1,389
ALDH1A2,390
ALDH1A3,391
ALDH1B1,392
ALDH1L1,393
ALDH1L2,394
ALDH2,395
ALDH3A1,396
ALDH3A2,397
ALDH3B1,398
ALDH3B2,399
ALDH5A1,400
ALDH6A1,401
ALDH7A1,402
ALDH8A1,403
ALDH9A1,404
ALDOA,405
ALDOC,406
ALG1,407
ALG10,408
ALG10B,409
ALG11,410
ALG12,411
ALG13,412
ALG14,413
ALG1L,414
ALG2,415
ALG3,416
ALG5,417
ALG6,418
ALG8,419
ALG9,420
ALKBH1,421
ALKBH2,422
ALKBH3,423
ALKBH4,424
ALKBH5,425
ALKBH7,426
ALKBH8,427
ALMS1,428
ALOX15,429
ALOX15B,430
ALOX5,431
ALOX5AP,432
ALOXE3,433
ALPK1,434
ALPK2,435
ALPK3,436
ALPL,437
ALS2,438
ALS2CL,439
ALX4,440
ALYREF,441
AMACR,442
AMBP,443
AMBRA1,444
AMD1,445
AMDHD1,446
AMDHD2,447
AMER1,448
AMH,449
AMIGO1,450
AMIGO2,451
AMIGO3,452
AMMECR1,453
AMMECR1L,454
AMN1,455
AMOT,456
AMOTL1,457
AMOTL2,458
AMPD2,459
AMPD3,460
AMPH,461
AMT,462
AMY1C,463
AMY2B,464
AMZ1,465
AMZ2,466
ANAPC1,467
ANAPC10,468
ANAPC11,469
ANAPC2,470
ANAPC4,471
ANAPC5,472
ANAPC7,473
ANGEL1,474
ANGEL2,475
ANGPT1,476
ANGPT2,477
ANGPTL1,478
ANGPTL2,479
ANGPTL4,480
ANK1,481
ANK2,482
ANK3,483
ANKAR,484
ANKDD1A,485
ANKEF1,486
ANKFY1,487
ANKH,488
ANKHD1,489
ANKHD1-EIF4EBP3,490
ANKIB1,491
ANKK1,492
ANKLE2,493
ANKMY1,494
ANKMY2,495
ANKRA2,496
ANKRD1,497
ANKRD10,498
ANKRD11,499
ANKRD12,500
ANKRD13A,501
ANKRD13B,502
ANKRD13C,503
ANKRD13D,504
ANKRD16,505
ANKRD17,506
ANKRD18A,507
ANKRD24,508
ANKRD26,509
ANKRD27,510
ANKRD28,511
ANKRD29,512
ANKRD30A,513
ANKRD30B,514
ANKRD34A,515
ANKRD35,516
ANKRD36,517
ANKRD36C,518
ANKRD37,519
ANKRD39,520
ANKRD40,521
ANKRD42,522
ANKRD44,523
ANKRD45,524
ANKRD46,525
ANKRD49,526
ANKRD50,527
ANKRD52,528
ANKRD53,529
ANKRD54,530
ANKRD6,531
ANKRD65,532
ANKS1A,533
ANKS1B,534
ANKS3,535
ANKS6,536
ANKZF1,537
ANLN,538
ANO1,539
ANO10,540
ANO2,541
ANO3,542
ANO5,543
ANO6,544
ANO7,545
ANO8,546
ANO9,547
ANP32A,548
ANP32B,549
ANP32E,550
ANPEP,551
ANTXR1,552
ANTXR2,553
ANXA1,554
ANXA11,555
ANXA2R,556
ANXA3,557
ANXA4,558
ANXA5,559
ANXA6,560
ANXA7,561
ANXA8,562
ANXA8L1,563
ANXA9,564
AOAH,565
AOC1,566
AOC3,567
AOX1,568
AP1AR,569
AP1B1,570
AP1G1,571
AP1G2,572
AP1M1,573
AP1M2,574
AP1S1,575
AP1S2,576
AP1S3,577
AP2A1,578
AP2A2,579
AP2B1,580
AP2M1,581
AP2S1,582
AP3B1,583
AP3B2,584
AP3D1,585
AP3M1,586
AP3M2,587
AP3S1,588
AP4B1,589
AP4E1,590
AP4M1,591
AP4S1,592
AP5B1,593
AP5M1,594
AP5S1,595
AP5Z1,596
APAF1,597
APBA1,598
APBA2,599
APBA3,600
APBB1,601
APBB1IP,602
APBB2,603
APBB3,604
APC,605
APCDD1,606
APCDD1L,607
APEH,608
APEX1,609
APEX2,610
APH1A,611
APH1B,612
API5,613
APLF,614
APLN,615
APLNR,616
APLP1,617
APLP2,618
APMAP,619
APOA1,620
APOBEC3A,621
APOBEC3B,622
APOBEC3C,623
APOBEC3D,624
APOBEC3F,625
APOBEC3G,626
APOBR,627
APOC1,628
APOC2,629
APOD,630
APOF,631
APOL1,632
APOL2,633
APOL3,634
APOL4,635
APOL6,636
APOLD1,637
APOO,638
APOOL,639
APP,640
APPBP2,641
APPL1,642
APPL2,643
APRT,644
APTX,645
AQP1,646
AQP11,647
AQP3,648
AQP5,649
AQP7,650
AQR,651
AR,652
ARAF,653
ARAP1,654
ARAP2,655
ARAP3,656
ARC,657
ARCN1,658
AREG,659
AREL1,660
ARF1,661
ARF3,662
ARF4,663
ARF5,664
ARF6,665
ARFGAP1,666
ARFGAP2,667
ARFGAP3,668
ARFGEF1,669
ARFGEF2,670
ARFIP1,671
ARFIP2,672
ARFRP1,673
ARG2,674
ARGLU1,675
ARHGAP1,676
ARHGAP10,677
ARHGAP11A,678
ARHGAP11B,679
ARHGAP12,680
ARHGAP15,681
ARHGAP17,682
ARHGAP18,683
ARHGAP19,684
ARHGAP20,685
ARHGAP21,686
ARHGAP22,687
ARHGAP23,688
ARHGAP24,689
ARHGAP25,690
ARHGAP26,691
ARHGAP27,692
ARHGAP28,693
ARHGAP29,694
ARHGAP30,695
ARHGAP31,696
ARHGAP32,697
ARHGAP33,698
ARHGAP35,699
ARHGAP36,700
ARHGAP39,701
ARHGAP4,702
ARHGAP42,703
ARHGAP44,704
ARHGAP5,705
ARHGAP6,706
ARHGAP9,707
ARHGDIA,708
ARHGDIB,709
ARHGEF1,710
ARHGEF10,711
ARHGEF10L,712
ARHGEF11,713
ARHGEF12,714
ARHGEF15,715
ARHGEF16,716
ARHGEF17,717
ARHGEF18,718
ARHGEF19,719
ARHGEF2,720
ARHGEF25,721
ARHGEF26,722
ARHGEF28,723
ARHGEF3,724
ARHGEF33,725
ARHGEF35,726
ARHGEF37,727
ARHGEF38,728
ARHGEF39,729
ARHGEF4,730
ARHGEF40,731
ARHGEF5,732
ARHGEF6,733
ARHGEF7,734
ARHGEF9,735
ARID1A,736
ARID1B,737
ARID2,738
ARID3A,739
ARID3B,740
ARID4A,741
ARID4B,742
ARID5A,743
ARID5B,744
ARIH1,745
ARIH2,746
ARIH2OS,747
ARL1,748
ARL10,749
ARL11,750
ARL13B,751
ARL14EP,752
ARL15,753
ARL16,754
ARL2,755
ARL2BP,756
ARL3,757
ARL4A,758
ARL5A,759
ARL5B,760
ARL6,761
ARL6IP1,762
ARL6IP4,763
ARL6IP5,764
ARL6IP6,765
ARL8A,766
ARL8B,767
ARL9,768
ARMC1,769
ARMC10,770
ARMC12,771
ARMC2,772
ARMC3,773
ARMC5,774
ARMC6,775
ARMC7,776
ARMC8,777
ARMC9,778
ARMCX1,779
ARMCX2,780
ARMCX3,781
ARMCX5,782
ARMCX6,783
ARNT,784
ARNT2,785
ARNTL,786
ARNTL2,787
ARPC1A,788
ARPC1B,789
ARPC2,790
ARPC4,791
ARPC5,792
ARPC5L,793
ARPP19,794
ARRB1,795
ARRB2,796
ARRDC1,797
ARRDC2,798
ARRDC3,799
ARRDC4,800
ARSA,801
ARSB,802
ARSD,803
ARSG,804
ARSI,805
ARSJ,806
ARSK,807
ART3,808
ART5,809
ARTN,810
ARV1,811
ARVCF,812
ARX,813
AS3MT,814
ASAH1,815
ASAH2,816
ASAH2B,817
ASAP1,818
ASAP2,819
ASAP3,820
ASB1,821
ASB13,822
ASB16,823
ASB2,824
ASB6,825
ASB7,826
ASB8,827
ASB9,828
ASCC1,829
ASCC2,830
ASCC3,831
ASCL1,832
ASF1A,833
ASF1B,834
ASH1L,835
ASH2L,836
ASIC1,837
ASIC2,838
ASIC3,839
ASL,840
ASMTL,841
ASNS,842
ASNSD1,843
ASPA,844
ASPH,845
ASPHD1,846
ASPHD2,847
ASPM,848
ASPN,849
ASPRV1,850
ASPSCR1,851
ASRGL1,852
ASS1,853
ASTE1,854
ASTN2,855
ASXL1,856
ASXL2,857
ATAD1,858
ATAD2,859
ATAD2B,860
ATAD3A,861
ATAD3B,862
ATAD3C,863
ATAD5,864
ATAT1,865
ATE1,866
ATF1,867
ATF2,868
ATF3,869
ATF4,870
ATF5,871
ATF6,872
ATF6B,873
ATF7,874
ATF7IP,875
ATF7IP2,876
ATG12,877
ATG13,878
ATG14,879
ATG16L1,880
ATG16L2,881
ATG2A,882
ATG2B,883
ATG3,884
ATG4A,885
ATG4B,886
ATG4C,887
ATG4D,888
ATG5,889
ATG7,890
ATG9A,891
ATG9B,892
ATIC,893
ATL1,894
ATL2,895
ATL3,896
ATM,897
ATMIN,898
ATN1,899
ATOH8,900
ATP10A,901
ATP10D,902
ATP11A,903
ATP11B,904
ATP11C,905
ATP13A1,906
ATP13A2,907
ATP13A3,908
ATP13A4,909
ATP13A5,910
ATP1A1,911
ATP1A2,912
ATP1A3,913
ATP1A4,914
ATP1B1,915
ATP1B2,916
ATP1B3,917
ATP2A1,918
ATP2A2,919
ATP2A3,920
ATP2B1,921
ATP2B4,922
ATP2C1,923
ATP2C2,924
ATP6AP1,925
ATP6AP2,926
ATP6V0A1,927
ATP6V0A2,928
ATP6V0A4,929
ATP6V0B,930
ATP6V0C,931
ATP6V0D1,932
ATP6V0D2,933
ATP6V0E1,934
ATP6V0E2,935
ATP6V1A,936
ATP6V1B1,937
ATP6V1B2,938
ATP6V1C1,939
ATP6V1C2,940
ATP6V1D,941
ATP6V1E1,942
ATP6V1E2,943
ATP6V1G1,944
ATP6V1G2,945
ATP6V1H,946
ATP7A,947
ATP7B,948
ATP8A1,949
ATP8A2,950
ATP8B1,951
ATP8B2,952
ATP8B3,953
ATP8B4,954
ATP9A,955
ATP9B,956
ATPAF1,957
ATPAF2,958
ATR,959
ATRAID,960
ATRIP,961
ATRN,962
ATRNL1,963
ATRX,964
ATXN1,965
ATXN10,966
ATXN1L,967
ATXN2,968
ATXN2L,969
ATXN3,970
ATXN7,971
ATXN7L1,972
ATXN7L2,973
ATXN7L3,974
ATXN7L3B,975
AUH,976
AUNIP,977
AUP1,978
AURKA,979
AURKAIP1,980
AURKB,981
AURKC,982
AUTS2,983
AVEN,984
AVIL,985
AVL9,986
AVPI1,987
AVPR1A,988
AVPR2,989
AXIN1,990
AXIN2,991
AXL,992
AZGP1,993
AZI2,994
AZIN1,995
AZU1,996
B2M,997
B3GALNT1,998
B3GALNT2,999
B3GALT4,1000
