,0
0,0.0
1,1.0
2,2.0
3,3.0
4,4.0
5,5.0
6,6.0
7,7.0
8,8.0
9,9.0
10,10.0
11,11.0
12,12.0
13,13.0
14,15.0
15,17.0
16,18.0
17,19.0
18,20.0
19,21.0
20,22.0
21,24.0
22,26.0
23,27.0
24,28.0
25,30.0
26,33.0
27,34.0
28,35.0
29,36.0
30,37.0
31,38.0
32,39.0
33,40.0
34,41.0
35,42.0
36,43.0
37,44.0
38,45.0
39,46.0
40,47.0
41,48.0
42,49.0
43,50.0
44,51.0
45,52.0
46,53.0
47,54.0
48,55.0
49,56.0
50,57.0
51,59.0
52,60.0
53,61.0
54,64.0
55,66.0
56,68.0
57,70.0
58,75.0
59,76.0
60,78.0
61,79.0
62,80.0
63,82.0
64,83.0
65,84.0
66,85.0
67,86.0
68,87.0
69,89.0
70,90.0
71,92.0
72,93.0
73,94.0
74,95.0
75,96.0
76,97.0
77,98.0
78,99.0
79,100.0
80,101.0
81,102.0
82,103.0
83,104.0
84,105.0
85,106.0
86,107.0
87,109.0
88,110.0
89,111.0
90,113.0
91,114.0
92,117.0
93,118.0
94,119.0
95,122.0
96,123.0
97,124.0
98,125.0
99,126.0
100,127.0
101,128.0
102,129.0
103,130.0
104,131.0
105,132.0
106,133.0
107,134.0
108,135.0
109,136.0
110,137.0
111,138.0
112,139.0
113,140.0
114,141.0
115,142.0
116,143.0
117,144.0
118,145.0
119,147.0
120,148.0
121,149.0
122,150.0
123,151.0
124,152.0
125,153.0
126,156.0
127,157.0
128,158.0
129,159.0
130,160.0
131,161.0
132,162.0
133,163.0
134,164.0
135,165.0
136,167.0
137,168.0
138,169.0
139,170.0
140,171.0
141,172.0
142,173.0
143,174.0
144,175.0
145,176.0
146,177.0
147,178.0
148,179.0
149,180.0
150,181.0
151,183.0
152,184.0
153,185.0
154,186.0
155,187.0
156,188.0
157,189.0
158,190.0
159,192.0
160,193.0
161,195.0
162,196.0
163,197.0
164,198.0
165,199.0
166,202.0
167,203.0
168,204.0
169,205.0
170,206.0
171,208.0
172,210.0
173,211.0
174,216.0
175,217.0
176,218.0
177,220.0
178,223.0
179,224.0
180,226.0
181,227.0
182,228.0
183,229.0
184,230.0
185,231.0
186,232.0
187,236.0
188,237.0
189,238.0
190,239.0
191,240.0
192,241.0
193,242.0
194,243.0
195,244.0
196,245.0
197,246.0
198,247.0
199,248.0
200,249.0
201,250.0
202,251.0
203,252.0
204,253.0
205,256.0
206,257.0
207,258.0
208,260.0
209,261.0
210,264.0
211,266.0
212,267.0
213,268.0
214,269.0
215,270.0
216,271.0
217,275.0
218,276.0
219,277.0
220,278.0
221,279.0
222,280.0
223,281.0
224,282.0
225,283.0
226,285.0
227,286.0
228,287.0
229,289.0
230,290.0
231,291.0
232,292.0
233,293.0
234,294.0
235,295.0
236,296.0
237,297.0
238,298.0
239,299.0
240,304.0
241,305.0
242,306.0
243,307.0
244,309.0
245,310.0
246,311.0
247,312.0
248,313.0
249,314.0
250,315.0
251,316.0
252,317.0
253,318.0
254,319.0
255,320.0
256,321.0
257,322.0
258,323.0
259,324.0
260,325.0
261,326.0
262,327.0
263,328.0
264,329.0
265,330.0
266,331.0
267,332.0
268,333.0
269,335.0
270,336.0
271,337.0
272,338.0
273,339.0
274,340.0
275,341.0
276,343.0
277,344.0
278,345.0
279,346.0
280,347.0
281,348.0
282,349.0
283,350.0
284,351.0
285,352.0
286,353.0
287,354.0
288,355.0
289,356.0
290,357.0
291,358.0
292,359.0
293,361.0
294,362.0
295,363.0
296,364.0
297,365.0
298,366.0
299,367.0
300,368.0
301,369.0
302,370.0
303,371.0
304,372.0
305,373.0
306,374.0
307,375.0
308,376.0
309,377.0
310,378.0
311,381.0
312,382.0
313,383.0
314,384.0
315,386.0
316,387.0
317,388.0
318,389.0
319,390.0
320,391.0
321,392.0
322,393.0
323,394.0
324,395.0
325,396.0
326,397.0
327,398.0
328,399.0
329,400.0
330,401.0
331,402.0
332,403.0
333,404.0
334,405.0
335,406.0
336,407.0
337,408.0
338,410.0
339,411.0
340,412.0
341,413.0
342,414.0
343,415.0
344,416.0
345,417.0
346,418.0
347,419.0
348,420.0
349,421.0
350,422.0
351,423.0
352,424.0
353,426.0
354,427.0
355,428.0
356,430.0
357,431.0
358,432.0
359,433.0
360,434.0
361,435.0
362,436.0
363,438.0
364,439.0
365,440.0
366,442.0
367,443.0
368,444.0
369,445.0
370,447.0
371,450.0
372,451.0
373,452.0
374,453.0
375,455.0
376,456.0
377,457.0
378,458.0
379,459.0
380,460.0
381,462.0
382,463.0
383,464.0
384,465.0
385,466.0
386,467.0
387,472.0
388,473.0
389,474.0
390,475.0
391,477.0
392,478.0
393,479.0
394,483.0
395,484.0
396,485.0
397,486.0
398,487.0
399,488.0
400,489.0
401,490.0
402,491.0
403,492.0
404,494.0
405,495.0
406,496.0
407,497.0
408,499.0
409,501.0
410,502.0
411,503.0
412,504.0
413,508.0
414,510.0
415,514.0
416,516.0
417,517.0
418,518.0
419,519.0
420,520.0
421,521.0
422,522.0
423,524.0
424,527.0
425,530.0
426,532.0
427,533.0
428,534.0
429,536.0
430,540.0
431,546.0
432,547.0
433,551.0
434,554.0
435,555.0
436,557.0
437,558.0
438,559.0
439,560.0
440,561.0
441,562.0
442,563.0
443,564.0
444,565.0
445,566.0
446,569.0
447,570.0
448,571.0
449,572.0
450,573.0
451,574.0
452,575.0
453,576.0
454,577.0
455,578.0
456,579.0
457,581.0
458,582.0
459,583.0
460,584.0
461,585.0
462,588.0
463,590.0
464,591.0
465,592.0
466,593.0
467,594.0
468,595.0
469,596.0
470,597.0
471,598.0
472,599.0
473,600.0
474,601.0
475,602.0
476,603.0
477,604.0
478,605.0
479,606.0
480,607.0
481,608.0
482,609.0
483,610.0
484,611.0
485,612.0
486,613.0
487,614.0
488,615.0
489,616.0
490,617.0
491,618.0
492,620.0
493,622.0
494,623.0
495,624.0
496,625.0
497,626.0
498,627.0
499,628.0
500,629.0
501,631.0
502,633.0
503,634.0
504,635.0
505,636.0
506,637.0
507,638.0
508,639.0
509,640.0
510,641.0
511,642.0
512,643.0
513,644.0
514,645.0
515,646.0
516,647.0
517,648.0
518,649.0
519,650.0
520,655.0
521,656.0
522,659.0
523,660.0
524,661.0
525,662.0
526,663.0
527,664.0
528,668.0
529,669.0
530,670.0
531,671.0
532,672.0
533,673.0
534,674.0
535,675.0
536,676.0
537,677.0
538,678.0
539,680.0
540,681.0
541,682.0
542,683.0
543,684.0
544,685.0
545,686.0
546,687.0
547,688.0
548,689.0
549,690.0
550,691.0
551,692.0
552,693.0
553,694.0
554,695.0
555,696.0
556,697.0
557,698.0
558,699.0
559,700.0
560,701.0
561,702.0
562,703.0
563,704.0
564,705.0
565,706.0
566,707.0
567,708.0
568,709.0
569,710.0
570,711.0
571,712.0
572,713.0
573,714.0
574,715.0
575,716.0
576,717.0
577,718.0
578,719.0
579,720.0
580,721.0
581,722.0
582,725.0
583,726.0
584,728.0
585,729.0
586,730.0
587,731.0
588,732.0
589,733.0
590,734.0
591,735.0
592,737.0
593,738.0
594,739.0
595,740.0
596,741.0
597,742.0
598,743.0
599,744.0
600,745.0
601,746.0
602,747.0
603,748.0
604,749.0
605,750.0
606,751.0
607,752.0
608,753.0
609,754.0
610,755.0
611,759.0
612,760.0
613,761.0
614,762.0
615,763.0
616,764.0
617,765.0
618,766.0
619,767.0
620,768.0
621,769.0
622,770.0
623,771.0
624,772.0
625,773.0
626,774.0
627,775.0
628,776.0
629,778.0
630,780.0
631,783.0
632,784.0
633,785.0
634,786.0
635,787.0
636,788.0
637,789.0
638,791.0
639,792.0
