,0
0,72
1,76
2,77
3,117
4,141
5,170
6,171
7,173
8,266
9,268
10,326
11,361
12,362
13,366
14,431
15,471
16,597
17,614
18,645
19,646
20,682
21,690
22,696
23,703
24,704
25,706
26,729
27,730
28,736
29,777
30,841
31,846
32,847
33,857
34,865
35,884
36,888
37,905
38,947
39,952
40,958
41,977
42,978
43,983
44,1033
45,1034
46,1041
47,1042
48,1073
49,1074
50,1075
51,1076
52,1079
53,1080
54,1085
55,1086
56,1088
57,1091
58,1092
59,1093
60,1095
61,1096
62,1097
63,1134
64,1136
65,1142
66,1164
67,1188
68,1191
69,1192
70,1196
71,1197
72,1198
73,1206
74,1236
75,1237
76,1239
77,1249
78,1443
79,1446
80,1477
81,1494
82,1498
83,1526
84,1544
85,1550
86,1561
87,1562
88,1563
89,1564
90,1565
91,1575
92,1649
93,1702
94,1704
95,1705
96,1706
97,1707
98,1709
99,1730
100,1733
101,1769
102,1776
103,1778
104,1809
105,1811
106,1812
107,1813
108,1853
109,1862
110,1863
111,1866
112,1884
113,1895
114,1901
115,1909
116,1910
117,1912
118,1915
119,1928
120,1938
121,2040
122,2043
123,2044
124,2045
125,2048
126,2052
127,2099
128,2119
129,2121
130,2197
131,2223
132,2224
133,2249
134,2272
135,2293
136,2323
137,2331
138,2338
139,2427
140,2464
141,2466
142,2467
143,2470
144,2491
145,2498
146,2500
147,2515
148,2518
149,2523
150,2559
151,2573
152,2576
153,2603
154,2605
155,2613
156,2636
157,2662
158,2708
159,2724
160,2725
161,2768
162,2782
163,2786
164,2793
165,2796
166,2811
167,2818
168,2827
169,2840
170,2875
171,2918
172,2921
173,2923
174,2967
175,2998
176,3045
177,3048
178,3049
179,3119
180,3212
181,3249
182,3250
183,3256
184,3287
185,3293
186,3309
187,3329
188,3339
189,3363
190,3364
191,3370
192,3371
193,3414
194,3461
195,3477
196,3478
197,3496
198,3509
199,3510
200,3513
201,3514
202,3515
203,3516
204,3523
205,3555
206,3569
207,3573
208,3576
209,3577
210,3578
211,3590
212,3618
213,3619
214,3627
215,3628
216,3782
217,3784
218,3785
219,3786
220,3787
221,3788
222,3800
223,3818
224,3843
225,3885
226,3908
227,3913
228,3937
229,3939
230,3940
231,3941
232,3948
233,3964
234,3981
235,3986
236,3988
237,3990
238,3999
239,4039
240,4040
241,4057
242,4062
243,4063
244,4064
245,4065
246,4069
247,4103
248,4111
249,4118
250,4219
251,4222
252,4223
253,4353
254,4397
255,4399
256,4407
257,4408
258,4440
259,4455
260,4479
261,4487
262,4546
263,4576
264,4631
265,4761
266,4772
267,4777
268,4789
269,4798
270,4813
271,4833
272,4843
273,4844
274,4862
275,4870
276,4894
277,4899
278,4900
279,4907
280,4919
281,4920
282,4927
283,4928
284,4950
285,4989
286,4990
287,5026
288,5051
289,5054
290,5055
291,5109
292,5132
293,5134
294,5172
295,5189
296,5191
297,5235
298,5288
299,5293
300,5295
301,5341
302,5358
303,5381
304,5382
305,5383
306,5405
307,5414
308,5421
309,5422
310,5423
311,5507
312,5509
313,5510
314,5513
315,5514
316,5515
317,5516
318,5563
319,5582
320,5593
321,5607
322,5609
323,5669
324,5670
325,5676
326,5732
327,5779
328,5784
329,5788
330,5801
331,5823
332,5828
333,5836
334,5867
335,5918
336,5921
337,5922
338,5957
339,5971
340,6090
341,6109
342,6115
