,0
0,2
1,10
2,51
3,55
4,56
5,58
6,59
7,60
8,61
9,63
10,65
11,71
12,73
13,74
14,78
15,81
16,85
17,86
18,88
19,102
20,104
21,108
22,111
23,140
24,160
25,164
26,169
27,170
28,171
29,172
30,173
31,174
32,184
33,193
34,217
35,218
36,227
37,228
38,247
39,250
40,251
41,262
42,273
43,282
44,287
45,288
46,289
47,290
48,304
49,318
50,332
51,334
52,336
53,353
54,357
55,360
56,367
57,368
58,410
59,416
60,446
61,447
62,455
63,457
64,467
65,476
66,477
67,486
68,487
69,488
70,492
71,493
72,494
73,496
74,497
75,508
76,509
77,510
78,514
79,516
80,517
81,519
82,521
83,522
84,523
85,524
86,525
87,527
88,528
89,531
90,532
91,533
92,544
93,545
94,546
95,548
96,570
97,604
98,610
99,616
100,627
101,634
102,656
103,682
104,723
105,725
106,733
107,735
108,736
109,737
110,738
111,740
112,748
113,758
114,762
115,763
116,764
117,768
118,780
119,784
120,785
121,791
122,792
123,793
124,804
125,809
126,811
127,826
128,828
129,847
130,848
131,850
132,852
133,855
134,856
135,861
136,863
137,875
138,887
139,891
140,894
141,905
142,911
143,919
144,937
145,947
146,954
147,957
148,960
149,964
150,965
151,967
152,970
153,982
154,983
155,986
156,990
157,999
158,1007
159,1015
160,1024
161,1070
162,1078
163,1079
164,1080
165,1081
166,1087
167,1092
168,1106
169,1107
170,1108
171,1125
172,1129
173,1131
174,1133
175,1134
176,1135
177,1145
178,1168
179,1169
180,1175
181,1183
182,1193
183,1226
184,1237
185,1243
186,1253
187,1257
188,1259
189,1260
190,1261
191,1262
192,1264
193,1269
194,1270
195,1282
196,1287
197,1291
198,1292
199,1293
200,1294
201,1296
202,1299
203,1300
204,1302
205,1303
206,1304
207,1305
208,1307
209,1308
210,1309
211,1311
212,1312
213,1314
214,1315
215,1316
216,1317
217,1318
218,1319
219,1321
220,1323
221,1324
222,1325
223,1326
224,1327
225,1328
226,1329
227,1330
228,1331
229,1332
230,1333
231,1334
232,1336
233,1337
234,1338
235,1339
236,1340
237,1341
238,1342
239,1345
240,1347
241,1348
242,1349
243,1350
244,1351
245,1352
246,1353
247,1354
248,1364
249,1365
250,1369
251,1373
252,1375
253,1376
254,1377
255,1378
256,1379
257,1380
258,1381
259,1382
260,1383
261,1384
262,1385
263,1386
264,1387
265,1388
266,1389
267,1390
268,1392
269,1393
270,1394
271,1395
272,1396
273,1397
274,1399
275,1400
276,1401
277,1402
278,1403
279,1404
280,1405
281,1411
282,1413
283,1414
284,1415
285,1416
286,1418
287,1419
288,1420
289,1421
290,1422
291,1426
292,1427
293,1428
294,1429
295,1431
296,1437
297,1438
298,1439
299,1440
300,1442
301,1446
302,1447
303,1448
304,1449
305,1450
306,1451
307,1453
308,1455
309,1456
310,1457
311,1458
312,1459
313,1460
314,1461
315,1464
316,1468
317,1469
318,1470
319,1471
320,1472
321,1473
322,1474
323,1475
324,1476
325,1479
326,1480
327,1484
328,1493
329,1498
330,1499
331,1516
332,1517
333,1527
334,1528
335,1536
336,1547
337,1553
338,1568
339,1574
340,1597
341,1629
342,1633
343,1638
344,1647
345,1649
346,1658
347,1660
348,1663
349,1666
350,1670
351,1671
352,1678
353,1679
354,1680
355,1681
356,1682
357,1683
358,1684
359,1685
360,1686
361,1687
362,1688
363,1689
364,1690
365,1691
366,1692
367,1693
368,1695
369,1696
370,1698
371,1699
372,1702
373,1703
374,1709
375,1710
376,1712
377,1714
378,1715
379,1716
380,1717
381,1718
382,1719
383,1720
384,1723
385,1725
386,1726
387,1727
388,1731
389,1732
390,1734
391,1735
392,1736
393,1737
394,1757
395,1759
396,1763
397,1764
398,1765
399,1781
400,1783
401,1791
402,1803
403,1804
404,1813
405,1814
406,1815
407,1822
408,1840
409,1841
410,1856
411,1881
412,1883
413,1914
414,1915
415,1916
416,1921
417,1947
418,1962
419,1987
420,1990
421,1993
422,1997
423,2000
424,2004
425,2005
426,2008
427,2016
428,2028
429,2032
430,2034
431,2036
432,2043
433,2045
434,2047
435,2052
