,0
0,78
1,82
2,83
3,125
4,150
5,179
6,180
7,182
8,289
9,291
10,292
11,353
12,386
13,388
14,389
15,392
16,459
17,497
18,621
19,639
20,671
21,672
22,708
23,720
24,727
25,728
26,730
27,752
28,753
29,759
30,799
31,864
32,870
33,871
34,881
35,888
36,907
37,911
38,927
39,976
40,981
41,986
42,1003
43,1004
44,1009
45,1059
46,1060
47,1066
48,1067
49,1099
50,1100
51,1101
52,1102
53,1106
54,1111
55,1112
56,1114
57,1117
58,1118
59,1119
60,1121
61,1122
62,1123
63,1160
64,1162
65,1168
66,1184
67,1190
68,1218
69,1221
70,1222
71,1226
72,1227
73,1228
74,1238
75,1267
76,1268
77,1270
78,1280
79,1476
80,1479
81,1516
82,1534
83,1538
84,1565
85,1591
86,1592
87,1606
88,1607
89,1608
90,1609
91,1610
92,1688
93,1746
94,1749
95,1750
96,1751
97,1752
98,1754
99,1776
100,1779
101,1815
102,1822
103,1824
104,1857
105,1859
106,1860
107,1861
108,1908
109,1917
110,1918
111,1941
112,1953
113,1960
114,1968
115,1969
116,1974
117,1985
118,1996
119,2107
120,2110
121,2111
122,2112
123,2115
124,2119
125,2171
126,2192
127,2193
128,2275
129,2303
130,2304
131,2325
132,2347
133,2370
134,2401
135,2409
136,2417
137,2512
138,2553
139,2555
140,2556
141,2559
142,2582
143,2589
144,2591
145,2610
146,2613
147,2618
148,2658
149,2672
150,2674
151,2701
152,2711
153,2739
154,2766
155,2801
156,2816
157,2834
158,2835
159,2850
160,2863
161,2880
162,2896
163,2901
164,2907
165,2910
166,2926
167,2934
168,2943
169,2958
170,2993
171,3036
172,3039
173,3041
174,3093
175,3128
176,3176
177,3179
178,3180
179,3252
180,3352
181,3391
182,3392
183,3398
184,3433
185,3439
186,3455
187,3475
188,3485
189,3508
190,3509
191,3514
192,3515
193,3558
194,3603
195,3619
196,3620
197,3623
198,3640
199,3650
200,3651
201,3652
202,3655
203,3656
204,3657
205,3658
206,3665
207,3696
208,3711
209,3715
210,3718
211,3719
212,3720
213,3734
214,3762
215,3763
216,3771
217,3772
218,3926
219,3928
220,3929
221,3930
222,3931
223,3932
224,3945
225,3955
226,3956
227,3965
228,3990
229,4038
230,4065
231,4071
232,4096
233,4099
234,4100
235,4106
236,4108
237,4124
238,4137
239,4142
240,4144
241,4146
242,4154
243,4195
244,4196
245,4211
246,4216
247,4217
248,4218
249,4219
250,4223
251,4257
252,4266
253,4273
254,4380
255,4383
256,4384
257,4523
258,4568
259,4570
260,4578
261,4579
262,4612
263,4624
264,4648
265,4656
266,4721
267,4752
268,4809
269,4951
270,4961
271,4966
272,4991
273,5007
274,5026
275,5035
276,5056
277,5081
278,5086
279,5087
280,5094
281,5105
282,5106
283,5113
284,5114
285,5176
286,5177
287,5218
288,5243
289,5246
290,5247
291,5302
292,5331
293,5334
294,5370
295,5393
296,5395
297,5442
298,5496
299,5501
300,5503
301,5510
302,5553
303,5570
304,5598
305,5599
306,5600
307,5624
308,5633
309,5640
310,5641
311,5642
312,5687
313,5744
314,5746
315,5751
316,5752
317,5754
318,5799
319,5820
320,5833
321,5846
322,5848
323,5893
324,5910
325,5911
326,5912
327,5917
328,5982
329,6030
330,6035
331,6038
332,6039
333,6054
334,6076
335,6078
336,6086
337,6120
338,6171
339,6174
340,6175
341,6210
342,6225
343,6230
344,6372
345,6379
346,6380
347,6390
348,6422
349,6426
350,6454
351,6455
352,6457
353,6461
354,6465
355,6468
356,6487
357,6537
358,6603
359,6604
360,6612
361,6617
362,6660
363,6668
364,6721
365,6732
366,6772
367,6786
368,6788
369,6792
370,6793
371,6794
372,6795
373,6830
374,6996
375,6997
376,6999
377,7001
378,7008
379,7033
380,7063
381,7075
382,7087
383,7103
384,7109
385,7113
386,7115
387,7119
388,7123
389,7150
390,7171
391,7192
392,7236
393,7240
394,7277
395,7278
396,7280
397,7284
398,7285
399,7300
400,7391
401,7396
402,7405
403,7410
404,7414
405,7441
406,7452
407,7471
408,7531
409,7546
410,7575
411,7608
412,7612
413,7619
414,7638
415,7657
