,0
0,0.0
1,1.0
2,2.0
3,3.0
4,4.0
5,5.0
6,6.0
7,7.0
8,8.0
9,9.0
10,10.0
11,11.0
12,12.0
13,13.0
14,15.0
15,16.0
16,17.0
17,18.0
18,19.0
19,20.0
20,22.0
21,23.0
22,24.0
23,26.0
24,29.0
25,30.0
26,31.0
27,32.0
28,33.0
29,34.0
30,35.0
31,36.0
32,38.0
33,39.0
34,40.0
35,41.0
36,42.0
37,43.0
38,44.0
39,45.0
40,46.0
41,47.0
42,48.0
43,49.0
44,50.0
45,51.0
46,52.0
47,53.0
48,55.0
49,56.0
50,57.0
51,60.0
52,62.0
53,64.0
54,66.0
55,67.0
56,72.0
57,73.0
58,75.0
59,76.0
60,77.0
61,79.0
62,80.0
63,81.0
64,82.0
65,83.0
66,84.0
67,86.0
68,87.0
69,89.0
70,90.0
71,91.0
72,92.0
73,93.0
74,94.0
75,95.0
76,96.0
77,97.0
78,98.0
79,99.0
80,100.0
81,101.0
82,102.0
83,103.0
84,105.0
85,106.0
86,107.0
87,109.0
88,110.0
89,113.0
90,114.0
91,115.0
92,118.0
93,119.0
94,120.0
95,121.0
96,122.0
97,123.0
98,124.0
99,125.0
100,126.0
101,127.0
102,128.0
103,129.0
104,130.0
105,131.0
106,132.0
107,133.0
108,134.0
109,135.0
110,136.0
111,137.0
112,138.0
113,139.0
114,141.0
115,142.0
116,143.0
117,144.0
118,145.0
119,146.0
120,147.0
121,150.0
122,151.0
123,152.0
124,153.0
125,154.0
126,155.0
127,156.0
128,157.0
129,158.0
130,159.0
131,161.0
132,162.0
133,163.0
134,164.0
135,165.0
136,166.0
137,167.0
138,168.0
139,169.0
140,170.0
141,171.0
142,172.0
143,173.0
144,175.0
145,176.0
146,177.0
147,178.0
148,179.0
149,180.0
150,181.0
151,182.0
152,183.0
153,185.0
154,186.0
155,187.0
156,188.0
157,189.0
158,192.0
159,193.0
160,194.0
161,195.0
162,196.0
163,198.0
164,200.0
165,201.0
166,206.0
167,207.0
168,208.0
169,210.0
170,213.0
171,214.0
172,216.0
173,217.0
174,218.0
175,219.0
176,220.0
177,221.0
178,222.0
179,226.0
180,227.0
181,228.0
182,229.0
183,230.0
184,231.0
185,232.0
186,233.0
187,234.0
188,235.0
189,236.0
190,237.0
191,238.0
192,239.0
193,240.0
194,241.0
195,244.0
196,245.0
197,246.0
198,248.0
199,249.0
200,252.0
201,254.0
202,255.0
203,256.0
204,257.0
205,258.0
206,259.0
207,263.0
208,264.0
209,265.0
210,266.0
211,267.0
212,268.0
213,269.0
214,270.0
215,272.0
216,273.0
217,274.0
218,276.0
219,277.0
220,278.0
221,279.0
222,280.0
223,281.0
224,282.0
225,283.0
226,284.0
227,285.0
228,286.0
229,291.0
230,293.0
231,294.0
232,295.0
233,297.0
234,298.0
235,299.0
236,300.0
237,301.0
238,302.0
239,303.0
240,304.0
241,305.0
242,306.0
243,307.0
244,308.0
245,309.0
246,310.0
247,311.0
248,312.0
249,313.0
250,314.0
251,315.0
252,316.0
253,317.0
254,318.0
255,319.0
256,320.0
257,321.0
258,323.0
259,324.0
260,325.0
261,326.0
262,327.0
263,328.0
264,329.0
265,331.0
266,332.0
267,333.0
268,334.0
269,335.0
270,336.0
271,337.0
272,338.0
273,339.0
274,340.0
275,341.0
276,342.0
277,343.0
278,344.0
279,345.0
280,346.0
281,347.0
282,348.0
283,350.0
284,351.0
285,352.0
286,353.0
287,354.0
288,355.0
289,357.0
290,358.0
291,359.0
292,360.0
293,361.0
294,362.0
295,363.0
296,364.0
297,365.0
298,366.0
299,367.0
300,368.0
301,369.0
302,370.0
303,372.0
304,373.0
305,374.0
306,375.0
307,377.0
308,378.0
309,379.0
310,380.0
311,381.0
312,382.0
313,383.0
314,384.0
315,385.0
316,386.0
317,387.0
318,388.0
319,389.0
320,390.0
321,391.0
322,392.0
323,393.0
324,394.0
325,395.0
326,396.0
327,397.0
328,398.0
329,400.0
330,401.0
331,402.0
332,403.0
333,405.0
334,406.0
335,407.0
336,408.0
337,409.0
338,410.0
339,411.0
340,412.0
341,413.0
342,414.0
343,415.0
344,417.0
345,418.0
346,419.0
347,421.0
348,422.0
349,423.0
350,424.0
351,425.0
352,426.0
353,427.0
354,429.0
355,430.0
356,431.0
357,432.0
358,433.0
359,434.0
360,437.0
361,438.0
362,439.0
363,441.0
364,442.0
365,443.0
366,444.0
367,445.0
368,446.0
369,448.0
370,449.0
371,450.0
372,451.0
373,452.0
374,453.0
375,458.0
376,459.0
377,460.0
378,462.0
379,463.0
380,464.0
381,467.0
382,468.0
383,469.0
384,470.0
385,471.0
386,472.0
387,473.0
388,474.0
389,475.0
390,477.0
391,478.0
392,479.0
393,480.0
394,482.0
395,483.0
396,484.0
397,485.0
398,489.0
399,491.0
400,495.0
401,497.0
402,498.0
403,499.0
404,500.0
405,501.0
406,502.0
407,504.0
408,507.0
409,511.0
410,513.0
411,514.0
412,515.0
413,520.0
414,525.0
415,526.0
416,529.0
417,533.0
418,534.0
419,536.0
420,537.0
421,538.0
422,539.0
423,540.0
424,541.0
425,542.0
426,543.0
427,544.0
428,547.0
429,548.0
430,549.0
431,550.0
432,551.0
433,552.0
434,553.0
435,554.0
436,555.0
437,556.0
438,557.0
439,559.0
440,560.0
441,561.0
442,562.0
443,563.0
444,564.0
445,566.0
446,567.0
447,568.0
448,569.0
449,570.0
450,571.0
451,572.0
452,573.0
453,574.0
454,575.0
455,576.0
456,577.0
457,578.0
458,579.0
459,580.0
460,581.0
461,582.0
462,583.0
463,584.0
464,585.0
465,586.0
466,587.0
467,588.0
468,589.0
469,590.0
470,591.0
471,592.0
472,593.0
473,594.0
474,596.0
475,598.0
476,599.0
477,600.0
478,601.0
479,602.0
480,603.0
481,604.0
482,605.0
483,607.0
484,609.0
485,610.0
486,611.0
487,612.0
488,613.0
489,614.0
490,615.0
491,616.0
492,617.0
493,618.0
494,619.0
495,620.0
496,621.0
497,622.0
498,623.0
499,624.0
500,628.0
501,629.0
502,632.0
503,633.0
504,635.0
505,636.0
506,637.0
507,638.0
508,639.0
509,643.0
510,644.0
511,645.0
512,646.0
513,647.0
514,648.0
515,649.0
516,650.0
517,651.0
518,652.0
519,653.0
520,656.0
521,657.0
522,658.0
523,659.0
524,660.0
525,661.0
526,662.0
527,663.0
528,664.0
529,665.0
530,666.0
531,667.0
532,668.0
533,669.0
534,670.0
535,671.0
536,672.0
537,673.0
538,674.0
539,675.0
540,676.0
541,677.0
542,678.0
543,679.0
544,680.0
545,681.0
546,682.0
547,683.0
548,684.0
549,685.0
550,686.0
551,687.0
552,688.0
553,689.0
554,690.0
555,691.0
556,692.0
557,693.0
558,694.0
559,695.0
560,696.0
561,697.0
562,698.0
563,699.0
564,700.0
565,703.0
566,704.0
567,706.0
568,707.0
569,708.0
570,709.0
571,710.0
572,711.0
573,712.0
574,713.0
575,714.0
576,716.0
577,717.0
578,718.0
579,719.0
580,720.0
581,721.0
582,722.0
583,723.0
584,724.0
585,725.0
586,726.0
587,727.0
588,728.0
589,729.0
590,730.0
591,731.0
592,732.0
593,733.0
594,734.0
595,738.0
596,739.0
597,740.0
598,741.0
599,742.0
600,743.0
601,744.0
602,745.0
603,746.0
604,747.0
605,748.0
606,749.0
607,750.0
608,751.0
609,752.0
610,753.0
611,754.0
612,755.0
613,757.0
614,758.0
615,760.0
616,763.0
617,764.0
618,765.0
619,766.0
620,767.0
621,768.0
622,769.0
623,770.0
624,771.0
625,772.0
626,773.0
627,774.0
628,775.0
629,776.0
630,777.0
631,778.0
632,780.0
633,781.0
634,784.0
635,785.0
636,786.0
637,789.0
638,790.0
639,791.0
