,0
A1BG,0
A1CF,1
A2M,2
A4GALT,3
AAAS,4
AACS,5
AADAC,6
AADAT,7
AAGAB,8
AAK1,9
AAMDC,10
AAMP,11
AAR2,12
AARS2,13
AASDH,14
AASDHPPT,15
AASS,16
AATF,17
AATK,18
ABAT,19
ABCA1,20
ABCA10,21
ABCA2,22
ABCA3,23
ABCA5,24
ABCA6,25
ABCA7,26
ABCA8,27
ABCA9,28
ABCB1,29
ABCB10,30
ABCB4,31
ABCB6,32
ABCB7,33
ABCB8,34
ABCB9,35
ABCC1,36
ABCC10,37
ABCC2,38
ABCC3,39
ABCC4,40
ABCC5,41
ABCC6,42
ABCC8,43
ABCC9,44
ABCD1,45
ABCD3,46
ABCD4,47
ABCE1,48
ABCF1,49
ABCF2,50
ABCF3,51
ABCG1,52
ABCG2,53
ABHD1,54
ABHD10,55
ABHD11,56
ABHD12,57
ABHD12B,58
ABHD13,59
ABHD14A,60
ABHD14A-ACY1,61
ABHD14B,62
ABHD15,63
ABHD16A,64
ABHD16B,65
ABHD17A,66
ABHD17B,67
ABHD17C,68
ABHD2,69
ABHD3,70
ABHD4,71
ABHD5,72
ABHD6,73
ABHD8,74
ABI1,75
ABI2,76
ABI3,77
ABI3BP,78
ABL1,79
ABL2,80
ABLIM1,81
ABLIM2,82
ABLIM3,83
ABR,84
ABRACL,85
ABT1,86
ABTB1,87
ABTB2,88
ACAA1,89
ACAA2,90
ACACA,91
ACACB,92
ACAD10,93
ACAD11,94
ACAD8,95
ACAD9,96
ACADM,97
ACADS,98
ACADSB,99
ACADVL,100
ACAN,101
ACAP1,102
ACAP2,103
ACAP3,104
ACAT1,105
ACAT2,106
ACBD3,107
ACBD4,108
ACBD5,109
ACBD6,110
ACBD7,111
ACCS,112
ACD,113
ACE,114
ACE2,115
ACER2,116
ACER3,117
ACHE,118
ACIN1,119
ACKR3,120
ACKR4,121
ACLY,122
ACO1,123
ACO2,124
ACOT1,125
ACOT11,126
ACOT13,127
ACOT2,128
ACOT4,129
ACOT7,130
ACOT8,131
ACOT9,132
ACOX1,133
ACOX2,134
ACOX3,135
ACP1,136
ACP2,137
ACP5,138
ACP6,139
ACRBP,140
ACSF2,141
ACSF3,142
ACSL1,143
ACSL3,144
ACSL4,145
ACSL5,146
ACSL6,147
ACSM1,148
ACSM3,149
ACSM5,150
ACSS1,151
ACSS2,152
ACSS3,153
ACTA1,154
ACTA2,155
ACTB,156
ACTC1,157
ACTG1,158
ACTG2,159
ACTL10,160
ACTL6A,161
ACTN1,162
ACTN4,163
ACTR10,164
ACTR1A,165
ACTR1B,166
ACTR2,167
ACTR3,168
ACTR3B,169
ACTR3C,170
ACTR5,171
ACTR6,172
ACTR8,173
ACTRT3,174
ACVR1,175
ACVR1B,176
ACVR1C,177
ACVR2A,178
ACVR2B,179
ACVRL1,180
ACY3,181
ACYP2,182
ADA,183
ADAL,184
ADAM10,185
ADAM12,186
ADAM15,187
ADAM17,188
ADAM19,189
ADAM22,190
ADAM23,191
ADAM28,192
ADAM32,193
ADAM33,194
ADAM8,195
ADAM9,196
ADAMDEC1,197
ADAMTS1,198
ADAMTS10,199
ADAMTS12,200
ADAMTS13,201
ADAMTS14,202
ADAMTS15,203
ADAMTS16,204
ADAMTS17,205
ADAMTS2,206
ADAMTS4,207
ADAMTS5,208
ADAMTS6,209
ADAMTS7,210
ADAMTS8,211
ADAMTS9,212
ADAMTSL1,213
ADAMTSL2,214
ADAMTSL3,215
ADAMTSL4,216
ADAMTSL5,217
ADAP1,218
ADAP2,219
ADAR,220
ADARB1,221
ADARB2,222
ADAT1,223
ADAT2,224
ADAT3,225
ADCK1,226
ADCK2,227
ADCK5,228
ADCY1,229
ADCY2,230
ADCY3,231
ADCY4,232
ADCY5,233
ADCY6,234
ADCY7,235
ADCY9,236
ADCYAP1,237
ADD1,238
ADD3,239
ADH1B,240
ADH5,241
ADH6,242
ADHFE1,243
ADI1,244
ADIPOR1,245
ADIPOR2,246
ADIRF,247
ADK,248
ADM,249
ADM2,250
ADM5,251
ADNP,252
ADNP2,253
ADO,254
ADORA1,255
ADORA2A,256
ADORA2B,257
ADORA3,258
ADPGK,259
ADPRH,260
ADPRHL1,261
ADPRM,262
ADRA2A,263
ADRA2B,264
ADRA2C,265
ADRB1,266
ADRB2,267
ADRM1,268
ADSL,269
ADTRP,270
AEBP1,271
AEBP2,272
AEN,273
AFAP1,274
AFAP1L1,275
AFAP1L2,276
AFF1,277
AFF3,278
AFF4,279
AFG3L2,280
AFMID,281
AFTPH,282
AGA,283
AGAP1,284
AGAP2,285
AGAP3,286
AGAP4,287
AGAP5,288
AGAP6,289
AGAP9,290
AGBL2,291
AGBL3,292
AGBL5,293
AGER,294
AGFG1,295
AGFG2,296
AGGF1,297
AGK,298
AGL,299
AGMAT,300
AGMO,301
AGO1,302
AGO2,303
AGO3,304
AGO4,305
AGPAT1,306
AGPAT2,307
AGPAT3,308
AGPAT4,309
AGPAT5,310
AGPS,311
AGR2,312
AGR3,313
AGRN,314
AGT,315
AGTPBP1,316
AGTR1,317
AGTRAP,318
AHCTF1,319
AHCY,320
AHCYL1,321
AHCYL2,322
AHDC1,323
AHI1,324
AHNAK,325
AHNAK2,326
AHR,327
AHRR,328
AHSA1,329
AIDA,330
AIF1,331
AIF1L,332
AIFM1,333
AIFM2,334
AIFM3,335
AIG1,336
AIM2,337
AIMP1,338
AIMP2,339
AIP,340
AJUBA,341
AK1,342
AK2,343
AK3,344
AK4,345
AK5,346
AK7,347
AK8,348
AK9,349
AKAP1,350
AKAP10,351
AKAP11,352
AKAP12,353
AKAP13,354
AKAP17A,355
AKAP2,356
AKAP3,357
AKAP5,358
AKAP6,359
AKAP7,360
AKAP8,361
AKAP8L,362
AKAP9,363
AKIP1,364
AKIRIN1,365
AKIRIN2,366
AKNA,367
AKNAD1,368
AKR1A1,369
AKR1B1,370
AKR1B10,371
AKR1C1,372
AKR1C2,373
AKR1C3,374
AKR1C4,375
AKR1E2,376
AKR7A2,377
AKR7A3,378
AKT1,379
AKT1S1,380
AKT2,381
AKT3,382
AKTIP,383
ALAD,384
ALAS1,385
ALCAM,386
ALDH16A1,387
ALDH18A1,388
ALDH1A1,389
ALDH1A2,390
ALDH1A3,391
ALDH1B1,392
ALDH1L1,393
ALDH1L2,394
ALDH2,395
ALDH3A1,396
ALDH3A2,397
ALDH3B1,398
ALDH3B2,399
ALDH4A1,400
ALDH5A1,401
ALDH6A1,402
ALDH7A1,403
ALDH8A1,404
ALDH9A1,405
ALDOA,406
ALDOB,407
ALDOC,408
ALG1,409
ALG10,410
ALG10B,411
ALG11,412
ALG12,413
ALG13,414
ALG14,415
ALG1L,416
ALG2,417
ALG3,418
ALG5,419
ALG6,420
ALG8,421
ALG9,422
ALKBH1,423
ALKBH2,424
ALKBH3,425
ALKBH4,426
ALKBH5,427
ALKBH6,428
ALKBH8,429
ALMS1,430
ALOX15,431
ALOX15B,432
ALOX5,433
ALOX5AP,434
ALPK1,435
ALPK2,436
ALPK3,437
ALPL,438
ALS2,439
ALS2CL,440
ALYREF,441
AMACR,442
AMBP,443
AMBRA1,444
AMD1,445
AMDHD1,446
AMDHD2,447
AMER1,448
AMFR,449
AMH,450
AMIGO1,451
AMIGO2,452
AMIGO3,453
AMMECR1,454
AMMECR1L,455
AMN,456
AMN1,457
AMOT,458
AMOTL1,459
AMOTL2,460
AMPD2,461
AMPD3,462
AMPH,463
AMT,464
AMY2B,465
AMZ2,466
ANAPC1,467
ANAPC10,468
ANAPC11,469
ANAPC13,470
ANAPC2,471
ANAPC4,472
ANAPC5,473
ANAPC7,474
ANG,475
ANGEL1,476
ANGEL2,477
ANGPT1,478
ANGPT2,479
ANGPTL1,480
ANGPTL2,481
ANGPTL4,482
ANK1,483
ANK2,484
ANK3,485
ANKAR,486
ANKDD1A,487
ANKEF1,488
ANKFY1,489
ANKH,490
ANKHD1,491
ANKHD1-EIF4EBP3,492
ANKIB1,493
ANKLE1,494
ANKLE2,495
ANKMY1,496
ANKMY2,497
ANKRA2,498
ANKRD10,499
ANKRD11,500
ANKRD12,501
ANKRD13A,502
ANKRD13B,503
ANKRD13C,504
ANKRD13D,505
ANKRD16,506
ANKRD17,507
ANKRD18A,508
ANKRD18B,509
ANKRD22,510
ANKRD23,511
ANKRD24,512
ANKRD26,513
ANKRD27,514
ANKRD28,515
ANKRD29,516
ANKRD35,517
ANKRD36,518
ANKRD36C,519
