,0
0,0.0
1,1.0
2,3.0
3,4.0
4,5.0
5,6.0
6,7.0
7,8.0
8,9.0
9,10.0
10,11.0
11,12.0
12,14.0
13,15.0
14,16.0
15,17.0
16,18.0
17,20.0
18,22.0
19,23.0
20,24.0
21,25.0
22,27.0
23,30.0
24,31.0
25,32.0
26,33.0
27,34.0
28,35.0
29,36.0
30,37.0
31,39.0
32,40.0
33,41.0
34,42.0
35,43.0
36,44.0
37,45.0
38,46.0
39,47.0
40,48.0
41,49.0
42,50.0
43,51.0
44,52.0
45,54.0
46,55.0
47,56.0
48,59.0
49,61.0
50,63.0
51,64.0
52,69.0
53,70.0
54,72.0
55,73.0
56,74.0
57,76.0
58,77.0
59,78.0
60,79.0
61,81.0
62,82.0
63,83.0
64,85.0
65,86.0
66,87.0
67,88.0
68,89.0
69,90.0
70,91.0
71,92.0
72,93.0
73,94.0
74,95.0
75,96.0
76,97.0
77,98.0
78,99.0
79,100.0
80,102.0
81,103.0
82,104.0
83,106.0
84,107.0
85,110.0
86,111.0
87,112.0
88,115.0
89,116.0
90,117.0
91,118.0
92,119.0
93,120.0
94,121.0
95,122.0
96,123.0
97,124.0
98,125.0
99,126.0
100,127.0
101,128.0
102,129.0
103,130.0
104,131.0
105,132.0
106,133.0
107,135.0
108,136.0
109,137.0
110,138.0
111,141.0
112,142.0
113,143.0
114,144.0
115,145.0
116,146.0
117,147.0
118,149.0
119,150.0
120,151.0
121,152.0
122,153.0
123,154.0
124,155.0
125,156.0
126,158.0
127,159.0
128,160.0
129,161.0
130,162.0
131,163.0
132,164.0
133,165.0
134,166.0
135,167.0
136,168.0
137,169.0
138,170.0
139,171.0
140,172.0
141,174.0
142,175.0
143,177.0
144,178.0
145,179.0
146,180.0
147,182.0
148,185.0
149,186.0
150,187.0
151,188.0
152,189.0
153,190.0
154,193.0
155,194.0
156,195.0
157,196.0
158,197.0
159,199.0
160,201.0
161,202.0
162,207.0
163,208.0
164,209.0
165,211.0
166,214.0
167,215.0
168,217.0
169,218.0
170,219.0
171,220.0
172,221.0
173,222.0
174,225.0
175,226.0
176,227.0
177,228.0
178,229.0
179,230.0
180,231.0
181,232.0
182,233.0
183,234.0
184,235.0
185,236.0
186,237.0
187,238.0
188,239.0
189,240.0
190,242.0
191,244.0
192,245.0
193,246.0
194,247.0
195,249.0
196,250.0
197,253.0
198,255.0
199,256.0
200,257.0
201,258.0
202,259.0
203,260.0
204,264.0
205,265.0
206,266.0
207,267.0
208,268.0
209,269.0
210,270.0
211,271.0
212,273.0
213,274.0
214,275.0
215,277.0
216,278.0
217,279.0
218,280.0
219,281.0
220,282.0
221,283.0
222,284.0
223,285.0
224,286.0
225,291.0
226,292.0
227,293.0
228,294.0
229,296.0
230,297.0
231,298.0
232,299.0
233,300.0
234,301.0
235,302.0
236,303.0
237,304.0
238,305.0
239,306.0
240,307.0
241,308.0
242,309.0
243,310.0
244,311.0
245,312.0
246,313.0
247,314.0
248,315.0
249,316.0
250,317.0
251,318.0
252,319.0
253,320.0
254,322.0
255,323.0
256,324.0
257,325.0
258,326.0
259,327.0
260,328.0
261,330.0
262,331.0
263,332.0
264,333.0
265,334.0
266,335.0
267,336.0
268,337.0
269,338.0
270,339.0
271,340.0
272,341.0
273,342.0
274,343.0
275,344.0
276,345.0
277,346.0
278,347.0
279,349.0
280,350.0
281,351.0
282,352.0
283,353.0
284,354.0
285,355.0
286,356.0
287,357.0
288,358.0
289,359.0
290,360.0
291,361.0
292,362.0
293,363.0
294,364.0
295,365.0
296,366.0
297,369.0
298,370.0
299,371.0
300,373.0
301,374.0
302,375.0
303,376.0
304,377.0
305,378.0
306,379.0
307,380.0
308,381.0
309,382.0
310,383.0
311,384.0
312,385.0
313,386.0
314,387.0
315,388.0
316,389.0
317,390.0
318,391.0
319,392.0
320,393.0
321,394.0
322,395.0
323,397.0
324,398.0
325,399.0
326,400.0
327,401.0
328,402.0
329,403.0
330,404.0
331,405.0
332,406.0
333,407.0
334,408.0
335,409.0
336,410.0
337,412.0
338,413.0
339,414.0
340,416.0
341,417.0
342,418.0
343,419.0
344,420.0
345,421.0
346,422.0
347,424.0
348,425.0
349,426.0
350,427.0
351,429.0
352,430.0
353,431.0
354,432.0
355,436.0
356,437.0
357,438.0
358,439.0
359,441.0
360,442.0
361,443.0
362,444.0
363,445.0
364,446.0
365,447.0
366,449.0
367,450.0
368,451.0
369,452.0
370,453.0
371,454.0
372,459.0
373,460.0
374,461.0
375,463.0
376,464.0
377,465.0
378,470.0
379,471.0
380,472.0
381,473.0
382,474.0
383,475.0
384,476.0
385,477.0
386,478.0
387,480.0
388,481.0
389,482.0
390,483.0
391,485.0
392,486.0
393,487.0
394,488.0
395,493.0
396,495.0
397,500.0
398,502.0
399,503.0
400,504.0
401,506.0
402,507.0
403,508.0
404,510.0
405,513.0
406,514.0
407,516.0
408,517.0
409,518.0
410,519.0
411,524.0
412,530.0
413,531.0
414,534.0
415,536.0
416,537.0
417,539.0
418,540.0
419,541.0
420,543.0
421,544.0
422,545.0
423,546.0
424,549.0
425,550.0
426,551.0
427,552.0
428,553.0
429,554.0
430,555.0
431,556.0
432,557.0
433,558.0
434,560.0
435,561.0
436,562.0
437,563.0
438,564.0
439,567.0
440,569.0
441,570.0
442,571.0
443,572.0
444,573.0
445,574.0
446,575.0
447,576.0
448,577.0
449,578.0
450,579.0
451,580.0
452,581.0
453,582.0
454,583.0
455,584.0
456,585.0
457,586.0
458,587.0
459,588.0
460,589.0
461,590.0
462,591.0
463,592.0
464,593.0
465,594.0
466,595.0
467,596.0
468,597.0
469,599.0
470,601.0
471,602.0
472,603.0
473,604.0
474,605.0
475,606.0
476,607.0
477,608.0
478,610.0
479,612.0
480,613.0
481,614.0
482,615.0
483,616.0
484,617.0
485,618.0
486,619.0
487,620.0
488,621.0
489,622.0
490,623.0
491,624.0
492,625.0
493,626.0
494,627.0
495,631.0
496,632.0
497,635.0
498,636.0
499,637.0
500,638.0
501,639.0
502,640.0
503,644.0
504,645.0
505,646.0
506,647.0
507,648.0
508,649.0
509,650.0
510,651.0
511,652.0
512,653.0
513,654.0
514,656.0
515,657.0
516,658.0
517,659.0
518,660.0
519,661.0
520,662.0
521,663.0
522,664.0
523,665.0
524,666.0
525,667.0
526,668.0
527,669.0
528,670.0
529,671.0
530,672.0
531,673.0
532,674.0
533,675.0
534,676.0
535,677.0
536,678.0
537,679.0
538,680.0
539,681.0
540,682.0
541,683.0
542,684.0
543,685.0
544,686.0
545,687.0
546,688.0
547,689.0
548,690.0
549,691.0
550,692.0
551,693.0
552,694.0
553,695.0
554,698.0
555,699.0
556,701.0
557,702.0
558,703.0
559,704.0
560,705.0
561,706.0
562,707.0
563,708.0
564,710.0
565,711.0
566,712.0
567,713.0
568,714.0
569,715.0
570,716.0
571,717.0
572,718.0
573,719.0
574,720.0
575,721.0
576,722.0
577,723.0
578,724.0
579,725.0
580,726.0
581,727.0
582,730.0
583,731.0
584,732.0
585,733.0
586,734.0
587,735.0
588,736.0
589,737.0
590,738.0
591,739.0
592,740.0
593,741.0
594,742.0
595,743.0
596,744.0
597,745.0
598,746.0
599,747.0
600,749.0
601,751.0
602,754.0
603,755.0
604,756.0
605,757.0
606,758.0
607,759.0
608,760.0
609,761.0
610,763.0
611,764.0
612,765.0
613,766.0
614,767.0
615,768.0
616,769.0
617,770.0
618,772.0
619,773.0
620,776.0
621,777.0
622,778.0
623,781.0
624,782.0
625,785.0
626,786.0
627,787.0
628,788.0
629,789.0
630,790.0
631,791.0
632,792.0
633,793.0
634,794.0
635,795.0
636,796.0
637,797.0
638,799.0
639,801.0
