,0
0,66
1,70
2,71
3,122
4,146
5,147
6,235
7,237
8,238
9,291
10,320
11,322
12,323
13,326
14,379
15,408
16,520
17,552
18,581
19,588
20,592
21,598
22,599
23,601
24,619
25,620
26,625
27,657
28,710
29,715
30,716
31,725
32,731
33,743
34,746
35,760
36,798
37,801
38,807
39,824
40,825
41,828
42,868
43,869
44,872
45,873
46,902
47,903
48,904
49,906
50,907
51,909
52,910
53,911
54,914
55,915
56,916
57,918
58,919
59,920
60,953
61,957
62,974
63,996
64,999
65,1000
66,1003
67,1004
68,1005
69,1012
70,1037
71,1038
72,1040
73,1049
74,1189
75,1191
76,1220
77,1233
78,1237
79,1259
80,1280
81,1281
82,1295
83,1296
84,1297
85,1298
86,1299
87,1356
88,1399
89,1400
90,1401
91,1402
92,1403
93,1420
94,1449
95,1455
96,1476
97,1477
98,1512
99,1519
100,1520
101,1522
102,1538
103,1551
104,1557
105,1562
106,1572
107,1580
108,1664
109,1665
110,1666
111,1670
112,1673
113,1708
114,1726
115,1729
116,1788
117,1807
118,1808
119,1830
120,1846
121,1867
122,1891
123,1906
124,1972
125,2004
126,2005
127,2007
128,2020
129,2026
130,2027
131,2040
132,2043
133,2047
134,2077
135,2089
136,2091
137,2108
138,2110
139,2118
140,2134
141,2154
142,2200
143,2213
144,2214
145,2249
146,2270
147,2286
148,2294
149,2301
150,2311
151,2340
152,2376
153,2378
154,2380
155,2420
156,2441
157,2474
158,2477
159,2478
160,2535
161,2611
162,2641
163,2646
164,2674
165,2679
166,2696
167,2712
168,2719
169,2740
170,2741
171,2746
172,2747
173,2782
174,2815
175,2817
176,2833
177,2834
178,2836
179,2850
180,2860
181,2861
182,2863
183,2864
184,2865
185,2866
186,2871
187,2908
188,2911
189,2914
190,2915
191,2916
192,2926
193,2949
194,2950
195,2955
196,3077
197,3079
198,3080
199,3081
200,3082
201,3099
202,3101
203,3102
204,3108
205,3128
206,3155
207,3172
208,3177
209,3194
210,3195
211,3196
212,3197
213,3204
214,3217
215,3225
216,3228
217,3230
218,3232
219,3242
220,3275
221,3290
222,3294
223,3295
224,3296
225,3297
226,3330
227,3337
228,3343
229,3419
230,3421
231,3422
232,3523
233,3555
234,3557
235,3564
236,3565
237,3593
238,3605
239,3626
240,3632
241,3712
242,3747
243,3853
244,3864
245,3875
246,3879
247,3893
248,3894
249,3905
250,3915
251,3916
252,3930
253,3935
254,3958
255,3963
256,3968
257,3977
258,3978
259,3984
260,3985
261,4026
262,4027
263,4059
264,4080
265,4083
266,4084
267,4125
268,4144
269,4146
270,4188
271,4190
272,4225
273,4268
274,4271
275,4311
276,4326
277,4347
278,4348
279,4349
280,4368
281,4374
282,4381
283,4382
284,4459
285,4461
286,4464
287,4465
288,4506
289,4525
290,4535
291,4546
292,4547
293,4580
294,4590
295,4591
296,4592
297,4597
298,4608
299,4646
300,4685
301,4690
302,4692
303,4693
304,4704
305,4730
306,4750
307,4794
308,4797
309,4798
310,4829
311,4844
312,4939
313,4955
314,4962
315,4963
316,4971
317,4973
318,4997
319,5001
320,5026
321,5027
322,5029
323,5033
324,5037
325,5040
326,5056
327,5102
328,5156
329,5164
330,5168
331,5200
332,5234
333,5242
334,5275
335,5286
336,5290
337,5291
338,5292
339,5293
340,5294
341,5323
342,5436
343,5437
344,5439
345,5446
346,5490
347,5502
348,5515
349,5528
350,5533
351,5537
352,5538
353,5540
354,5544
355,5549
356,5571
357,5594
358,5610
359,5646
360,5649
361,5680
362,5681
363,5683
364,5687
365,5688
366,5699
367,5765
368,5770
369,5777
370,5806
371,5816
372,5874
373,5887
374,5914
375,5942
376,5945
377,5953
378,5985
379,5991
380,5993
381,6016
382,6020
383,6026
384,6033
385,6034
386,6037
387,6154
388,6160
389,6174
390,6226
391,6232
392,6233
393,6238
394,6296
395,6317
396,6337
397,6346
398,6349
399,6350
400,6369
401,6399
402,6444
403,6468
404,6504
405,6529
406,6531
407,6532
408,6533
409,6593
410,6605
411,6610
412,6677
413,6686
414,6691
415,6692
416,6724
417,6729
418,6731
419,6735
420,6752
421,6770
422,6771
423,6776
424,6783
425,6791
426,6807
427,6843
428,6874
429,6878
430,6879
431,6892
432,6893
433,6905
434,6909
435,6913
436,6948
437,6977
438,7047
439,7072
440,7074
441,7076
442,7085
443,7089
444,7090
445,7091
446,7097
447,7139
448,7194
449,7203
450,7206
451,7207
452,7219
453,7238
454,7245
455,7256
456,7262
457,7290
458,7303
459,7308
460,7370
461,7377
462,7391
463,7395
464,7402
465,7441
466,7446
467,7497
468,7524
469,7539
470,7553
471,7573
472,7581
473,7602
474,7645
475,7660
476,7661
477,7686
478,7687
479,7693
480,7708
481,7723
482,7749
483,7759
484,7813
485,7819
486,7820
487,7821
488,7909
489,7910
490,7912
491,7913
492,7919
493,7923
494,7926
495,7934
496,7949
497,7961
498,7976
499,8029
500,8035
501,8046
502,8047
503,8053
504,8294
505,8295
506,8302
507,8304
508,8308
509,8311
510,8315
511,8334
512,8366
513,8416
514,8432
515,8440
516,8442
517,8448
518,8487
519,8513
520,8528
521,8542
522,8571
523,8572
524,8577
525,8578
526,8613
527,8614
528,8630
529,8633
530,8634
531,8642
532,8647
533,8712
534,8742
535,8798
536,8800
537,8818
538,8876
539,8887
540,8893
541,8899
542,8902
543,8906
544,8952
545,8967
546,8968
547,8985
548,8988
549,9075
550,9078
551,9123
552,9249
553,9252
554,9263
555,9315
556,9335
557,9344
558,9345
559,9350
560,9366
561,9372
562,9408
563,9410
564,9414
565,9440
566,9469
567,9471
568,9472
569,9585
570,9657
571,9764
572,9775
573,9803
574,9824
575,9953
576,9967
577,9972
578,9989
579,9990
580,9994
581,10051
582,10055
583,10075
584,10080
585,10123
586,10132
587,10141
588,10142
589,10180
590,10181
591,10285
592,10306
593,10329
594,10381
595,10574
