,0
0,0
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,45
44,46
45,47
46,50
47,54
48,55
49,56
50,57
51,58
52,66
53,67
54,69
55,70
56,71
57,72
58,73
59,74
60,75
61,76
62,77
63,79
64,80
65,81
66,83
67,84
68,85
69,86
70,87
71,88
72,89
73,90
74,92
75,93
76,94
77,95
78,96
79,97
80,98
81,99
82,100
83,101
84,102
85,103
86,104
87,105
88,106
89,107
90,108
91,109
92,110
93,112
94,113
95,114
96,115
97,116
98,117
99,118
100,125
101,126
102,127
103,129
104,130
105,131
106,132
107,133
108,134
109,135
110,136
111,137
112,138
113,139
114,140
115,141
116,142
117,143
118,144
119,145
120,146
121,147
122,148
123,149
124,150
125,151
126,152
127,153
128,154
129,155
130,156
131,159
132,160
133,161
134,164
135,165
136,166
137,167
138,168
139,169
140,170
141,171
142,172
143,173
144,174
145,175
146,176
147,177
148,178
149,179
150,180
151,181
152,182
153,183
154,184
155,186
156,187
157,188
158,189
159,190
160,191
161,192
162,193
163,194
164,196
165,197
166,200
167,201
168,202
169,203
170,206
171,207
172,208
173,209
174,210
175,211
176,212
177,213
178,214
179,216
180,217
181,218
182,219
183,220
184,221
185,222
186,223
187,224
188,225
189,226
190,227
191,228
192,229
193,230
194,231
195,232
196,233
197,234
198,235
199,236
200,238
201,240
202,241
203,242
204,243
205,244
206,245
207,246
208,247
209,249
210,250
211,251
212,253
213,254
214,256
215,257
216,258
217,259
218,261
219,262
220,263
221,264
222,265
223,267
224,270
225,271
226,272
227,273
228,274
229,275
230,276
231,277
232,278
233,279
234,280
235,281
236,282
237,283
238,284
239,285
240,286
241,287
242,288
243,289
244,290
245,291
246,292
247,293
248,294
249,295
250,296
251,297
252,298
253,299
254,300
255,301
256,302
257,303
258,304
259,305
260,308
261,309
262,310
263,312
264,313
265,314
266,315
267,316
268,318
269,319
270,320
271,321
272,322
273,323
274,326
275,327
276,328
277,329
278,331
279,332
280,336
281,337
282,340
283,341
284,343
285,344
286,345
287,346
288,347
289,348
290,349
291,350
292,352
293,354
294,355
295,358
296,360
297,361
298,363
299,364
300,365
301,366
302,367
303,368
304,369
305,370
306,371
307,372
308,375
309,377
310,378
311,379
312,380
313,381
314,382
315,383
316,384
317,385
318,386
319,387
320,388
321,389
322,390
323,391
324,392
325,393
326,395
327,396
328,397
329,398
330,399
331,400
332,401
333,402
334,403
335,404
336,405
337,406
338,407
339,408
340,409
341,410
342,411
343,412
344,413
345,414
346,415
347,416
348,417
349,418
350,419
351,421
352,422
353,424
354,425
355,426
356,428
357,429
358,430
359,431
360,434
361,435
362,436
363,437
364,438
365,439
366,440
367,441
368,442
369,443
370,444
371,445
372,446
373,447
374,448
375,449
376,450
377,453
378,454
379,455
380,456
381,457
382,458
383,459
384,460
385,461
386,462
387,463
388,464
389,465
390,466
391,467
392,468
393,469
394,470
395,471
396,472
397,474
398,475
399,476
400,477
401,479
402,480
403,481
404,482
405,483
406,484
407,486
408,487
409,488
410,490
411,491
412,492
413,493
414,494
415,500
416,501
417,502
418,503
419,504
420,505
421,509
422,511
423,512
424,513
425,517
426,518
427,519
428,520
429,522
430,523
431,524
432,525
433,527
434,528
435,529
436,530
437,531
438,532
439,533
440,534
441,535
442,537
443,538
444,539
445,542
446,543
447,544
448,545
449,546
450,548
451,550
452,552
453,553
454,554
455,555
456,556
457,557
458,558
459,559
460,560
461,561
462,562
463,564
464,565
465,566
466,567
467,568
468,569
469,570
470,571
471,572
472,573
473,574
474,575
475,576
476,577
477,580
478,582
479,584
480,585
481,588
482,589
483,590
484,593
485,596
486,597
487,598
488,599
489,600
490,602
491,603
492,604
493,605
494,606
495,607
496,608
497,610
498,611
499,613
500,614
501,615
502,616
503,617
504,619
505,620
506,621
507,622
508,623
509,627
510,628
511,629
512,630
513,631
514,632
515,633
516,634
517,635
518,637
519,638
520,640
521,641
522,642
523,643
524,644
525,645
526,646
527,647
528,648
529,649
530,650
531,651
532,652
533,653
534,654
535,655
536,657
537,658
538,660
539,661
540,663
541,664
542,667
543,669
544,670
545,672
546,673
547,674
548,678
549,679
550,681
551,682
552,683
553,684
554,685
555,688
556,689
557,692
558,693
559,694
560,695
561,696
562,698
563,699
564,700
565,701
566,702
567,703
568,704
569,705
570,706
571,707
572,708
573,709
574,710
575,711
576,712
577,713
578,714
579,715
580,716
581,717
582,718
583,719
584,720
585,721
586,722
587,723
588,724
589,725
590,726
591,727
592,730
593,731
594,733
595,734
596,735
597,736
598,737
599,738
600,739
601,740
602,741
603,742
604,747
605,748
606,749
607,750
608,752
609,753
610,754
611,756
612,757
613,760
614,765
615,772
616,773
617,774
618,775
619,776
620,777
621,782
622,783
623,784
624,785
625,786
626,787
627,788
628,789
629,790
630,791
631,792
632,793
633,794
634,795
635,796
636,797
637,798
638,800
639,803
640,804
641,806
642,808
643,809
644,810
645,811
646,812
647,813
648,814
649,816
650,817
651,818
652,819
653,821
654,822
655,823
656,824
657,825
658,826
659,827
660,828
661,829
662,830
663,831
664,832
665,833
666,834
667,835
668,836
669,837
670,838
671,840
672,841
673,844
674,846
675,849
676,850
677,851
678,852
679,854
680,855
681,856
682,857
683,858
684,859
685,860
686,861
687,862
688,863
689,864
690,866
691,869
692,871
693,873
694,874
695,877
696,879
697,880
698,881
699,883
700,884
701,886
702,888
703,891
704,896
705,914
706,915
707,916
708,917
709,918
710,919
711,920
712,921
713,926
714,932
715,933
716,934
717,938
718,939
719,945
720,946
721,948
722,951
723,952
724,954
725,955
726,956
727,957
728,958
729,963
730,965
731,966
732,967
733,968
734,970
735,971
736,972
737,973
738,975
739,976
740,977
741,979
742,980
743,981
744,982
745,983
746,984
747,985
748,986
749,987
750,988
751,989
752,990
753,992
754,993
755,994
756,995
757,996
758,997
759,998
760,1001
761,1002
762,1003
763,1004
764,1005
765,1007
766,1008
767,1009
768,1010
769,1011
770,1012
771,1013
772,1014
773,1015
774,1016
775,1017
776,1018
777,1020
778,1021
779,1022
780,1024
781,1025
782,1026
783,1027
784,1028
785,1029
786,1030
787,1032
788,1033
789,1034
790,1035
791,1036
792,1037
793,1038
794,1039
795,1041
796,1043
797,1044
798,1045
799,1046
800,1047
801,1048
802,1049
803,1050
804,1052
805,1053
806,1054
807,1055
808,1056
809,1059
810,1060
811,1061
812,1062
813,1063
814,1064
815,1065
816,1070
817,1072
818,1073
819,1074
820,1075
821,1076
822,1077
823,1078
824,1079
825,1081
826,1082
827,1083
828,1084
829,1085
830,1086
831,1088
832,1090
833,1091
834,1092
835,1095
836,1096
837,1097
838,1098
839,1108
840,1109
841,1115
842,1118
843,1119
844,1120
845,1124
846,1131
847,1132
848,1134
849,1136
850,1137
851,1138
852,1139
853,1142
854,1146
855,1147
856,1148
857,1149
858,1150
859,1153
860,1155
861,1158
862,1159
863,1160
864,1161
865,1162
866,1163
867,1164
868,1166
869,1167
870,1168
871,1169
872,1170
873,1172
874,1173
875,1174
876,1175
877,1176
878,1177
879,1178
880,1180
881,1181
882,1184
883,1185
884,1186
885,1190
886,1191
887,1192
888,1193
889,1194
890,1195
891,1196
892,1197
893,1198
894,1199
895,1201
896,1203
897,1204
898,1205
899,1206
900,1208
901,1209
902,1210
903,1211
904,1212
905,1213
906,1214
907,1215
908,1216
909,1217
910,1220
911,1221
912,1222
913,1223
914,1224
915,1225
916,1226
917,1229
918,1230
919,1231
920,1232
921,1233
922,1235
923,1237
924,1238
925,1239
926,1240
927,1241
928,1242
929,1243
930,1244
931,1245
932,1246
933,1247
934,1248
935,1249
936,1250
937,1251
938,1252
939,1253
940,1254
941,1255
942,1256
943,1258
944,1259
945,1260
946,1263
947,1264
948,1265
949,1269
950,1270
951,1271
952,1272
953,1273
954,1274
955,1275
956,1276
957,1277
958,1278
959,1279
960,1280
961,1281
962,1282
963,1283
964,1285
965,1286
966,1287
967,1288
968,1289
969,1290
970,1291
971,1292
972,1293
973,1294
974,1295
975,1296
976,1297
977,1298
978,1299
979,1304
980,1305
981,1307
982,1308
983,1309
984,1310
985,1311
986,1312
987,1313
988,1314
989,1315
990,1316
991,1317
992,1318
993,1319
994,1320
995,1321
996,1322
997,1324
998,1325
999,1327
1000,1328
1001,1329
1002,1330
1003,1331
1004,1333
1005,1335
1006,1336
1007,1337
1008,1338
1009,1340
1010,1341
1011,1342
1012,1343
1013,1344
1014,1346
1015,1347
1016,1348
1017,1349
1018,1350
1019,1353
1020,1354
1021,1355
1022,1356
1023,1357
1024,1358
1025,1359
1026,1360
1027,1361
1028,1363
1029,1364
1030,1365
1031,1366
1032,1367
1033,1368
1034,1369
1035,1370
1036,1371
1037,1373
1038,1374
1039,1375
1040,1376
1041,1378
1042,1379
1043,1381
1044,1383
1045,1384
1046,1388
1047,1389
1048,1391
1049,1393
1050,1394
1051,1395
1052,1396
1053,1397
1054,1398
1055,1399
1056,1400
1057,1401
1058,1403
1059,1404
1060,1405
1061,1406
1062,1407
1063,1408
1064,1410
1065,1412
1066,1413
1067,1415
1068,1416
1069,1417
1070,1418
1071,1419
1072,1420
1073,1421
1074,1422
1075,1423
1076,1424
1077,1426
1078,1427
1079,1428
1080,1429
1081,1430
1082,1431
1083,1432
1084,1433
1085,1434
1086,1435
1087,1436
1088,1437
1089,1438
1090,1441
1091,1442
1092,1443
1093,1444
1094,1445
1095,1446
1096,1447
1097,1448
1098,1449
1099,1451
1100,1452
1101,1453
1102,1454
1103,1455
1104,1456
1105,1457
1106,1458
1107,1459
1108,1460
1109,1461
1110,1462
1111,1463
1112,1464
1113,1465
1114,1467
1115,1468
1116,1471
1117,1472
1118,1473
1119,1474
1120,1475
1121,1476
1122,1477
1123,1478
1124,1479
1125,1481
1126,1482
1127,1483
1128,1484
1129,1485
1130,1487
1131,1489
1132,1490
1133,1491
1134,1492
1135,1493
1136,1494
1137,1495
1138,1496
1139,1497
1140,1498
1141,1499
1142,1500
1143,1501
1144,1502
1145,1503
1146,1504
1147,1505
1148,1506
1149,1507
1150,1508
1151,1511
1152,1512
1153,1513
1154,1514
1155,1515
